Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2004-01-01,1,1320.6,1415,39.97,40.09,0.0,-0.12,31.06,31.51,0.0,-0.45,41,27
2004-01-01,2,1242.2,1312,38.12,38.22,0.0,-0.1,36.4,36.96,0.0,-0.56,39,25
2004-01-01,3,1207.1,1244,35.14,35.23,0.0,-0.09,25.04,25.36,0.0,-0.32,40,25
2004-01-01,4,1187.3,1212,34.03,34.11,0.0,-0.08,28.63,28.9,0.0,-0.27,41,23
2004-01-01,5,1169.9,1209,34.03,34.11,0.0,-0.08,25.5,25.73,0.0,-0.23,40,18
2004-01-01,6,1236.3,1234,34.62,34.7,0.0,-0.08,21.19,21.33,0.0,-0.14,39,17
2004-01-01,7,1211.4,1293,38.12,38.21,0.0,-0.09,21.27,21.4,0.0,-0.13,37,18
2004-01-01,8,1372.0,1322,39.87,39.96,0.0,-0.09,20.6,20.67,0.0,-0.07,35,19
2004-01-01,9,1540.8,1407,41.19,41.29,0.0,-0.1,25.57,25.65,0.0,-0.08,35,20
2004-01-01,10,1522.2,1504,43.29,43.39,0.0,-0.1,34.88,35.08,0.0,-0.2,38,20
2004-01-01,11,1596.6,1577,45.37,45.48,0.0,-0.11,40.82,41.1,0.0,-0.28,40,20
2004-01-01,12,1613.8,1621,45.16,45.28,0.0,-0.12,41.66,42.1,0.0,-0.44,43,21
2004-01-01,13,1600.8,1620,44.24,44.36,0.0,-0.12,39.03,39.48,0.0,-0.45,43,20
2004-01-01,14,1465.4,1596,42.94,43.06,0.0,-0.12,28.53,28.78,0.0,-0.25,45,21
2004-01-01,15,1463.6,1568,40.66,40.78,0.0,-0.12,31.8,32.0,0.0,-0.2,44,21
2004-01-01,16,1489.3,1594,43.64,43.76,0.0,-0.12,37.42,37.64,0.0,-0.22,44,21
2004-01-01,17,1741.2,1788,58.46,58.6,0.0,-0.14,57.83,58.18,0.0,-0.35,42,21
2004-01-01,18,1882.0,1984,78.71,78.91,0.0,-0.2,67.73,68.09,0.0,-0.36,40,22
2004-01-01,19,1881.1,1976,78.71,78.92,0.0,-0.21,56.98,57.44,0.0,-0.46,39,22
2004-01-01,20,1744.5,1932,60.3,60.47,0.0,-0.17,52.91,53.58,0.0,-0.67,38,23
2004-01-01,21,1723.1,1864,55.83,55.98,0.0,-0.15,44.24,44.72,0.0,-0.48,38,23
2004-01-01,22,1579.0,1746,46.49,46.62,0.0,-0.13,43.06,43.53,0.0,-0.47,37,23
2004-01-01,23,1472.6,1592,40.66,40.79,0.0,-0.13,28.86,29.11,0.0,-0.25,35,23
2004-01-01,24,1316.1,1440,39.81,39.93,0.0,-0.12,37.81,38.09,0.0,-0.28,34,23
2004-01-02,1,1381.5,1331,43.61,43.8,0.0,-0.19,35.18,35.58,0.0,-0.4,33,22
2004-01-02,2,1320.2,1273,40.65,40.81,0.0,-0.16,24.91,25.19,0.0,-0.28,32,23
2004-01-02,3,1289.3,1251,40.44,40.6,0.0,-0.16,27.94,28.19,0.0,-0.25,32,23
2004-01-02,4,1279.4,1254,40.44,40.6,0.0,-0.16,33.15,33.41,0.0,-0.26,26,21
2004-01-02,5,1295.2,1280,40.64,40.79,0.0,-0.15,24.98,25.11,0.0,-0.13,29,23
2004-01-02,6,1409.8,1369,40.44,40.6,0.0,-0.16,32.03,32.13,0.0,-0.1,27,23
2004-01-02,7,1609.7,1525,44.69,44.87,0.0,-0.18,35.49,35.59,0.0,-0.1,29,24
2004-01-02,8,1727.3,1669,52.47,52.69,0.0,-0.22,47.32,47.54,0.0,-0.22,31,25
2004-01-02,9,1793.1,1788,63.57,63.85,0.0,-0.28,55.12,55.55,0.0,-0.43,32,26
2004-01-02,10,1813.5,1896,68.04,68.33,0.0,-0.29,69.03,69.53,0.0,-0.5,31,29
2004-01-02,11,1785.7,1955,64.58,64.86,0.0,-0.28,60.28,60.69,0.0,-0.41,32,30
2004-01-02,12,1776.5,1981,64.9,65.18,0.0,-0.28,69.24,69.68,0.0,-0.44,33,31
2004-01-02,13,1775.3,1968,51.45,51.68,0.0,-0.23,69.12,69.52,0.0,-0.4,34,31
2004-01-02,14,1754.0,1935,49.61,49.66,0.17,-0.22,51.55,51.82,0.0,-0.27,35,31
2004-01-02,15,1737.5,1910,46.6,46.8,0.0,-0.2,44.56,44.78,0.0,-0.22,36,31
2004-01-02,16,1749.0,1919,46.61,46.81,0.0,-0.2,44.25,44.48,0.0,-0.23,36,31
2004-01-02,17,1879.6,2049,68.0,68.28,0.0,-0.28,58.06,58.27,0.0,-0.21,36,31
2004-01-02,18,2011.7,2160,85.58,82.76,3.17,-0.35,68.59,68.93,0.0,-0.34,35,31
2004-01-02,19,2023.6,2124,79.0,77.19,2.13,-0.32,50.76,51.09,0.0,-0.33,36,31
2004-01-02,20,1939.7,2056,75.49,72.16,3.64,-0.31,49.43,49.75,0.0,-0.32,35,31
