Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2005-01-01,1,969.7,1030,39.72,40.12,0.0,-0.4,46.78,47.12,0.0,-0.34,39,36
2005-01-01,2,970.7,964,36.91,37.28,0.0,-0.37,42.09,42.29,0.0,-0.2,38,36
2005-01-01,3,899.2,916,34.92,35.26,0.0,-0.34,34.71,34.88,0.0,-0.17,37,35
2005-01-01,4,930.4,894,34.92,35.25,0.0,-0.33,39.33,39.55,0.0,-0.22,38,35
2005-01-01,5,898.5,892,34.52,34.86,0.0,-0.34,43.88,44.13,0.0,-0.25,35,34
2005-01-01,6,965.8,909,36.86,37.2,0.0,-0.34,43.95,44.25,0.0,-0.3,34,34
2005-01-01,7,1049.6,948,42.26,42.65,0.0,-0.39,31.35,31.58,0.0,-0.23,30,30
2005-01-01,8,1083.0,999,43.06,43.46,0.0,-0.4,9.34,9.38,0.0,-0.04,36,34
2005-01-01,9,1290.7,1087,45.74,46.18,0.0,-0.44,23.12,23.18,0.0,-0.06,35,33
2005-01-01,10,1395.1,1180,46.3,46.76,0.0,-0.46,38.59,38.67,0.0,-0.08,49,29
2005-01-01,11,1409.8,1248,49.25,49.74,0.0,-0.49,50.99,51.15,0.0,-0.16,47,28
2005-01-01,12,1395.4,1278,49.25,49.74,0.0,-0.49,50.12,50.36,0.0,-0.24,47,27
2005-01-01,13,1362.6,1281,46.07,46.53,0.0,-0.46,47.3,47.47,0.0,-0.17,44,27
2005-01-01,14,1284.1,1273,44.16,44.6,0.0,-0.44,44.95,45.02,0.0,-0.07,44,26
2005-01-01,15,1312.8,1260,43.62,44.05,0.0,-0.43,43.38,43.46,0.0,-0.08,42,27
2005-01-01,16,1320.5,1277,44.0,44.42,0.0,-0.42,46.2,46.24,0.0,-0.04,42,27
2005-01-01,17,1453.5,1402,54.86,55.38,0.0,-0.52,76.92,77.23,0.0,-0.31,41,27
2005-01-01,18,1571.5,1516,67.77,68.41,0.0,-0.64,82.8,83.19,0.0,-0.39,40,27
2005-01-01,19,1509.3,1504,62.1,62.69,0.0,-0.59,68.49,68.73,0.0,-0.24,38,24
2005-01-01,20,1500.5,1459,58.85,59.41,0.0,-0.56,69.24,69.57,0.0,-0.33,36,23
2005-01-01,21,1426.2,1395,53.61,54.12,0.0,-0.51,55.95,56.23,0.0,-0.28,34,22
2005-01-01,22,1317.6,1322,52.64,53.15,0.0,-0.51,60.4,60.55,0.0,-0.15,33,21
2005-01-01,23,1189.8,1220,47.77,48.23,0.0,-0.46,50.69,50.87,0.0,-0.18,31,19
2005-01-01,24,1163.6,1113,46.07,46.52,0.0,-0.45,43.45,43.6,0.0,-0.15,29,18
2005-01-02,1,1089.1,1026,44.27,44.67,0.0,-0.4,38.09,38.24,0.0,-0.15,28,17
2005-01-02,2,1044.9,979,40.68,41.04,0.0,-0.36,37.97,38.17,0.0,-0.2,28,16
2005-01-02,3,1017.7,960,40.14,40.49,0.0,-0.35,42.2,42.44,0.0,-0.24,27,16
2005-01-02,4,999.9,957,40.13,40.48,0.0,-0.35,41.45,41.62,0.0,-0.17,26,13
2005-01-02,5,1017.4,965,40.14,40.48,0.0,-0.34,42.32,42.45,0.0,-0.13,25,11
2005-01-02,6,980.2,997,43.95,44.31,0.0,-0.36,47.34,47.56,0.0,-0.22,25,9
2005-01-02,7,1081.1,1061,43.95,44.3,0.0,-0.35,43.34,43.56,-0.1,-0.12,21,11
2005-01-02,8,1254.2,1142,42.78,43.13,0.0,-0.35,34.31,34.69,-0.28,-0.1,19,14
2005-01-02,9,1379.0,1248,49.32,49.74,0.0,-0.42,49.96,50.01,0.0,-0.05,19,14
2005-01-02,10,1522.0,1344,57.89,58.39,0.0,-0.5,47.14,47.11,0.0,0.03,25,5
2005-01-02,11,1535.9,1386,57.89,58.4,0.0,-0.51,45.14,45.1,0.0,0.04,27,4
2005-01-02,12,1517.4,1394,58.14,58.66,0.0,-0.52,51.92,51.96,0.0,-0.04,28,3
2005-01-02,13,1472.9,1390,58.24,58.76,0.0,-0.52,52.9,53.02,0.0,-0.12,29,4
2005-01-02,14,1459.3,1380,53.69,54.17,0.0,-0.48,50.56,50.88,0.0,-0.32,29,9
2005-01-02,15,1433.8,1379,53.47,53.94,0.0,-0.47,51.79,52.13,0.0,-0.34,29,13
2005-01-02,16,1446.3,1417,50.76,51.21,0.0,-0.45,56.28,56.43,0.0,-0.15,30,18
2005-01-02,17,1594.1,1560,71.53,72.14,0.0,-0.61,102.46,103.11,0.0,-0.65,30,19
2005-01-02,18,1663.4,1653,81.16,81.85,0.0,-0.69,85.97,86.4,0.0,-0.43,28,25
2005-01-02,19,1558.5,1627,79.11,79.79,0.0,-0.68,78.96,79.58,0.0,-0.62,28,27
2005-01-02,20,1539.7,1564,76.25,77.56,-0.64,-0.67,63.19,63.64,0.0,-0.45,28,27
2005-01-02,21,1523.3,1468,71.39,72.02,0.0,-0.63,53.32,53.73,0.0,-0.41,29,27
2005-01-02,22,1448.8,1343,58.89,59.42,0.0,-0.53,49.18,49.53,0.0,-0.35,29,27
2005-01-02,23,1295.1,1195,51.13,51.59,0.0,-0.46,40.45,40.82,0.0,-0.37,30,28
