Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt,SYSLoad,RegCP
2006-01-01,1,11948,13091,76.78,75.89,0.0,0.89,104.87,104.04,0.0,0.83,28,24,13302,70.0
2006-01-01,2,11454,12348,69.32,68.52,0.0,0.8,67.74,67.22,0.0,0.52,28,24,12538,70.0
2006-01-01,3,11237,11842,69.32,68.51,0.0,0.81,77.71,76.98,0.0,0.73,28,24,12070,70.0
2006-01-01,4,11182,11586,67.44,66.65,0.0,0.79,69.1,68.44,0.0,0.66,27,23,11776,70.0
2006-01-01,5,11170,11549,65.31,64.55,0.0,0.76,68.47,67.81,0.0,0.66,26,23,11714,70.0
2006-01-01,6,11522,11710,65.57,64.81,0.0,0.76,56.34,55.74,0.0,0.6,25,22,11870,70.0
2006-01-01,7,11883,12077,64.68,63.92,0.0,0.76,46.69,46.09,0.0,0.6,25,22,12258,73.33
2006-01-01,8,13089,12478,59.74,59.02,0.0,0.72,26.17,25.84,0.0,0.33,25,21,12696,74.0
2006-01-01,9,12990,13206,72.81,71.92,0.0,0.89,29.06,28.73,0.0,0.33,26,21,13452,74.0
2006-01-01,10,13978,14049,76.7,75.78,0.0,0.92,58.65,58.18,0.0,0.47,27,22,14271,74.0
2006-01-01,11,14724,14666,77.45,76.52,0.0,0.93,73.3,72.62,0.0,0.68,25,20,14915,69.41
2006-01-01,12,14680,15031,76.2,75.28,0.0,0.92,75.09,74.41,0.0,0.68,26,21,15277,69.99
2006-01-01,13,14351,15235,75.81,74.9,0.0,0.91,75.93,75.2,0.0,0.73,26,20,15474,69.99
2006-01-01,14,14327,15139,75.81,74.9,0.0,0.91,67.75,67.19,0.0,0.56,27,21,15354,58.76
2006-01-01,15,13845,14979,70.72,69.87,0.0,0.85,66.97,66.42,0.0,0.55,28,22,15183,55.0
2006-01-01,16,14092,15089,74.32,73.43,0.0,0.89,70.07,69.51,0.0,0.56,28,22,15301,55.0
2006-01-01,17,15752,16278,95.19,94.04,0.0,1.15,108.01,107.18,0.0,0.83,29,23,16523,55.0
2006-01-01,18,16509,17401,119.3,120.51,-2.68,1.47,165.15,163.98,0.0,1.17,28,23,17661,67.49
2006-01-01,19,16301,17242,108.37,111.9,-4.89,1.36,119.23,118.37,0.0,0.86,29,23,17511,43.19
2006-01-01,20,16220,16807,96.41,96.77,-1.53,1.17,84.22,83.6,0.0,0.62,29,24,17061,49.82
2006-01-01,21,15669,16262,85.1,84.08,0.0,1.02,76.52,75.86,0.0,0.66,29,24,16514,55.0
2006-01-01,22,14983,15363,78.77,77.83,0.0,0.94,73.91,73.16,0.0,0.75,29,25,15608,70.82
2006-01-01,23,13539,14264,75.49,74.59,0.0,0.9,41.36,40.91,0.0,0.45,29,25,14469,74.0
2006-01-01,24,12667,13095,76.2,75.32,0.0,0.88,47.24,46.66,0.0,0.58,29,26,13257,74.0
2006-01-02,1,11786,12175,70.95,70.14,0.0,0.81,44.88,44.47,0.0,0.41,29,26,12275,74.0
2006-01-02,2,11518,11640,61.18,60.48,0.0,0.7,64.58,63.9,0.0,0.68,30,27,11760,71.34
2006-01-02,3,11489,11375,61.18,60.48,0.0,0.7,54.98,54.39,0.0,0.59,30,27,11505,70.0
2006-01-02,4,11482,11311,57.8,57.14,0.0,0.66,49.57,49.05,0.0,0.52,30,27,11449,70.0
2006-01-02,5,11699,11480,57.34,56.68,0.0,0.66,59.06,58.29,0.0,0.77,29,26,11646,70.0
2006-01-02,6,11964,11991,57.8,57.14,0.0,0.66,54.18,53.58,0.0,0.6,28,26,12136,70.0
2006-01-02,7,12428,12839,67.68,66.9,0.0,0.78,55.26,54.66,0.0,0.6,27,25,13006,73.0
2006-01-02,8,13820,13533,57.8,57.11,0.0,0.69,31.27,30.92,0.0,0.35,27,25,13764,74.0
2006-01-02,9,14030,14381,68.02,67.21,0.0,0.81,42.29,41.88,0.0,0.41,28,25,14616,74.0
2006-01-02,10,14888,15203,78.01,77.09,0.0,0.92,80.42,79.78,0.0,0.64,30,27,15440,59.76
2006-01-02,11,15424,15689,79.32,78.38,0.0,0.94,81.38,80.58,0.0,0.8,32,28,15967,54.24
2006-01-02,12,15540,15803,79.32,78.38,0.0,0.94,84.55,83.7,0.0,0.85,33,29,16100,53.99
2006-01-02,13,15361,15695,76.16,75.26,0.0,0.9,79.87,79.06,0.0,0.81,35,30,15967,54.75
2006-01-02,14,15302,15486,76.02,75.13,0.0,0.89,69.19,68.58,0.0,0.61,37,30,15727,54.24
2006-01-02,15,14831,15348,74.22,73.35,0.0,0.87,70.59,69.94,0.0,0.65,38,31,15596,53.99
2006-01-02,16,15032,15641,75.32,74.43,0.0,0.89,73.18,72.49,0.0,0.69,38,30,15908,29.84
2006-01-02,17,16524,17112,90.8,89.72,0.0,1.08,131.62,130.48,0.0,1.14,37,31,17384,25.0
2006-01-02,18,17359,18385,120.66,122.58,-3.39,1.47,117.17,116.11,0.0,1.06,36,31,18699,61.36
2006-01-02,19,17150,18223,104.41,109.74,-6.64,1.31,78.74,77.91,0.0,0.83,35,31,18540,35.04
2006-01-02,20,16827,17764,93.2,94.34,-2.26,1.12,82.82,81.92,0.0,0.9,35,31,18071,24.17
