Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2006-01-01,1,782.8,792,75.26,75.89,0.0,-0.63,103.91,104.04,0.0,-0.13,33,29
2006-01-01,2,718.8,743,67.94,68.52,0.0,-0.58,67.0,67.22,0.0,-0.22,32,28
2006-01-01,3,697.6,707,67.94,68.51,0.0,-0.57,76.52,76.98,0.0,-0.46,32,28
2006-01-01,4,694.9,689,66.1,66.65,0.0,-0.55,67.96,68.44,0.0,-0.48,32,27
2006-01-01,5,696.4,684,64.02,64.55,0.0,-0.53,67.38,67.81,0.0,-0.43,31,28
2006-01-01,6,710.6,696,64.27,64.81,0.0,-0.54,55.52,55.74,0.0,-0.22,30,26
2006-01-01,7,773.3,727,63.4,63.92,0.0,-0.52,45.92,46.09,0.0,-0.17,29,26
2006-01-01,8,849.9,745,58.56,59.02,0.0,-0.46,25.79,25.84,0.0,-0.05,30,26
2006-01-01,9,852.7,777,71.36,71.92,0.0,-0.56,28.58,28.73,0.0,-0.15,30,25
2006-01-01,10,909.7,823,75.18,75.78,0.0,-0.6,57.36,58.18,0.0,-0.82,31,25
2006-01-01,11,986.2,860,75.91,76.52,0.0,-0.61,71.64,72.62,0.0,-0.98,28,23
2006-01-01,12,970.8,877,74.69,75.28,0.0,-0.59,73.25,74.41,0.0,-1.16,28,23
2006-01-01,13,937.5,901,74.3,74.9,0.0,-0.6,74.13,75.2,0.0,-1.07,29,23
2006-01-01,14,994.9,896,74.3,74.9,0.0,-0.6,66.15,67.19,0.0,-1.04,30,25
2006-01-01,15,903.6,887,69.31,69.87,0.0,-0.56,65.44,66.42,0.0,-0.98,31,24
2006-01-01,16,918.3,897,72.84,73.43,0.0,-0.59,68.37,69.51,0.0,-1.14,31,24
2006-01-01,17,1012.5,979,93.3,94.04,0.0,-0.74,105.14,107.18,0.0,-2.04,30,25
2006-01-01,18,1134.0,1057,116.88,120.51,-2.68,-0.95,161.52,163.98,0.0,-2.46,30,24
2006-01-01,19,989.0,1049,106.13,111.9,-4.89,-0.88,116.46,118.37,0.0,-1.91,30,27
2006-01-01,20,1037.6,1026,94.47,96.77,-1.53,-0.77,82.15,83.6,0.0,-1.45,30,26
2006-01-01,21,937.0,994,83.41,84.08,0.0,-0.67,74.52,75.86,0.0,-1.34,30,27
2006-01-01,22,976.2,933,77.21,77.83,0.0,-0.62,72.15,73.16,0.0,-1.01,30,27
2006-01-01,23,895.0,868,73.99,74.59,0.0,-0.6,40.93,40.91,0.0,0.02,31,27
2006-01-01,24,823.8,793,74.69,75.32,0.0,-0.63,46.83,46.66,0.0,0.17,31,28
2006-01-02,1,776.3,733,69.58,70.14,0.0,-0.56,44.46,44.47,0.0,-0.01,32,28
2006-01-02,2,710.4,696,60.0,60.48,0.0,-0.48,63.66,63.9,0.0,-0.24,32,29
2006-01-02,3,723.3,676,60.0,60.48,0.0,-0.48,54.09,54.39,0.0,-0.3,32,29
2006-01-02,4,686.9,666,56.69,57.14,0.0,-0.45,48.82,49.05,0.0,-0.23,33,30
2006-01-02,5,686.2,672,56.24,56.68,0.0,-0.44,57.84,58.29,0.0,-0.45,34,31
2006-01-02,6,706.4,696,56.69,57.14,0.0,-0.45,53.27,53.58,0.0,-0.31,35,31
