Date;Year;Month;Day;Weekday;Name;Type;Details
01/01/2010;2010;1;1;Friday;New Year's Day;Federal Holiday; 
06/01/2010;2010;1;6;Wednesday;Epiphany;Christian; 
07/01/2010;2010;1;7;Thursday;Orthodox Christmas Day;Orthodox; 
13/01/2010;2010;1;13;Wednesday;Stephen Foster Memorial Day;Observance; 
14/01/2010;2010;1;14;Thursday;Orthodox New Year;Orthodox; 
15/01/2010;2010;1;15;Friday;Lee-Jackson Day;State holiday;Virginia
18/01/2010;2010;1;18;Monday;Martin Luther King Jr. Day;Federal Holiday; 
18/01/2010;2010;1;18;Monday;Robert E. Lee's Birthday;State holiday;Arkansas
18/01/2010;2010;1;18;Monday;Robert E. Lee's Birthday;State holiday;AL, GA, MS
18/01/2010;2010;1;18;Monday;Idaho Human Rights Day;State holiday;Idaho
18/01/2010;2010;1;18;Monday;Civil Rights Day;State holiday;Arizona, New Hampshire
19/01/2010;2010;1;19;Tuesday;Robert E. Lee's Birthday;State holiday;Florida
19/01/2010;2010;1;19;Tuesday;Confederate Heroes' Day;State holiday;Texas
29/01/2010;2010;1;29;Friday;Kansas Day;Observance; 
30/01/2010;2010;1;30;Saturday;Tu Bishvat/Tu B'Shevat;Jewish holiday; 
01/02/2010;2010;2;1;Monday;National Freedom Day;Observance; 
01/02/2010;2010;2;1;Monday;First Day of Black History Month;Annual monthly observance; 
02/02/2010;2010;2;2;Tuesday;Groundhog Day;Observance; 
04/02/2010;2010;2;4;Thursday;Rosa Parks Day;Local observance;California
05/02/2010;2010;2;5;Friday;National Wear Red Day;Observance; 
07/02/2010;2010;2;7;Sunday;Super Bowl;Sporting event; 
11/02/2010;2010;2;11;Thursday;Maha Shivaratri;Hindu Holiday; 
12/02/2010;2010;2;12;Friday;Lincoln's Birthday;State holiday;CT, IL, MO, NJ, NY
14/02/2010;2010;2;14;Sunday;Valentine's Day;Observance; 
14/02/2010;2010;2;14;Sunday;Statehood Day;Local observance;Arizona
14/02/2010;2010;2;14;Sunday;Chinese New Year;Observance; 
15/02/2010;2010;2;15;Monday;Presidents' Day;Federal Holiday;All except DE, GA, IA, IN, KS, KY, LA, NC, NM, RI, WI
15/02/2010;2010;2;15;Monday;Daisy Gatson Bates Day;State holiday;Arkansas
15/02/2010;2010;2;15;Monday;Susan B. Anthony's Birthday;Local observance;New York, Wisconsin
16/02/2010;2010;2;16;Tuesday;Shrove Tuesday/Mardi Gras;State holiday;Alabama*, Louisiana
16/02/2010;2010;2;16;Tuesday;Shrove Tuesday/Mardi Gras;Observance, Christian; 
16/02/2010;2010;2;16;Tuesday;Elizabeth Peratrovich Day;Local observance;Alaska
17/02/2010;2010;2;17;Wednesday;Ash Wednesday;Christian; 
26/02/2010;2010;2;26;Friday;The Prophet's Birthday;Muslim; 
28/02/2010;2010;2;28;Sunday;Holi;Hindu Holiday; 
28/02/2010;2010;2;28;Sunday;Purim;Jewish holiday; 
28/02/2010;2010;2;28;Sunday;Linus Pauling Day;Local observance;Oregon
01/03/2010;2010;3;1;Monday;St. David's Day;Observance, Christian; 
