Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2010-01-01,1,2940.1,3231,66.0,64.18,0.0,1.82,66.95,65.01,0.0,1.94,28,25
2010-01-01,2,2738.1,3055,60.31,58.65,0.0,1.66,73.0,71.37,0.0,1.63,28,26
2010-01-01,3,2616.4,2927,56.26,54.71,0.0,1.55,57.35,56.44,0.0,0.91,28,25
2010-01-01,4,2504.2,2851,47.96,44.82,1.86,1.28,63.2,61.85,0.0,1.35,28,26
2010-01-01,5,2496.0,2845,53.78,50.62,1.72,1.44,55.87,54.65,0.0,1.22,28,26
2010-01-01,6,2723.7,2911,44.41,43.18,0.0,1.23,43.65,42.59,0.0,1.06,28,25
2010-01-01,7,2930.4,3005,47.37,46.06,0.0,1.31,41.66,40.64,0.0,1.02,28,25
2010-01-01,8,3044.2,3059,46.74,45.42,0.0,1.32,33.49,32.54,0.0,0.95,28,25
2010-01-01,9,3211.9,3209,57.86,56.23,0.0,1.63,43.58,42.44,0.0,1.14,28,25
2010-01-01,10,3299.2,3422,60.1,58.4,0.0,1.7,50.15,48.71,0.0,1.44,29,25
2010-01-01,11,3445.0,3598,63.09,61.31,0.0,1.78,57.59,55.94,0.0,1.65,29,25
2010-01-01,12,3465.3,3679,63.74,61.94,0.0,1.8,61.11,59.2,0.0,1.91,30,26
2010-01-01,13,3298.2,3677,60.85,59.13,0.0,1.72,59.67,57.77,0.0,1.9,31,26
2010-01-01,14,3296.9,3640,60.0,58.3,0.0,1.7,60.59,58.95,0.0,1.64,34,27
2010-01-01,15,3289.3,3594,59.56,57.88,0.0,1.68,60.72,59.22,0.0,1.5,34,27
2010-01-01,16,3363.8,3619,54.7,53.14,0.0,1.56,57.42,56.18,0.0,1.24,34,28
2010-01-01,17,3860.0,3889,65.79,63.14,0.78,1.87,77.23,74.68,0.0,2.55,34,28
2010-01-01,18,4004.6,4200,91.26,86.3,2.4,2.56,86.15,83.16,0.0,2.99,33,28
2010-01-01,19,4064.9,4156,86.12,81.39,2.33,2.4,80.19,77.32,0.0,2.87,32,28
2010-01-01,20,4041.2,4043,73.67,69.92,1.7,2.05,68.34,65.9,0.0,2.44,30,27
2010-01-01,21,3900.5,3915,65.48,63.34,0.29,1.85,78.15,75.06,0.0,3.09,29,27
2010-01-01,22,3639.8,3729,65.19,63.35,0.0,1.84,76.66,73.91,0.0,2.75,29,27
2010-01-01,23,3310.7,3487,55.96,54.4,0.0,1.56,67.19,65.09,0.0,2.1,32,28
2010-01-01,24,3074.3,3219,50.0,48.61,0.0,1.39,60.11,58.99,0.0,1.12,32,29
2010-01-02,1,2946.9,2984,56.25,54.73,0.0,1.52,43.74,43.02,0.0,0.72,32,29
2010-01-02,2,2799.4,2835,49.91,48.56,0.0,1.35,49.85,48.93,0.0,0.92,32,29
2010-01-02,3,2701.6,2764,54.31,52.84,0.0,1.47,52.31,51.39,0.0,0.92,32,29
2010-01-02,4,2618.8,2741,51.48,50.1,0.0,1.38,51.21,50.31,0.0,0.9,33,27
2010-01-02,5,2623.6,2764,42.7,41.55,0.0,1.15,34.25,33.59,0.0,0.66,32,25
2010-01-02,6,2754.5,2857,42.7,41.55,0.0,1.15,36.95,36.25,0.0,0.7,30,25
2010-01-02,7,2914.4,3022,43.09,41.91,0.0,1.18,48.31,47.34,0.0,0.97,30,23
2010-01-02,8,3114.5,3204,54.73,53.23,0.0,1.5,63.37,61.86,0.0,1.51,29,24
2010-01-02,9,3435.0,3461,72.13,70.14,0.0,1.99,66.53,64.44,0.0,2.09,29,24
2010-01-02,10,3662.5,3711,70.11,68.18,0.0,1.93,66.99,64.71,0.0,2.28,29,24
2010-01-02,11,3763.0,3861,73.79,71.76,0.0,2.03,70.45,68.2,0.0,2.25,30,21
2010-01-02,12,3753.7,3916,69.89,67.97,0.0,1.92,73.74,71.7,0.0,2.04,30,22
2010-01-02,13,3703.5,3922,66.0,64.19,0.0,1.81,76.53,74.45,0.0,2.08,28,21
2010-01-02,14,3626.1,3901,62.63,60.91,0.0,1.72,66.01,64.19,0.0,1.82,28,18
2010-01-02,15,3577.6,3872,60.28,58.62,0.0,1.66,63.1,61.44,0.0,1.66,27,17
2010-01-02,16,3606.0,3918,59.95,58.29,0.0,1.66,66.39,64.58,0.0,1.81,26,14
2010-01-02,17,4084.4,4204,72.51,68.02,2.53,1.96,93.93,90.93,0.0,3.0,24,13
2010-01-02,18,4360.3,4573,93.29,85.89,4.93,2.47,140.38,136.03,0.0,4.35,22,11
2010-01-02,19,4390.2,4561,80.71,76.79,1.72,2.2,112.02,108.44,0.0,3.58,20,10
2010-01-02,20,4103.1,4471,77.69,74.54,1.03,2.12,102.6,99.28,0.0,3.32,19,7
2010-01-02,21,3967.1,4369,68.89,66.36,0.65,1.88,101.19,97.71,0.0,3.48,17,6
2010-01-02,22,3738.0,4191,66.09,64.28,0.0,1.81,109.81,105.96,0.0,3.85,17,6
2010-01-02,23,3507.9,3954,61.38,59.71,0.0,1.67,95.74,92.36,0.0,3.38,17,5
2010-01-02,24,3203.9,3689,60.25,58.61,0.0,1.64,72.73,70.85,0.0,1.88,17,5
2010-01-03,1,2922.6,3460,60.0,58.37,0.0,1.63,85.29,83.55,0.0,1.74,17,4
2010-01-03,2,2714.3,3306,60.0,58.37,0.0,1.63,96.87,95.11,0.0,1.76,17,4
2010-01-03,3,2685.8,3230,60.0,58.37,0.0,1.63,199.81,196.32,0.0,3.49,17,4
2010-01-03,4,2655.4,3195,55.89,54.38,0.0,1.51,171.31,168.84,0.0,2.47,16,4
2010-01-03,5,2587.5,3204,62.63,60.92,0.0,1.71,106.99,105.26,0.0,1.73,16,3
2010-01-03,6,2705.1,3273,54.74,53.25,0.0,1.49,88.55,86.97,0.0,1.58,15,3
2010-01-03,7,2826.5,3400,54.75,53.25,0.0,1.5,152.4,149.24,0.0,3.16,15,2
2010-01-03,8,3036.5,3545,54.1,52.61,0.0,1.49,124.92,121.86,0.0,3.06,13,4
2010-01-03,9,3353.4,3782,68.36,66.46,0.0,1.9,193.84,188.6,0.0,5.24,13,2
2010-01-03,10,3531.1,4020,68.91,66.99,0.0,1.92,202.44,195.97,0.0,6.47,13,4
2010-01-03,11,3648.2,4194,66.84,64.98,0.0,1.86,286.35,277.2,0.0,9.15,13,4
2010-01-03,12,3658.8,4290,70.4,68.44,0.0,1.96,239.4,231.19,0.0,8.21,14,5
2010-01-03,13,3639.0,4323,70.4,68.44,0.0,1.96,221.78,213.58,0.0,8.2,16,5
2010-01-03,14,3603.6,4323,68.11,66.21,0.0,1.9,130.91,125.48,0.0,5.43,17,5
2010-01-03,15,3544.7,4292,65.46,63.63,0.0,1.83,101.58,97.31,0.0,4.27,17,5
2010-01-03,16,3572.9,4348,65.46,63.63,0.0,1.83,92.72,88.98,0.0,3.74,17,6
2010-01-03,17,3932.5,4689,76.55,74.16,0.23,2.16,188.99,181.9,0.0,7.09,15,8
2010-01-03,18,4237.8,5010,112.31,106.38,2.82,3.11,117.46,101.59,11.89,3.98,17,7
2010-01-03,19,4173.8,4974,102.76,99.87,0.0,2.89,119.16,105.52,9.16,4.48,16,10
2010-01-03,20,4016.4,4834,91.38,88.82,0.0,2.56,118.9,113.55,0.13,5.22,18,9
2010-01-03,21,4018.2,4642,78.51,72.69,3.73,2.09,96.28,91.44,0.26,4.58,19,9
2010-01-03,22,3670.7,4328,72.81,68.55,2.32,1.94,65.31,62.41,0.0,2.9,19,12
2010-01-03,23,3306.0,3969,65.46,63.67,0.0,1.79,63.06,60.61,0.0,2.45,20,10
2010-01-03,24,3055.4,3626,61.22,59.56,0.0,1.66,61.9,59.68,0.0,2.22,20,9
2010-01-04,1,2884.8,3395,82.55,73.83,6.61,2.11,146.78,141.33,0.0,5.45,20,10
2010-01-04,2,2724.7,3268,75.72,70.36,3.35,2.01,112.08,108.29,0.0,3.79,22,11
2010-01-04,3,2739.1,3212,71.84,68.56,1.32,1.96,130.05,125.51,0.0,4.54,20,11
2010-01-04,4,2737.6,3209,72.9,68.66,2.28,1.96,97.08,93.85,0.0,3.23,20,11
2010-01-04,5,2751.6,3298,77.28,71.18,4.07,2.03,89.41,86.49,0.0,2.92,19,11
2010-01-04,6,3065.4,3566,84.27,76.83,5.25,2.19,240.97,233.16,0.0,7.81,18,11
2010-01-04,7,3619.5,4047,96.76,94.04,0.04,2.68,157.16,153.47,0.0,3.69,19,11
2010-01-04,8,3789.2,4356,112.42,109.3,0.0,3.12,123.98,121.57,0.0,2.41,19,11
2010-01-04,9,3962.9,4421,112.45,109.35,0.0,3.1,133.08,129.59,0.0,3.49,20,11
2010-01-04,10,4091.3,4408,101.74,98.94,0.0,2.8,118.54,114.77,0.0,3.77,22,12
2010-01-04,11,4111.3,4388,100.66,97.9,0.0,2.76,113.63,109.94,0.0,3.69,25,12
2010-01-04,12,4200.7,4355,87.0,84.61,0.0,2.39,109.17,105.73,0.0,3.44,26,13
2010-01-04,13,4076.4,4304,77.74,75.6,0.0,2.14,88.48,85.57,0.0,2.91,28,14
2010-01-04,14,3970.4,4267,76.47,74.36,0.0,2.11,79.69,77.29,0.0,2.4,30,15
2010-01-04,15,3957.3,4233,74.96,72.89,0.0,2.07,74.98,72.92,0.0,2.06,30,14
2010-01-04,16,4033.7,4274,71.73,69.74,0.0,1.99,79.81,77.26,0.0,2.55,29,13
2010-01-04,17,4197.8,4565,96.67,93.93,0.0,2.74,107.35,103.84,0.0,3.51,27,13
2010-01-04,18,4411.8,4996,121.35,117.89,0.0,3.46,145.02,140.4,0.0,4.62,23,12
2010-01-04,19,4449.1,5019,120.0,116.58,0.0,3.42,135.44,130.54,0.0,4.9,22,12
2010-01-04,20,4396.7,4923,109.0,105.92,0.0,3.08,116.84,112.59,0.0,4.25,21,11
2010-01-04,21,4344.1,4760,87.43,84.97,0.0,2.46,91.84,87.84,0.0,4.0,20,10
2010-01-04,22,4040.7,4464,75.93,73.79,0.0,2.14,94.98,90.76,0.0,4.22,19,10
2010-01-04,23,3662.9,4060,73.0,70.96,0.0,2.04,71.0,68.46,0.0,2.54,18,9
2010-01-04,24,3300.0,3685,68.21,66.33,0.0,1.88,61.64,60.0,0.0,1.64,19,10
2010-01-05,1,3010.6,3441,87.46,84.95,0.0,2.51,78.75,76.42,0.0,2.33,20,10
2010-01-05,2,2866.7,3322,83.15,80.76,0.0,2.39,54.85,53.3,0.0,1.55,20,10
2010-01-05,3,2817.1,3258,82.48,80.11,0.0,2.37,71.76,69.48,0.0,2.28,20,10
2010-01-05,4,2760.0,3253,82.48,80.13,0.0,2.35,79.46,76.71,0.0,2.75,21,11
2010-01-05,5,2833.8,3338,86.26,83.78,0.0,2.48,89.24,86.1,0.0,3.14,21,11
2010-01-05,6,3253.1,3620,90.54,87.93,0.0,2.61,82.17,79.47,0.0,2.7,21,11
2010-01-05,7,3809.5,4164,107.82,104.7,0.0,3.12,119.46,115.07,0.0,4.39,21,11
2010-01-05,8,4003.9,4478,123.99,120.41,0.0,3.58,102.1,97.99,0.0,4.11,21,11
2010-01-05,9,4071.8,4502,117.09,112.09,1.71,3.29,93.85,89.92,0.0,3.93,21,11
2010-01-05,10,4046.6,4496,108.37,104.99,0.31,3.07,95.15,91.23,0.0,3.92,21,11
2010-01-05,11,4096.4,4495,100.66,97.07,0.76,2.83,95.83,91.92,0.0,3.91,22,11
2010-01-05,12,4075.8,4456,94.14,90.6,0.9,2.64,102.24,97.85,0.0,4.39,24,13
2010-01-05,13,3946.2,4409,89.66,87.12,0.0,2.54,98.55,94.26,0.0,4.29,25,14
2010-01-05,14,3893.4,4387,87.98,85.48,0.0,2.5,89.93,86.5,0.0,3.43,26,14
2010-01-05,15,3850.1,4344,86.92,84.43,0.0,2.49,84.04,81.08,0.0,2.96,27,14
2010-01-05,16,3879.4,4355,87.34,84.83,0.0,2.51,80.97,78.33,0.0,2.64,27,14
2010-01-05,17,4108.1,4608,108.68,105.15,0.35,3.18,95.69,91.8,0.0,3.89,27,14
2010-01-05,18,4358.7,4996,130.8,125.04,1.93,3.83,129.81,109.01,15.94,4.86,26,14
2010-01-05,19,4532.5,5006,124.0,118.17,2.22,3.61,106.62,95.23,7.49,3.9,25,14
2010-01-05,20,4355.1,4873,115.3,109.48,2.49,3.33,106.23,96.31,5.46,4.46,26,14
2010-01-05,21,4240.8,4685,100.08,96.1,1.07,2.91,98.55,88.77,5.79,3.99,26,15
2010-01-05,22,3977.5,4369,89.66,87.04,0.0,2.62,95.97,86.67,5.67,3.63,26,15
2010-01-05,23,3641.1,3968,86.17,83.67,0.0,2.5,82.82,77.3,2.42,3.1,26,15
2010-01-05,24,3208.5,3579,85.74,83.29,0.0,2.45,69.56,67.17,0.0,2.39,25,15
2010-01-06,1,3138.8,3330,72.83,70.61,0.0,2.22,67.34,64.87,0.0,2.47,24,16
2010-01-06,2,2821.9,3202,86.26,80.12,3.62,2.52,46.79,45.05,0.0,1.74,23,15
2010-01-06,3,2778.0,3145,83.74,72.51,8.95,2.28,35.22,34.02,0.0,1.2,23,16
2010-01-06,4,2782.5,3133,86.65,69.16,15.33,2.16,40.43,39.0,0.0,1.43,24,15
2010-01-06,5,2937.5,3214,81.3,78.82,0.0,2.48,47.22,45.53,0.0,1.69,24,15
2010-01-06,6,3430.4,3495,81.29,78.8,0.0,2.49,52.02,50.31,0.0,1.71,24,16
2010-01-06,7,3886.9,4040,93.49,90.64,0.0,2.85,91.16,88.25,0.0,2.91,23,15
2010-01-06,8,4203.0,4355,95.43,92.52,0.0,2.91,84.75,81.74,0.0,3.01,22,14
2010-01-06,9,4298.7,4324,93.53,90.71,0.0,2.82,81.56,78.75,0.0,2.81,22,12
2010-01-06,10,4252.9,4304,94.09,91.26,0.0,2.83,82.83,80.0,0.0,2.83,22,11
2010-01-06,11,4203.3,4302,92.97,90.19,0.0,2.78,84.1,80.92,0.0,3.18,25,12
2010-01-06,12,4236.7,4267,89.31,86.64,0.0,2.67,79.59,76.7,0.0,2.89,26,13
2010-01-06,13,4047.5,4203,84.34,81.81,0.0,2.53,64.29,62.3,0.0,1.99,27,13
2010-01-06,14,3961.2,4168,83.01,80.52,0.0,2.49,40.75,39.55,0.0,1.2,28,13
2010-01-06,15,3894.4,4133,81.29,78.83,0.0,2.46,48.64,47.27,0.0,1.37,29,14
2010-01-06,16,3897.5,4161,80.77,78.31,0.0,2.46,57.0,55.31,0.0,1.69,28,14
2010-01-06,17,4416.1,4444,94.18,91.22,0.05,2.91,76.7,74.28,0.0,2.42,27,15
2010-01-06,18,4770.4,4865,117.73,114.06,0.0,3.67,85.8,82.54,0.0,3.26,25,14
2010-01-06,19,4812.3,4878,111.71,108.23,0.0,3.48,84.19,81.28,0.0,2.91,25,14
2010-01-06,20,4589.0,4769,110.4,104.86,2.17,3.37,81.82,78.93,0.0,2.89,25,15
2010-01-06,21,4323.4,4600,98.82,91.67,4.21,2.94,79.59,76.31,0.0,3.28,25,16
2010-01-06,22,4084.4,4312,87.28,84.58,0.0,2.7,77.82,74.45,0.0,3.37,25,16
2010-01-06,23,3714.8,3900,84.18,81.59,0.0,2.59,31.66,30.48,0.0,1.18,26,17
2010-01-06,24,3328.3,3519,82.11,79.62,0.0,2.49,23.97,23.1,0.0,0.87,28,18
2010-01-07,1,3052.6,3271,51.69,50.07,0.0,1.62,39.42,37.81,0.0,1.61,27,18
