Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2013-01-01,1,2391.4,2619,80.36,79.34,0.0,1.02,100.44,98.56,0.0,1.88,34,22
2013-01-01,2,2293.2,2511,66.58,65.81,0.0,0.77,121.31,119.2,0.0,2.11,33,23
2013-01-01,3,2238.4,2421,69.13,68.47,0.0,0.66,36.0,35.41,0.0,0.59,34,23
2013-01-01,4,2200.0,2363,50.49,50.01,0.0,0.48,33.16,32.61,0.0,0.55,34,23
2013-01-01,5,2228.0,2357,51.96,51.47,0.0,0.49,35.76,35.14,0.0,0.62,34,23
2013-01-01,6,2338.0,2422,51.39,50.75,0.0,0.64,35.81,35.2,0.0,0.61,34,23
2013-01-01,7,2524.1,2531,77.56,76.47,0.0,1.09,34.98,34.41,0.0,0.57,35,24
2013-01-01,8,2638.2,2566,65.94,65.01,0.0,0.93,23.62,23.24,0.0,0.38,35,24
2013-01-01,9,2726.8,2645,76.01,75.1,0.0,0.91,42.57,41.83,0.0,0.74,35,24
2013-01-01,10,2809.8,2742,79.03,78.08,0.0,0.95,47.38,46.5,0.0,0.88,36,20
2013-01-01,11,2884.8,2828,94.68,93.56,0.0,1.12,55.55,54.49,0.0,1.06,36,17
2013-01-01,12,2911.5,2899,101.37,100.31,0.0,1.06,61.11,60.02,0.0,1.09,36,15
2013-01-01,13,2926.3,2923,101.43,100.37,0.0,1.06,74.38,73.04,0.0,1.34,35,16
2013-01-01,14,2907.2,2924,98.61,97.58,0.0,1.03,58.54,57.55,0.0,0.99,34,14
2013-01-01,15,2904.8,2961,94.1,93.09,0.0,1.01,41.22,40.57,0.0,0.65,33,13
2013-01-01,16,2956.1,3049,81.24,80.32,0.0,0.92,66.45,65.36,0.0,1.09,33,13
2013-01-01,17,3216.5,3300,118.85,117.22,0.0,1.63,131.94,129.51,0.0,2.43,31,13
2013-01-01,18,3398.7,3489,159.0,156.7,0.0,2.3,129.18,126.61,0.0,2.57,30,12
2013-01-01,19,3364.1,3470,149.23,148.11,-1.08,2.2,182.66,179.2,0.0,3.46,30,13
2013-01-01,20,3298.8,3409,135.61,133.79,0.0,1.82,139.59,137.12,0.0,2.47,29,12
2013-01-01,21,3195.0,3315,126.61,125.28,0.0,1.33,130.45,128.24,0.0,2.21,26,10
2013-01-01,22,3041.9,3153,110.72,109.69,0.0,1.03,97.83,96.25,0.0,1.58,24,8
2013-01-01,23,2829.4,2933,102.23,100.7,0.0,1.53,71.12,69.98,0.0,1.14,23,7
2013-01-01,24,2613.0,2721,84.99,83.83,0.0,1.16,63.36,62.22,0.0,1.14,21,5
2013-01-02,1,2527.5,2592,79.65,78.57,0.0,1.08,66.04,64.93,0.0,1.11,20,4
2013-01-02,2,2453.8,2522,58.99,58.22,0.0,0.77,49.47,48.7,0.0,0.77,19,3
2013-01-02,3,2397.1,2502,62.74,61.94,0.0,0.8,37.21,36.62,0.0,0.59,18,2
2013-01-02,4,2395.0,2518,62.09,61.29,0.0,0.8,35.86,35.33,0.0,0.53,18,2
2013-01-02,5,2459.8,2596,62.64,61.79,0.0,0.85,27.86,27.49,0.0,0.37,18,2
2013-01-02,6,2664.9,2817,81.7,80.35,0.0,1.35,60.72,60.08,0.0,0.64,18,3
2013-01-02,7,2918.0,3198,119.87,119.35,0.0,0.52,115.7,114.82,0.0,0.88,17,4
2013-01-02,8,3205.3,3442,124.09,124.01,0.0,0.08,117.63,116.85,0.0,0.78,18,5
2013-01-02,9,3267.6,3487,124.26,123.98,0.0,0.28,114.26,113.59,0.0,0.67,19,7
2013-01-02,10,3266.3,3516,122.92,122.68,0.0,0.24,112.61,111.85,0.0,0.76,21,7
2013-01-02,11,3269.6,3523,124.69,124.47,0.0,0.22,110.79,109.7,0.0,1.09,23,9
2013-01-02,12,3269.7,3499,118.39,118.12,0.0,0.27,110.9,109.67,0.0,1.23,26,11
2013-01-02,13,3258.5,3468,111.52,111.17,0.0,0.35,108.0,106.77,0.0,1.23,29,12
2013-01-02,14,3213.5,3460,106.5,105.91,0.0,0.59,104.52,103.29,0.0,1.23,29,12
2013-01-02,15,3194.0,3458,103.52,102.97,0.0,0.55,99.82,98.59,0.0,1.23,29,12
2013-01-02,16,3243.0,3501,103.81,103.28,0.0,0.53,98.17,96.95,0.0,1.22,28,12
2013-01-02,17,3448.2,3703,124.92,124.32,0.0,0.6,107.36,105.9,0.0,1.46,28,12
2013-01-02,18,3675.5,3894,130.91,129.76,0.0,1.15,112.59,111.04,0.0,1.55,26,12
2013-01-02,19,3624.6,3850,128.82,127.86,0.0,0.96,114.58,113.14,0.0,1.44,25,8
2013-01-02,20,3542.7,3774,126.47,125.58,0.0,0.89,118.65,117.45,0.0,1.2,23,6
2013-01-02,21,3434.5,3670,123.5,122.96,0.0,0.54,110.16,109.04,0.0,1.12,21,5
2013-01-02,22,3242.8,3478,112.86,112.61,0.0,0.25,106.32,105.3,0.0,1.02,20,4
2013-01-02,23,2955.3,3216,106.55,106.0,0.0,0.55,112.11,111.16,0.0,0.95,18,4
2013-01-02,24,2687.3,2965,71.56,70.9,0.0,0.66,119.53,118.01,0.0,1.52,14,1
2013-01-03,1,2530.1,2816,61.73,61.37,0.0,0.36,96.45,95.25,0.0,1.2,12,-2
2013-01-03,2,2453.7,2745,51.25,50.93,0.0,0.32,94.33,93.24,0.0,1.09,10,-7
2013-01-03,3,2422.4,2719,48.32,47.97,0.0,0.35,65.61,64.84,0.0,0.77,10,-7
2013-01-03,4,2422.6,2738,48.28,47.92,0.0,0.36,60.98,60.31,0.0,0.67,9,-4
2013-01-03,5,2484.3,2804,51.12,50.74,0.0,0.38,71.29,70.59,0.0,0.7,8,-6
2013-01-03,6,2689.0,3025,67.07,66.47,0.0,0.6,93.54,92.71,0.0,0.83,8,-6
2013-01-03,7,3018.6,3416,92.63,93.46,0.0,-0.83,199.77,197.76,0.0,2.01,7,-6
2013-01-03,8,3300.8,3632,101.92,102.77,0.0,-0.85,149.39,148.2,0.0,1.19,8,-6
2013-01-03,9,3319.9,3687,105.44,106.32,0.0,-0.88,105.96,105.36,0.0,0.6,8,-6
2013-01-03,10,3316.3,3689,94.01,94.68,0.0,-0.67,97.31,96.87,0.0,0.44,10,-5
2013-01-03,11,3326.3,3671,79.24,79.8,0.0,-0.56,78.57,78.5,0.0,0.07,13,-3
2013-01-03,12,3289.5,3631,77.15,77.71,0.0,-0.56,71.74,71.72,0.0,0.02,16,-2
2013-01-03,13,3275.9,3589,76.65,77.03,0.0,-0.38,56.89,56.83,0.0,0.06,19,-1
2013-01-03,14,3244.6,3549,77.13,77.4,0.0,-0.27,55.39,55.31,0.0,0.08,21,-2
2013-01-03,15,3227.2,3534,77.19,77.49,0.0,-0.3,42.38,42.24,0.0,0.14,23,0
2013-01-03,16,3282.9,3525,74.68,74.89,0.0,-0.21,53.33,53.31,0.0,0.02,25,-2
2013-01-03,17,3495.7,3768,81.42,81.62,0.0,-0.2,60.26,60.22,0.0,0.04,24,-4
2013-01-03,18,3712.5,3951,110.64,110.88,0.0,-0.24,67.47,67.21,0.0,0.26,23,-2
2013-01-03,19,3604.7,3909,105.23,105.6,0.0,-0.37,64.51,64.26,0.0,0.25,23,2
2013-01-03,20,3515.7,3824,105.81,106.35,0.0,-0.54,66.13,65.94,0.0,0.19,23,1
2013-01-03,21,3394.1,3678,92.52,93.06,0.0,-0.54,60.45,60.38,0.0,0.07,24,6
2013-01-03,22,3208.0,3473,77.19,77.31,0.0,-0.12,54.69,54.69,0.0,0.0,25,9
2013-01-03,23,2938.6,3180,78.98,78.94,0.0,0.04,47.37,47.34,0.0,0.03,22,9
2013-01-03,24,2665.7,2910,65.35,65.03,0.0,0.32,53.67,53.46,0.0,0.21,22,10
2013-01-04,1,2583.4,2736,57.27,57.0,0.0,0.27,114.61,113.84,0.0,0.77,23,10
2013-01-04,2,2489.0,2639,53.18,52.98,0.0,0.2,69.0,68.51,0.0,0.49,23,11
2013-01-04,3,2442.4,2602,51.66,51.5,0.0,0.16,54.12,53.73,0.0,0.39,23,12
2013-01-04,4,2439.6,2603,51.72,51.58,0.0,0.14,53.74,53.38,0.0,0.36,24,13
2013-01-04,5,2492.7,2661,50.82,50.62,0.0,0.2,64.56,64.16,0.0,0.4,25,14
2013-01-04,6,2676.9,2851,57.17,56.86,0.0,0.31,69.47,69.3,0.0,0.17,23,14
