Date;Year;Month;Day;Weekday;Holiday_name;Type;Details
2014-01-01;2014;1;1;Wednesday;New Year's Day;Federal Holiday; 
2014-01-06;2014;1;6;Monday;Epiphany;Christian; 
2014-01-07;2014;1;7;Tuesday;Orthodox Christmas Day;Orthodox; 
2014-01-13;2014;1;13;Monday;Stephen Foster Memorial Day;Observance; 
2014-01-14;2014;1;14;Tuesday;The Prophet's Birthday;Muslim; 
2014-01-14;2014;1;14;Tuesday;Orthodox New Year;Orthodox; 
2014-01-16;2014;1;16;Thursday;Tu Bishvat/Tu B'Shevat;Jewish holiday; 
2014-01-17;2014;1;17;Friday;Lee-Jackson Day;State holiday;Virginia
2014-01-19;2014;1;19;Sunday;Robert E. Lee's Birthday;State holiday;Florida
2014-01-19;2014;1;19;Sunday;Confederate Heroes' Day;State holiday;Texas
2014-01-20;2014;1;20;Monday;Martin Luther King Jr. Day;Federal Holiday; 
2014-01-20;2014;1;20;Monday;Robert E. Lee's Birthday;State holiday;Alabama
2014-01-20;2014;1;20;Monday;Robert E. Lee's Birthday;State holiday;Arkansas, Mississippi
2014-01-20;2014;1;20;Monday;Idaho Human Rights Day;State holiday;Idaho
2014-01-20;2014;1;20;Monday;Civil Rights Day;State holiday;Arizona, New Hampshire
2014-01-29;2014;1;29;Wednesday;Kansas Day;Observance; 
2014-01-31;2014;1;31;Friday;Chinese New Year;Observance; 
2014-02-01;2014;2;1;Saturday;National Freedom Day;Observance; 
2014-02-01;2014;2;1;Saturday;First Day of Black History Month;Annual monthly observance; 
2014-02-02;2014;2;2;Sunday;Groundhog Day;Observance; 
2014-02-02;2014;2;2;Sunday;Super Bowl;Sporting event; 
2014-02-04;2014;2;4;Tuesday;Rosa Parks Day;Local observance;California, Missouri
2014-02-07;2014;2;7;Friday;National Wear Red Day;Observance; 
2014-02-12;2014;2;12;Wednesday;Lincoln's Birthday;State holiday;CT, IL, MO, NY
2014-02-12;2014;2;12;Wednesday;Lincoln's Birthday;Local observance;Florida
2014-02-14;2014;2;14;Friday;Valentine's Day;Observance; 
2014-02-14;2014;2;14;Friday;Statehood Day;Local observance;Arizona
2014-02-15;2014;2;15;Saturday;Susan B. Anthony's Birthday;Local observance;CA, FL, NY, WI
2014-02-16;2014;2;16;Sunday;Elizabeth Peratrovich Day;Local observance;Alaska
2014-02-17;2014;2;17;Monday;Presidents' Day;Federal Holiday;All except DE, GA, IA, IN, KS, KY, LA, NC, NM, RI, WI
2014-02-17;2014;2;17;Monday;Daisy Gatson Bates Day;State holiday;Arkansas
2014-02-27;2014;2;27;Thursday;Maha Shivaratri;Hindu Holiday; 
2014-02-28;2014;2;28;Friday;Linus Pauling Day;Local observance;Oregon
2014-03-01;2014;3;1;Saturday;St. David's Day;Observance, Christian; 
2014-03-01;2014;3;1;Saturday;First Day of Women's History Month;Annual monthly observance; 
2014-03-02;2014;3;2;Sunday;Texas Independence Day;State holiday;Texas
2014-03-03;2014;3;3;Monday;Casimir Pulaski Day;Local observance;Illinois*
2014-03-03;2014;3;3;Monday;Read Across America Day;Observance; 
2014-03-04;2014;3;4;Tuesday;Shrove Tuesday/Mardi Gras;State holiday;AL**, FL*, LA, MS*
2014-03-04;2014;3;4;Tuesday;Shrove Tuesday/Mardi Gras;Observance, Christian; 
2014-03-04;2014;3;4;Tuesday;Town Meeting Day;State holiday;Vermont
