Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2014-01-01,1,667.1,692,142.28,143.83,0.0,-1.55,114.93,117.43,0.0,-2.5,13,6
2014-01-01,2,642.9,663,124.63,125.53,0.0,-0.9,145.6,148.38,0.0,-2.78,12,5
2014-01-01,3,626.0,642,113.18,114.41,0.0,-1.23,95.53,97.06,0.0,-1.53,12,5
2014-01-01,4,623.4,634,102.28,103.42,0.0,-1.14,38.01,38.54,0.0,-0.53,12,5
2014-01-01,5,630.2,633,114.49,116.1,0.0,-1.61,77.76,79.01,0.0,-1.25,11,5
2014-01-01,6,607.9,649,124.32,143.3,-16.97,-2.01,118.76,120.46,0.0,-1.7,11,4
2014-01-01,7,656.0,675,129.82,173.45,-41.45,-2.18,60.31,61.56,0.0,-1.25,15,1
2014-01-01,8,695.4,705,127.41,146.9,-17.93,-1.56,32.12,32.89,0.0,-0.77,13,1
2014-01-01,9,724.1,743,158.76,160.23,0.0,-1.47,49.48,50.72,0.0,-1.24,13,0
2014-01-01,10,748.1,773,179.74,181.03,0.0,-1.29,85.16,87.28,0.0,-2.12,13,0
2014-01-01,11,809.7,791,192.22,194.27,0.0,-2.05,125.17,128.58,0.0,-3.41,9,2
2014-01-01,12,819.2,799,192.75,194.8,0.0,-2.05,105.94,109.15,0.0,-3.21,12,2
2014-01-01,13,813.6,796,199.9,200.44,0.0,-0.54,114.45,117.01,0.0,-2.56,13,2
2014-01-01,14,759.3,787,189.93,190.79,0.0,-0.86,68.95,70.48,0.0,-1.53,13,0
2014-01-01,15,753.4,784,181.28,182.18,0.0,-0.9,46.82,47.83,0.0,-1.01,11,-1
2014-01-01,16,765.0,790,185.14,185.98,0.0,-0.84,47.71,48.61,0.0,-0.9,9,-2
2014-01-01,17,861.0,842,209.52,212.34,0.0,-2.82,107.66,110.56,0.0,-2.9,7,-4
2014-01-01,18,919.3,891,255.18,280.31,-21.55,-3.58,142.95,147.02,0.0,-4.07,6,-5
2014-01-01,19,856.5,883,252.51,257.34,0.0,-4.83,131.44,135.25,0.0,-3.81,4,-7
2014-01-01,20,838.0,861,200.39,203.32,0.0,-2.93,148.65,151.97,0.0,-3.32,2,-9
2014-01-01,21,812.6,855,196.2,197.32,0.0,-1.12,163.64,165.77,0.0,-2.13,-1,-12
2014-01-01,22,779.1,803,178.58,179.55,0.0,-0.97,133.8,135.84,0.0,-2.04,-2,-14
2014-01-01,23,710.1,742,156.44,157.81,0.0,-1.37,40.91,41.6,0.0,-0.69,-2,-16
2014-01-01,24,666.3,698,130.35,131.53,0.0,-1.18,52.6,53.47,0.0,-0.87,-3,-15
2014-01-02,1,682.8,672,97.78,138.06,-39.75,-0.53,84.26,85.66,0.0,-1.4,-3,-13
2014-01-02,2,628.8,660,97.53,136.61,-38.09,-0.99,45.06,45.69,0.0,-0.63,-4,-13
2014-01-02,3,601.9,653,99.07,136.38,-36.19,-1.12,53.03,53.63,0.0,-0.6,-5,-14
2014-01-02,4,584.1,655,99.05,136.72,-36.59,-1.08,48.18,48.59,0.0,-0.41,-6,-15
2014-01-02,5,607.4,670,105.02,137.07,-31.22,-0.83,93.85,94.78,0.0,-0.93,-7,-15
2014-01-02,6,672.4,724,119.05,142.45,-22.76,-0.64,82.75,83.69,0.0,-0.94,-8,-15
2014-01-02,7,744.2,808,162.4,163.44,0.0,-1.04,143.49,144.6,0.0,-1.11,-8,-16
2014-01-02,8,800.5,867,175.24,173.55,0.0,1.69,160.26,160.63,0.0,-0.37,-9,-16
