Date,Hr_End,DA_Demand,RT_Demand,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,Dry_Bulb,Dew_Point,System_Load,Reg_Service_Price,Reg_Capacity_Price,Min_5min_RSP,Max_5min_RSP,Min_5min_RCP,Max_5min_RCP
2017-01-01,1,11167.1,11801.35,35.12,34.86,0.0,0.26,36.81,36.53,0.0,0.28,37,32,12026,0.01,48.8,,,,
2017-01-01,2,10804.0,11267.906,33.97,33.72,0.0,0.25,37.28,37.02,0.0,0.26,37,32,11484,0.23,54.62,,,,
2017-01-01,3,10859.4,10861.76,32.63,32.4,0.0,0.23,36.05,35.79,0.0,0.26,36,32,11074,0.25,21.25,,,,
2017-01-01,4,10834.9,10647.576,26.07,25.88,0.0,0.19,34.3,34.04,0.0,0.26,36,32,10862,0.25,48.62,,,,
2017-01-01,5,10821.8,10626.826,29.86,29.65,0.0,0.21,35.63,35.36,0.0,0.27,36,32,10831,0.25,40.0,,,,
2017-01-01,6,11145.1,10799.279,32.78,32.54,0.0,0.24,34.57,34.31,0.0,0.26,36,32,11004,0.04,18.72,,,,
2017-01-01,7,11446.0,11175.825,32.66,32.45,0.0,0.21,34.73,34.44,0.0,0.29,35,31,11377,0.23,13.4,,,,
2017-01-01,8,11713.1,11529.827,34.12,33.91,0.0,0.21,33.34,33.07,0.0,0.27,34,29,11731,0.05,17.14,,,,
2017-01-01,9,12061.7,12013.354,38.56,38.37,0.0,0.19,24.35,24.16,0.0,0.19,35,29,12219,0.0,48.22,,,,
2017-01-01,10,12566.2,12405.651,40.93,40.75,0.0,0.18,26.2,26.01,0.0,0.19,37,29,12604,0.0,15.31,,,,
2017-01-01,11,12769.0,12645.008,33.69,33.53,0.0,0.16,17.13,17.01,0.0,0.12,39,27,12838,0.21,8.64,,,,
2017-01-01,12,12843.2,12725.16,33.59,33.41,0.0,0.18,24.52,24.36,0.0,0.16,40,24,12920,0.25,37.43,,,,
