Date,Hr_End,DA_Demand,RT_Demand,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,Dry_Bulb,Dew_Point
2017-01-01,1,1288.1,1367.863,35.05,34.86,0.0,0.19,36.69,36.53,0.0,0.16,42,32
2017-01-01,2,1224.7,1291.355,33.86,33.72,0.0,0.14,37.23,37.02,0.0,0.21,40,34
2017-01-01,3,1188.7,1239.783,32.51,32.4,0.0,0.11,35.97,35.79,0.0,0.18,39,34
2017-01-01,4,1173.1,1217.391,25.96,25.88,0.0,0.08,34.21,34.04,0.0,0.17,38,34
2017-01-01,5,1183.7,1214.498,29.74,29.65,0.0,0.09,35.53,35.36,0.0,0.17,37,34
2017-01-01,6,1220.9,1236.564,32.67,32.54,0.0,0.13,34.48,34.31,0.0,0.17,37,34
2017-01-01,7,1247.4,1283.612,32.5,32.45,0.0,0.05,34.64,34.44,0.0,0.2,36,32
2017-01-01,8,1301.6,1326.17,34.0,33.91,0.0,0.09,33.3,33.07,0.0,0.23,36,32
2017-01-01,9,1381.8,1375.693,38.48,38.37,0.0,0.11,24.35,24.16,0.0,0.19,34,31
2017-01-01,10,1466.6,1396.926,40.92,40.75,0.0,0.17,26.2,26.01,0.0,0.19,40,32
2017-01-01,11,1484.9,1424.91,33.71,33.53,0.0,0.18,17.11,17.01,0.0,0.1,43,31
2017-01-01,12,1496.3,1437.868,33.52,33.41,0.0,0.11,24.46,24.36,0.0,0.1,44,25
2017-01-01,13,1497.3,1458.447,33.53,33.42,0.0,0.11,28.27,28.13,0.0,0.14,45,24
2017-01-01,14,1497.6,1461.837,34.19,34.11,0.0,0.08,29.09,28.93,0.0,0.16,44,20
2017-01-01,15,1499.2,1492.991,33.52,33.41,0.0,0.11,21.45,21.3,0.0,0.15,46,21
2017-01-01,16,1549.8,1544.521,33.65,33.56,0.0,0.09,28.82,28.59,0.0,0.23,44,19
2017-01-01,17,1703.5,1719.874,39.45,39.47,0.0,-0.02,33.05,32.8,0.0,0.25,42,19
2017-01-01,18,1830.1,1866.035,63.27,63.38,0.0,-0.11,42.94,42.63,0.0,0.31,40,19
2017-01-01,19,1831.4,1864.526,52.81,52.93,0.0,-0.12,45.11,44.83,0.0,0.28,38,20
2017-01-01,20,1792.4,1821.066,49.74,49.88,0.0,-0.14,38.43,38.26,0.0,0.17,37,20
2017-01-01,21,1725.8,1772.278,46.5,46.66,0.0,-0.16,37.12,36.93,0.0,0.19,36,20
2017-01-01,22,1623.1,1681.624,45.77,45.87,0.0,-0.1,37.58,37.36,0.0,0.22,32,20
2017-01-01,23,1507.5,1562.606,36.15,36.03,0.0,0.12,31.76,31.5,0.0,0.26,30,21
2017-01-01,24,1376.2,1446.593,33.7,33.5,0.0,0.2,-70.14,-69.45,0.0,-0.69,27,20
2017-01-02,1,1329.6,1357.613,33.89,33.73,0.0,0.16,19.43,19.28,0.0,0.15,29,21
2017-01-02,2,1268.2,1307.233,33.81,33.71,0.0,0.1,34.22,34.02,0.0,0.2,27,21
2017-01-02,3,1238.7,1286.948,33.02,32.92,0.0,0.1,29.87,29.72,0.0,0.15,26,22
2017-01-02,4,1231.6,1290.224,32.84,32.76,0.0,0.08,28.19,28.04,0.0,0.15,27,22
2017-01-02,5,1252.8,1319.439,32.81,32.74,0.0,0.07,31.23,31.06,0.0,0.17,26,22
2017-01-02,6,1318.1,1381.58,33.73,33.61,0.0,0.12,34.77,34.57,0.0,0.2,24,20
2017-01-02,7,1391.8,1464.958,33.74,33.65,0.0,0.09,38.69,38.45,0.0,0.24,27,23
2017-01-02,8,1479.8,1525.639,34.9,34.9,0.0,0.0,36.98,36.8,0.0,0.18,24,20
2017-01-02,9,1567.2,1592.781,42.47,42.6,0.0,-0.13,39.78,39.75,0.0,0.03,28,22
2017-01-02,10,1608.1,1671.821,50.67,50.98,0.0,-0.31,52.89,53.05,0.0,-0.16,30,24
2017-01-02,11,1629.0,1740.406,43.36,43.61,0.0,-0.25,51.12,51.31,0.0,-0.19,33,24
2017-01-02,12,1625.6,1770.669,46.12,46.42,0.0,-0.3,46.33,46.5,0.0,-0.17,35,26
2017-01-02,13,1619.4,1785.661,43.3,43.54,0.0,-0.24,46.78,46.94,0.0,-0.16,37,24
2017-01-02,14,1618.3,1780.693,45.49,45.77,0.0,-0.28,50.88,51.08,0.0,-0.2,38,25
2017-01-02,15,1623.9,1780.724,43.22,43.49,0.0,-0.27,40.27,40.39,0.0,-0.12,39,26
2017-01-02,16,1666.1,1816.855,49.28,49.58,0.0,-0.3,43.84,43.98,0.0,-0.14,39,27
2017-01-02,17,1855.8,1960.746,57.24,57.62,0.0,-0.38,52.26,52.37,0.0,-0.11,39,28
2017-01-02,18,2035.3,2065.528,71.32,71.69,0.0,-0.37,74.47,74.55,0.0,-0.08,38,29
2017-01-02,19,1939.8,2026.299,65.62,65.95,0.0,-0.33,59.54,59.57,0.0,-0.03,38,30
2017-01-02,20,1897.5,1962.472,62.26,62.65,0.0,-0.39,58.56,58.68,0.0,-0.12,39,30
2017-01-02,21,1811.5,1868.076,51.57,51.85,0.0,-0.28,43.99,44.1,0.0,-0.11,39,31
2017-01-02,22,1693.6,1717.593,42.96,43.13,0.0,-0.17,38.43,38.46,0.0,-0.03,39,31
2017-01-02,23,1537.6,1541.499,41.32,41.44,0.0,-0.12,33.86,33.82,0.0,0.04,38,32
2017-01-02,24,1386.4,1386.059,33.87,33.71,0.0,0.16,29.63,29.51,0.0,0.12,39,33
2017-01-03,1,1304.9,1296.198,35.55,35.44,0.0,0.11,31.26,31.11,0.0,0.15,38,34
2017-01-03,2,1252.1,1257.003,33.81,33.72,0.0,0.09,15.93,15.87,0.0,0.06,38,35
2017-01-03,3,1225.7,1234.225,33.55,33.48,0.0,0.07,22.46,22.39,0.0,0.07,38,35
2017-01-03,4,1222.0,1226.14,33.52,33.45,0.0,0.07,33.25,32.91,0.24,0.1,38,35
2017-01-03,5,1258.9,1262.648,33.91,33.81,0.0,0.1,34.59,34.23,0.25,0.11,38,35
2017-01-03,6,1378.7,1391.068,36.63,36.52,0.0,0.11,30.35,30.04,0.23,0.08,39,36
2017-01-03,7,1607.3,1601.078,39.95,40.03,0.0,-0.08,38.07,38.01,0.07,-0.01,40,36
2017-01-03,8,1717.5,1731.764,44.42,44.78,0.0,-0.36,67.4,67.44,0.01,-0.05,40,36
2017-01-03,9,1728.8,1751.269,43.45,43.68,0.0,-0.23,44.36,44.11,0.12,0.13,40,37
2017-01-03,10,1758.8,1775.593,57.9,58.26,0.0,-0.36,43.48,43.13,0.16,0.19,40,38
2017-01-03,11,1783.1,1797.375,45.02,45.27,0.0,-0.25,41.96,41.78,0.02,0.16,41,39
2017-01-03,12,1769.8,1819.974,44.7,44.94,0.0,-0.24,43.8,43.65,0.0,0.15,41,39
2017-01-03,13,1751.2,1829.874,43.18,43.35,0.0,-0.17,42.83,42.72,0.0,0.11,42,40
2017-01-03,14,1726.0,1846.889,42.36,42.52,0.0,-0.16,42.37,42.28,0.0,0.09,42,40
2017-01-03,15,1725.3,1845.965,40.81,40.97,0.0,-0.16,42.13,42.19,0.0,-0.06,43,41
2017-01-03,16,1768.8,1875.023,42.29,42.47,0.0,-0.18,43.4,43.49,0.0,-0.09,43,41
2017-01-03,17,1899.7,1991.29,46.46,46.65,0.0,-0.19,53.09,53.15,0.0,-0.06,43,41
2017-01-03,18,2018.9,2070.754,73.16,73.38,0.0,-0.22,48.1,48.09,0.0,0.01,43,41
2017-01-03,19,1982.1,2058.177,49.53,49.68,0.0,-0.15,55.34,55.31,0.0,0.03,43,41
2017-01-03,20,1930.2,1994.959,43.23,43.39,0.0,-0.16,44.54,44.55,0.0,-0.01,43,42
2017-01-03,21,1844.6,1892.147,39.62,39.62,0.0,0.0,39.49,39.48,0.0,0.01,44,42
2017-01-03,22,1709.1,1733.194,34.99,34.86,0.0,0.13,36.86,36.73,0.0,0.13,44,42
2017-01-03,23,1541.5,1541.595,32.86,32.73,0.0,0.13,32.58,32.4,0.0,0.18,45,43
2017-01-03,24,1363.3,1399.675,31.9,31.85,0.0,0.05,32.35,32.26,0.0,0.09,45,43
2017-01-04,1,1197.4,1277.223,29.34,29.4,0.0,-0.06,28.6,28.59,0.0,0.01,45,43
2017-01-04,2,1159.9,1221.332,19.36,19.41,0.0,-0.05,32.12,32.2,0.0,-0.08,44,43
2017-01-04,3,1139.2,1188.376,14.03,14.07,0.0,-0.04,28.02,28.08,0.0,-0.06,44,42
2017-01-04,4,1133.8,1191.089,14.03,14.07,0.0,-0.04,29.09,29.13,0.0,-0.04,43,43
2017-01-04,5,1168.7,1234.682,29.37,29.44,0.0,-0.07,29.76,29.81,0.0,-0.05,43,40
2017-01-04,6,1339.9,1360.082,31.92,31.91,0.0,0.01,29.99,30.03,0.0,-0.04,43,39
2017-01-04,7,1560.8,1571.342,37.32,37.32,0.0,0.0,31.28,31.27,0.0,0.01,41,39
2017-01-04,8,1697.1,1691.141,41.34,41.46,0.0,-0.12,42.95,42.97,0.0,-0.02,41,39
2017-01-04,9,1699.2,1707.925,38.26,38.29,0.0,-0.03,42.26,42.22,0.0,0.04,41,38
2017-01-04,10,1674.2,1708.771,38.71,38.8,0.0,-0.09,39.07,39.0,0.0,0.07,41,38
2017-01-04,11,1663.6,1686.36,40.6,40.74,0.0,-0.14,39.34,39.29,0.0,0.05,42,39
2017-01-04,12,1624.1,1686.116,37.08,37.18,0.0,-0.1,37.4,37.43,0.0,-0.03,44,39
2017-01-04,13,1611.1,1695.418,34.01,34.1,0.0,-0.09,36.98,37.02,0.0,-0.04,44,39
2017-01-04,14,1604.4,1701.826,33.47,33.55,0.0,-0.08,36.49,36.47,0.0,0.02,46,40
2017-01-04,15,1631.1,1676.436,33.49,33.55,0.0,-0.06,35.71,35.66,0.0,0.05,48,39
2017-01-04,16,1678.5,1710.002,36.88,36.95,0.0,-0.07,34.99,34.94,0.0,0.05,46,39
2017-01-04,17,1836.6,1857.248,40.82,40.9,0.0,-0.08,39.27,39.19,0.0,0.08,47,39
2017-01-04,18,1979.1,1990.783,49.55,49.58,0.0,-0.03,61.21,61.01,0.0,0.2,45,39
2017-01-04,19,1986.2,1989.576,40.86,40.82,0.0,0.04,45.77,45.63,0.0,0.14,44,39
2017-01-04,20,1942.6,1943.31,41.34,41.33,0.0,0.01,45.5,45.43,0.0,0.07,46,32
2017-01-04,21,1856.9,1864.418,39.21,39.28,0.0,-0.07,38.71,38.57,0.07,0.07,44,26
2017-01-04,22,1729.9,1735.008,38.05,38.02,0.0,0.03,34.86,34.75,0.02,0.09,42,22
2017-01-04,23,1531.6,1566.131,36.78,36.75,0.0,0.03,35.14,35.03,0.0,0.11,40,17
2017-01-04,24,1365.3,1433.027,33.4,33.43,0.0,-0.03,38.96,38.94,0.0,0.02,36,24
2017-01-05,1,1338.1,1353.846,33.94,33.88,0.0,0.06,32.25,32.18,0.0,0.07,35,23
2017-01-05,2,1325.2,1308.313,33.69,33.61,0.0,0.08,16.33,16.29,0.0,0.04,34,18
2017-01-05,3,1299.7,1292.524,30.64,30.57,0.02,0.05,-15.01,-14.99,0.01,-0.03,33,10
2017-01-05,4,1307.3,1291.689,29.22,29.15,0.02,0.05,-11.18,-11.21,0.04,-0.01,32,10
2017-01-05,5,1338.1,1344.586,33.46,33.37,0.0,0.09,13.75,13.66,0.04,0.05,31,7
2017-01-05,6,1461.5,1481.002,36.76,36.66,0.0,0.1,16.53,16.44,0.02,0.07,30,7
2017-01-05,7,1671.0,1706.032,41.49,41.39,0.0,0.1,36.4,36.21,0.0,0.19,29,7
2017-01-05,8,1817.6,1819.356,46.12,45.93,0.01,0.18,47.45,47.14,0.0,0.31,28,9
2017-01-05,9,1814.0,1802.734,45.48,45.3,0.01,0.17,41.38,41.07,0.0,0.31,29,7
2017-01-05,10,1772.0,1763.762,43.19,43.04,0.01,0.14,39.21,38.96,0.0,0.25,30,7
2017-01-05,11,1737.2,1738.57,53.99,53.85,0.01,0.13,48.48,48.25,0.02,0.21,31,8
2017-01-05,12,1722.6,1706.738,52.29,52.16,0.01,0.12,47.89,47.63,0.05,0.21,32,8
2017-01-05,13,1692.1,1746.67,51.97,51.82,0.01,0.14,46.08,45.84,0.0,0.24,33,8
2017-01-05,14,1681.1,1766.345,51.71,51.56,0.01,0.14,44.54,44.24,0.0,0.3,32,8
2017-01-05,15,1694.6,1753.285,50.12,49.98,0.01,0.13,43.33,43.06,0.0,0.27,33,8
2017-01-05,16,1748.8,1817.371,52.15,51.97,0.01,0.17,45.85,45.52,0.0,0.33,34,9
2017-01-05,17,1917.1,1971.516,64.31,64.09,0.01,0.21,46.87,46.44,0.0,0.43,32,8
2017-01-05,18,2064.3,2119.755,77.6,77.27,0.0,0.33,54.57,54.02,0.0,0.55,31,9
2017-01-05,19,2080.2,2129.252,73.26,72.98,0.0,0.28,58.09,57.51,0.0,0.58,30,10
