Date,Hr_End,DA_Demand,RT_Demand,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,Dry_Bulb,Dew_Point
2017-01-01,1,491.0,590.72,34.39,34.86,-0.4,-0.07,36.01,36.53,0.0,-0.52,35,27
2017-01-01,2,466.7,558.44,33.01,33.72,-0.38,-0.33,36.61,37.02,0.0,-0.41,35,27
2017-01-01,3,453.7,534.706,31.71,32.4,-0.41,-0.28,35.46,35.79,0.0,-0.33,35,29
2017-01-01,4,449.5,524.392,25.28,25.88,-0.39,-0.21,33.73,34.04,0.0,-0.31,35,30
2017-01-01,5,450.3,524.287,28.88,29.65,-0.5,-0.27,35.05,35.36,0.0,-0.31,35,30
2017-01-01,6,458.4,537.528,31.6,32.54,-0.62,-0.32,33.94,34.31,0.0,-0.37,35,32
2017-01-01,7,454.2,561.625,31.69,32.45,-0.65,-0.11,33.95,34.44,0.0,-0.49,35,31
2017-01-01,8,489.1,598.289,33.19,33.91,-0.58,-0.14,32.57,33.07,0.0,-0.5,38,23
2017-01-01,9,512.6,632.668,37.62,38.37,-0.48,-0.27,23.78,24.16,0.0,-0.38,37,22
2017-01-01,10,524.1,649.722,39.55,40.75,-0.38,-0.82,25.57,26.01,0.0,-0.44,36,21
2017-01-01,11,527.2,633.816,32.7,33.53,-0.32,-0.51,16.65,17.01,0.0,-0.36,36,21
2017-01-01,12,505.9,613.758,32.2,33.41,-0.37,-0.84,23.85,24.36,0.0,-0.51,35,22
2017-01-01,13,500.5,592.188,32.63,33.42,-0.34,-0.45,27.54,28.13,0.0,-0.59,36,19
2017-01-01,14,516.5,602.601,32.97,34.11,-0.41,-0.73,28.39,28.93,0.0,-0.54,37,17
2017-01-01,15,524.8,635.112,32.51,33.41,-0.4,-0.5,20.85,21.3,0.0,-0.45,36,16
2017-01-01,16,548.8,667.72,32.4,33.56,-0.42,-0.74,28.0,28.59,0.0,-0.59,36,16
2017-01-01,17,652.8,725.081,38.92,39.47,-0.07,-0.48,32.09,32.8,0.0,-0.71,35,18
