Date,Hr_End,DA_Demand,RT_Demand,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,Dry_Bulb,Dew_Point
2018-01-01,1,2779.6,3189.528,125.4,124.97,0.0,0.43,145.55,144.52,0.24,0.79,4,-9
2018-01-01,2,2709.8,3122.6,124.02,123.7,0.0,0.32,133.38,132.67,0.1,0.61,2,-9
2018-01-01,3,2679.8,3073.815,123.88,123.58,0.0,0.3,132.74,132.06,0.0,0.68,1,-10
2018-01-01,4,2668.0,3047.427,124.05,123.77,0.0,0.28,140.74,140.24,0.0,0.5,1,-12
2018-01-01,5,2685.7,3062.721,124.34,124.1,0.0,0.24,135.88,135.42,0.0,0.46,1,-12
2018-01-01,6,2777.4,3117.519,124.24,123.78,0.0,0.46,134.41,133.97,0.0,0.44,0,-12
2018-01-01,7,2867.4,3218.122,130.42,129.89,0.0,0.53,130.58,130.19,0.0,0.39,0,-13
2018-01-01,8,2960.3,3285.057,135.64,135.11,0.0,0.53,127.06,126.57,0.0,0.49,0,-13
2018-01-01,9,3061.1,3358.832,145.92,145.24,0.0,0.68,133.49,132.82,0.0,0.67,0,-13
2018-01-01,10,3138.2,3427.78,177.22,176.4,0.0,0.82,194.21,193.48,0.0,0.73,1,-13
2018-01-01,11,3151.4,3489.311,165.42,164.88,0.0,0.54,185.16,184.77,0.0,0.39,4,-11
2018-01-01,12,3175.0,3518.166,171.71,171.06,0.0,0.65,159.15,158.82,0.0,0.33,7,-10
2018-01-01,13,3159.9,3526.593,162.84,162.16,0.0,0.68,147.43,146.93,0.0,0.5,9,-9
2018-01-01,14,3134.4,3513.096,158.11,157.48,0.0,0.63,138.07,137.56,0.0,0.51,12,-8
2018-01-01,15,3130.1,3524.163,149.17,148.53,0.0,0.64,130.2,129.76,0.0,0.44,13,-8
2018-01-01,16,3205.3,3583.134,154.93,154.08,0.0,0.85,138.52,137.99,0.0,0.53,13,-8
2018-01-01,17,3417.5,3792.65,191.6,190.38,0.0,1.22,154.31,153.51,0.0,0.8,12,-9
2018-01-01,18,3609.3,3981.955,219.91,218.24,0.0,1.67,172.0,171.09,0.0,0.91,11,-10
2018-01-01,19,3545.2,3955.69,211.51,210.24,0.0,1.27,171.18,170.2,0.0,0.98,9,-11
2018-01-01,20,3493.1,3888.897,197.51,196.21,0.0,1.3,160.17,159.26,0.0,0.91,8,-10
2018-01-01,21,3395.5,3783.402,166.22,165.24,0.0,0.98,163.95,163.34,0.0,0.61,8,-9
2018-01-01,22,3224.6,3628.991,166.78,165.06,0.0,1.72,157.87,157.18,0.0,0.69,7,-9
2018-01-01,23,3047.8,3399.447,159.75,158.15,0.0,1.6,140.95,140.22,0.0,0.73,7,-8
2018-01-01,24,2869.5,3198.709,158.36,156.84,0.0,1.52,72.53,72.05,0.0,0.48,7,-7
2018-01-02,1,2931.3,3077.235,146.05,144.81,0.0,1.24,131.3,130.53,0.0,0.77,8,-6
2018-01-02,2,2828.8,3014.428,134.74,133.91,0.0,0.83,124.15,123.45,0.0,0.7,8,-5
2018-01-02,3,2794.8,2995.728,131.54,130.79,0.0,0.75,111.56,110.85,0.0,0.71,8,-5
2018-01-02,4,2812.2,3006.949,130.88,130.16,0.0,0.72,123.75,122.81,0.0,0.94,7,-5
2018-01-02,5,2891.5,3073.292,136.86,136.13,0.0,0.73,129.2,128.27,0.0,0.93,6,-5
2018-01-02,6,3037.8,3245.687,158.5,157.63,0.0,0.87,153.19,152.45,0.0,0.74,5,-6
2018-01-02,7,3418.4,3564.565,183.46,182.65,0.0,0.81,228.79,228.21,0.0,0.58,5,-5
2018-01-02,8,3583.6,3789.066,205.18,204.14,0.0,1.04,187.21,187.16,0.0,0.05,5,-4
2018-01-02,9,3651.7,3834.85,201.14,200.11,0.0,1.03,165.34,165.15,0.0,0.19,6,-4
2018-01-02,10,3679.8,3837.818,201.37,199.99,0.0,1.38,153.41,153.13,0.0,0.28,7,-4
2018-01-02,11,3650.7,3816.902,199.91,198.86,0.0,1.05,158.16,157.96,0.0,0.2,9,-4
2018-01-02,12,3632.6,3789.031,194.57,193.57,0.0,1.0,148.67,148.3,0.0,0.37,11,-4
2018-01-02,13,3599.1,3759.498,168.15,167.11,0.0,1.04,149.32,148.97,0.0,0.35,13,-5
2018-01-02,14,3541.2,3736.681,158.27,157.45,0.0,0.82,151.37,151.04,0.0,0.33,14,-6
2018-01-02,15,3523.7,3758.802,152.53,151.56,0.0,0.97,151.25,150.97,0.0,0.28,17,-6
2018-01-02,16,3543.7,3775.757,153.63,152.57,0.0,1.06,148.39,148.06,0.0,0.33,18,-5
