DATE,HOUR,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DRYBULB,DEWPNT
2006-01-01 00:00:00,0,552.2,677.0,76.44,75.89,0.0,0.55,103.45,104.04,0.0,-0.59,21,16
2006-01-01 01:00:00,1,516.9,633.0,69.02,68.52,0.0,0.5,67.78,67.22,0.0,0.56,17,14
2006-01-01 02:00:00,2,516.4,612.0,69.02,68.51,0.0,0.51,77.97,76.98,0.0,0.99,18,15
2006-01-01 03:00:00,3,514.5,597.0,67.14,66.65,0.0,0.49,69.38,68.44,0.0,0.94,15,12
2006-01-01 04:00:00,4,521.1,595.0,65.03,64.55,0.0,0.48,68.64,67.81,0.0,0.83,16,12
2006-01-01 05:00:00,5,558.5,601.0,65.29,64.81,0.0,0.48,56.04,55.74,0.0,0.3,17,13
2006-01-01 06:00:00,6,570.8,623.0,64.4,63.92,0.0,0.48,46.53,46.09,0.0,0.44,17,14
2006-01-01 07:00:00,7,616.7,657.0,59.48,59.02,0.0,0.46,26.05,25.84,0.0,0.21,17,14
2006-01-01 08:00:00,8,680.6,708.0,72.49,71.92,0.0,0.57,28.98,28.73,0.0,0.25,18,15
2006-01-01 09:00:00,9,738.8,756.0,76.37,75.78,0.0,0.59,58.56,58.18,0.0,0.38,19,16
2006-01-01 10:00:00,10,742.4,782.0,77.11,76.52,0.0,0.59,73.03,72.62,0.0,0.41,18,14
2006-01-01 11:00:00,11,742.8,799.0,75.86,75.28,0.0,0.58,75.14,74.41,0.0,0.73,19,15
2006-01-01 12:00:00,12,700.9,794.0,75.48,74.9,0.0,0.58,75.89,75.2,0.0,0.69,19,16
2006-01-01 13:00:00,13,702.0,784.0,75.48,74.9,0.0,0.58,67.43,67.19,0.0,0.24,21,16
2006-01-01 14:00:00,14,695.0,770.0,70.41,69.87,0.0,0.54,66.67,66.42,0.0,0.25,21,18
2006-01-01 15:00:00,15,702.8,774.0,73.99,73.43,0.0,0.56,69.92,69.51,0.0,0.41,21,18
2006-01-01 16:00:00,16,771.9,829.0,94.78,94.04,0.0,0.74,107.6,107.18,0.0,0.42,21,18
2006-01-01 17:00:00,17,761.2,880.0,118.77,120.51,-2.68,0.94,163.86,163.98,0.0,-0.12,22,18
2006-01-01 18:00:00,18,760.8,870.0,107.88,111.9,-4.89,0.87,118.81,118.37,0.0,0.44,22,19
2006-01-01 19:00:00,19,764.9,844.0,95.99,96.77,-1.53,0.75,84.29,83.6,0.0,0.69,21,19
2006-01-01 20:00:00,20,751.2,820.0,84.73,84.08,0.0,0.65,76.43,75.86,0.0,0.57,21,19
2006-01-01 21:00:00,21,714.8,764.0,78.43,77.83,0.0,0.6,73.28,73.16,0.0,0.12,23,20
2006-01-01 22:00:00,22,609.7,696.0,75.16,74.59,0.0,0.57,40.66,40.91,0.0,-0.25,24,21
2006-01-01 23:00:00,23,552.5,644.0,75.86,75.32,0.0,0.54,46.25,46.66,0.0,-0.41,24,21
