DATE,HOUR,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DRYBULB,DEWPNT
2011-01-01 00:00:00,0,933.6,1044.0,37.99,38.37,0.0,-0.38,41.03,41.48,0.0,-0.45,28,26
2011-01-01 01:00:00,1,899.7,985.0,36.44,36.75,0.0,-0.31,34.46,34.82,0.0,-0.36,27,25
2011-01-01 02:00:00,2,883.1,937.0,35.66,35.91,0.0,-0.25,34.92,35.29,0.0,-0.37,28,26
2011-01-01 03:00:00,3,882.5,914.0,35.68,35.91,0.0,-0.23,33.57,33.97,0.0,-0.4,30,27
2011-01-01 04:00:00,4,908.6,911.0,35.82,36.04,0.0,-0.22,33.07,33.49,0.0,-0.42,32,28
2011-01-01 05:00:00,5,985.5,932.0,35.95,36.12,0.0,-0.17,33.75,34.11,0.0,-0.36,32,29
2011-01-01 06:00:00,6,1108.6,976.0,37.45,37.51,0.0,-0.06,33.53,33.9,0.0,-0.37,32,30
2011-01-01 07:00:00,7,1226.3,1023.0,38.78,38.68,0.0,0.1,29.76,30.02,0.0,-0.26,31,28
2011-01-01 08:00:00,8,1257.5,1107.0,40.22,44.27,-4.15,0.1,31.97,32.23,0.0,-0.26,30,28
2011-01-01 09:00:00,9,1280.8,1185.0,39.33,39.5,0.0,-0.17,32.38,32.71,0.0,-0.33,35,29
2011-01-01 10:00:00,10,1267.4,1237.0,39.96,40.22,0.0,-0.26,35.71,36.06,0.0,-0.35,40,32
2011-01-01 11:00:00,11,1242.6,1252.0,39.82,40.2,0.0,-0.38,35.16,35.46,0.0,-0.3,42,32
2011-01-01 12:00:00,12,1214.9,1241.0,39.8,40.15,0.0,-0.35,34.1,34.4,0.0,-0.3,47,38
2011-01-01 13:00:00,13,1193.5,1223.0,38.64,39.0,0.0,-0.36,26.66,26.9,0.0,-0.24,49,38
2011-01-01 14:00:00,14,1175.6,1208.0,37.93,38.28,0.0,-0.35,21.75,21.95,0.0,-0.2,51,38
2011-01-01 15:00:00,15,1194.1,1220.0,38.27,38.54,0.0,-0.27,24.79,25.01,0.0,-0.22,50,38
2011-01-01 16:00:00,16,1306.7,1355.0,40.53,42.83,-2.01,-0.29,36.16,36.57,0.0,-0.41,45,37
2011-01-01 17:00:00,17,1417.1,1459.0,54.46,54.96,0.0,-0.5,42.6,43.09,0.0,-0.49,41,36
2011-01-01 18:00:00,18,1433.8,1437.0,51.06,51.56,0.0,-0.5,38.61,39.06,0.0,-0.45,40,36
2011-01-01 19:00:00,19,1406.8,1386.0,44.39,45.05,-0.16,-0.5,37.33,37.84,0.0,-0.51,38,35
2011-01-01 20:00:00,20,1331.1,1324.0,39.83,40.29,0.0,-0.46,36.05,36.54,0.0,-0.49,38,35
2011-01-01 21:00:00,21,1216.4,1239.0,38.75,39.05,0.0,-0.3,35.99,36.45,0.0,-0.46,37,35
2011-01-01 22:00:00,22,1121.9,1135.0,39.1,39.47,0.0,-0.37,34.68,35.08,0.0,-0.4,36,34
2011-01-01 23:00:00,23,978.8,1027.0,37.22,37.38,0.0,-0.16,34.2,34.53,0.0,-0.33,37,35
2011-01-02 00:00:00,0,922.8,943.0,37.44,37.76,0.0,-0.32,29.66,29.98,0.0,-0.32,36,34
