DATE,HOUR,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DRYBULB,DEWPNT,SYSLoad,RegSP,RegCP,Min_5min_RSP,Max_5min_RSP,Min_5min_RCP,Max_5min_RCP
2019-01-01 00:00:00,0,10564.0,11376.123,25.63,25.57,0.02,0.04,35.65,35.42,0.04,0.19,37,36,11628,0.05,13.009166666666669,0.05,0.05,11.93,24.82
2019-01-01 01:00:00,1,10216.7,10852.128999999999,20.49,20.44,0.01,0.04,38.63,38.38,0.0,0.25,38,37,11103,1.6175,34.5625,0.05,1.76,11.93,36.62
2019-01-01 02:00:00,2,10216.7,10457.849,18.86,18.84,0.01,0.01,21.23,21.09,0.0,0.14,39,38,10705,0.3349999999999999,13.113333333333335,0.05,1.76,6.3100000000000005,57.64
2019-01-01 03:00:00,3,10366.8,10231.728000000001,19.12,19.09,0.01,0.02,18.45,18.29,0.03,0.13,40,39,10463,0.05,6.566666666666669,0.05,0.05,6.3100000000000005,6.59
2019-01-01 04:00:00,4,10416.1,10190.673,17.8,17.78,0.0,0.02,7.54,7.48,0.01,0.05,42,41,10413,0.05,14.546666666666667,0.05,0.05,6.59,15.27
2019-01-01 05:00:00,5,10614.5,10407.376,20.22,20.2,0.01,0.01,17.93,17.77,0.03,0.13,43,42,10636,0.05,9.073333333333336,0.05,0.05,8.51,15.27
2019-01-01 06:00:00,6,11005.6,10771.918,20.64,20.62,0.0,0.02,10.8,10.71,0.02,0.07,45,43,10991,0.05,33.06833333333334,0.05,0.05,8.51,37.98
2019-01-01 07:00:00,7,11347.9,11061.17,23.0,22.98,0.0,0.02,-44.52,-44.3,0.0,-0.22,47,45,11257,0.05,54.45500000000001,0.05,0.05,37.98,57.75
2019-01-01 08:00:00,8,11902.9,11493.486,23.76,23.74,0.01,0.01,-19.78,-19.7,0.0,-0.08,47,45,11687,0.05,51.94083333333334,0.05,0.05,51.41,57.75
2019-01-01 09:00:00,9,12230.1,12030.231000000002,22.37,22.39,0.0,-0.02,19.41,19.28,0.04,0.09,49,45,12224,0.05,12.259166666666665,0.05,0.05,8.700000000000001,51.41
2019-01-01 10:00:00,10,12369.7,12332.313999999998,25.27,25.28,0.0,-0.01,12.21,12.16,0.0,0.05,51,45,12522,0.05,7.69,0.05,0.05,7.36,8.700000000000001
2019-01-01 11:00:00,11,12355.6,12339.458,25.61,25.63,0.0,-0.02,2.57,2.56,0.0,0.01,53,41,12523,0.05,26.394166666666674,0.05,0.05,7.52,28.11
2019-01-01 12:00:00,12,12363.7,12314.865,25.61,25.62,0.0,-0.01,11.34,11.31,0.0,0.03,51,36,12502,0.05,21.307499999999994,0.05,0.05,19.04,28.11
2019-01-01 13:00:00,13,12265.1,12387.26,25.36,25.38,0.01,-0.03,11.27,11.22,0.02,0.03,49,33,12577,0.05,19.498333333333328,0.05,0.05,19.04,19.54
2019-01-01 14:00:00,14,12424.9,12599.706,25.32,25.33,0.01,-0.02,18.09,17.990000000000006,0.04,0.06,47,31,12785,0.05,15.495000000000005,0.05,0.05,9.67,19.54
2019-01-01 15:00:00,15,12855.8,13105.805,24.37,24.38,0.02,-0.03,16.32,16.22,0.03,0.07,45,30,13301,0.2583333333333333,11.281666666666665,0.05,0.3,10.27,16.34
2019-01-01 16:00:00,16,14170.6,14291.419,26.13,26.09,0.02,0.02,18.34,18.21,0.04,0.09,42,29,14520,1.895,5.530833333333334,0.3,2.04,5.1000000000000005,10.27
2019-01-01 17:00:00,17,15102.8,15311.063999999998,37.37,37.32,0.04,0.01,25.19,24.99,0.06,0.14,40,28,15561,0.5899999999999999,14.447500000000005,0.3,2.04,5.1000000000000005,33.67
2019-01-01 18:00:00,18,14939.4,15167.846000000001,33.5,33.46,0.03,0.01,22.87,22.71,0.05,0.11,39,27,15417,0.058333333333333334,9.885000000000002,0.01,0.3,9.17,13.46
2019-01-01 19:00:00,19,14493.2,14763.303999999998,28.95,28.91,0.02,0.02,22.2,22.06,0.05,0.09,38,26,15004,0.009999999999999998,9.316666666666665,0.01,0.01,9.17,9.33
2019-01-01 20:00:00,20,13827.1,14199.123,25.84,25.79,0.02,0.03,23.47,23.31,0.05,0.11,37,25,14425,0.009999999999999998,9.775,0.01,0.01,9.25,9.88
2019-01-01 21:00:00,21,12986.4,13380.73,24.97,24.9,0.02,0.05,20.3,20.16,0.04,0.1,35,23,13616,0.2758333333333333,11.64,0.01,0.3,8.8,15.38
2019-01-01 22:00:00,22,12013.3,12384.992,24.5,24.43,0.02,0.05,19.22,19.08,0.03,0.11,34,22,12600,0.4666666666666666,18.684166666666666,0.3,0.5,8.56,20.41
2019-01-01 23:00:00,23,11410.3,11558.067,23.73,23.66,0.02,0.05,17.89,17.76,0.03,0.1,32,20,11744,0.5,20.355,0.5,0.5,20.35,20.41
2019-01-02 00:00:00,0,11457.1,11023.505,24.65,24.51,0.03,0.11,3.66,3.64,0.0,0.02,31,19,11210,0.05,34.80083333333334,0.05,0.05,25.07,47.54
2019-01-02 01:00:00,1,11103.4,10793.157,23.47,23.36,0.03,0.08,0.58,0.56,0.01,0.01,30,18,10967,0.05,11.175000000000002,0.05,0.05,10.51,14.5
2019-01-02 02:00:00,2,10920.1,10758.36,20.06,19.98,0.02,0.06,18.85,18.76,0.02,0.07,29,16,10923,0.05,7.463333333333331,0.05,0.05,7.05,12.01
2019-01-02 03:00:00,3,11121.3,10879.66,22.0,21.91,0.02,0.07,22.53,22.45,0.0,0.08,27,15,11042,0.05,10.90916666666667,0.05,0.05,7.05,11.26
2019-01-02 04:00:00,4,11628.8,11325.741000000002,24.85,24.76,0.02,0.07,18.81,18.75,0.0,0.06,26,15,11487,0.05,34.17666666666667,0.05,0.05,29.76,35.06
2019-01-02 05:00:00,5,12710.2,12470.02,29.31,29.18,0.03,0.1,16.63,16.59,0.0,0.04,26,14,12639,0.05,55.94333333333334,0.05,0.05,35.06,60.12000000000001
2019-01-02 06:00:00,6,14687.7,14283.593,32.36,32.28,0.01,0.07,29.75,29.7,0.0,0.05,25,13,14476,0.425,50.06166666666667,0.05,0.5,48.05,60.12000000000001
2019-01-02 07:00:00,7,15683.9,15332.303999999998,29.17,29.09,0.0,0.08,30.55,30.49,0.0,0.06,25,13,15537,0.3166666666666666,21.611666666666668,0.3,0.5,16.18,69.05
2019-01-02 08:00:00,8,15901.9,15334.323,28.39,28.32,0.0,0.07,25.67,25.62,0.0,0.05,25,12,15539,0.07083333333333335,20.289166666666667,0.05,0.3,18.98,30.69
2019-01-02 09:00:00,9,15466.9,15001.715,25.67,25.64,0.0,0.03,22.01,22.02,0.0,-0.01,27,11,15197,0.05,9.155833333333334,0.05,0.05,8.0,18.98
