DATE,HOUR,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DRYBULB,DEWPNT
2019-01-01 00:00:00,0,802.1,1123.759,24.72,25.57,-0.11,-0.74,34.32,35.42,-0.36,-0.74,33,33
2019-01-01 01:00:00,1,769.5,1079.799,19.74,20.44,-0.05,-0.65,37.14,38.38,0.0,-1.24,33,33
2019-01-01 02:00:00,2,729.8,1063.54,18.33,18.84,-0.04,-0.47,20.3,21.09,0.0,-0.79,36,34
2019-01-01 03:00:00,3,716.9,1058.92,18.5,19.09,-0.05,-0.54,17.35,18.29,-0.26,-0.68,39,37
2019-01-01 04:00:00,4,723.3,1058.2,17.29,17.78,-0.04,-0.45,7.13,7.48,-0.11,-0.24,41,40
2019-01-01 05:00:00,5,784.5,1084.771,19.66,20.2,-0.07,-0.47,16.87,17.77,-0.28,-0.62,42,41
2019-01-01 06:00:00,6,903.8,1125.583,20.14,20.62,-0.02,-0.46,10.2,10.71,-0.17,-0.34,43,43
2019-01-01 07:00:00,7,1014.9,1183.848,22.41,22.98,-0.03,-0.54,-43.37,-44.3,-0.01,0.94,42,42
2019-01-01 08:00:00,8,1091.3,1253.91,23.12,23.74,-0.04,-0.58,-19.37,-19.7,-0.02,0.35000000000000003,36,36
2019-01-01 09:00:00,9,1168.4,1311.66,22.05,22.39,0.0,-0.34,18.63,19.28,-0.3,-0.35000000000000003,36,36
2019-01-01 10:00:00,10,1088.3,1348.6889999999999,24.81,25.28,0.0,-0.47,11.96,12.16,0.0,-0.2,42,39
2019-01-01 11:00:00,11,1036.6,1341.9720000000002,25.17,25.63,0.0,-0.46,2.51,2.56,0.0,-0.05,47,41
2019-01-01 12:00:00,12,1022.2,1349.805,25.11,25.62,0.0,-0.51,11.06,11.31,0.0,-0.25,49,40
2019-01-01 13:00:00,13,984.2,1338.9089999999999,24.8,25.38,-0.06,-0.52,10.76,11.22,-0.17,-0.29,48,33
2019-01-01 14:00:00,14,990.0,1345.529,24.79,25.33,-0.09,-0.45,17.26,17.990000000000006,-0.26,-0.47,46,31
2019-01-01 15:00:00,15,1079.0,1384.849,23.88,24.38,-0.11,-0.39,15.63,16.22,-0.21,-0.38,45,30
2019-01-01 16:00:00,16,1174.8,1498.703,25.52,26.09,-0.13,-0.44,17.54,18.21,-0.26,-0.41,41,25
2019-01-01 17:00:00,17,1204.4,1576.6689999999999,36.51,37.32,-0.28,-0.53,24.14,24.99,-0.36,-0.49,39,25
2019-01-01 18:00:00,18,1213.3,1545.213,32.8,33.46,-0.23,-0.43,21.83,22.71,-0.33,-0.55,37,24
2019-01-01 19:00:00,19,1200.8,1493.4160000000002,28.32,28.91,-0.17,-0.42,21.16,22.06,-0.32,-0.58,36,23
2019-01-01 20:00:00,20,1080.8,1423.3220000000001,25.09,25.79,-0.19,-0.51,22.33,23.31,-0.34,-0.64,33,21
2019-01-01 21:00:00,21,975.9,1325.37,24.03,24.9,-0.17,-0.7000000000000001,19.19,20.16,-0.3,-0.67,32,16
2019-01-01 22:00:00,22,873.3,1246.407,23.47,24.43,-0.12,-0.84,18.06,19.08,-0.29,-0.73,30,14
2019-01-01 23:00:00,23,794.1,1178.143,22.71,23.66,-0.16,-0.79,16.91,17.76,-0.27,-0.58,29,9
2019-01-02 00:00:00,0,852.3,1138.823,23.61,24.51,-0.26,-0.64,3.52,3.64,0.0,-0.12,27,6
2019-01-02 01:00:00,1,828.6,1118.88,22.7,23.36,-0.2,-0.46,0.46,0.56,-0.07,-0.03,26,5
2019-01-02 02:00:00,2,831.8,1125.121,19.46,19.98,-0.16,-0.36,18.26,18.76,-0.2,-0.3,24,7
2019-01-02 03:00:00,3,854.9,1143.281,21.35,21.91,-0.17,-0.39,22.12,22.45,0.0,-0.33,23,7
2019-01-02 04:00:00,4,929.3,1189.282,24.24,24.76,-0.18,-0.34,18.54,18.75,0.0,-0.21,22,7
2019-01-02 05:00:00,5,1029.5,1316.119,28.62,29.18,-0.24,-0.32,16.48,16.59,0.0,-0.11,22,4
2019-01-02 06:00:00,6,1280.0,1484.625,32.34,32.28,-0.09,0.15,29.79,29.7,0.0,0.09,22,4
2019-01-02 07:00:00,7,1413.4,1584.8010000000002,29.51,29.09,0.0,0.42,30.73,30.49,0.0,0.24,22,6
2019-01-02 08:00:00,8,1454.8,1589.7020000000002,28.83,28.32,0.0,0.51,25.81,25.62,0.0,0.19,22,5
2019-01-02 09:00:00,9,1419.3,1560.033,26.22,25.64,0.0,0.58,22.33,22.02,0.0,0.31,22,5
2019-01-02 10:00:00,10,1356.4,1552.154,30.79,30.18,0.0,0.61,24.98,24.47,0.0,0.51,25,5
2019-01-02 11:00:00,11,1287.4,1523.445,27.33,26.88,0.0,0.45,25.85,25.36,0.0,0.49,27,2
