Date;Year;Month;Day;Weekday;Holiday_name;Type;Details
2006-01-01;2006;1;1;Sunday;New Year's Day;Federal Holiday; 
2006-01-02;2006;1;2;Monday;Last Day of Chanukah;Jewish holiday; 
2006-01-02;2006;1;2;Monday;New Year's Day observed;Federal Holiday; 
2006-01-06;2006;1;6;Friday;Epiphany;Christian; 
2006-01-07;2006;1;7;Saturday;Orthodox Christmas Day;Orthodox; 
2006-01-10;2006;1;10;Tuesday;Eid al-Adha;Muslim; 
2006-01-13;2006;1;13;Friday;Lee-Jackson Day;State holiday;Virginia
2006-01-13;2006;1;13;Friday;Stephen Foster Memorial Day;Observance; 
2006-01-14;2006;1;14;Saturday;Orthodox New Year;Orthodox; 
2006-01-16;2006;1;16;Monday;Martin Luther King Jr. Day;Federal Holiday; 
2006-01-16;2006;1;16;Monday;Robert E. Lee's Birthday;State holiday;AL, AR, GA, MS
2006-01-16;2006;1;16;Monday;Idaho Human Rights Day;State holiday;Idaho
2006-01-16;2006;1;16;Monday;Civil Rights Day;State holiday;Arizona, New Hampshire
2006-01-19;2006;1;19;Thursday;Robert E. Lee's Birthday;State holiday;Florida
2006-01-19;2006;1;19;Thursday;Confederate Heroes' Day;State holiday;Texas
2006-01-29;2006;1;29;Sunday;Kansas Day;Observance; 
2006-01-29;2006;1;29;Sunday;Chinese New Year;Observance; 
2006-01-31;2006;1;31;Tuesday;Muharram;Muslim; 
2006-02-01;2006;2;1;Wednesday;National Freedom Day;Observance; 
2006-02-01;2006;2;1;Wednesday;First Day of Black History Month;Annual monthly observance; 
2006-02-02;2006;2;2;Thursday;Groundhog Day;Observance; 
2006-02-03;2006;2;3;Friday;National Wear Red Day;Observance; 
2006-02-04;2006;2;4;Saturday;Rosa Parks Day;Local observance;California
2006-02-05;2006;2;5;Sunday;Super Bowl;Sporting event; 
2006-02-12;2006;2;12;Sunday;Lincoln's Birthday;State holiday;CA, CT, IL, MO, NJ, NY
2006-02-13;2006;2;13;Monday;Tu Bishvat/Tu B'Shevat;Jewish holiday; 
2006-02-13;2006;2;13;Monday;Lincoln's Birthday observed;State holiday;CA, CT, IL, MO, NJ, NY
2006-02-14;2006;2;14;Tuesday;Valentine's Day;Observance; 
2006-02-14;2006;2;14;Tuesday;Statehood Day;Local observance;Arizona
2006-02-15;2006;2;15;Wednesday;Susan B. Anthony's Birthday;Local observance;New York, Wisconsin
2006-02-16;2006;2;16;Thursday;Elizabeth Peratrovich Day;Local observance;Alaska
2006-02-20;2006;2;20;Monday;Presidents' Day;Federal Holiday;All except DE, GA, IA, IN, KS, KY, LA, NC, NM, RI, WI
2006-02-20;2006;2;20;Monday;Daisy Gatson Bates Day;State holiday;Arkansas
2006-02-28;2006;2;28;Tuesday;Shrove Tuesday/Mardi Gras;Observance, Christian; 
2006-02-28;2006;2;28;Tuesday;Shrove Tuesday/Mardi Gras;State holiday;Alabama*, Louisiana
2006-02-28;2006;2;28;Tuesday;Linus Pauling Day;Local observance;Oregon
2006-03-01;2006;3;1;Wednesday;Ash Wednesday;Christian; 
2006-03-01;2006;3;1;Wednesday;St. David's Day;Observance, Christian; 
2006-03-01;2006;3;1;Wednesday;First Day of Women's History Month;Annual monthly observance; 
2006-03-02;2006;3;2;Thursday;Texas Independence Day;State holiday;Texas
2006-03-02;2006;3;2;Thursday;Read Across America Day;Observance; 
2006-03-03;2006;3;3;Friday;Employee Appreciation Day;Observance; 
2006-03-06;2006;3;6;Monday;Casimir Pulaski Day;Local observance;Illinois**
2006-03-07;2006;3;7;Tuesday;Town Meeting Day;State holiday;Vermont
2006-03-14;2006;3;14;Tuesday;Purim;Jewish holiday; 
2006-03-17;2006;3;17;Friday;St. Patrick's Day;Observance, Christian; 
2006-03-17;2006;3;17;Friday;Evacuation Day;State holiday;Massachusetts*
2006-03-20;2006;3;20;Monday;March Equinox;Season; 
2006-03-25;2006;3;25;Saturday;Maryland Day;Local observance;Maryland
2006-03-26;2006;3;26;Sunday;Prince Jonah Kuhio Kalanianaole Day;State holiday;Hawaii
2006-03-27;2006;3;27;Monday;Prince Jonah Kuhio Kalanianaole Day observed;State holiday;Hawaii
2006-03-27;2006;3;27;Monday;Seward's Day;State holiday;Alaska
2006-03-31;2006;3;31;Friday;César Chávez Day;State holiday;CA*, CO***, TX***
2006-04-02;2006;4;2;Sunday;Daylight Saving Time starts;Clock change/Daylight Saving Time; 
2006-04-02;2006;4;2;Sunday;Pascua Florida Day;Local observance;Florida
2006-04-03;2006;4;3;Monday;Pascua Florida Day observed;Local observance;Florida
2006-04-06;2006;4;6;Thursday;National Tartan Day;Observance; 
2006-04-09;2006;4;9;Sunday;Palm Sunday;Christian; 
2006-04-11;2006;4;11;Tuesday;The Prophet's Birthday;Muslim; 
2006-04-11;2006;4;11;Tuesday;National Library Workers' Day;Observance; 
2006-04-13;2006;4;13;Thursday;Maundy Thursday;Christian; 
2006-04-13;2006;4;13;Thursday;Passover (first day);Jewish holiday; 
2006-04-14;2006;4;14;Friday;Good Friday;State holiday;CT, DE, HI, IN, KY, LA, NC, ND, NJ, TN, TX***
2006-04-15;2006;4;15;Saturday;Holy Saturday;Christian; 
2006-04-15;2006;4;15;Saturday;Father Damien Day;Local observance;Hawaii
2006-04-16;2006;4;16;Sunday;Easter Sunday;Observance, Christian; 
2006-04-16;2006;4;16;Sunday;Emancipation Day;State holiday;DC
2006-04-17;2006;4;17;Monday;Easter Monday;Observance, Christian; 
2006-04-17;2006;4;17;Monday;Tax Day;Observance; 
2006-04-17;2006;4;17;Monday;Emancipation Day observed;State holiday;DC
2006-04-17;2006;4;17;Monday;Patriot's Day;State holiday;Maine, Massachusetts
2006-04-17;2006;4;17;Monday;Boston Marathon;Sporting event; 
2006-04-20;2006;4;20;Thursday;Last Day of Passover;Jewish holiday; 
2006-04-21;2006;4;21;Friday;Orthodox Good Friday;Orthodox; 
2006-04-21;2006;4;21;Friday;San Jacinto Day;State holiday;Texas
2006-04-22;2006;4;22;Saturday;Orthodox Holy Saturday;Orthodox; 
2006-04-22;2006;4;22;Saturday;Oklahoma Day;Local observance;Oklahoma
2006-04-23;2006;4;23;Sunday;Orthodox Easter;Orthodox; 
2006-04-24;2006;4;24;Monday;Orthodox Easter Monday;Orthodox; 
2006-04-24;2006;4;24;Monday;Confederate Memorial Day;State holiday;Alabama
2006-04-24;2006;4;24;Monday;Confederate Memorial Day;State holiday;Mississippi
2006-04-24;2006;4;24;Monday;Confederate Heroes' Day;State holiday;Georgia
2006-04-25;2006;4;25;Tuesday;Yom HaShoah;Jewish commemoration; 
2006-04-26;2006;4;26;Wednesday;Confederate Heroes' Day;Local observance;Florida
2006-04-26;2006;4;26;Wednesday;Administrative Professionals Day;Observance; 
2006-04-27;2006;4;27;Thursday;Take our Daughters and Sons to Work Day;Observance; 
2006-04-28;2006;4;28;Friday;Arbor Day;State holiday;Nebraska
2006-05-01;2006;5;1;Monday;Law Day;Observance; 
2006-05-01;2006;5;1;Monday;Loyalty Day;Observance; 
2006-05-01;2006;5;1;Monday;Lei Day;Local observance;Hawaii
2006-05-02;2006;5;2;Tuesday;Primary Election Day;State holiday;Indiana
2006-05-03;2006;5;3;Wednesday;Yom Ha'atzmaut;Jewish holiday; 
2006-05-04;2006;5;4;Thursday;Kent State Shootings Remembrance;Local observance;Ohio
2006-05-04;2006;5;4;Thursday;National Day of Prayer;Observance; 
