Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2008-01-01,1,1600.2,1763,59.71,59.68,-0.48,0.51,118.68,118.3,0.0,0.38,26,19
2008-01-01,2,1583.5,1680,49.76,49.37,-0.03,0.42,121.06,120.26,0.0,0.8,26,19
2008-01-01,3,1541.0,1634,44.29,43.91,0.0,0.38,88.1,87.69,0.0,0.41,26,19
2008-01-01,4,1532.5,1602,43.18,42.81,0.0,0.37,58.08,57.73,0.0,0.35,25,19
2008-01-01,5,1602.8,1605,44.29,43.91,0.0,0.38,66.18,65.78,0.0,0.4,25,19
2008-01-01,6,1650.2,1649,44.14,43.77,0.0,0.37,110.21,109.49,0.0,0.72,27,19
2008-01-01,7,1671.0,1703,53.37,52.91,0.0,0.46,64.9,64.49,0.0,0.41,27,19
2008-01-01,8,1738.5,1748,45.73,45.32,0.0,0.41,11.78,11.72,0.0,0.06,26,20
2008-01-01,9,1791.0,1842,52.76,52.29,0.0,0.47,49.47,49.2,0.0,0.27,25,20
2008-01-01,10,1870.7,1967,56.53,56.03,0.0,0.5,56.19,55.87,0.0,0.32,26,20
2008-01-01,11,1953.7,2076,61.77,61.75,-0.52,0.54,85.04,84.58,0.0,0.46,27,21
2008-01-01,12,1994.9,2169,59.94,59.95,-0.54,0.53,96.13,95.69,0.0,0.44,28,21
2008-01-01,13,1950.0,2212,62.58,62.47,-0.44,0.55,109.35,108.63,0.0,0.72,27,24
2008-01-01,14,1916.1,2200,58.7,58.55,-0.36,0.51,128.07,127.13,0.0,0.94,29,27
2008-01-01,15,1936.8,2184,55.89,55.72,-0.32,0.49,100.44,99.86,0.0,0.58,30,28
2008-01-01,16,1950.4,2180,58.12,57.97,-0.36,0.51,82.18,81.65,0.0,0.53,31,29
2008-01-01,17,2161.7,2310,73.48,72.91,-0.08,0.65,93.25,92.99,0.0,0.26,30,28
2008-01-01,18,2208.6,2496,94.84,94.0,0.0,0.84,135.78,135.51,0.0,0.27,30,27
2008-01-01,19,2264.2,2465,76.98,76.87,-0.56,0.67,100.93,100.75,0.0,0.18,29,27
2008-01-01,20,2211.6,2401,73.49,73.25,-0.39,0.63,132.01,131.69,0.0,0.32,29,27
2008-01-01,21,2202.9,2297,71.52,71.07,-0.16,0.61,120.08,119.48,0.0,0.6,28,26
2008-01-01,22,2055.1,2146,62.8,62.92,-0.66,0.54,79.56,79.15,0.0,0.41,28,26
2008-01-01,23,1884.0,1957,54.78,54.72,-0.41,0.47,52.4,52.15,0.0,0.25,28,25
2008-01-01,24,1685.9,1795,55.82,55.35,0.0,0.47,60.37,60.02,0.0,0.35,27,25
2008-01-02,1,1694.0,1694,82.67,82.16,-0.11,0.62,39.11,38.72,0.0,0.39,27,25
2008-01-02,2,1657.3,1627,75.49,75.19,-0.27,0.57,7.63,7.55,0.0,0.08,26,24
