Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2010-01-01,1,754.4,826,63.87,64.18,0.0,-0.31,65.45,65.01,0.0,0.44,30,28
2010-01-01,2,707.6,783,58.37,58.65,0.0,-0.28,71.66,71.37,0.0,0.29,30,28
2010-01-01,3,693.2,750,54.45,54.71,0.0,-0.26,56.74,56.44,0.0,0.3,30,27
2010-01-01,4,688.0,730,44.7,44.82,0.09,-0.21,62.04,61.85,0.0,0.19,29,27
2010-01-01,5,693.5,731,50.47,50.62,0.09,-0.24,54.81,54.65,0.0,0.16,29,26
2010-01-01,6,727.8,746,42.98,43.18,0.0,-0.2,42.96,42.59,0.0,0.37,28,26
2010-01-01,7,776.3,775,45.84,46.06,0.0,-0.22,41.06,40.64,0.0,0.42,28,25
2010-01-01,8,801.5,782,45.23,45.42,0.0,-0.19,32.76,32.54,0.0,0.22,28,25
2010-01-01,9,840.7,813,56.0,56.23,0.0,-0.23,42.46,42.44,0.0,0.02,28,25
2010-01-01,10,877.3,865,58.16,58.4,0.0,-0.24,48.86,48.71,0.0,0.15,29,25
2010-01-01,11,900.0,897,61.06,61.31,0.0,-0.25,56.2,55.94,0.0,0.26,30,26
2010-01-01,12,911.2,918,61.69,61.94,0.0,-0.25,59.44,59.2,0.0,0.24,33,28
2010-01-01,13,913.8,935,58.89,59.13,0.0,-0.24,58.07,57.77,0.0,0.3,34,29
2010-01-01,14,934.0,930,58.06,58.3,0.0,-0.24,59.31,58.95,0.0,0.36,36,30
2010-01-01,15,909.2,915,57.64,57.88,0.0,-0.24,59.45,59.22,0.0,0.23,35,30
2010-01-01,16,900.2,921,52.93,53.14,0.0,-0.21,56.05,56.18,0.0,-0.13,35,31
2010-01-01,17,929.8,1004,62.51,63.14,-0.4,-0.23,73.84,74.68,0.0,-0.84,35,30
2010-01-01,18,971.3,1074,84.73,86.3,-1.26,-0.31,82.32,83.16,0.0,-0.84,34,30
2010-01-01,19,920.1,1070,80.03,81.39,-1.06,-0.3,76.42,77.32,0.0,-0.9,35,29
2010-01-01,20,878.3,1042,68.75,69.92,-0.89,-0.28,65.12,65.9,0.0,-0.78,34,29
2010-01-01,21,913.1,1007,62.94,63.34,-0.15,-0.25,74.79,75.06,0.0,-0.27,34,28
2010-01-01,22,872.8,963,63.08,63.35,0.0,-0.27,74.92,73.91,0.0,1.01,33,29
2010-01-01,23,849.7,906,54.16,54.4,0.0,-0.24,66.33,65.09,0.0,1.24,33,30
2010-01-01,24,759.7,833,48.38,48.61,0.0,-0.23,59.87,58.99,0.0,0.88,33,30
2010-01-02,1,823.9,772,54.47,54.73,0.0,-0.26,43.59,43.02,0.0,0.57,33,30
2010-01-02,2,814.0,735,48.33,48.56,0.0,-0.23,49.48,48.93,0.0,0.55,33,29
2010-01-02,3,762.4,715,52.59,52.84,0.0,-0.25,51.91,51.39,0.0,0.52,32,29
2010-01-02,4,762.0,709,49.86,50.1,0.0,-0.24,50.81,50.31,0.0,0.5,31,28
2010-01-02,5,793.1,713,41.35,41.55,0.0,-0.2,33.92,33.59,0.0,0.33,30,27
2010-01-02,6,809.9,741,41.35,41.55,0.0,-0.2,36.8,36.25,0.0,0.55,29,27
2010-01-02,7,845.3,785,41.73,41.91,0.0,-0.18,48.26,47.34,0.0,0.92,29,25
2010-01-02,8,842.4,827,53.0,53.23,0.0,-0.23,62.99,61.86,0.0,1.13,29,25
2010-01-02,9,939.1,875,69.85,70.14,0.0,-0.29,65.27,64.44,0.0,0.83,28,25
2010-01-02,10,1044.4,937,67.89,68.18,0.0,-0.29,64.74,64.71,0.0,0.03,29,24
2010-01-02,11,1018.9,973,71.46,71.76,0.0,-0.3,68.0,68.2,0.0,-0.2,29,25
2010-01-02,12,1016.2,989,67.68,67.97,0.0,-0.29,71.48,71.7,0.0,-0.22,29,25
2010-01-02,13,997.6,992,63.92,64.19,0.0,-0.27,74.19,74.45,0.0,-0.26,30,25
2010-01-02,14,984.1,987,60.65,60.91,0.0,-0.26,63.86,64.19,0.0,-0.33,31,26
2010-01-02,15,969.0,980,58.38,58.62,0.0,-0.24,61.19,61.44,0.0,-0.25,30,27
2010-01-02,16,1002.4,994,58.06,58.29,0.0,-0.23,63.81,64.58,0.0,-0.77,30,26
2010-01-02,17,1120.7,1074,66.33,68.02,-1.44,-0.25,89.14,90.93,0.0,-1.79,31,28
2010-01-02,18,1132.6,1156,82.75,85.89,-2.82,-0.32,133.81,136.03,0.0,-2.22,29,24
2010-01-02,19,1085.3,1147,75.51,76.79,-0.99,-0.29,106.74,108.44,0.0,-1.7,27,21
2010-01-02,20,1075.6,1116,73.64,74.54,-0.6,-0.3,97.63,99.28,0.0,-1.65,25,19
2010-01-02,21,1027.8,1082,65.71,66.36,-0.38,-0.27,96.81,97.71,0.0,-0.9,24,18
2010-01-02,22,982.0,1033,64.0,64.28,0.0,-0.28,106.32,105.96,0.0,0.36,23,17
2010-01-02,23,996.6,979,59.44,59.71,0.0,-0.27,93.16,92.36,0.0,0.8,22,13
2010-01-02,24,865.2,909,58.34,58.61,0.0,-0.27,71.16,70.85,0.0,0.31,21,11
2010-01-03,1,876.0,849,58.16,58.37,0.0,-0.21,83.95,83.55,0.0,0.4,19,10
2010-01-03,2,824.1,816,58.16,58.37,0.0,-0.21,95.54,95.11,0.0,0.43,18,10
2010-01-03,3,814.8,796,58.16,58.37,0.0,-0.21,197.12,196.32,0.0,0.8,17,10
2010-01-03,4,811.6,789,54.18,54.38,0.0,-0.2,169.68,168.84,0.0,0.84,17,10
2010-01-03,5,803.7,793,60.71,60.92,0.0,-0.21,105.94,105.26,0.0,0.68,16,8
2010-01-03,6,843.1,810,53.06,53.25,0.0,-0.19,87.68,86.97,0.0,0.71,15,9
2010-01-03,7,870.0,842,53.07,53.25,0.0,-0.18,151.42,149.24,0.0,2.18,16,8
2010-01-03,8,898.9,875,52.45,52.61,0.0,-0.16,124.05,121.86,0.0,2.19,15,9
2010-01-03,9,944.8,924,66.27,66.46,0.0,-0.19,190.74,188.6,0.0,2.14,15,9
2010-01-03,10,937.4,975,66.8,66.99,0.0,-0.19,194.93,195.97,0.0,-1.04,15,7
2010-01-03,11,964.1,1021,64.8,64.98,0.0,-0.18,274.46,277.2,0.0,-2.74,16,9
2010-01-03,12,1046.8,1049,68.24,68.44,0.0,-0.2,228.56,231.19,0.0,-2.63,18,9
2010-01-03,13,1050.9,1066,68.24,68.44,0.0,-0.2,210.99,213.58,0.0,-2.59,19,12
