Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2013-01-01,1,938.3,1112,77.68,79.34,0.0,-1.66,97.67,98.56,0.0,-0.89,30,22
2013-01-01,2,913.4,1068,64.23,65.81,0.0,-1.58,116.71,119.2,0.0,-2.49,30,22
2013-01-01,3,888.5,1034,66.51,68.47,0.0,-1.96,34.66,35.41,0.0,-0.75,31,21
2013-01-01,4,931.8,1022,48.99,50.01,0.0,-1.02,31.94,32.61,0.0,-0.67,31,21
2013-01-01,5,955.5,1044,50.67,51.47,0.0,-0.8,34.36,35.14,0.0,-0.78,30,21
2013-01-01,6,1035.3,1083,50.39,50.75,0.0,-0.36,34.62,35.2,0.0,-0.58,30,21
2013-01-01,7,1102.6,1135,75.59,76.47,0.0,-0.88,34.04,34.41,0.0,-0.37,30,21
2013-01-01,8,1159.6,1190,64.88,65.01,0.0,-0.13,23.03,23.24,0.0,-0.21,29,22
2013-01-01,9,1226.3,1253,74.63,75.1,0.0,-0.47,41.58,41.83,0.0,-0.25,30,22
2013-01-01,10,1283.7,1329,78.09,78.08,0.0,0.01,46.27,46.5,0.0,-0.23,31,19
2013-01-01,11,1268.6,1380,91.38,93.56,0.0,-2.18,53.65,54.49,0.0,-0.84,31,14
2013-01-01,12,1269.8,1399,96.47,100.31,0.0,-3.84,58.87,60.02,0.0,-1.15,30,11
2013-01-01,13,1236.8,1378,96.28,100.37,0.0,-4.09,71.75,73.04,0.0,-1.29,30,9
2013-01-01,14,1209.6,1355,93.49,97.58,0.0,-4.09,56.45,57.55,0.0,-1.1,30,8
2013-01-01,15,1149.9,1371,89.41,93.09,0.0,-3.68,39.71,40.57,0.0,-0.86,29,6
2013-01-01,16,1191.8,1388,78.61,80.32,0.0,-1.71,64.16,65.36,0.0,-1.2,28,5
2013-01-01,17,1396.4,1545,115.49,117.22,0.0,-1.73,128.14,129.51,0.0,-1.37,25,6
2013-01-01,18,1467.3,1645,154.34,156.7,0.0,-2.36,124.37,126.61,0.0,-2.24,23,3
2013-01-01,19,1430.8,1621,143.56,148.11,-1.08,-3.47,174.99,179.2,0.0,-4.21,21,2
2013-01-01,20,1344.2,1577,129.76,133.79,0.0,-4.03,132.98,137.12,0.0,-4.14,17,1
2013-01-01,21,1281.1,1492,120.44,125.28,0.0,-4.84,123.41,128.24,0.0,-4.83,17,1
2013-01-01,22,1208.9,1390,104.24,109.69,0.0,-5.45,91.97,96.25,0.0,-4.28,14,0
2013-01-01,23,1106.5,1278,99.47,100.7,0.0,-1.23,67.7,69.98,0.0,-2.28,14,0
2013-01-01,24,990.9,1177,82.58,83.83,0.0,-1.25,60.75,62.22,0.0,-1.47,14,0
2013-01-02,1,1004.0,1136,77.25,78.57,0.0,-1.32,62.98,64.93,0.0,-1.95,13,-2
2013-01-02,2,991.1,1114,57.4,58.22,0.0,-0.82,47.15,48.7,0.0,-1.55,11,-2
2013-01-02,3,963.3,1102,60.99,61.94,0.0,-0.95,35.52,36.62,0.0,-1.1,11,-1
2013-01-02,4,965.8,1129,60.38,61.29,0.0,-0.91,34.46,35.33,0.0,-0.87,9,-1
2013-01-02,5,1015.0,1174,61.15,61.79,0.0,-0.64,26.93,27.49,0.0,-0.56,10,-1
2013-01-02,6,1132.9,1306,81.06,80.35,0.0,0.71,59.16,60.08,0.0,-0.92,10,0
2013-01-02,7,1315.4,1498,117.52,119.35,0.0,-1.83,113.88,114.82,0.0,-0.94,11,1
2013-01-02,8,1395.7,1557,122.27,124.01,0.0,-1.74,115.69,116.85,0.0,-1.16,10,1
2013-01-02,9,1367.7,1567,122.05,123.98,0.0,-1.93,112.7,113.59,0.0,-0.89,11,1
2013-01-02,10,1390.2,1573,120.73,122.68,0.0,-1.95,110.68,111.85,0.0,-1.17,13,2
2013-01-02,11,1396.0,1564,122.43,124.47,0.0,-2.04,108.33,109.7,0.0,-1.37,17,3
2013-01-02,12,1397.1,1552,115.82,118.12,0.0,-2.3,107.0,109.67,0.0,-2.67,19,6
2013-01-02,13,1379.6,1546,108.97,111.17,0.0,-2.2,104.19,106.77,0.0,-2.58,22,6
2013-01-02,14,1354.8,1539,103.56,105.91,0.0,-2.35,100.85,103.29,0.0,-2.44,24,6
2013-01-02,15,1328.2,1513,100.55,102.97,0.0,-2.42,96.24,98.59,0.0,-2.35,23,3
2013-01-02,16,1350.5,1533,102.09,103.28,0.0,-1.19,94.99,96.95,0.0,-1.96,22,1
2013-01-02,17,1500.2,1647,123.78,124.32,0.0,-0.54,104.05,105.9,0.0,-1.85,21,0
2013-01-02,18,1632.7,1731,130.58,129.76,0.0,0.82,109.69,111.04,0.0,-1.35,19,-1
2013-01-02,19,1587.1,1717,128.77,127.86,0.0,0.91,111.98,113.14,0.0,-1.16,15,-3
2013-01-02,20,1536.1,1694,125.45,125.58,0.0,-0.13,115.52,117.45,0.0,-1.93,13,-4
2013-01-02,21,1421.4,1623,121.7,122.96,0.0,-1.26,107.76,109.04,0.0,-1.28,10,-7
2013-01-02,22,1292.4,1530,110.4,112.61,0.0,-2.21,103.34,105.3,0.0,-1.96,9,-7
2013-01-02,23,1161.9,1422,102.81,106.0,0.0,-3.19,109.22,111.16,0.0,-1.94,5,-6
2013-01-02,24,1107.7,1318,70.08,70.9,0.0,-0.82,117.49,118.01,0.0,-0.52,5,-9
2013-01-03,1,1090.9,1270,61.01,61.37,0.0,-0.36,94.77,95.25,0.0,-0.48,5,-9
2013-01-03,2,1080.7,1242,50.65,50.93,0.0,-0.28,92.56,93.24,0.0,-0.68,4,-10
2013-01-03,3,1069.3,1221,47.72,47.97,0.0,-0.25,64.53,64.84,0.0,-0.31,3,-9
2013-01-03,4,1075.9,1236,47.61,47.92,0.0,-0.31,59.85,60.31,0.0,-0.46,4,-9
2013-01-03,5,1122.4,1279,50.47,50.74,0.0,-0.27,69.66,70.59,0.0,-0.93,4,-8
2013-01-03,6,1199.4,1390,67.51,66.47,0.0,1.04,93.29,92.71,0.0,0.58,2,-9
2013-01-03,7,1415.5,1572,93.43,93.46,0.0,-0.03,197.3,197.76,0.0,-0.46,1,-9
2013-01-03,8,1487.8,1624,102.55,102.77,0.0,-0.22,147.25,148.2,0.0,-0.95,1,-9
2013-01-03,9,1452.1,1627,106.09,106.32,0.0,-0.23,104.27,105.36,0.0,-1.09,1,-9
2013-01-03,10,1491.0,1594,94.67,94.68,0.0,-0.01,95.47,96.87,0.0,-1.4,5,-7
2013-01-03,11,1498.8,1594,79.45,79.8,0.0,-0.35,77.15,78.5,0.0,-1.35,10,-2
2013-01-03,12,1472.2,1563,76.91,77.71,0.0,-0.8,71.41,71.72,0.0,-0.31,10,0
2013-01-03,13,1441.6,1527,76.27,77.03,0.0,-0.76,56.56,56.83,0.0,-0.27,12,0
2013-01-03,14,1410.2,1517,76.43,77.4,0.0,-0.97,54.96,55.31,0.0,-0.35,16,0
2013-01-03,15,1394.9,1507,76.35,77.49,0.0,-1.14,41.99,42.24,0.0,-0.25,19,-2
2013-01-03,16,1409.5,1519,74.57,74.89,0.0,-0.32,52.87,53.31,0.0,-0.44,22,-1
2013-01-03,17,1557.2,1615,82.19,81.62,0.0,0.57,59.97,60.22,0.0,-0.25,21,-2
2013-01-03,18,1638.8,1698,112.19,110.88,0.0,1.31,67.09,67.21,0.0,-0.12,20,-1
2013-01-03,19,1603.3,1695,106.55,105.6,0.0,0.95,64.3,64.26,0.0,0.04,19,0
2013-01-03,20,1558.9,1672,105.53,106.35,0.0,-0.82,65.8,65.94,0.0,-0.14,16,0
2013-01-03,21,1488.6,1590,91.95,93.06,0.0,-1.11,60.31,60.38,0.0,-0.07,13,-1
2013-01-03,22,1370.3,1480,75.22,77.31,0.0,-2.09,53.87,54.69,0.0,-0.82,12,-1
2013-01-03,23,1226.8,1369,77.77,78.94,0.0,-1.17,46.65,47.34,0.0,-0.69,15,-1
2013-01-03,24,1129.7,1251,64.71,65.03,0.0,-0.32,52.9,53.46,0.0,-0.56,13,-1
2013-01-04,1,977.9,1198,55.52,57.0,0.0,-1.48,113.63,113.84,0.0,-0.21,12,1
2013-01-04,2,926.1,1179,51.45,52.98,0.0,-1.53,68.15,68.51,0.0,-0.36,12,1
2013-01-04,3,907.8,1168,49.85,51.5,0.0,-1.65,53.55,53.73,0.0,-0.18,12,2
2013-01-04,4,884.5,1170,50.05,51.58,0.0,-1.53,53.33,53.38,0.0,-0.05,10,1
2013-01-04,5,950.4,1209,49.49,50.62,0.0,-1.13,63.8,64.16,0.0,-0.36,12,2
2013-01-04,6,1063.7,1321,56.49,56.86,0.0,-0.37,69.8,69.3,0.0,0.5,11,3
2013-01-04,7,1266.4,1500,70.49,69.82,0.0,0.67,94.86,94.28,0.0,0.58,11,4
2013-01-04,8,1319.1,1573,80.0,78.75,0.0,1.25,77.61,78.55,0.0,-0.94,11,6
2013-01-04,9,1299.5,1599,77.39,76.58,0.0,0.81,70.15,71.42,0.0,-1.27,23,16
2013-01-04,10,1304.4,1599,75.89,75.1,0.0,0.79,53.49,53.94,0.0,-0.45,25,17
2013-01-04,11,1297.9,1604,73.61,72.82,0.0,0.79,55.55,56.12,0.0,-0.57,26,18
2013-01-04,12,1284.8,1569,70.26,69.95,0.0,0.31,69.74,70.64,0.0,-0.9,28,19
2013-01-04,13,1243.8,1534,70.0,69.85,0.0,0.15,53.86,54.5,0.0,-0.64,30,20
2013-01-04,14,1239.2,1524,64.76,65.21,0.0,-0.45,51.14,51.77,0.0,-0.63,31,20
2013-01-04,15,1229.5,1497,58.89,59.19,0.0,-0.3,48.67,49.22,0.0,-0.55,34,20
2013-01-04,16,1251.7,1471,57.48,57.26,0.0,0.22,47.53,48.08,0.0,-0.55,33,19
2013-01-04,17,1342.7,1573,72.87,72.1,0.0,0.77,85.65,87.17,-0.11,-1.41,32,20
2013-01-04,18,1380.4,1625,95.47,94.85,0.0,0.62,61.66,63.13,-0.21,-1.26,32,19
2013-01-04,19,1338.6,1591,83.02,82.46,0.0,0.56,57.38,59.13,-0.29,-1.46,32,20
2013-01-04,20,1339.5,1531,79.97,79.61,0.0,0.36,55.02,56.42,-0.07,-1.33,33,20
