Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2017-01-01,1,2148.3,2421.046,34.95,34.86,0.0,0.09,36.76,36.53,0.0,0.23,40,37
2017-01-01,2,2060.4,2335.069,33.78,33.72,0.0,0.06,37.17,37.02,0.0,0.15,39,36
2017-01-01,3,2009.4,2263.476,32.45,32.4,0.0,0.05,35.92,35.79,0.0,0.13,38,35
2017-01-01,4,1988.4,2216.966,25.92,25.88,0.0,0.04,34.17,34.04,0.0,0.13,37,35
2017-01-01,5,1995.2,2205.802,29.7,29.65,0.0,0.05,35.48,35.36,0.0,0.12,37,35
2017-01-01,6,2038.2,2231.055,32.62,32.54,0.0,0.08,34.45,34.31,0.0,0.14,37,35
2017-01-01,7,2118.3,2291.309,32.5,32.45,0.0,0.05,34.61,34.44,0.0,0.17,37,34
2017-01-01,8,2202.8,2330.843,34.01,33.91,0.0,0.1,33.27,33.07,0.0,0.2,36,33
2017-01-01,9,2324.7,2379.395,38.5,38.37,0.0,0.13,24.34,24.16,0.0,0.18,38,32
2017-01-01,10,2398.7,2430.157,40.91,40.75,0.0,0.16,26.2,26.01,0.0,0.19,40,31
2017-01-01,11,2424.8,2485.062,33.73,33.53,0.0,0.2,17.15,17.01,0.0,0.14,42,29
2017-01-01,12,2448.8,2508.067,33.63,33.41,0.0,0.22,24.56,24.36,0.0,0.2,42,27
2017-01-01,13,2460.8,2530.732,33.62,33.42,0.0,0.2,28.38,28.13,0.0,0.25,42,25
2017-01-01,14,2454.3,2537.071,34.32,34.11,0.0,0.21,29.19,28.93,0.0,0.26,43,23
2017-01-01,15,2453.4,2555.787,33.61,33.41,0.0,0.2,21.5,21.3,0.0,0.2,44,22
2017-01-01,16,2492.0,2606.237,33.8,33.56,0.0,0.24,28.88,28.59,0.0,0.29,43,22
2017-01-01,17,2675.4,2791.731,39.73,39.47,0.0,0.26,33.19,32.8,0.0,0.39,42,21
2017-01-01,18,2830.5,2951.344,63.86,63.38,0.0,0.48,43.14,42.63,0.0,0.51,40,21
