Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt,SYSLoad,RegSP,RegCP,Min_5min_RSP,Max_5min_RSP,Min_5min_RCP,Max_5min_RCP
2018-01-01,1,14212.2,15521.098,126.32,124.97,0.0,1.35,146.39,144.52,0.24,1.63,1,-10,15760,1.43,104.395,0.05,8.33,16.8,119.99
2018-01-01,2,13793.0,15069.608,125.06,123.7,0.0,1.36,134.27,132.67,0.1,1.5,0,-11,15297,0.05,110.263333333,0.05,0.05,107.72,132.51
2018-01-01,3,13817.2,14780.596,125.0,123.58,0.0,1.42,133.55,132.06,0.0,1.49,-1,-11,15014,0.0416667,43.679166667,0.0,0.05,0.0,107.72
2018-01-01,4,13798.3,14659.693,125.2,123.77,0.0,1.43,141.81,140.24,0.0,1.57,-2,-12,14895,0.0458333,133.670833333,0.0,0.05,43.2,151.71
2018-01-01,5,13697.8,14744.025,125.38,124.1,0.0,1.28,136.8,135.42,0.0,1.38,-3,-12,14965,0.0083333,46.639166667,0.0,0.05,25.04,151.71
2018-01-01,6,13909.2,15037.248,125.0,123.78,0.0,1.22,135.29,133.97,0.0,1.32,-4,-13,15274,0.0,36.031666667,0.0,0.0,23.69,38.5
2018-01-01,7,14465.2,15525.133,131.04,129.89,0.0,1.15,131.52,130.19,0.0,1.33,-4,-14,15739,0.0383333,62.395833333,0.0,0.05,40.5,64.93
2018-01-01,8,15207.4,15938.242,136.25,135.11,0.0,1.14,127.79,126.57,0.0,1.22,-4,-15,16160,0.05,93.063333333,0.05,0.05,64.28,98.82
2018-01-01,9,15960.8,16544.679,146.43,145.24,0.0,1.19,133.99,132.82,0.0,1.17,-4,-14,16760,0.05,101.5825,0.05,0.05,100.44,114.15
2018-01-01,10,16775.0,17096.715,178.2,176.4,0.0,1.8,195.14,193.48,0.0,1.66,-1,-13,17310,0.05,196.373333333,0.05,0.05,100.44,215.56
2018-01-01,11,16936.0,17466.413,166.64,164.88,0.0,1.76,186.3,184.77,0.0,1.53,2,-12,17678,0.05,114.965833333,0.05,0.05,99.57,215.56
2018-01-01,12,17098.6,17583.544,172.96,171.06,0.0,1.9,160.22,158.82,0.0,1.4,5,-11,17799,0.05,74.828333333,0.05,0.05,69.88,99.57
2018-01-01,13,16948.2,17551.292,164.0,162.16,0.0,1.84,148.29,146.93,0.0,1.36,8,-10,17762,0.05,51.646666667,0.05,0.05,48.0,69.88
2018-01-01,14,16685.8,17420.645,159.41,157.48,0.0,1.93,138.9,137.56,0.0,1.34,10,-9,17644,0.05,81.3025,0.05,0.05,48.0,84.33
2018-01-01,15,16662.0,17400.303,150.15,148.53,0.0,1.62,130.96,129.76,0.0,1.2,11,-9,17617,0.166666667,29.93,0.05,0.19,19.05,84.33
2018-01-01,16,16955.1,17712.119,155.71,154.08,0.0,1.63,139.25,137.99,0.0,1.26,11,-9,17929,0.19,18.041666667,0.19,0.19,17.84,19.05
2018-01-01,17,18275.9,18887.052,192.61,190.38,0.0,2.23,154.93,153.51,0.0,1.42,10,-10,19119,0.19,24.375833333,0.19,0.19,17.84,24.97
2018-01-01,18,19282.4,20012.58,221.09,218.24,0.0,2.85,172.74,171.09,0.0,1.65,8,-10,20271,0.073333333,24.753333333,0.05,0.19,24.71,24.97
2018-01-01,19,18909.5,19864.199,212.79,210.24,0.0,2.55,171.89,170.2,0.0,1.69,7,-10,20117,0.05,21.723333333,0.05,0.05,21.45,24.71
2018-01-01,20,18551.3,19460.387,198.5,196.21,0.0,2.29,160.85,159.26,0.0,1.59,5,-9,19710,0.216666667,21.675,0.05,0.25,21.45,21.72
2018-01-01,21,17922.4,18811.864,167.3,165.24,0.0,2.06,164.92,163.34,0.0,1.58,4,-9,19057,0.083333333,27.753333333,0.05,0.25,21.72,28.96
2018-01-01,22,16772.8,17873.268,166.82,165.06,0.0,1.76,158.71,157.18,0.0,1.53,3,-9,18099,0.0083333,29.835,0.0,0.05,28.96,30.01
2018-01-01,23,15575.0,16639.854,160.17,158.15,0.0,2.02,141.51,140.22,0.0,1.29,3,-9,16854,0.0416667,138.668333333,0.0,0.05,30.01,160.4
2018-01-01,24,14669.3,15625.565,158.74,156.84,0.0,1.9,72.77,72.05,0.0,0.72,1,-9,15860,0.05,173.894166667,0.05,0.05,160.4,219.85
2018-01-02,1,14640.2,14989.671,146.45,144.81,0.0,1.64,131.9,130.53,0.0,1.37,1,-8,15225,0.05,50.23,0.05,0.05,21.07,165.05
2018-01-02,2,14240.9,14678.553,135.31,133.91,0.0,1.4,124.73,123.45,0.0,1.28,0,-9,14902,0.05,35.545,0.05,0.05,21.07,38.44
2018-01-02,3,14100.5,14562.606,132.03,130.79,0.0,1.24,111.96,110.85,0.0,1.11,0,-9,14781,0.05,92.294166667,0.05,0.05,38.44,97.19
2018-01-02,4,14201.0,14601.761,131.44,130.16,0.0,1.28,123.98,122.81,0.0,1.17,0,-8,14824,0.05,41.814166667,0.05,0.05,36.78,97.19
2018-01-02,5,14554.0,14974.557,137.5,136.13,0.0,1.37,129.4,128.27,0.0,1.13,1,-8,15191,0.05,36.296666667,0.05,0.05,36.2,36.78
2018-01-02,6,15429.0,15991.233,158.85,157.63,0.0,1.22,153.64,152.45,0.0,1.19,1,-7,16196,0.05,377.891666667,0.05,0.05,36.2,446.23
2018-01-02,7,17454.5,17739.318,184.15,182.65,0.0,1.5,229.85,228.21,0.0,1.64,2,-7,17959,0.086666667,157.831666667,0.05,0.09,85.47,593.05
2018-01-02,8,18431.8,18783.94,205.62,204.14,0.0,1.48,188.24,187.16,0.0,1.08,1,-8,19013,0.09,72.714166667,0.09,0.09,66.32,85.47
2018-01-02,9,18762.9,18972.239,201.73,200.11,0.0,1.62,166.28,165.15,0.0,1.13,2,-8,19212,0.0233333,17.61,0.01,0.09,12.58,66.32
2018-01-02,10,19021.4,18917.13,201.76,199.99,0.0,1.77,154.23,153.13,0.0,1.1,4,-6,19158,0.0433333,13.965,0.01,0.05,12.58,18.2
2018-01-02,11,18357.7,18778.18,200.0,198.86,0.0,1.14,158.93,157.96,0.0,0.97,8,-5,19017,0.05,19.1575,0.05,0.05,13.68,20.11
2018-01-02,12,18396.7,18573.896,194.7,193.57,0.0,1.13,149.12,148.3,0.0,0.82,11,-4,18794,0.166666667,16.084166667,0.05,0.19,15.06,22.8
2018-01-02,13,18249.8,18348.627,168.17,167.11,0.0,1.06,149.68,148.97,0.0,0.71,13,-4,18569,0.073333333,48.265,0.05,0.19,5.92,55.82
