Date,Hr_End,DA_Demand,RT_Demand,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,Dry_Bulb,Dew_Point
2019-01-01,1,628.4,723.322,25.84,25.57,0.02,0.25,35.9,35.42,0.04,0.44,42,41
2019-01-01,2,626.5,688.771,20.66,20.44,0.01,0.21,38.81,38.38,0.0,0.43,44,42
2019-01-01,3,597.5,660.226,19.0,18.84,0.01,0.15,21.32,21.09,0.0,0.23,44,44
2019-01-01,4,581.4,642.773,19.25,19.09,0.01,0.15,18.52,18.29,0.03,0.2,46,46
2019-01-01,5,630.6,638.376,17.94,17.78,0.0,0.16,7.57,7.48,0.01,0.08,49,49
2019-01-01,6,662.4,646.075,20.400000000000002,20.2,0.01,0.19,17.990000000000002,17.77,0.03,0.19,54,52
2019-01-01,7,649.3,666.206,20.82,20.62,0.0,0.2,10.84,10.71,0.02,0.11,55,53
2019-01-01,8,668.3,675.216,23.22,22.98,0.0,0.24,-44.71,-44.300000000000004,0.0,-0.41000000000000003,55,52
2019-01-01,9,700.2,698.604,23.97,23.740000000000002,0.01,0.22,-19.86,-19.7,0.0,-0.16,55,51
2019-01-01,10,789.0,741.071,22.64,22.39,0.0,0.25,19.490000000000002,19.28,0.04,0.17,57,50
2019-01-01,11,813.4,778.883,25.580000000000002,25.28,0.0,0.3,12.280000000000001,12.16,0.0,0.12,58,49
2019-01-01,12,829.3,786.363,25.92,25.63,0.0,0.29,2.59,2.56,0.0,0.03,58,48
2019-01-01,13,822.2,774.211,25.91,25.62,0.0,0.29,11.41,11.31,0.0,0.1,57,42
2019-01-01,14,816.8,777.407,25.68,25.38,0.01,0.29,11.32,11.22,0.02,0.08,53,34
2019-01-01,15,811.2,786.34,25.59,25.330000000000002,0.01,0.25,18.14,17.990000000000002,0.04,0.11,52,33
2019-01-01,16,832.8,805.461,24.41,24.38,0.02,0.01,16.3,16.22,0.03,0.05,50,32
2019-01-01,17,896.0,879.968,26.02,26.09,0.02,-0.09,18.26,18.21,0.04,0.01,47,31
2019-01-01,18,952.5,951.671,37.11,37.32,0.04,-0.25,25.05,24.990000000000002,0.06,0.0,44,30
2019-01-01,19,946.2,944.196,33.24,33.46,0.03,-0.25,22.72,22.71,0.05,-0.04,42,29
2019-01-01,20,926.6,923.48,28.73,28.91,0.02,-0.2,22.07,22.06,0.05,-0.04,41,28
2019-01-01,21,884.0,886.632,25.66,25.79,0.02,-0.15,23.32,23.31,0.05,-0.04,39,28
2019-01-01,22,831.9,838.253,24.89,24.900000000000002,0.02,-0.03,20.19,20.16,0.04,-0.01,38,27
2019-01-01,23,763.0,769.332,24.580000000000002,24.43,0.02,0.13,19.18,19.080000000000002,0.03,0.07,37,26
2019-01-01,24,710.5,723.679,23.76,23.66,0.02,0.08,17.89,17.76,0.03,0.1,35,25
2019-01-02,1,694.1,679.541,24.8,24.51,0.03,0.26,3.66,3.64,0.0,0.02,34,24
2019-01-02,2,678.4,670.49,23.63,23.36,0.03,0.24,0.5700000000000001,0.56,0.01,0.0,33,22
2019-01-02,3,663.5,666.286,20.21,19.98,0.02,0.21,18.94,18.76,0.02,0.16,31,22
2019-01-02,4,671.5,672.651,22.16,21.91,0.02,0.23,22.64,22.45,0.0,0.19,31,22
2019-01-02,5,692.9,690.357,25.0,24.76,0.02,0.22,18.89,18.75,0.0,0.14,30,20
2019-01-02,6,763.1,750.224,29.28,29.18,0.03,0.07,16.59,16.59,0.0,0.0,29,20
2019-01-02,7,921.3,857.968,31.990000000000002,32.28,0.01,-0.3,29.53,29.7,0.0,-0.17,29,19
2019-01-02,8,959.2,923.098,28.63,29.09,0.0,-0.46,30.240000000000002,30.490000000000002,0.0,-0.25,28,19
2019-01-02,9,984.8,940.332,27.87,28.32,0.0,-0.45,25.45,25.62,0.0,-0.17,28,18
2019-01-02,10,986.5,944.522,25.27,25.64,0.0,-0.37,21.830000000000002,22.02,0.0,-0.19,30,15
2019-01-02,11,944.2,948.077,29.62,30.18,0.0,-0.56,24.14,24.47,0.0,-0.33,32,8
2019-01-02,12,973.7,944.947,26.51,26.88,0.0,-0.37,24.97,25.36,0.0,-0.39,34,6
2019-01-02,13,962.0,937.431,25.310000000000002,25.580000000000002,0.0,-0.27,23.71,24.07,0.0,-0.36,35,6
2019-01-02,14,958.9,938.629,25.53,25.810000000000002,0.0,-0.28,24.32,24.71,0.0,-0.39,36,4
2019-01-02,15,969.4,945.871,26.66,27.03,0.0,-0.37,25.240000000000002,25.66,0.0,-0.42,36,4
2019-01-02,16,967.4,969.137,29.95,30.5,0.0,-0.55,29.78,30.39,0.0,-0.61,35,2
2019-01-02,17,1073.8,1029.833,40.9,41.59,0.0,-0.6900000000000001,35.45,36.15,0.0,-0.7000000000000001,34,8
2019-01-02,18,1209.7,1087.885,60.89,61.730000000000004,0.0,-0.84,39.27,39.89,0.0,-0.62,32,11
2019-01-02,19,1156.4,1081.466,59.54,60.42,0.0,-0.88,67.11,68.24,0.0,-1.1300000000000001,31,12
2019-01-02,20,1121.0,1057.378,53.26,54.13,0.0,-0.87,32.980000000000004,33.45,0.0,-0.47000000000000003,31,13
2019-01-02,21,1063.7,1011.202,45.4,46.22,0.0,-0.8200000000000001,28.54,28.94,0.0,-0.4,30,15
2019-01-02,22,990.6,945.262,38.14,38.5,0.0,-0.36,28.37,28.66,0.0,-0.29,28,16
2019-01-02,23,891.0,872.146,33.51,33.8,0.0,-0.29,25.69,25.830000000000002,0.0,-0.14,28,17
2019-01-02,24,821.4,800.293,25.66,25.72,0.0,-0.06,24.76,24.830000000000002,0.01,-0.08,31,22
2019-01-03,1,726.7,750.132,33.65,33.78,0.0,-0.13,25.03,25.150000000000002,0.01,-0.13,31,23
2019-01-03,2,759.2,716.165,30.67,30.740000000000002,0.0,-0.07,23.77,23.89,0.01,-0.13,32,25
2019-01-03,3,727.9,702.166,27.95,27.98,0.0,-0.03,22.63,22.71,0.01,-0.09,33,27
2019-01-03,4,723.2,698.558,28.11,28.16,0.0,-0.05,20.63,20.67,0.0,-0.04,32,26
2019-01-03,5,701.0,715.253,30.67,30.76,0.0,-0.09,21.16,21.17,0.03,-0.04,34,26
2019-01-03,6,704.6,766.319,37.85,38.02,0.0,-0.17,25.57,25.650000000000002,0.05,-0.13,33,28
2019-01-03,7,853.7,865.202,47.09,47.54,0.0,-0.45,33.910000000000004,34.13,0.03,-0.25,34,28
2019-01-03,8,915.6,928.692,47.08,47.49,0.0,-0.41000000000000003,32.74,32.95,0.02,-0.23,36,29
2019-01-03,9,949.2,949.873,42.6,42.97,0.0,-0.37,35.37,35.52,0.06,-0.21,37,29
2019-01-03,10,936.4,954.331,42.28,44.22,-1.53,-0.41000000000000003,39.06,39.300000000000004,0.06,-0.3,36,33
2019-01-03,11,910.3,948.89,37.78,42.730000000000004,-4.53,-0.42,40.730000000000004,41.12,0.02,-0.41000000000000003,38,35
2019-01-03,12,915.9,933.551,34.12,34.46,0.0,-0.34,26.6,26.89,0.0,-0.29,42,38
2019-01-03,13,936.3,919.491,27.89,28.17,0.0,-0.28,24.26,24.51,0.0,-0.25,44,34
