Date,Hr_End,DA_Demand,RT_Demand,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,Dry_Bulb,Dew_Point
2019-01-01,1,1282.1,1339.093,25.71,25.57,0.02,0.12,35.67,35.42,0.04,0.21,42,41
2019-01-01,2,1212.2,1259.055,20.52,20.44,0.01,0.07,38.54,38.38,0.0,0.16,44,42
2019-01-01,3,1175.2,1206.042,18.88,18.84,0.01,0.03,21.18,21.09,0.0,0.09,44,44
2019-01-01,4,1157.0,1176.901,19.13,19.09,0.01,0.03,18.400000000000002,18.29,0.03,0.08,46,46
2019-01-01,5,1160.1,1164.087,17.81,17.78,0.0,0.03,7.5200000000000005,7.48,0.01,0.03,49,49
2019-01-01,6,1207.1,1181.389,20.26,20.2,0.01,0.05,17.88,17.77,0.03,0.08,54,52
2019-01-01,7,1225.0,1221.499,20.7,20.62,0.0,0.08,10.78,10.71,0.02,0.05,55,53
2019-01-01,8,1282.9,1244.365,23.080000000000002,22.98,0.0,0.1,-44.43,-44.300000000000004,0.0,-0.13,55,52
2019-01-01,9,1359.1,1280.138,23.81,23.740000000000002,0.01,0.06,-19.740000000000002,-19.7,0.0,-0.04,55,51
2019-01-01,10,1466.9,1354.823,22.52,22.39,0.0,0.13,19.38,19.28,0.04,0.06,57,50
2019-01-01,11,1483.5,1426.835,25.43,25.28,0.0,0.15,12.21,12.16,0.0,0.05,58,49
2019-01-01,12,1484.3,1386.724,25.77,25.63,0.0,0.14,2.57,2.56,0.0,0.01,58,48
2019-01-01,13,1495.0,1327.476,25.77,25.62,0.0,0.15,11.32,11.31,0.0,0.01,57,42
2019-01-01,14,1499.1,1338.507,25.54,25.38,0.01,0.15,11.24,11.22,0.02,0.0,53,34
2019-01-01,15,1528.9,1392.388,25.47,25.330000000000002,0.01,0.13,18.04,17.990000000000002,0.04,0.01,52,33
2019-01-01,16,1587.9,1493.023,24.47,24.38,0.02,0.07,16.28,16.22,0.03,0.03,50,32
2019-01-01,17,1744.3,1682.292,26.23,26.09,0.02,0.12,18.330000000000002,18.21,0.04,0.08,47,31
2019-01-01,18,1853.3,1830.911,37.46,37.32,0.04,0.1,25.2,24.990000000000002,0.06,0.15,44,30
2019-01-01,19,1827.0,1816.741,33.56,33.46,0.03,0.07,22.85,22.71,0.05,0.09,42,29
2019-01-01,20,1772.9,1766.113,29.02,28.91,0.02,0.09,22.18,22.06,0.05,0.07,41,28
2019-01-01,21,1705.4,1688.886,25.92,25.79,0.02,0.11,23.42,23.31,0.05,0.06,39,28
2019-01-01,22,1600.6,1578.251,25.07,24.900000000000002,0.02,0.15,20.26,20.16,0.04,0.06,38,27
2019-01-01,23,1471.6,1439.51,24.61,24.43,0.02,0.16,19.18,19.080000000000002,0.03,0.07,37,26
2019-01-01,24,1363.1,1327.114,23.78,23.66,0.02,0.1,17.86,17.76,0.03,0.07,35,25
2019-01-02,1,1305.4,1256.635,24.69,24.51,0.03,0.15,3.65,3.64,0.0,0.01,34,24
2019-01-02,2,1272.5,1221.77,23.52,23.36,0.03,0.13,0.5700000000000001,0.56,0.01,0.0,33,22
2019-01-02,3,1257.6,1216.228,20.11,19.98,0.02,0.11,18.84,18.76,0.02,0.06,31,22
2019-01-02,4,1267.2,1234.162,22.05,21.91,0.02,0.12,22.53,22.45,0.0,0.08,31,22
2019-01-02,5,1322.4,1291.811,24.91,24.76,0.02,0.13,18.82,18.75,0.0,0.07,30,20
2019-01-02,6,1452.7,1421.611,29.36,29.18,0.03,0.15,16.63,16.59,0.0,0.04,29,20
2019-01-02,7,1673.1,1636.523,32.4,32.28,0.01,0.11,29.72,29.7,0.0,0.02,29,19
2019-01-02,8,1774.5,1744.338,29.04,29.09,0.0,-0.05,30.42,30.490000000000002,0.0,-0.07,28,19
2019-01-02,9,1768.8,1725.285,28.25,28.32,0.0,-0.07,25.560000000000002,25.62,0.0,-0.06,28,18
2019-01-02,10,1727.8,1662.522,25.59,25.64,0.0,-0.05,21.900000000000002,22.02,0.0,-0.12,30,15
2019-01-02,11,1665.2,1604.303,29.98,30.18,0.0,-0.2,24.21,24.47,0.0,-0.26,32,8
2019-01-02,12,1638.2,1595.807,26.79,26.88,0.0,-0.09,25.09,25.36,0.0,-0.27,34,6
2019-01-02,13,1631.3,1574.106,25.560000000000002,25.580000000000002,0.0,-0.02,23.85,24.07,0.0,-0.22,35,6
2019-01-02,14,1642.6,1603.338,25.78,25.810000000000002,0.0,-0.03,24.490000000000002,24.71,0.0,-0.22,36,4
2019-01-02,15,1686.4,1661.745,26.96,27.03,0.0,-0.07,25.46,25.66,0.0,-0.2,36,4
