Date,Hr_End,DA_Demand,RT_Demand,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,Dry_Bulb,Dew_Point
2019-01-01,1,1810.0,1535.335,25.7,25.57,0.02,0.11,35.59,35.42,0.04,0.13,35,35
2019-01-01,2,1976.8,1473.389,20.56,20.44,0.01,0.11,38.62,38.38,0.0,0.24,36,36
2019-01-01,3,2231.2,1422.373,18.94,18.84,0.01,0.09,21.25,21.09,0.0,0.16,37,37
2019-01-01,4,2486.6,1397.884,19.22,19.09,0.01,0.12,18.47,18.29,0.03,0.15,38,38
2019-01-01,5,2489.8,1396.745,17.89,17.78,0.0,0.11,7.55,7.48,0.01,0.06,41,41
2019-01-01,6,2272.7,1427.758,20.29,20.2,0.01,0.08,17.94,17.77,0.03,0.14,44,44
2019-01-01,7,2096.1,1473.077,20.69,20.62,0.0,0.07,10.81,10.71,0.02,0.08,48,47
2019-01-01,8,1914.1,1507.521,23.080000000000002,22.98,0.0,0.1,-44.56,-44.300000000000004,0.0,-0.26,48,46
2019-01-01,9,1959.6,1561.841,23.84,23.740000000000002,0.01,0.09,-19.81,-19.7,0.0,-0.11,49,47
2019-01-01,10,1728.2,1602.933,22.41,22.39,0.0,0.02,19.43,19.28,0.04,0.11,50,47
2019-01-01,11,1743.4,1577.147,25.32,25.28,0.0,0.04,12.22,12.16,0.0,0.06,50,47
2019-01-01,12,1738.4,1594.381,25.66,25.63,0.0,0.03,2.57,2.56,0.0,0.01,50,38
2019-01-01,13,1744.5,1625.573,25.66,25.62,0.0,0.04,11.35,11.31,0.0,0.04,47,34
2019-01-01,14,1716.1,1663.523,25.41,25.38,0.01,0.02,11.290000000000001,11.22,0.02,0.05,45,33
2019-01-01,15,1797.6,1693.304,25.39,25.330000000000002,0.01,0.05,18.11,17.990000000000002,0.04,0.08,43,31
2019-01-01,16,1854.9,1771.789,24.46,24.38,0.02,0.06,16.34,16.22,0.03,0.09,41,31
2019-01-01,17,2027.8,1929.141,26.2,26.09,0.02,0.09,18.35,18.21,0.04,0.1,39,30
2019-01-01,18,2188.8,2056.284,37.51,37.32,0.04,0.15,25.19,24.990000000000002,0.06,0.14,37,29
2019-01-01,19,2143.5,2034.719,33.64,33.46,0.03,0.15,22.89,22.71,0.05,0.13,36,27
2019-01-01,20,2081.2,1979.425,29.07,28.91,0.02,0.14,22.23,22.06,0.05,0.12,35,26
2019-01-01,21,1986.3,1910.454,25.93,25.79,0.02,0.12,23.51,23.31,0.05,0.15,34,25
2019-01-01,22,1867.4,1806.317,25.05,24.900000000000002,0.02,0.13,20.34,20.16,0.04,0.14,33,23
2019-01-01,23,1756.6,1676.45,24.57,24.43,0.02,0.12,19.25,19.080000000000002,0.03,0.14,31,22
2019-01-01,24,1893.1,1565.513,23.81,23.66,0.02,0.13,17.92,17.76,0.03,0.13,30,21
2019-01-02,1,1947.1,1494.495,24.68,24.51,0.03,0.14,3.67,3.64,0.0,0.03,29,21
2019-01-02,2,1908.3,1466.596,23.490000000000002,23.36,0.03,0.1,0.5700000000000001,0.56,0.01,0.0,27,19
2019-01-02,3,1887.5,1460.962,20.09,19.98,0.02,0.09,18.87,18.76,0.02,0.09,26,17
2019-01-02,4,1901.6,1479.111,22.02,21.91,0.02,0.09,22.55,22.45,0.0,0.1,24,16
2019-01-02,5,1954.0,1547.543,24.87,24.76,0.02,0.09,18.84,18.75,0.0,0.09,23,15
2019-01-02,6,1839.6,1714.085,29.3,29.18,0.03,0.09,16.66,16.59,0.0,0.07,23,15
2019-01-02,7,2077.2,1962.624,32.37,32.28,0.01,0.08,29.810000000000002,29.7,0.0,0.11,22,14
2019-01-02,8,2216.9,2104.286,29.21,29.09,0.0,0.12,30.59,30.490000000000002,0.0,0.1,23,14
2019-01-02,9,2241.7,2087.735,28.43,28.32,0.0,0.11,25.69,25.62,0.0,0.07,23,14
2019-01-02,10,2172.0,2017.296,25.7,25.64,0.0,0.06,22.04,22.02,0.0,0.02,25,11
2019-01-02,11,2107.9,1970.946,30.240000000000002,30.18,0.0,0.06,24.44,24.47,0.0,-0.03,27,8
2019-01-02,12,2069.7,1952.191,26.93,26.88,0.0,0.05,25.330000000000002,25.36,0.0,-0.03,29,7
2019-01-02,13,2050.6,1935.156,25.63,25.580000000000002,0.0,0.05,24.04,24.07,0.0,-0.03,30,5
2019-01-02,14,2044.5,1968.183,25.84,25.810000000000002,0.0,0.03,24.68,24.71,0.0,-0.03,31,6
2019-01-02,15,2071.9,2013.115,27.09,27.03,0.0,0.06,25.64,25.66,0.0,-0.02,31,5
2019-01-02,16,2129.9,2095.876,30.53,30.5,0.0,0.03,30.38,30.39,0.0,-0.01,31,7
2019-01-02,17,2341.6,2245.863,41.68,41.59,0.0,0.09,36.12,36.15,0.0,-0.03,30,8
2019-01-02,18,2528.4,2380.579,61.72,61.730000000000004,0.0,-0.01,39.800000000000004,39.89,0.0,-0.09,28,7
2019-01-02,19,2532.2,2370.336,60.370000000000005,60.42,0.0,-0.05,68.05,68.24,0.0,-0.19,26,7
2019-01-02,20,2457.3,2314.087,54.07,54.13,0.0,-0.06,33.33,33.45,0.0,-0.12,27,8
2019-01-02,21,2340.1,2226.057,46.300000000000004,46.22,0.0,0.08,28.89,28.94,0.0,-0.05,26,11
2019-01-02,22,2190.6,2097.289,38.6,38.5,0.0,0.1,28.66,28.66,0.0,0.0,26,12
2019-01-02,23,2010.8,1924.657,33.88,33.8,0.0,0.08,25.84,25.830000000000002,0.0,0.01,26,12
2019-01-02,24,1851.0,1776.276,25.79,25.72,0.0,0.07,24.85,24.830000000000002,0.01,0.01,26,14
2019-01-03,1,2303.7,1680.6,33.93,33.78,0.0,0.15,25.22,25.150000000000002,0.01,0.06,26,15
2019-01-03,2,2254.5,1627.412,30.88,30.740000000000002,0.0,0.14,23.94,23.89,0.01,0.04,27,15
2019-01-03,3,2212.1,1600.757,28.05,27.98,0.0,0.07,22.77,22.71,0.01,0.05,27,20
2019-01-03,4,2201.7,1596.523,28.23,28.16,0.0,0.07,20.740000000000002,20.67,0.0,0.07,28,22
