Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2003-03-01,1,0.0,1484,72.4,72.89,0.0,-0.49,78.57,78.83,0.0,-0.26,24,19
2003-03-01,2,0.0,1432,70.54,71.02,0.0,-0.48,137.17,137.51,0.0,-0.34,23,19
2003-03-01,3,0.0,1407,69.53,70.0,0.0,-0.47,150.86,151.19,0.0,-0.33,22,18
2003-03-01,4,0.0,1401,68.66,69.11,0.0,-0.45,150.16,150.55,0.0,-0.39,21,18
2003-03-01,5,0.0,1419,69.53,69.99,0.0,-0.46,145.96,146.43,0.0,-0.47,20,18
2003-03-01,6,0.0,1471,69.53,69.98,0.0,-0.45,156.71,157.09,0.0,-0.38,19,17
2003-03-01,7,0.0,1557,71.9,73.26,-0.89,-0.47,186.02,186.15,0.0,-0.13,19,17
2003-03-01,8,0.0,1674,79.28,81.01,-1.23,-0.5,154.84,154.43,0.0,0.41,19,17
2003-03-01,9,0.0,1798,84.4,85.03,-0.11,-0.52,141.93,141.06,0.0,0.87,22,18
2003-03-01,10,0.0,1836,87.35,88.0,-0.12,-0.53,157.8,156.97,0.0,0.83,28,23
2003-03-01,11,0.0,1839,87.35,88.02,-0.12,-0.55,143.74,143.13,0.0,0.61,31,24
2003-03-01,12,0.0,1812,86.36,87.03,-0.12,-0.55,103.71,103.19,0.0,0.52,36,24
2003-03-01,13,0.0,1753,83.98,84.78,-0.27,-0.53,89.02,88.65,0.0,0.37,37,23
2003-03-01,14,0.0,1694,79.29,80.69,-0.89,-0.51,72.12,71.84,0.0,0.28,38,24
2003-03-01,15,0.0,1656,72.44,74.9,-1.98,-0.48,64.94,64.6,0.0,0.34,39,24
2003-03-01,16,0.0,1643,70.88,73.13,-1.8,-0.45,73.88,73.54,0.0,0.34,38,26
2003-03-01,17,0.0,1694,72.45,75.32,-2.44,-0.43,70.18,69.71,0.0,0.47,37,27
2003-03-01,18,0.0,1856,83.23,86.37,-2.65,-0.49,85.87,85.06,0.0,0.81,36,28
2003-03-01,19,0.0,1962,86.86,91.11,-3.72,-0.53,95.78,94.91,0.0,0.87,36,29
2003-03-01,20,0.0,1925,79.24,85.54,-5.78,-0.52,53.61,53.09,0.0,0.52,35,29
2003-03-01,21,0.0,1841,72.5,78.14,-5.17,-0.47,89.82,89.38,0.0,0.44,35,30
2003-03-01,22,0.0,1747,70.08,73.5,-2.96,-0.46,54.0,53.96,0.0,0.04,34,31
2003-03-01,23,0.0,1610,68.64,71.48,-2.36,-0.48,38.49,38.54,0.0,-0.05,33,31
2003-03-01,24,0.0,1469,67.44,71.34,-3.42,-0.48,67.17,67.23,0.0,-0.06,32,32
2003-03-02,1,910.6,1357,91.1,91.42,-0.03,-0.29,79.07,79.09,0.0,-0.02,32,32
2003-03-02,2,894.0,1291,85.03,85.41,-0.09,-0.29,61.7,61.72,0.0,-0.02,33,32
2003-03-02,3,872.6,1256,83.71,84.08,-0.1,-0.27,29.44,29.47,0.0,-0.03,33,32
2003-03-02,4,857.4,1236,83.71,84.07,-0.09,-0.27,58.89,59.17,0.0,-0.28,33,32
2003-03-02,5,897.5,1239,83.71,84.06,-0.09,-0.26,82.34,82.84,0.0,-0.5,33,32
2003-03-02,6,924.3,1268,83.73,84.07,-0.08,-0.26,74.86,75.24,0.0,-0.38,33,32
2003-03-02,7,971.2,1314,85.98,86.31,-0.11,-0.22,54.39,54.67,0.0,-0.28,34,32
2003-03-02,8,1032.5,1399,88.73,89.08,-0.13,-0.22,72.14,72.55,0.0,-0.41,34,32
2003-03-02,9,1099.1,1553,91.1,91.43,-0.14,-0.19,87.06,87.58,0.0,-0.52,35,33
2003-03-02,10,1157.9,1675,93.56,93.91,-0.16,-0.19,151.2,151.78,0.0,-0.58,36,35
2003-03-02,11,1183.4,1752,96.81,97.16,-0.15,-0.2,166.73,167.2,0.0,-0.47,37,36
2003-03-02,12,1198.8,1802,97.5,97.86,-0.14,-0.22,141.01,141.71,0.0,-0.7,38,38
2003-03-02,13,1189.1,1815,95.63,96.01,-0.15,-0.23,107.49,108.17,0.0,-0.68,38,38
2003-03-02,14,1164.7,1794,95.11,95.48,-0.13,-0.24,83.88,84.44,0.0,-0.56,39,39
2003-03-02,15,1140.2,1775,93.1,93.46,-0.12,-0.24,76.28,76.91,0.0,-0.63,43,43
2003-03-02,16,1146.0,1786,93.82,94.15,-0.11,-0.22,76.65,77.35,0.0,-0.7,44,44
2003-03-02,17,1201.5,1860,95.11,95.4,-0.14,-0.15,113.77,114.6,0.0,-0.83,45,45
2003-03-02,18,1323.5,1954,98.7,99.03,-0.19,-0.14,137.12,137.98,0.0,-0.86,39,38
2003-03-02,19,1247.0,2009,106.16,106.51,-0.17,-0.18,144.82,145.74,0.0,-0.92,37,37
2003-03-02,20,1203.5,1956,112.12,112.45,-0.12,-0.21,102.77,103.47,0.0,-0.7,37,36
2003-03-02,21,1308.6,1866,98.7,99.08,-0.15,-0.23,69.3,69.77,0.0,-0.47,37,36
2003-03-02,22,1236.8,1727,97.0,97.38,-0.1,-0.28,40.99,41.3,0.0,-0.31,39,34
2003-03-02,23,1137.1,1553,96.16,96.53,-0.06,-0.31,27.28,27.63,0.0,-0.35,38,34
2003-03-02,24,1039.3,1409,93.9,94.28,-0.08,-0.3,30.1,30.57,0.0,-0.47,38,32
2003-03-03,1,927.4,1324,90.67,97.5,-6.63,-0.2,22.46,22.78,0.0,-0.32,37,28
2003-03-03,2,903.8,1287,87.5,94.43,-6.76,-0.17,24.36,24.75,0.0,-0.39,36,25
2003-03-03,3,920.7,1274,85.0,92.01,-6.84,-0.17,44.49,45.15,0.0,-0.66,35,24
2003-03-03,4,896.6,1283,86.03,93.36,-7.19,-0.14,120.07,122.77,0.0,-2.7,34,16
2003-03-03,5,916.4,1350,88.0,95.25,-7.09,-0.16,80.96,82.93,0.0,-1.97,29,-2
2003-03-03,6,993.9,1521,95.28,102.12,-6.64,-0.2,122.69,125.34,0.0,-2.65,24,-3
2003-03-03,7,1194.7,1784,100.0,106.4,-6.09,-0.31,187.87,190.68,0.0,-2.81,20,1
2003-03-03,8,1304.2,1958,113.62,125.19,-11.21,-0.36,145.08,147.13,0.0,-2.05,17,-3
2003-03-03,9,1342.8,2017,124.1,136.15,-11.66,-0.39,140.28,142.41,0.0,-2.13,16,-3
2003-03-03,10,1360.9,2041,124.1,136.32,-11.82,-0.4,137.83,140.41,0.0,-2.58,16,-7
2003-03-03,11,1363.1,2067,114.15,128.58,-14.05,-0.38,129.46,131.69,0.0,-2.23,15,-9
2003-03-03,12,1355.0,2063,109.02,123.95,-14.6,-0.33,119.13,120.97,0.0,-1.84,16,-10
2003-03-03,13,1348.1,2040,107.03,122.49,-15.13,-0.33,115.15,116.88,0.0,-1.73,17,-10
2003-03-03,14,1335.1,2018,105.06,119.04,-13.66,-0.32,101.87,103.38,0.0,-1.51,17,-10
2003-03-03,15,1319.0,1985,103.06,114.35,-11.0,-0.29,101.85,103.3,0.0,-1.45,19,-8
2003-03-03,16,1328.5,1978,105.06,116.22,-10.86,-0.3,107.61,109.17,0.0,-1.56,19,-9
