Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2004-01-01,1,1835.3,1631,40.83,40.09,0.0,0.74,31.83,31.51,0.0,0.32,37,23
2004-01-01,2,1900.7,1545,38.94,38.22,0.0,0.72,37.46,36.96,0.0,0.5,37,23
2004-01-01,3,1854.2,1483,35.9,35.23,0.0,0.67,25.71,25.36,0.0,0.35,37,20
2004-01-01,4,1838.2,1455,34.76,34.11,0.0,0.65,29.31,28.9,0.0,0.41,36,18
2004-01-01,5,1811.7,1456,34.76,34.11,0.0,0.65,26.09,25.73,0.0,0.36,34,17
2004-01-01,6,1655.6,1489,35.36,34.7,0.0,0.66,21.65,21.33,0.0,0.32,32,18
2004-01-01,7,1733.5,1550,38.94,38.21,0.0,0.73,21.66,21.4,0.0,0.26,31,18
2004-01-01,8,1587.4,1592,40.72,39.96,0.0,0.76,20.92,20.67,0.0,0.25,31,18
2004-01-01,9,1714.2,1670,42.08,41.29,0.0,0.79,26.03,25.65,0.0,0.38,31,19
2004-01-01,10,1613.5,1770,44.22,43.39,0.0,0.83,35.54,35.08,0.0,0.46,34,19
2004-01-01,11,1886.3,1863,46.34,45.48,0.0,0.86,41.61,41.1,0.0,0.51,36,19
2004-01-01,12,1829.3,1918,46.14,45.28,0.0,0.86,42.63,42.1,0.0,0.53,37,19
2004-01-01,13,1645.8,1926,45.2,44.36,0.0,0.84,39.94,39.48,0.0,0.46,37,20
2004-01-01,14,1580.7,1902,43.86,43.06,0.0,0.8,29.11,28.78,0.0,0.33,37,20
2004-01-01,15,1531.6,1872,41.54,40.78,0.0,0.76,32.41,32.0,0.0,0.41,37,20
2004-01-01,16,1536.2,1882,44.58,43.76,0.0,0.82,38.13,37.64,0.0,0.49,37,21
2004-01-01,17,1772.2,2051,59.72,58.6,0.0,1.12,58.9,58.18,0.0,0.72,36,21
2004-01-01,18,1740.5,2231,80.41,78.91,0.0,1.5,68.75,68.09,0.0,0.66,34,21
