Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2009-01-01,1,1061.1,1201,70.1,69.03,4.01,-2.94,78.34,81.53,0.0,-3.19,7,-8
2009-01-01,2,1015.4,1153,70.25,72.57,0.77,-3.09,77.94,80.9,0.0,-2.96,7,-8
2009-01-01,3,996.6,1125,63.0,65.8,0.0,-2.8,76.72,80.04,0.0,-3.32,6,-10
2009-01-01,4,892.7,1121,60.4,63.09,0.0,-2.69,77.55,81.32,0.0,-3.77,6,-10
2009-01-01,5,897.0,1135,60.11,62.77,0.0,-2.66,64.2,66.6,0.0,-2.4,6,-9
2009-01-01,6,960.9,1170,64.3,67.15,0.0,-2.85,69.09,71.56,0.0,-2.47,6,-10
2009-01-01,7,1047.3,1227,60.92,63.61,0.0,-2.69,55.73,57.88,0.0,-2.15,5,-11
2009-01-01,8,1094.4,1275,63.58,66.34,0.0,-2.76,46.44,48.36,0.0,-1.92,5,-9
2009-01-01,9,1151.1,1341,64.48,67.28,0.0,-2.8,59.4,62.34,0.0,-2.94,5,-9
2009-01-01,10,1228.3,1410,65.98,68.85,0.0,-2.87,63.79,67.21,0.0,-3.42,7,-9
2009-01-01,11,1320.3,1450,69.39,72.41,0.0,-3.02,64.16,67.78,0.0,-3.62,10,-7
2009-01-01,12,1320.9,1466,71.13,74.22,0.0,-3.09,65.27,69.1,0.0,-3.83,11,-6
2009-01-01,13,1338.0,1454,69.39,72.4,0.0,-3.01,61.25,64.39,0.0,-3.14,12,-5
2009-01-01,14,1308.7,1434,66.39,69.27,0.0,-2.88,60.79,63.9,0.0,-3.11,16,-3
2009-01-01,15,1231.0,1416,64.94,67.76,0.0,-2.82,58.44,61.33,0.0,-2.89,17,-3
2009-01-01,16,1295.1,1431,65.42,68.26,0.0,-2.84,59.81,62.49,0.0,-2.68,17,-2
2009-01-01,17,1524.6,1579,76.74,80.05,0.0,-3.31,75.29,78.89,0.0,-3.6,17,-2
2009-01-01,18,1688.4,1672,85.28,90.27,-1.24,-3.75,78.3,82.07,0.0,-3.77,15,-2
2009-01-01,19,1498.3,1646,81.65,85.92,-0.69,-3.58,66.82,70.4,0.0,-3.58,14,-2
2009-01-01,20,1407.6,1603,80.74,84.99,-0.71,-3.54,74.19,79.05,0.0,-4.86,12,-3
2009-01-01,21,1348.0,1536,75.93,79.36,-0.12,-3.31,65.35,69.15,0.0,-3.8,11,-3
2009-01-01,22,1125.0,1445,65.98,68.86,0.0,-2.88,62.19,65.8,0.0,-3.61,12,-3
2009-01-01,23,974.9,1339,60.92,63.58,0.0,-2.66,58.25,61.58,0.0,-3.33,11,-4
2009-01-01,24,1000.2,1245,65.11,68.0,0.0,-2.89,57.15,59.95,0.0,-2.8,10,-4
2009-01-02,1,874.7,1179,54.84,57.45,0.0,-2.61,52.2,53.42,0.0,-1.22,10,-4
2009-01-02,2,844.2,1151,53.83,56.39,0.0,-2.56,46.34,47.4,0.0,-1.06,10,-5
2009-01-02,3,812.8,1134,54.19,56.76,0.0,-2.57,46.88,47.95,0.0,-1.07,10,-5
2009-01-02,4,804.1,1137,53.07,55.59,0.0,-2.52,46.77,47.84,0.0,-1.07,12,-3
2009-01-02,5,804.5,1164,52.89,55.4,0.0,-2.51,44.95,45.59,0.0,-0.64,13,-4
2009-01-02,6,883.4,1246,54.84,57.45,0.0,-2.61,39.77,40.58,0.0,-0.81,13,-3
2009-01-02,7,1187.7,1359,65.66,68.78,0.0,-3.12,52.24,54.27,0.0,-2.03,13,-2
2009-01-02,8,1189.6,1450,70.72,74.04,0.0,-3.32,59.96,62.38,0.0,-2.42,12,-3
2009-01-02,9,1213.5,1519,76.45,80.37,-0.3,-3.62,65.69,68.38,0.0,-2.69,11,-1
2009-01-02,10,1172.3,1553,81.85,87.26,-1.49,-3.92,64.79,67.86,0.0,-3.07,14,-1
2009-01-02,11,1122.1,1553,78.55,83.04,-0.76,-3.73,63.31,66.63,0.0,-3.32,17,0
2009-01-02,12,1147.9,1534,75.17,78.72,-0.02,-3.53,66.22,70.15,0.0,-3.93,20,1
2009-01-02,13,1170.9,1487,70.44,73.75,0.0,-3.31,67.1,71.53,0.0,-4.43,24,0
2009-01-02,14,1064.0,1447,66.07,69.18,0.0,-3.11,66.68,71.24,0.0,-4.56,25,2
2009-01-02,15,1021.7,1431,64.37,67.4,0.0,-3.03,60.62,63.94,0.0,-3.32,26,6
2009-01-02,16,1042.1,1436,63.83,66.83,0.0,-3.0,61.3,64.18,0.0,-2.88,27,8
2009-01-02,17,1185.0,1563,70.4,73.69,0.0,-3.29,82.02,86.63,0.0,-4.61,26,9
