Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2012-01-01,1,752.5,772,35.68,35.22,0.0,0.46,56.92,55.78,0.0,1.14,40,36
2012-01-01,2,719.6,732,33.87,33.39,0.0,0.48,39.78,39.01,0.0,0.77,39,35
2012-01-01,3,696.8,696,30.71,30.3,0.0,0.41,39.06,38.29,0.0,0.77,40,36
2012-01-01,4,692.6,677,29.28,28.88,0.0,0.4,34.46,33.77,0.0,0.69,38,35
2012-01-01,5,701.0,671,20.49,20.21,0.0,0.28,22.59,22.14,0.0,0.45,37,34
2012-01-01,6,664.6,682,20.49,20.24,0.0,0.25,37.84,37.08,0.0,0.76,36,34
2012-01-01,7,698.4,708,31.13,30.7,0.0,0.43,40.69,39.92,0.0,0.77,37,34
2012-01-01,8,734.3,717,34.78,34.33,0.0,0.45,26.17,25.71,0.0,0.46,31,30
2012-01-01,9,782.3,753,37.75,37.57,0.0,0.18,35.87,35.36,0.0,0.51,31,31
2012-01-01,10,873.1,792,38.69,38.45,0.0,0.24,51.5,50.77,0.0,0.73,41,36
2012-01-01,11,878.1,823,41.32,41.22,0.0,0.1,38.44,37.88,0.0,0.56,45,38
2012-01-01,12,894.8,831,42.13,42.04,0.0,0.09,32.92,32.44,0.0,0.48,48,37
2012-01-01,13,907.9,838,40.37,40.29,0.0,0.08,33.73,33.26,0.0,0.47,51,37
2012-01-01,14,898.6,834,37.93,37.76,0.0,0.17,23.43,23.1,0.0,0.33,52,36
2012-01-01,15,893.1,821,36.71,36.52,0.0,0.19,21.77,21.48,0.0,0.29,53,35
2012-01-01,16,902.0,829,38.77,38.63,0.0,0.14,25.28,25.04,0.0,0.24,52,36
2012-01-01,17,1058.7,914,49.76,49.78,0.0,-0.02,41.89,41.49,0.0,0.4,48,40
2012-01-01,18,1106.1,1001,66.35,66.82,-0.42,-0.05,49.9,49.49,0.0,0.41,47,41
2012-01-01,19,1071.4,994,57.44,57.92,-0.46,-0.02,54.64,54.23,0.0,0.41,46,41
2012-01-01,20,1048.6,969,46.86,46.85,0.0,0.01,50.8,50.44,0.0,0.36,47,41
2012-01-01,21,1012.4,938,45.25,45.3,0.0,-0.05,44.43,44.16,0.0,0.27,46,42
2012-01-01,22,953.0,881,38.52,38.51,0.0,0.01,38.19,37.89,0.0,0.3,47,43
2012-01-01,23,873.6,822,38.52,38.05,0.0,0.47,37.96,37.45,0.0,0.51,48,45
2012-01-01,24,788.4,749,38.52,38.19,0.0,0.33,30.76,30.22,0.0,0.54,50,47
2012-01-02,1,671.3,689,30.9,30.24,0.0,0.66,26.21,25.68,0.0,0.53,50,47
2012-01-02,2,645.9,652,31.43,30.8,0.0,0.63,2.59,2.54,0.0,0.05,51,47
2012-01-02,3,633.5,632,24.35,23.86,0.0,0.49,0.0,0.0,0.0,0.0,50,46
2012-01-02,4,628.3,626,20.74,20.34,0.0,0.4,0.0,0.0,0.0,0.0,49,45
2012-01-02,5,636.5,635,20.74,20.34,0.0,0.4,0.0,0.0,0.0,0.0,48,42
2012-01-02,6,671.4,662,31.54,30.89,0.0,0.65,0.0,0.0,0.0,0.0,46,38
2012-01-02,7,733.4,702,31.62,31.0,0.0,0.62,0.0,0.0,0.0,0.0,45,37
2012-01-02,8,787.9,729,36.24,35.45,0.0,0.79,0.0,0.0,0.0,0.0,41,33
2012-01-02,9,874.2,779,42.41,41.49,0.0,0.92,0.0,0.0,0.0,0.0,40,29
2012-01-02,10,912.1,840,50.77,49.85,0.0,0.92,37.21,36.62,0.0,0.59,42,27
2012-01-02,11,932.0,879,45.38,44.52,0.0,0.86,40.99,40.44,0.0,0.55,42,22
2012-01-02,12,944.6,895,48.91,48.05,0.0,0.86,40.53,40.09,0.0,0.44,43,22
2012-01-02,13,935.9,903,45.18,44.38,0.0,0.8,40.35,39.91,0.0,0.44,40,19
2012-01-02,14,925.8,896,43.66,42.87,0.0,0.79,38.52,38.09,0.0,0.43,42,19
2012-01-02,15,912.5,886,39.36,38.67,0.0,0.69,35.13,34.69,0.0,0.44,43,18
2012-01-02,16,913.6,903,39.6,38.96,0.0,0.64,35.02,34.67,0.0,0.35,42,16
2012-01-02,17,1085.2,1005,67.57,66.92,0.0,0.65,57.27,56.88,0.0,0.39,40,15
2012-01-02,18,1117.0,1102,86.33,85.73,0.0,0.6,209.61,208.66,0.0,0.95,39,14
2012-01-02,19,1107.1,1101,83.01,82.36,0.0,0.65,49.09,48.77,0.0,0.32,37,15
2012-01-02,20,1086.3,1073,78.85,78.3,0.0,0.55,57.53,57.27,0.0,0.26,34,15
2012-01-02,21,1053.1,1032,59.19,58.68,0.0,0.51,41.03,40.94,0.0,0.09,33,16
2012-01-02,22,980.6,960,47.07,46.51,0.0,0.56,25.9,25.66,0.0,0.24,33,17
2012-01-02,23,891.8,874,47.22,46.4,0.0,0.82,29.02,28.52,0.0,0.5,32,17
2012-01-02,24,821.8,796,40.81,40.14,0.0,0.67,28.98,28.46,0.0,0.52,32,18
2012-01-03,1,811.4,739,37.73,37.17,0.0,0.56,38.45,37.77,0.0,0.68,31,18
