Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt,SYSLoad,RegCP
2013-01-01,1,11828,12598,79.8,79.34,0.0,0.46,99.23,98.56,0.0,0.67,33,22,12825,11.0
2013-01-01,2,11785,11953,66.28,65.81,0.0,0.47,120.08,119.2,0.0,0.88,33,22,12167,7.34
2013-01-01,3,11600,11489,68.89,68.47,0.0,0.42,35.71,35.41,0.0,0.3,33,22,11697,6.77
2013-01-01,4,11252,11239,50.22,50.01,0.0,0.21,32.87,32.61,0.0,0.26,34,22,11440,7.15
2013-01-01,5,11399,11253,51.67,51.47,0.0,0.2,35.44,35.14,0.0,0.3,33,22,11450,6.8
2013-01-01,6,11758,11551,50.92,50.75,0.0,0.17,35.45,35.2,0.0,0.25,33,23,11743,6.8
2013-01-01,7,12470,12025,76.7,76.47,0.0,0.23,34.63,34.41,0.0,0.22,33,23,12227,6.8
2013-01-01,8,13036,12379,65.13,65.01,0.0,0.12,23.39,23.24,0.0,0.15,32,22,12592,6.8
2013-01-01,9,13575,12994,75.26,75.1,0.0,0.16,42.07,41.83,0.0,0.24,32,22,13213,8.55
2013-01-01,10,14229,13739,78.25,78.08,0.0,0.17,46.77,46.5,0.0,0.27,33,20,13957,7.5
2013-01-01,11,14551,14343,93.86,93.56,0.0,0.3,54.87,54.49,0.0,0.38,33,18,14590,6.8
2013-01-01,12,14824,14720,100.7,100.31,0.0,0.39,60.43,60.02,0.0,0.41,32,16,14963,6.66
2013-01-01,13,14801,14817,100.76,100.37,0.0,0.39,73.54,73.04,0.0,0.5,32,16,15059,6.77
2013-01-01,14,14444,14758,97.86,97.58,0.0,0.28,57.9,57.55,0.0,0.35,32,15,14999,6.64
2013-01-01,15,14295,14796,93.33,93.09,0.0,0.24,40.78,40.57,0.0,0.21,31,14,15029,6.77
2013-01-01,16,14653,15095,80.41,80.32,0.0,0.09,65.7,65.36,0.0,0.34,30,12,15323,6.8
2013-01-01,17,15788,16500,117.52,117.22,0.0,0.3,130.05,129.51,0.0,0.54,28,11,16747,9.25
2013-01-01,18,16476,17830,156.87,156.7,0.0,0.17,127.17,126.61,0.0,0.56,27,10,18116,7.63
2013-01-01,19,16313,17747,147.37,148.11,-1.08,0.34,180.02,179.2,0.0,0.82,26,10,18040,19.41
2013-01-01,20,15969,17341,134.18,133.79,0.0,0.39,137.79,137.12,0.0,0.67,25,9,17628,9.09
2013-01-01,21,15354,16699,125.77,125.28,0.0,0.49,128.96,128.24,0.0,0.72,23,8,16974,6.5
2013-01-01,22,15204,15676,110.2,109.69,0.0,0.51,96.84,96.25,0.0,0.59,21,6,15941,6.5
2013-01-01,23,13963,14365,101.05,100.7,0.0,0.35,70.41,69.98,0.0,0.43,20,5,14612,6.75
2013-01-01,24,12774,13230,84.32,83.83,0.0,0.49,62.63,62.22,0.0,0.41,18,5,13460,6.8
2013-01-02,1,12715,12547,79.01,78.57,0.0,0.44,65.41,64.93,0.0,0.48,18,4,12793,9.13
2013-01-02,2,12854,12215,58.63,58.22,0.0,0.41,49.08,48.7,0.0,0.38,16,3,12436,9.0
2013-01-02,3,12650,12099,62.39,61.94,0.0,0.45,36.92,36.62,0.0,0.3,15,3,12313,9.0
2013-01-02,4,12722,12196,61.76,61.29,0.0,0.47,35.59,35.33,0.0,0.26,15,4,12418,9.0
2013-01-02,5,12802,12635,62.23,61.79,0.0,0.44,27.68,27.49,0.0,0.19,14,4,12846,9.42
2013-01-02,6,13038,13860,80.71,80.35,0.0,0.36,60.4,60.08,0.0,0.32,14,4,14081,9.0
2013-01-02,7,14718,15970,119.93,119.35,0.0,0.58,115.12,114.82,0.0,0.3,13,4,16210,6.95
2013-01-02,8,15914,17102,124.56,124.01,0.0,0.55,117.13,116.85,0.0,0.28,14,5,17373,10.3
2013-01-02,9,16296,17307,124.45,123.98,0.0,0.47,113.78,113.59,0.0,0.19,14,5,17567,9.91
2013-01-02,10,16321,17417,123.05,122.68,0.0,0.37,112.1,111.85,0.0,0.25,17,6,17687,6.77
2013-01-02,11,16387,17453,124.85,124.47,0.0,0.38,110.04,109.7,0.0,0.34,21,7,17699,6.8
2013-01-02,12,16610,17372,118.55,118.12,0.0,0.43,110.24,109.67,0.0,0.57,24,9,17635,6.8
2013-01-02,13,16242,17220,111.54,111.17,0.0,0.37,107.34,106.77,0.0,0.57,26,10,17481,6.64
2013-01-02,14,15917,17156,106.25,105.91,0.0,0.34,103.83,103.29,0.0,0.54,27,10,17416,6.61
2013-01-02,15,15752,17099,103.3,102.97,0.0,0.33,99.08,98.59,0.0,0.49,27,10,17363,6.61
2013-01-02,16,15938,17296,103.5,103.28,0.0,0.22,97.39,96.95,0.0,0.44,26,10,17544,6.61
2013-01-02,17,17458,18431,124.8,124.32,0.0,0.48,106.37,105.9,0.0,0.47,25,9,18705,6.61
2013-01-02,18,18318,19653,130.0,129.76,0.0,0.24,111.38,111.04,0.0,0.34,23,9,19989,6.77
2013-01-02,19,18207,19592,127.99,127.86,0.0,0.13,113.38,113.14,0.0,0.24,22,7,19913,6.8
2013-01-02,20,17906,19202,125.9,125.58,0.0,0.32,117.8,117.45,0.0,0.35,20,6,19496,6.8
2013-01-02,21,17421,18528,123.34,122.96,0.0,0.38,109.29,109.04,0.0,0.25,19,5,18823,6.8
2013-01-02,22,16191,17398,112.93,112.61,0.0,0.32,105.7,105.3,0.0,0.4,17,3,17675,6.8
2013-01-02,23,14668,15900,106.34,106.0,0.0,0.34,111.6,111.16,0.0,0.44,16,2,16138,6.8
2013-01-02,24,13312,14572,71.09,70.9,0.0,0.19,118.51,118.01,0.0,0.5,13,0,14818,6.8
2013-01-03,1,12924,13792,61.61,61.37,0.0,0.24,95.69,95.25,0.0,0.44,12,-1,14021,6.64
2013-01-03,2,12856,13405,51.17,50.93,0.0,0.24,93.7,93.24,0.0,0.46,10,-3,13634,6.61
2013-01-03,3,12859,13247,48.22,47.97,0.0,0.25,65.14,64.84,0.0,0.3,9,-5,13478,8.6
2013-01-03,4,12739,13316,48.19,47.92,0.0,0.27,60.6,60.31,0.0,0.29,8,-5,13529,9.0
2013-01-03,5,12950,13704,51.01,50.74,0.0,0.27,70.97,70.59,0.0,0.38,7,-5,13916,7.01
2013-01-03,6,13285,14874,66.66,66.47,0.0,0.19,92.89,92.71,0.0,0.18,6,-7,15085,16.1
2013-01-03,7,15419,16963,93.93,93.46,0.0,0.47,198.14,197.76,0.0,0.38,5,-7,17219,24.04
2013-01-03,8,16595,18063,103.24,102.77,0.0,0.47,148.53,148.2,0.0,0.33,5,-7,18355,10.27
2013-01-03,9,16634,18207,106.81,106.32,0.0,0.49,105.55,105.36,0.0,0.19,4,-7,18483,6.8
2013-01-03,10,16590,18153,94.8,94.68,0.0,0.12,97.02,96.87,0.0,0.15,7,-6,18444,6.8
2013-01-03,11,16702,18079,79.91,79.8,0.0,0.11,78.65,78.5,0.0,0.15,11,-5,18356,9.73
2013-01-03,12,16607,17840,77.77,77.71,0.0,0.06,71.75,71.72,0.0,0.03,14,-4,18177,7.25
2013-01-03,13,16384,17549,77.08,77.03,0.0,0.05,56.91,56.83,0.0,0.08,17,-3,17864,6.5
2013-01-03,14,16193,17360,77.47,77.4,0.0,0.07,55.42,55.31,0.0,0.11,19,-2,17622,6.5
2013-01-03,15,16070,17192,77.57,77.49,0.0,0.08,42.3,42.24,0.0,0.06,21,-1,17430,6.5
2013-01-03,16,16154,17265,74.88,74.89,0.0,-0.01,53.41,53.31,0.0,0.1,23,0,17573,6.5
2013-01-03,17,17636,18400,81.75,81.62,0.0,0.13,60.29,60.22,0.0,0.07,22,2,18640,6.5
2013-01-03,18,18436,19741,110.8,110.88,0.0,-0.08,67.17,67.21,0.0,-0.04,21,3,20020,6.5
2013-01-03,19,18146,19753,105.49,105.6,0.0,-0.11,64.2,64.26,0.0,-0.06,19,4,20059,6.5
2013-01-03,20,17675,19370,106.41,106.35,0.0,0.06,65.97,65.94,0.0,0.03,20,5,19667,6.5
2013-01-03,21,17150,18604,93.18,93.06,0.0,0.12,60.4,60.38,0.0,0.02,20,6,18887,6.5
2013-01-03,22,16171,17400,77.51,77.31,0.0,0.2,54.8,54.69,0.0,0.11,20,7,17677,6.5
2013-01-03,23,14657,15824,79.08,78.94,0.0,0.14,47.44,47.34,0.0,0.1,20,8,16059,17.75
