Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2014-01-01,1,3201.4,3368,140.93,143.83,0.0,-2.9,115.76,117.43,0.0,-1.67,23,4
2014-01-01,2,3055.8,3234,123.3,125.53,0.0,-2.23,146.01,148.38,0.0,-2.37,21,3
2014-01-01,3,2964.5,3135,112.51,114.41,0.0,-1.9,95.76,97.06,0.0,-1.3,18,3
2014-01-01,4,2924.3,3104,101.82,103.42,0.0,-1.6,38.18,38.54,0.0,-0.36,19,4
2014-01-01,5,2946.8,3096,113.89,116.1,0.0,-2.21,77.95,79.01,0.0,-1.06,19,5
2014-01-01,6,3038.7,3190,123.29,143.3,-16.85,-3.16,118.89,120.46,0.0,-1.57,18,5
2014-01-01,7,3317.9,3305,128.92,173.45,-41.14,-3.39,60.67,61.56,0.0,-0.89,19,7
2014-01-01,8,3595.4,3372,126.4,146.9,-17.8,-2.7,32.37,32.89,0.0,-0.52,19,7
2014-01-01,9,3707.9,3487,157.17,160.23,0.0,-3.06,49.66,50.72,0.0,-1.06,18,7
2014-01-01,10,3914.5,3627,177.09,181.03,0.0,-3.94,85.17,87.28,0.0,-2.11,21,8
2014-01-01,11,4003.5,3725,190.0,194.27,0.0,-4.27,125.81,128.58,0.0,-2.77,24,8
2014-01-01,12,4027.0,3770,190.52,194.8,0.0,-4.28,106.79,109.15,0.0,-2.36,26,8
2014-01-01,13,3983.2,3773,195.77,200.44,0.0,-4.67,114.53,117.01,0.0,-2.48,28,6
2014-01-01,14,3921.1,3742,186.67,190.79,0.0,-4.12,68.93,70.48,0.0,-1.55,30,6
2014-01-01,15,3887.0,3750,178.25,182.18,0.0,-3.93,46.8,47.83,0.0,-1.03,30,3
2014-01-01,16,3916.1,3820,181.98,185.98,0.0,-4.0,47.52,48.61,0.0,-1.09,30,4
2014-01-01,17,4243.6,4096,207.23,212.34,0.0,-5.11,107.75,110.56,0.0,-2.81,29,4
2014-01-01,18,4593.7,4413,251.54,280.31,-21.39,-7.38,143.72,147.02,0.0,-3.3,28,5
2014-01-01,19,4540.2,4393,250.56,257.34,0.0,-6.78,131.95,135.25,0.0,-3.3,27,6
2014-01-01,20,4422.7,4287,198.05,203.32,0.0,-5.27,148.44,151.97,0.0,-3.53,27,5
2014-01-01,21,4253.3,4139,192.89,197.32,0.0,-4.43,162.42,165.77,0.0,-3.35,27,5
2014-01-01,22,4017.7,3893,176.28,179.55,0.0,-3.27,132.88,135.84,0.0,-2.96,26,10
2014-01-01,23,3715.9,3588,155.24,157.81,0.0,-2.57,40.63,41.6,0.0,-0.97,24,15
2014-01-01,24,3317.5,3290,128.94,131.53,0.0,-2.59,52.39,53.47,0.0,-1.08,23,17
2014-01-02,1,3232.1,3091,96.67,138.06,-39.45,-1.94,83.79,85.66,0.0,-1.87,22,18
2014-01-02,2,3099.2,3005,96.85,136.61,-37.81,-1.95,44.78,45.69,0.0,-0.91,21,18
2014-01-02,3,3004.2,2964,98.35,136.38,-35.91,-2.12,52.63,53.63,0.0,-1.0,21,18
2014-01-02,4,2996.8,2996,98.21,136.72,-36.31,-2.2,47.81,48.59,0.0,-0.78,20,17
2014-01-02,5,3074.0,3079,103.85,137.07,-30.98,-2.24,93.15,94.78,0.0,-1.63,20,17
2014-01-02,6,3335.5,3370,117.6,142.45,-22.58,-2.27,82.07,83.69,0.0,-1.62,20,17
2014-01-02,7,3750.6,3849,160.23,163.44,0.0,-3.21,141.79,144.6,0.0,-2.81,20,17
2014-01-02,8,4122.7,4183,171.05,173.55,0.0,-2.5,158.28,160.63,0.0,-2.35,20,16
2014-01-02,9,4266.5,4303,174.09,176.75,0.0,-2.66,155.43,157.44,0.0,-2.01,20,15
2014-01-02,10,4372.7,4393,174.69,176.79,0.0,-2.1,165.27,167.27,0.0,-2.0,18,14
2014-01-02,11,4466.2,4473,181.2,183.08,0.0,-1.88,171.86,173.97,0.0,-2.11,18,13
2014-01-02,12,4470.9,4548,179.07,180.68,0.0,-1.61,186.25,188.64,0.0,-2.39,17,12
2014-01-02,13,4438.6,4568,181.34,183.12,0.0,-1.78,200.91,203.63,0.0,-2.72,16,11
2014-01-02,14,4417.0,4596,178.25,180.17,0.0,-1.92,187.15,188.78,0.0,-1.63,16,11
2014-01-02,15,4397.0,4596,177.24,178.98,0.0,-1.74,173.73,174.92,0.0,-1.19,15,11
2014-01-02,16,4439.6,4623,168.91,171.06,0.0,-2.15,186.84,188.9,0.0,-2.06,15,10
2014-01-02,17,4671.3,4874,191.85,194.04,0.0,-2.19,220.98,221.73,0.0,-0.75,15,10
2014-01-02,18,5009.8,5111,262.94,266.32,0.0,-3.38,274.37,273.44,0.0,0.93,14,10
2014-01-02,19,4952.2,5075,213.19,216.12,0.0,-2.93,261.39,259.86,0.0,1.53,13,9
2014-01-02,20,4804.3,4946,191.93,193.93,0.0,-2.0,208.34,207.43,0.0,0.91,13,9
2014-01-02,21,4626.1,4762,189.19,190.14,0.0,-0.95,182.78,182.42,0.0,0.36,12,7
2014-01-02,22,4388.3,4496,169.69,169.94,0.0,-0.25,173.11,172.61,0.0,0.5,11,6
2014-01-02,23,4028.2,4173,155.69,156.95,0.0,-1.26,125.02,125.34,0.0,-0.32,9,4
2014-01-02,24,3618.0,3887,154.29,156.3,0.0,-2.01,74.58,74.96,0.0,-0.38,8,3
2014-01-03,1,3444.4,3682,180.65,183.5,0.0,-2.85,165.56,167.03,0.0,-1.47,7,3
2014-01-03,2,3328.7,3559,173.08,175.38,0.0,-2.3,172.97,174.48,0.0,-1.51,7,3
2014-01-03,3,3271.0,3522,166.93,168.89,0.0,-1.96,168.52,169.75,0.0,-1.23,6,1
2014-01-03,4,3276.5,3528,163.99,165.86,0.0,-1.87,151.62,152.71,0.0,-1.09,6,1
2014-01-03,5,3347.5,3588,173.63,175.88,0.0,-2.25,155.41,156.99,0.0,-1.58,6,2
2014-01-03,6,3630.3,3743,197.92,200.21,0.0,-2.29,186.8,188.19,0.0,-1.39,7,2
2014-01-03,7,4079.2,3988,233.54,237.83,0.0,-4.29,209.58,211.14,0.0,-1.56,8,3
2014-01-03,8,4432.2,4190,236.87,238.95,0.0,-2.08,208.34,210.38,0.0,-2.04,9,3
2014-01-03,9,4533.6,4407,223.49,226.02,0.0,-2.53,203.2,205.45,0.0,-2.25,10,4
2014-01-03,10,4639.3,4581,231.63,233.35,0.0,-1.72,213.91,215.56,0.0,-1.65,11,5
2014-01-03,11,4715.1,4669,234.96,236.6,0.0,-1.64,236.77,239.56,0.0,-2.79,11,3
2014-01-03,12,4675.3,4695,235.4,237.07,0.0,-1.67,208.06,209.05,0.0,-0.99,11,1
2014-01-03,13,4633.5,4687,226.8,228.96,0.0,-2.16,212.25,212.99,0.0,-0.74,11,-2
2014-01-03,14,4592.9,4652,221.28,223.36,0.0,-2.08,206.03,206.98,0.0,-0.95,11,-4
2014-01-03,15,4568.5,4604,216.55,218.36,0.0,-1.81,187.43,188.9,0.0,-1.47,12,-4
2014-01-03,16,4599.2,4629,216.98,218.88,0.0,-1.9,184.87,186.3,0.0,-1.43,11,-7
2014-01-03,17,4852.2,4878,237.18,238.88,0.0,-1.7,193.64,194.66,0.0,-1.02,10,-10
2014-01-03,18,5247.5,5237,295.0,296.72,0.0,-1.72,248.24,248.16,0.0,0.08,8,-9
2014-01-03,19,5185.2,5197,261.23,263.32,0.0,-2.09,221.78,222.11,0.0,-0.33,6,-8
2014-01-03,20,5045.7,5079,235.96,237.13,0.0,-1.17,209.6,210.02,0.0,-0.42,4,-7
2014-01-03,21,4864.9,4924,230.02,233.47,0.0,-3.45,161.55,162.85,0.0,-1.3,3,-8
2014-01-03,22,4647.4,4706,227.58,230.18,0.0,-2.6,174.7,175.71,0.0,-1.01,3,-7
2014-01-03,23,4282.0,4421,217.8,220.02,0.0,-2.22,124.01,124.22,0.0,-0.21,-1,-9
2014-01-03,24,3868.8,4137,209.87,211.62,0.0,-1.75,154.94,154.83,0.0,0.11,0,-10
2014-01-04,1,3621.5,3936,195.85,193.83,0.0,2.02,193.34,191.76,0.0,1.58,1,-10
2014-01-04,2,3445.0,3794,183.45,181.84,0.0,1.61,186.01,184.15,0.0,1.86,-3,-9
2014-01-04,3,3353.7,3721,169.85,167.93,0.0,1.92,159.01,157.27,0.0,1.74,-2,-8
2014-01-04,4,3321.0,3711,155.82,154.86,0.0,0.96,144.96,143.35,0.0,1.61,-8,-12
2014-01-04,5,3341.7,3748,151.0,149.94,0.0,1.06,151.52,149.95,0.0,1.57,-6,-11
2014-01-04,6,3459.0,3847,157.96,156.77,0.0,1.19,172.98,171.88,0.0,1.1,-5,-10
2014-01-04,7,3639.3,4018,178.45,177.81,0.0,0.64,197.41,197.0,0.0,0.41,-4,-8
2014-01-04,8,3846.5,4186,200.69,198.91,0.0,1.78,226.71,225.6,0.0,1.11,-7,-11
2014-01-04,9,4069.1,4385,210.0,209.15,0.0,0.85,221.64,221.14,0.0,0.5,-1,-5
2014-01-04,10,4251.2,4492,220.0,219.03,0.0,0.97,221.95,221.77,0.0,0.18,0,-6
2014-01-04,11,4305.5,4490,225.78,223.88,0.0,1.9,206.27,205.88,0.0,0.39,4,-2
2014-01-04,12,4278.1,4417,180.82,180.8,0.0,0.02,163.83,163.64,0.0,0.19,12,-4
2014-01-04,13,4196.9,4316,134.47,134.76,0.0,-0.29,148.54,148.52,0.0,0.02,15,-4
2014-01-04,14,4091.2,4223,134.49,134.81,0.0,-0.32,172.35,171.7,0.0,0.65,20,-4
2014-01-04,15,4021.3,4136,128.3,128.91,0.0,-0.61,156.98,156.29,0.0,0.69,23,-2
2014-01-04,16,4039.5,4142,129.46,130.29,0.0,-0.83,129.08,129.19,0.0,-0.11,24,0
2014-01-04,17,4410.9,4402,189.49,191.2,0.0,-1.71,201.08,201.82,0.0,-0.74,24,3
2014-01-04,18,4648.8,4744,250.0,252.05,0.0,-2.05,191.7,192.44,0.0,-0.74,23,3
2014-01-04,19,4647.6,4711,205.02,206.56,0.0,-1.54,200.1,200.63,0.0,-0.53,22,4
2014-01-04,20,4488.4,4580,171.82,172.75,0.0,-0.93,175.47,176.14,0.0,-0.67,22,4
2014-01-04,21,4334.5,4467,160.12,160.63,0.0,-0.51,195.79,196.78,0.0,-0.99,22,5
2014-01-04,22,4180.2,4280,143.77,143.35,0.0,0.42,125.77,125.88,0.0,-0.11,22,5
2014-01-04,23,3950.4,4044,120.12,119.6,0.0,0.52,58.98,58.91,0.0,0.07,22,5
2014-01-04,24,3642.9,3779,125.66,124.29,0.0,1.37,120.54,119.81,0.0,0.73,18,6
2014-01-05,1,3274.5,3563,115.28,114.04,0.0,1.24,225.78,224.08,0.0,1.7,20,6
2014-01-05,2,3127.7,3427,90.46,89.22,0.0,1.24,265.55,263.89,0.0,1.66,18,7
2014-01-05,3,3079.7,3361,82.92,81.73,0.0,1.19,219.54,217.8,0.0,1.74,14,6
2014-01-05,4,3038.1,3334,80.25,79.03,0.0,1.22,187.02,186.02,0.0,1.0,16,7
2014-01-05,5,3048.4,3353,83.92,82.6,0.0,1.32,203.56,202.03,0.0,1.53,16,9
2014-01-05,6,3136.7,3422,91.42,90.42,0.0,1.0,199.1,198.08,0.0,1.02,17,9
2014-01-05,7,3265.1,3550,102.86,102.41,0.0,0.45,180.2,180.49,0.0,-0.29,16,9
