Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2014-01-01,1,1215.7,1288,145.17,143.83,0.0,1.34,117.1,117.43,0.0,-0.33,9,6
2014-01-01,2,1162.0,1224,126.62,125.53,0.0,1.09,148.12,148.38,0.0,-0.26,13,7
2014-01-01,3,1140.1,1184,115.23,114.41,0.0,0.82,96.68,97.06,0.0,-0.38,11,5
2014-01-01,4,1014.1,1173,103.8,103.42,0.0,0.38,38.38,38.54,0.0,-0.16,13,5
2014-01-01,5,990.5,1188,116.63,116.1,0.0,0.53,78.72,79.01,0.0,-0.29,11,4
2014-01-01,6,1039.1,1219,148.31,143.3,4.17,0.84,119.88,120.46,0.0,-0.58,11,3
2014-01-01,7,1096.5,1266,184.41,173.45,10.17,0.79,61.24,61.56,0.0,-0.32,10,3
2014-01-01,8,1290.4,1314,152.41,146.9,4.57,0.94,32.79,32.89,0.0,-0.1,8,2
2014-01-01,9,1407.3,1393,161.75,160.23,0.0,1.52,50.71,50.72,0.0,-0.01,10,3
2014-01-01,10,1502.0,1457,183.37,181.03,0.0,2.34,87.36,87.28,0.0,0.08,15,3
2014-01-01,11,1563.2,1504,196.29,194.27,0.0,2.02,128.37,128.58,0.0,-0.21,18,4
2014-01-01,12,1554.6,1522,196.75,194.8,0.0,1.95,108.86,109.15,0.0,-0.29,19,4
2014-01-01,13,1518.0,1527,203.23,200.44,0.0,2.79,117.01,117.01,0.0,0.0,20,3
2014-01-01,14,1486.5,1512,193.22,190.79,0.0,2.43,70.47,70.48,0.0,-0.01,22,5
2014-01-01,15,1478.9,1501,184.55,182.18,0.0,2.37,47.89,47.83,0.0,0.06,21,5
2014-01-01,16,1488.7,1519,188.38,185.98,0.0,2.4,48.77,48.61,0.0,0.16,21,6
2014-01-01,17,1665.8,1650,215.23,212.34,0.0,2.89,110.76,110.56,0.0,0.2,20,6
2014-01-01,18,1797.0,1775,290.56,280.31,5.55,4.7,147.07,147.02,0.0,0.05,18,6
2014-01-01,19,1733.7,1766,261.41,257.34,0.0,4.07,135.5,135.25,0.0,0.25,15,5
2014-01-01,20,1678.1,1719,206.67,203.32,0.0,3.35,152.45,151.97,0.0,0.48,11,5
2014-01-01,21,1610.4,1646,200.64,197.32,0.0,3.32,166.38,165.77,0.0,0.61,8,5
2014-01-01,22,1505.5,1530,181.73,179.55,0.0,2.18,136.17,135.84,0.0,0.33,9,5
2014-01-01,23,1385.2,1392,159.32,157.81,0.0,1.51,41.67,41.6,0.0,0.07,10,7
2014-01-01,24,1264.4,1290,133.04,131.53,0.0,1.51,53.55,53.47,0.0,0.08,12,7
2014-01-02,1,1198.6,1222,147.93,138.06,9.84,0.03,85.68,85.66,0.0,0.02,12,7
2014-01-02,2,1156.8,1184,145.84,136.61,9.37,-0.14,45.77,45.69,0.0,0.08,13,6
2014-01-02,3,1131.7,1170,145.13,136.38,8.84,-0.09,53.77,53.63,0.0,0.14,12,6
2014-01-02,4,1130.7,1176,145.71,136.72,8.96,0.03,48.71,48.59,0.0,0.12,12,6
2014-01-02,5,1174.2,1229,145.02,137.07,7.59,0.36,95.16,94.78,0.0,0.38,11,6
2014-01-02,6,1304.0,1323,148.81,142.45,5.57,0.79,84.13,83.69,0.0,0.44,10,6
2014-01-02,7,1475.2,1479,165.46,163.44,0.0,2.02,145.7,144.6,0.0,1.1,10,6
2014-01-02,8,1597.3,1587,175.23,173.55,0.0,1.68,161.61,160.63,0.0,0.98,10,6
2014-01-02,9,1692.3,1654,178.84,176.75,0.0,2.09,158.36,157.44,0.0,0.92,10,6
2014-01-02,10,1732.7,1718,179.15,176.79,0.0,2.36,168.51,167.27,0.0,1.24,10,6
2014-01-02,11,1778.4,1770,185.02,183.08,0.0,1.94,175.03,173.97,0.0,1.06,10,5
2014-01-02,12,1780.2,1799,182.61,180.68,0.0,1.93,189.85,188.64,0.0,1.21,9,3
2014-01-02,13,1767.9,1802,185.52,183.12,0.0,2.4,205.11,203.63,0.0,1.48,8,3
2014-01-02,14,1774.0,1808,182.92,180.17,0.0,2.75,190.22,188.78,0.0,1.44,6,-1
2014-01-02,15,1758.9,1796,181.52,178.98,0.0,2.54,176.38,174.92,0.0,1.46,5,-2
2014-01-02,16,1751.5,1797,173.85,171.06,0.0,2.79,190.88,188.9,0.0,1.98,4,-2
2014-01-02,17,1853.3,1908,197.21,194.04,0.0,3.17,222.48,221.73,0.0,0.75,3,-2
2014-01-02,18,2004.4,2006,270.46,266.32,0.0,4.14,273.15,273.44,0.0,-0.29,2,-4
2014-01-02,19,1942.5,1976,219.59,216.12,0.0,3.47,259.3,259.86,0.0,-0.56,2,-3
2014-01-02,20,1898.2,1901,196.83,193.93,0.0,2.9,207.18,207.43,0.0,-0.25,1,-5
2014-01-02,21,1809.6,1808,192.93,190.14,0.0,2.79,182.87,182.42,0.0,0.45,0,-6
2014-01-02,22,1696.6,1689,171.72,169.94,0.0,1.78,172.8,172.61,0.0,0.19,-1,-7
2014-01-02,23,1522.2,1550,158.22,156.95,0.0,1.27,125.44,125.34,0.0,0.1,-1,-7
2014-01-02,24,1409.7,1432,157.81,156.3,0.0,1.51,74.99,74.96,0.0,0.03,-1,-7
2014-01-03,1,1261.5,1355,183.95,183.5,0.0,0.45,167.05,167.03,0.0,0.02,-1,-6
2014-01-03,2,1226.5,1305,175.73,175.38,0.0,0.35,174.3,174.48,0.0,-0.18,0,-6
2014-01-03,3,1199.4,1286,168.97,168.89,0.0,0.08,169.45,169.75,0.0,-0.3,0,-6
2014-01-03,4,1182.0,1284,165.81,165.86,0.0,-0.05,152.41,152.71,0.0,-0.3,0,-5
2014-01-03,5,1220.6,1315,176.04,175.88,0.0,0.16,156.95,156.99,0.0,-0.04,1,-5
2014-01-03,6,1342.4,1397,199.82,200.21,0.0,-0.39,188.26,188.19,0.0,0.07,2,-3
2014-01-03,7,1543.3,1522,238.53,237.83,0.0,0.7,210.63,211.14,0.0,-0.51,3,-2
2014-01-03,8,1679.2,1617,238.99,238.95,0.0,0.04,209.57,210.38,0.0,-0.81,4,-1
2014-01-03,9,1716.1,1691,226.33,226.02,0.0,0.31,204.87,205.45,0.0,-0.58,4,-1
2014-01-03,10,1730.7,1747,233.13,233.35,0.0,-0.22,215.25,215.56,0.0,-0.31,4,-1
2014-01-03,11,1743.5,1770,236.41,236.6,0.0,-0.19,239.75,239.56,0.0,0.19,4,-3
2014-01-03,12,1726.2,1773,236.81,237.07,0.0,-0.26,208.17,209.05,0.0,-0.88,6,-4
2014-01-03,13,1715.6,1754,229.08,228.96,0.0,0.12,211.81,212.99,0.0,-1.18,6,-5
2014-01-03,14,1690.9,1735,223.37,223.36,0.0,0.01,206.04,206.98,0.0,-0.94,6,-5
2014-01-03,15,1642.0,1717,217.96,218.36,0.0,-0.4,188.83,188.9,0.0,-0.07,7,-7
2014-01-03,16,1676.4,1723,218.91,218.88,0.0,0.03,186.57,186.3,0.0,0.27,6,-9
2014-01-03,17,1779.2,1830,239.01,238.88,0.0,0.13,194.75,194.66,0.0,0.09,5,-10
2014-01-03,18,1928.5,1948,298.17,296.72,0.0,1.45,247.62,248.16,0.0,-0.54,3,-11
2014-01-03,19,1911.5,1939,264.54,263.32,0.0,1.22,221.83,222.11,0.0,-0.28,1,-13
2014-01-03,20,1848.7,1885,237.77,237.13,0.0,0.64,209.77,210.02,0.0,-0.25,0,-15
2014-01-03,21,1786.0,1816,235.01,233.47,0.0,1.54,163.24,162.85,0.0,0.39,-2,-15
2014-01-03,22,1672.7,1718,230.64,230.18,0.0,0.46,175.9,175.71,0.0,0.19,-4,-17
2014-01-03,23,1536.0,1589,219.87,220.02,0.0,-0.15,123.88,124.22,0.0,-0.34,-3,-18
2014-01-03,24,1389.7,1470,210.18,211.62,0.0,-1.44,153.49,154.83,0.0,-1.34,-6,-18
2014-01-04,1,1321.3,1381,191.12,193.83,0.0,-2.71,188.68,191.76,0.0,-3.08,-7,-16
2014-01-04,2,1264.6,1342,179.85,181.84,0.0,-1.99,181.25,184.15,0.0,-2.9,-11,-17
2014-01-04,3,1289.4,1322,165.55,167.93,0.0,-2.38,154.99,157.27,0.0,-2.28,-14,-19
2014-01-04,4,1257.4,1319,152.69,154.86,0.0,-2.17,141.43,143.35,0.0,-1.92,-11,-17
2014-01-04,5,1259.1,1337,148.42,149.94,0.0,-1.52,148.21,149.95,0.0,-1.74,-12,-16
2014-01-04,6,1329.2,1386,155.44,156.77,0.0,-1.33,170.42,171.88,0.0,-1.46,-14,-17
2014-01-04,7,1408.5,1464,177.29,177.81,0.0,-0.52,196.05,197.0,0.0,-0.95,-12,-17
2014-01-04,8,1496.9,1549,197.69,198.91,0.0,-1.22,224.05,225.6,0.0,-1.55,-9,-14
2014-01-04,9,1585.1,1637,208.06,209.15,0.0,-1.09,219.58,221.14,0.0,-1.56,-10,-14
2014-01-04,10,1635.2,1686,217.73,219.03,0.0,-1.3,220.1,221.77,0.0,-1.67,-8,-11
2014-01-04,11,1650.8,1692,222.85,223.88,0.0,-1.03,204.44,205.88,0.0,-1.44,2,-9
2014-01-04,12,1603.4,1672,181.26,180.8,0.0,0.46,162.71,163.64,0.0,-0.93,6,-9
2014-01-04,13,1527.7,1635,134.79,134.76,0.0,0.03,147.74,148.52,0.0,-0.78,10,-6
2014-01-04,14,1488.4,1596,134.44,134.81,0.0,-0.37,170.42,171.7,0.0,-1.28,12,-6
2014-01-04,15,1502.2,1567,128.67,128.91,0.0,-0.24,155.12,156.29,0.0,-1.17,19,-3
2014-01-04,16,1524.2,1575,130.15,130.29,0.0,-0.14,128.22,129.19,0.0,-0.97,20,-4
2014-01-04,17,1671.7,1684,191.94,191.2,0.0,0.74,200.48,201.82,0.0,-1.34,20,-2
2014-01-04,18,1774.0,1790,252.85,252.05,0.0,0.8,190.69,192.44,0.0,-1.75,14,1
2014-01-04,19,1723.6,1769,206.65,206.56,0.0,0.09,198.65,200.63,0.0,-1.98,17,-2
2014-01-04,20,1659.4,1718,172.59,172.75,0.0,-0.16,174.62,176.14,0.0,-1.52,16,-1
2014-01-04,21,1614.7,1667,160.29,160.63,0.0,-0.34,195.59,196.78,0.0,-1.19,13,1
2014-01-04,22,1483.1,1569,142.62,143.35,0.0,-0.73,124.81,125.88,0.0,-1.07,16,2
2014-01-04,23,1380.3,1449,118.99,119.6,0.0,-0.61,58.38,58.91,0.0,-0.53,8,1
2014-01-04,24,1245.6,1340,122.95,124.29,0.0,-1.34,118.37,119.81,0.0,-1.44,6,1
2014-01-05,1,1097.2,1257,112.69,114.04,0.0,-1.35,220.82,224.08,0.0,-3.26,4,0
2014-01-05,2,1038.6,1204,88.03,89.22,0.0,-1.19,259.71,263.89,0.0,-4.18,1,-1
2014-01-05,3,1038.7,1183,80.62,81.73,0.0,-1.11,214.64,217.8,0.0,-3.16,1,-2
2014-01-05,4,1001.4,1177,77.94,79.03,0.0,-1.09,183.78,186.02,0.0,-2.24,0,-3
2014-01-05,5,1009.6,1188,81.47,82.6,0.0,-1.13,199.34,202.03,0.0,-2.69,-1,-4
2014-01-05,6,1054.2,1225,89.45,90.42,0.0,-0.97,195.86,198.08,0.0,-2.22,-4,-8
2014-01-05,7,1101.3,1289,101.71,102.41,0.0,-0.7,179.22,180.49,0.0,-1.27,-2,-6
2014-01-05,8,1275.8,1361,103.45,103.63,0.0,-0.18,179.63,180.64,0.0,-1.01,-1,-5
2014-01-05,9,1368.7,1448,109.26,109.46,0.0,-0.2,211.63,212.51,0.0,-0.88,-1,-5
2014-01-05,10,1356.3,1502,129.94,130.24,0.0,-0.3,201.75,202.46,0.0,-0.71,5,2
2014-01-05,11,1384.0,1508,131.42,131.89,0.0,-0.47,198.69,199.82,0.0,-1.13,14,5
2014-01-05,12,1390.1,1495,129.02,129.41,0.0,-0.39,158.57,159.38,0.0,-0.81,21,7
2014-01-05,13,1390.6,1473,122.46,122.68,0.0,-0.22,198.8,200.03,0.0,-1.23,27,9
2014-01-05,14,1375.6,1448,110.05,110.21,0.0,-0.16,206.51,208.01,0.0,-1.5,30,10
2014-01-05,15,1357.6,1436,102.81,103.03,0.0,-0.22,194.96,196.49,0.0,-1.53,31,10
2014-01-05,16,1371.0,1462,85.91,85.98,0.0,-0.07,206.22,207.7,0.0,-1.48,33,12
2014-01-05,17,1508.2,1605,130.6,130.17,0.0,0.43,237.89,239.45,0.0,-1.56,31,13
2014-01-05,18,1559.3,1715,183.46,183.49,0.0,-0.03,186.18,186.48,0.0,-0.3,28,15
2014-01-05,19,1415.8,1686,139.49,139.91,0.0,-0.42,186.78,187.74,0.0,-0.96,29,21
2014-01-05,20,1355.6,1612,127.52,128.0,0.0,-0.48,242.94,244.97,0.0,-2.03,32,20
2014-01-05,21,1274.9,1528,115.73,116.34,0.0,-0.61,145.2,146.74,0.0,-1.54,30,25
2014-01-05,22,1170.4,1398,95.65,96.31,0.0,-0.66,89.23,90.19,0.0,-0.96,30,29
2014-01-05,23,1127.6,1265,79.4,79.95,0.0,-0.55,84.12,84.86,0.0,-0.74,30,30
2014-01-05,24,990.1,1161,70.0,70.94,0.0,-0.94,40.3,40.56,0.0,-0.26,30,29
2014-01-06,1,1066.2,1092,59.08,59.64,0.0,-0.56,44.48,44.87,0.0,-0.39,31,30
2014-01-06,2,1017.6,1057,63.36,64.17,0.0,-0.81,67.61,68.32,0.0,-0.71,31,31
2014-01-06,3,1017.1,1043,54.15,54.72,0.0,-0.57,37.94,38.25,0.0,-0.31,32,32
2014-01-06,4,1030.5,1049,54.1,54.65,0.0,-0.55,39.97,40.25,0.0,-0.28,32,32
2014-01-06,5,955.1,1092,60.6,61.28,0.0,-0.68,42.8,43.08,0.0,-0.28,32,32
2014-01-06,6,1061.3,1202,103.98,104.42,0.0,-0.44,56.33,56.59,0.0,-0.26,32,32
2014-01-06,7,1331.1,1375,128.88,128.63,0.0,0.25,129.45,129.89,0.0,-0.44,32,32
2014-01-06,8,1442.9,1485,137.43,137.64,0.0,-0.21,172.6,173.62,0.0,-1.02,32,32
2014-01-06,9,1479.4,1524,140.14,140.49,0.0,-0.35,141.39,141.99,0.0,-0.6,32,32
2014-01-06,10,1490.7,1547,165.83,166.37,0.0,-0.54,150.12,150.63,0.0,-0.51,32,32
2014-01-06,11,1510.3,1565,172.81,173.21,0.0,-0.4,158.59,159.07,0.0,-0.48,33,33
2014-01-06,12,1508.4,1569,176.11,176.58,0.0,-0.47,167.24,168.05,0.0,-0.81,44,44
2014-01-06,13,1445.3,1554,162.87,163.45,0.0,-0.58,174.76,176.01,0.0,-1.25,50,50
2014-01-06,14,1435.7,1527,148.13,148.59,0.0,-0.46,167.9,168.78,0.0,-0.88,42,41
2014-01-06,15,1415.8,1521,128.5,128.77,0.0,-0.27,148.55,149.41,0.0,-0.86,41,41
2014-01-06,16,1439.6,1537,128.6,128.77,0.0,-0.17,143.73,144.62,0.0,-0.89,40,39
2014-01-06,17,1599.2,1627,202.68,203.38,0.0,-0.7,176.26,177.33,0.0,-1.07,39,35
2014-01-06,18,1724.9,1741,240.6,240.98,0.0,-0.38,256.23,258.5,0.0,-2.27,37,32
2014-01-06,19,1690.5,1742,240.52,241.05,0.0,-0.53,241.14,243.61,0.0,-2.47,36,28
2014-01-06,20,1643.9,1696,213.38,214.11,0.0,-0.73,201.23,203.69,0.0,-2.46,33,23
2014-01-06,21,1579.0,1623,204.85,205.36,0.0,-0.51,165.52,167.36,0.0,-1.84,31,15
2014-01-06,22,1513.7,1505,153.44,153.77,0.0,-0.33,110.94,112.55,0.0,-1.61,29,15
2014-01-06,23,1376.1,1368,127.08,127.57,0.0,-0.49,80.33,81.58,0.0,-1.25,28,15
2014-01-06,24,1230.7,1257,115.47,115.9,0.0,-0.43,62.98,63.97,0.0,-0.99,27,12
2014-01-07,1,1161.2,1196,201.05,203.66,0.0,-2.61,140.97,143.65,0.0,-2.68,25,13
2014-01-07,2,1125.5,1159,184.65,186.7,0.0,-2.05,121.84,124.47,0.0,-2.63,24,9
2014-01-07,3,1103.6,1153,152.77,154.59,0.0,-1.82,49.59,50.47,0.0,-0.88,22,5
2014-01-07,4,1111.8,1169,169.39,171.39,0.0,-2.0,114.3,116.69,0.0,-2.39,20,6
2014-01-07,5,1170.8,1221,184.3,186.22,0.0,-1.92,176.31,179.74,0.0,-3.43,15,-4
2014-01-07,6,1301.8,1360,200.85,202.77,0.0,-1.92,195.72,199.03,0.05,-3.36,13,-4
2014-01-07,7,1528.5,1582,205.48,205.93,0.0,-0.45,263.78,266.85,0.64,-3.71,10,-7
2014-01-07,8,1627.9,1683,220.52,221.06,0.0,-0.54,344.19,371.65,-20.58,-6.88,8,-8
2014-01-07,9,1624.9,1687,213.54,214.01,0.0,-0.47,243.33,297.74,-48.68,-5.73,8,-7
2014-01-07,10,1646.2,1697,222.96,223.81,0.0,-0.85,219.94,251.29,-27.39,-3.96,8,-6
2014-01-07,11,1659.5,1715,225.07,226.14,0.0,-1.07,223.15,257.44,-30.55,-3.74,9,-6
2014-01-07,12,1660.7,1715,224.35,225.39,0.0,-1.04,237.61,291.36,-49.05,-4.7,10,-7
2014-01-07,13,1645.0,1702,220.8,221.55,0.0,-0.75,249.06,264.14,-10.95,-4.13,10,-10
2014-01-07,14,1645.6,1699,222.34,222.88,0.0,-0.54,232.39,238.8,-2.06,-4.35,10,-11
2014-01-07,15,1629.1,1685,216.0,216.73,0.0,-0.73,195.85,202.01,-2.63,-3.53,11,-11
2014-01-07,16,1645.7,1708,215.75,216.39,0.0,-0.64,219.79,232.78,-8.6,-4.39,10,-11
2014-01-07,17,1765.3,1826,229.18,230.02,0.0,-0.84,273.53,316.01,-36.14,-6.34,8,-13
2014-01-07,18,1940.8,1963,276.02,276.29,0.0,-0.27,297.8,343.13,-38.8,-6.53,6,-13
