Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2015-01-01,1,2447.5,2700,62.88,62.04,0.0,0.84,91.68,89.93,0.0,1.75,22,7
2015-01-01,2,2355.9,2615,55.38,54.65,0.0,0.73,48.49,47.55,0.0,0.94,22,6
2015-01-01,3,2336.0,2527,38.94,38.4,0.0,0.54,45.6,44.73,0.0,0.87,22,6
2015-01-01,4,2318.7,2483,38.53,38.02,0.0,0.51,55.93,54.96,0.0,0.97,22,6
2015-01-01,5,2345.5,2491,38.0,37.48,0.0,0.52,69.25,68.08,0.0,1.17,24,6
2015-01-01,6,2445.1,2567,39.78,39.21,0.0,0.57,68.32,67.14,0.0,1.18,22,7
2015-01-01,7,2619.5,2668,39.62,38.99,0.0,0.63,35.61,34.95,0.0,0.66,23,6
2015-01-01,8,2748.4,2706,41.25,40.52,0.0,0.73,30.14,29.55,0.0,0.59,23,7
2015-01-01,9,2861.6,2757,46.77,45.9,0.0,0.87,24.03,23.57,0.0,0.46,22,7
2015-01-01,10,2924.1,2818,56.52,55.6,0.0,0.92,35.4,34.75,0.0,0.65,25,6
2015-01-01,11,2966.2,2865,57.27,56.39,0.0,0.88,38.6,37.92,0.0,0.68,28,6
2015-01-01,12,2987.8,2892,57.2,56.31,0.0,0.89,39.47,38.78,0.0,0.69,30,5
2015-01-01,13,2977.8,2897,53.42,52.57,0.0,0.85,39.17,38.47,0.0,0.7,31,6
2015-01-01,14,2951.4,2880,46.06,45.29,0.02,0.75,39.06,38.35,0.0,0.71,32,6
2015-01-01,15,2943.9,2872,43.3,42.57,0.02,0.71,37.9,37.22,0.0,0.68,33,6
2015-01-01,16,2982.2,2917,49.52,48.75,0.0,0.77,39.26,38.53,0.0,0.73,33,7
2015-01-01,17,3165.1,3129,61.88,60.81,0.0,1.07,54.44,53.29,0.0,1.15,31,7
2015-01-01,18,3320.8,3302,85.72,84.05,0.0,1.67,53.62,52.36,0.0,1.26,31,8
2015-01-01,19,3303.6,3273,74.83,73.44,0.0,1.39,51.14,49.94,0.0,1.2,30,9
2015-01-01,20,3235.7,3201,63.0,61.86,0.0,1.14,45.88,44.87,0.0,1.01,31,9
2015-01-01,21,3142.9,3121,58.48,57.48,0.06,0.94,39.15,38.36,0.0,0.79,30,9
2015-01-01,22,2979.5,2998,57.11,56.13,0.0,0.98,37.03,36.31,0.0,0.72,30,12
2015-01-01,23,2777.5,2810,45.36,44.55,0.0,0.81,30.85,30.2,0.0,0.65,31,13
2015-01-01,24,2570.6,2616,44.2,43.47,0.0,0.73,31.51,30.89,0.0,0.62,31,15
2015-01-02,1,2455.2,2466,39.21,38.66,0.0,0.55,4.87,4.78,0.0,0.09,31,16
2015-01-02,2,2370.2,2363,36.03,35.57,0.0,0.46,33.6,33.08,0.0,0.52,33,16
2015-01-02,3,2331.7,2320,39.3,38.84,0.0,0.46,29.88,29.45,0.0,0.43,33,16
2015-01-02,4,2337.9,2321,38.74,38.28,0.0,0.46,28.08,27.67,0.0,0.41,32,16
2015-01-02,5,2393.5,2378,42.27,41.71,0.01,0.55,27.69,27.26,0.0,0.43,32,16
2015-01-02,6,2586.5,2537,40.29,39.65,0.01,0.63,7.44,7.31,0.0,0.13,32,15
2015-01-02,7,2922.7,2766,56.19,55.13,0.04,1.02,-93.14,-91.47,0.0,-1.67,34,15
2015-01-02,8,3113.1,2930,61.48,60.28,0.0,1.2,30.7,30.12,0.0,0.58,34,16
2015-01-02,9,3161.4,3016,61.33,60.15,0.0,1.18,21.21,20.8,0.0,0.41,33,16
2015-01-02,10,3169.4,3060,57.24,56.29,0.0,0.95,29.2,28.64,0.0,0.56,36,17
