Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2018-01-01,1,2260.7,2101.935,126.29,124.97,0.0,1.32,146.28,144.52,0.24,1.52,-2,-12
2018-01-01,2,2208.9,2055.483,125.09,123.7,0.0,1.39,134.33,132.67,0.1,1.56,-2,-13
2018-01-01,3,2422.1,2019.97,125.03,123.58,0.0,1.45,133.6,132.06,0.0,1.54,-3,-14
2018-01-01,4,2430.8,2001.154,125.24,123.77,0.0,1.47,141.94,140.24,0.0,1.7,-4,-14
2018-01-01,5,2198.6,2012.286,125.41,124.1,0.0,1.31,136.94,135.42,0.0,1.52,-4,-15
2018-01-01,6,1983.9,2050.79,124.88,123.78,0.0,1.1,135.4,133.97,0.0,1.43,-5,-15
2018-01-01,7,2078.8,2113.512,130.93,129.89,0.0,1.04,131.54,130.19,0.0,1.35,-5,-16
2018-01-01,8,2169.6,2158.95,136.21,135.11,0.0,1.1,127.67,126.57,0.0,1.1,-5,-16
2018-01-01,9,2289.0,2233.086,146.42,145.24,0.0,1.18,133.8,132.82,0.0,0.98,-5,-16
2018-01-01,10,2404.6,2303.045,178.13,176.4,0.0,1.73,194.96,193.48,0.0,1.48,-3,-15
2018-01-01,11,2445.6,2349.793,166.56,164.88,0.0,1.68,186.18,184.77,0.0,1.41,0,-14
2018-01-01,12,2469.6,2364.95,172.89,171.06,0.0,1.83,160.14,158.82,0.0,1.32,3,-13
2018-01-01,13,2458.7,2365.32,163.93,162.16,0.0,1.77,148.14,146.93,0.0,1.21,4,-13
2018-01-01,14,2435.8,2356.453,159.39,157.48,0.0,1.91,138.82,137.56,0.0,1.26,6,-12
2018-01-01,15,2419.8,2353.406,150.22,148.53,0.0,1.69,130.94,129.76,0.0,1.18,7,-12
2018-01-01,16,2447.1,2398.892,155.83,154.08,0.0,1.75,139.2,137.99,0.0,1.21,8,-12
2018-01-01,17,2571.3,2560.449,192.39,190.38,0.0,2.01,154.74,153.51,0.0,1.23,7,-13
2018-01-01,18,2744.9,2714.121,220.68,218.24,0.0,2.44,172.45,171.09,0.0,1.36,4,-13
2018-01-01,19,2656.4,2696.875,212.54,210.24,0.0,2.3,171.55,170.2,0.0,1.35,3,-13
2018-01-01,20,2583.5,2631.619,198.33,196.21,0.0,2.12,160.55,159.26,0.0,1.29,2,-12
2018-01-01,21,2494.2,2555.656,167.18,165.24,0.0,1.94,164.75,163.34,0.0,1.41,2,-12
2018-01-01,22,2405.5,2431.637,166.63,165.06,0.0,1.57,158.61,157.18,0.0,1.43,1,-12
2018-01-01,23,2268.0,2274.097,159.87,158.15,0.0,1.72,141.46,140.22,0.0,1.24,0,-12
2018-01-01,24,2364.0,2137.988,158.47,156.84,0.0,1.63,72.7,72.05,0.0,0.65,-1,-12
2018-01-02,1,2298.4,2047.687,146.35,144.81,0.0,1.54,131.88,130.53,0.0,1.35,0,-11
2018-01-02,2,2247.3,2017.0,135.27,133.91,0.0,1.36,124.77,123.45,0.0,1.32,1,-10
2018-01-02,3,2226.3,1999.77,131.99,130.79,0.0,1.2,111.96,110.85,0.0,1.11,2,-9
2018-01-02,4,2242.4,2011.276,131.42,130.16,0.0,1.26,123.97,122.81,0.0,1.16,2,-9
2018-01-02,5,2295.4,2074.734,137.5,136.13,0.0,1.37,129.45,128.27,0.0,1.18,1,-8
2018-01-02,6,2413.3,2226.516,158.95,157.63,0.0,1.32,153.84,152.45,0.0,1.39,1,-8
2018-01-02,7,2413.5,2474.717,184.12,182.65,0.0,1.47,230.14,228.21,0.0,1.93,1,-9
2018-01-02,8,2566.9,2609.152,205.53,204.14,0.0,1.39,188.6,187.16,0.0,1.44,1,-10
2018-01-02,9,2581.3,2639.972,201.7,200.11,0.0,1.59,166.61,165.15,0.0,1.46,1,-10
2018-01-02,10,2644.9,2626.49,201.65,199.99,0.0,1.66,154.5,153.13,0.0,1.37,3,-10
2018-01-02,11,2643.9,2610.88,200.15,198.86,0.0,1.29,159.21,157.96,0.0,1.25,6,-10
2018-01-02,12,2636.3,2585.947,194.88,193.57,0.0,1.31,149.34,148.3,0.0,1.04,8,-8
2018-01-02,13,2588.8,2548.104,168.32,167.11,0.0,1.21,149.9,148.97,0.0,0.93,10,-10
2018-01-02,14,2559.3,2569.166,158.52,157.45,0.0,1.07,151.95,151.04,0.0,0.91,12,-5
2018-01-02,15,2536.9,2567.073,152.55,151.56,0.0,0.99,151.98,150.97,0.0,1.01,13,-3
2018-01-02,16,2561.1,2563.065,153.66,152.57,0.0,1.09,149.01,148.06,0.0,0.95,14,-2
2018-01-02,17,2691.6,2687.252,186.55,184.95,0.0,1.6,168.82,167.78,0.0,1.04,14,0
2018-01-02,18,2860.0,2832.151,219.6,217.6,0.0,2.0,172.31,171.36,0.0,0.95,12,0
2018-01-02,19,2806.7,2831.241,210.42,208.86,0.0,1.56,172.04,171.0,0.0,1.04,11,-1
2018-01-02,20,2731.2,2768.779,197.54,195.78,0.0,1.76,181.07,179.64,0.0,1.43,11,-1
2018-01-02,21,2637.9,2676.109,182.63,181.0,0.0,1.63,162.66,161.04,0.06,1.56,9,-1
2018-01-02,22,2504.5,2535.659,167.77,166.51,0.0,1.26,126.62,125.13,0.21,1.28,10,0
2018-01-02,23,2342.3,2357.369,159.3,158.04,0.0,1.26,120.16,118.72,0.2,1.24,8,0
2018-01-02,24,2134.2,2192.689,137.38,136.5,0.0,0.88,122.41,120.88,0.2,1.33,10,1
2018-01-03,1,1907.4,2091.625,126.35,125.15,0.0,1.2,127.57,125.91,0.21,1.45,11,2
2018-01-03,2,2135.8,2027.57,125.59,124.21,0.0,1.38,125.75,124.16,0.13,1.46,10,1
2018-01-03,3,2115.5,2014.946,121.03,119.78,0.0,1.25,118.61,117.19,0.05,1.37,9,1
2018-01-03,4,2118.8,2023.005,121.3,120.04,0.0,1.26,130.04,128.53,0.0,1.51,9,0
2018-01-03,5,2168.6,2073.466,124.97,123.79,0.0,1.18,128.09,126.54,0.09,1.46,9,0
2018-01-03,6,2030.7,2215.281,132.17,131.06,0.0,1.11,158.32,156.52,0.27,1.53,9,0
2018-01-03,7,2329.2,2444.139,200.74,198.75,0.0,1.99,214.28,211.96,0.37,1.95,9,-1
2018-01-03,8,2463.8,2577.759,195.98,194.42,0.0,1.56,239.19,237.24,0.25,1.7,10,-1
2018-01-03,9,2391.3,2570.802,194.47,193.11,0.0,1.36,200.11,198.62,0.0,1.49,11,-1
2018-01-03,10,2339.5,2521.256,188.69,187.18,0.0,1.51,181.46,180.15,0.0,1.31,14,0
2018-01-03,11,2347.4,2466.359,188.98,187.69,0.0,1.29,152.82,151.84,0.0,0.98,17,0
2018-01-03,12,2328.5,2419.023,176.74,175.52,0.0,1.22,167.14,166.08,0.0,1.06,19,1
2018-01-03,13,2248.8,2398.705,154.06,153.08,0.0,0.98,133.02,132.12,0.0,0.9,20,1
2018-01-03,14,2214.3,2392.729,148.1,147.21,0.0,0.89,138.35,137.43,0.0,0.92,22,1
2018-01-03,15,2206.6,2382.148,144.65,143.83,0.0,0.82,146.48,145.52,0.0,0.96,23,0
2018-01-03,16,2223.7,2399.148,143.32,142.53,0.0,0.79,151.3,150.35,0.0,0.95,23,-1
2018-01-03,17,2383.6,2534.263,197.74,196.37,0.0,1.37,160.0,159.02,0.0,0.98,22,-1
2018-01-03,18,2568.3,2688.485,219.02,217.88,0.0,1.14,166.26,165.44,0.0,0.82,19,-3
2018-01-03,19,2554.6,2694.869,206.13,205.06,0.0,1.07,169.59,168.64,0.0,0.95,16,-2
2018-01-03,20,2458.9,2654.407,193.8,192.49,0.0,1.31,172.23,171.1,0.0,1.13,15,-2
2018-01-03,21,2376.5,2587.045,168.16,167.07,0.0,1.09,165.04,163.87,0.0,1.17,17,1
2018-01-03,22,2242.1,2469.375,154.75,153.76,0.0,0.99,160.4,159.04,0.0,1.36,15,1
2018-01-03,23,2037.9,2324.5,144.1,143.13,0.0,0.97,153.31,151.89,0.0,1.42,16,2
2018-01-03,24,1840.2,2177.337,126.39,125.82,0.0,0.57,139.96,138.63,0.0,1.33,9,4
2018-01-04,1,2534.4,2073.337,113.63,112.45,0.0,1.18,136.61,135.26,0.0,1.35,8,1
2018-01-04,2,2725.5,2001.194,111.04,109.88,0.0,1.16,138.18,136.63,0.0,1.55,10,-4
2018-01-04,3,2694.9,1959.279,99.37,98.33,0.0,1.04,135.52,134.03,0.0,1.49,23,4
2018-01-04,4,2706.7,1947.91,96.23,95.24,0.0,0.99,126.89,125.53,0.0,1.36,20,-2
2018-01-04,5,2766.9,1977.995,110.93,109.8,0.0,1.13,127.21,125.87,0.0,1.34,17,4
2018-01-04,6,2397.8,2068.879,125.69,124.54,0.0,1.15,125.36,124.08,0.0,1.28,15,7
2018-01-04,7,2191.8,2197.748,145.65,144.67,0.0,0.98,84.46,83.79,0.0,0.67,16,7
2018-01-04,8,2314.2,2320.5,160.57,159.43,0.0,1.14,123.61,122.69,0.0,0.92,17,10
2018-01-04,9,2315.4,2424.617,158.64,157.43,0.0,1.21,142.57,140.83,0.47,1.27,19,14
2018-01-04,10,2403.9,2509.313,161.76,159.92,0.0,1.84,194.55,190.3,2.38,1.87,18,15
2018-01-04,11,2390.6,2582.271,172.79,170.76,0.0,2.03,238.21,234.97,0.5,2.74,20,17
