DATE,HOUR,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DRYBULB,DEWPNT
2003-03-01 00:00:00,0,0.0,1111.0,70.05,72.89,0.0,-2.84,75.38,78.83,0.0,-3.45,21,17
2003-03-01 01:00:00,1,0.0,1063.0,68.25,71.02,0.0,-2.77,131.87,137.51,0.0,-5.64,20,17
2003-03-01 02:00:00,2,0.0,1053.0,67.27,70.0,0.0,-2.73,145.13,151.19,0.0,-6.06,20,17
2003-03-01 03:00:00,3,0.0,1050.0,66.43,69.11,0.0,-2.68,144.44,150.55,0.0,-6.11,19,16
2003-03-01 04:00:00,4,0.0,1077.0,67.27,69.99,0.0,-2.72,141.18,146.43,0.0,-5.25,18,15
2003-03-01 05:00:00,5,0.0,1138.0,67.27,69.98,0.0,-2.71,152.2,157.09,0.0,-4.89,14,11
2003-03-01 06:00:00,6,0.0,1208.0,69.54,73.26,-0.89,-2.83,181.4,186.15,0.0,-4.75,14,11
2003-03-01 07:00:00,7,0.0,1305.0,76.67,81.01,-1.23,-3.11,151.97,154.43,0.0,-2.46,16,12
2003-03-01 08:00:00,8,0.0,1386.0,81.66,85.03,-0.11,-3.26,139.22,141.06,0.0,-1.84,19,15
2003-03-01 09:00:00,9,0.0,1393.0,84.51,88.0,-0.12,-3.37,154.0,156.97,0.0,-2.97,22,18
2003-03-01 10:00:00,10,0.0,1371.0,84.51,88.02,-0.12,-3.39,139.51,143.13,0.0,-3.62,27,19
2003-03-01 11:00:00,11,0.0,1342.0,83.56,87.03,-0.12,-3.35,100.21,103.19,0.0,-2.98,32,19
2003-03-01 12:00:00,12,0.0,1293.0,81.24,84.78,-0.27,-3.27,85.92,88.65,0.0,-2.73,33,19
2003-03-01 13:00:00,13,0.0,1256.0,76.69,80.69,-0.89,-3.11,69.66,71.84,0.0,-2.18,36,21
2003-03-01 14:00:00,14,0.0,1240.0,70.02,74.9,-1.98,-2.9,62.22,64.6,0.0,-2.38,36,23
2003-03-01 15:00:00,15,0.0,1249.0,68.52,73.13,-1.8,-2.81,70.46,73.54,0.0,-3.08,36,21
2003-03-01 16:00:00,16,0.0,1297.0,70.02,75.32,-2.44,-2.86,66.41,69.71,0.0,-3.3,34,27
2003-03-01 17:00:00,17,0.0,1403.0,80.45,86.37,-2.65,-3.27,81.13,85.06,0.0,-3.93,35,28
2003-03-01 18:00:00,18,0.0,1449.0,83.94,91.11,-3.71,-3.46,90.61,94.91,0.0,-4.3,35,28
2003-03-01 19:00:00,19,0.0,1404.0,76.55,85.54,-5.71,-3.28,50.28,53.09,0.0,-2.81,35,30
2003-03-01 20:00:00,20,0.0,1353.0,70.02,78.14,-5.12,-3.0,84.56,89.38,0.0,-4.82,36,30
2003-03-01 21:00:00,21,0.0,1276.0,67.71,73.5,-2.96,-2.83,51.69,53.96,0.0,-2.27,36,29
2003-03-01 22:00:00,22,0.0,1187.0,66.34,71.48,-2.36,-2.78,36.71,38.54,0.0,-1.83,36,28
2003-03-01 23:00:00,23,0.0,1092.0,65.0,71.34,-3.56,-2.78,63.48,67.23,0.0,-3.75,35,28
2003-03-02 00:00:00,0,1970.4,1033.0,87.97,91.42,0.21,-3.66,74.51,79.09,0.0,-4.58,34,28
2003-03-02 01:00:00,1,1907.9,1000.0,82.53,85.41,0.56,-3.44,58.28,61.72,0.0,-3.44,34,29
2003-03-02 02:00:00,2,1912.3,976.0,81.3,84.08,0.59,-3.37,27.86,29.47,0.0,-1.61,33,30
2003-03-02 03:00:00,3,1903.3,967.0,81.23,84.07,0.53,-3.37,55.85,59.17,0.0,-3.32,33,31
2003-03-02 04:00:00,4,1929.3,996.0,81.27,84.06,0.56,-3.35,78.45,82.84,0.0,-4.39,33,30
2003-03-02 05:00:00,5,1984.4,1028.0,81.22,84.07,0.49,-3.34,71.6,75.24,0.0,-3.64,34,30
2003-03-02 06:00:00,6,2080.7,1090.0,83.52,86.31,0.61,-3.4,52.24,54.67,0.0,-2.43,34,31
