DATE,HOUR,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DRYBULB,DEWPNT
2004-01-01 00:00:00,0,2209.4,2387.0,40.63,40.09,0.0,0.54,31.59,31.51,0.0,0.08,41,26
2004-01-01 01:00:00,1,2094.1,2257.0,38.74,38.22,0.0,0.52,37.05,36.96,0.0,0.09,41,26
2004-01-01 02:00:00,2,2036.8,2162.0,35.72,35.23,0.0,0.49,25.45,25.36,0.0,0.09,41,24
2004-01-01 03:00:00,3,2007.1,2119.0,34.59,34.11,0.0,0.48,29.02,28.9,0.0,0.12,41,23
2004-01-01 04:00:00,4,1986.8,2119.0,34.59,34.11,0.0,0.48,25.84,25.73,0.0,0.11,40,21
2004-01-01 05:00:00,5,2068.9,2167.0,35.18,34.7,0.0,0.48,21.46,21.33,0.0,0.13,39,18
2004-01-01 06:00:00,6,2208.1,2261.0,38.74,38.21,0.0,0.53,21.53,21.4,0.0,0.13,39,18
2004-01-01 07:00:00,7,2325.3,2283.0,40.52,39.96,0.0,0.56,20.77,20.67,0.0,0.1,37,19
2004-01-01 08:00:00,8,2472.0,2355.0,41.87,41.29,0.0,0.58,25.83,25.65,0.0,0.18,37,20
2004-01-01 09:00:00,9,2569.1,2457.0,44.0,43.39,0.0,0.61,35.35,35.08,0.0,0.27,38,20
2004-01-01 10:00:00,10,2613.7,2540.0,46.11,45.48,0.0,0.63,41.37,41.1,0.0,0.27,40,21
2004-01-01 11:00:00,11,2657.9,2602.0,45.9,45.28,0.0,0.62,42.32,42.1,0.0,0.22,42,22
2004-01-01 12:00:00,12,2655.1,2629.0,44.97,44.36,0.0,0.61,39.81,39.48,0.0,0.33,42,21
2004-01-01 13:00:00,13,2623.1,2620.0,43.64,43.06,0.0,0.58,29.01,28.78,0.0,0.23,42,21
2004-01-01 14:00:00,14,2592.5,2596.0,41.33,40.78,0.0,0.55,32.26,32.0,0.0,0.26,42,21
2004-01-01 15:00:00,15,2639.7,2615.0,44.36,43.76,0.0,0.6,37.96,37.64,0.0,0.32,43,21
2004-01-01 16:00:00,16,2837.5,2828.0,59.42,58.6,0.0,0.82,58.59,58.18,0.0,0.41,41,20
2004-01-01 17:00:00,17,2971.6,3057.0,80.0,78.91,0.0,1.09,68.59,68.09,0.0,0.5,39,20
2004-01-01 18:00:00,18,2983.1,3049.0,80.0,78.92,0.0,1.08,57.84,57.44,0.0,0.4,39,20
2004-01-01 19:00:00,19,3014.8,2995.0,61.29,60.47,0.0,0.82,53.88,53.58,0.0,0.3,38,21
2004-01-01 20:00:00,20,2917.1,2931.0,56.74,55.98,0.0,0.76,44.99,44.72,0.0,0.27,38,20
2004-01-01 21:00:00,21,2787.4,2818.0,47.25,46.62,0.0,0.63,43.78,43.53,0.0,0.25,38,21
2004-01-01 22:00:00,22,2600.5,2637.0,41.33,40.79,0.0,0.54,29.36,29.11,0.0,0.25,37,21
2004-01-01 23:00:00,23,2383.5,2434.0,40.47,39.93,0.0,0.54,38.42,38.09,0.0,0.33,37,21
2004-01-02 00:00:00,0,2394.3,2278.0,44.35,43.8,0.0,0.55,35.73,35.58,0.0,0.15,35,21
2004-01-02 01:00:00,1,2284.5,2194.0,41.34,40.81,0.0,0.53,25.29,25.19,0.0,0.1,33,22
2004-01-02 02:00:00,2,2238.2,2163.0,41.13,40.6,0.0,0.53,28.32,28.19,0.0,0.13,29,22
2004-01-02 03:00:00,3,2240.7,2162.0,41.13,40.6,0.0,0.53,33.59,33.41,0.0,0.18,31,22
2004-01-02 04:00:00,4,2260.2,2196.0,41.33,40.79,0.0,0.54,25.26,25.11,0.0,0.15,30,23
2004-01-02 05:00:00,5,2440.6,2332.0,41.13,40.6,0.0,0.53,32.35,32.13,0.0,0.22,30,23
2004-01-02 06:00:00,6,2810.0,2561.0,45.44,44.87,0.0,0.57,35.84,35.59,0.0,0.25,32,25
2004-01-02 07:00:00,7,2992.3,2772.0,53.36,52.69,0.0,0.67,47.71,47.54,0.0,0.17,32,27
2004-01-02 08:00:00,8,3081.9,2941.0,64.65,63.85,0.0,0.8,55.57,55.55,0.0,0.02,33,25
2004-01-02 09:00:00,9,3119.4,3102.0,69.19,68.33,0.0,0.86,69.74,69.53,0.0,0.21,34,25
