DATE,HOUR,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DRYBULB,DEWPNT
2006-01-01 00:00:00,0,1149.1,1165.0,75.39,75.89,0.0,-0.5,103.49,104.04,0.0,-0.55,24,21
2006-01-01 01:00:00,1,1090.4,1091.0,68.07,68.52,0.0,-0.45,67.03,67.22,0.0,-0.19,23,20
2006-01-01 02:00:00,2,1061.9,1042.0,68.07,68.51,0.0,-0.44,76.64,76.98,0.0,-0.34,24,20
2006-01-01 03:00:00,3,1042.2,1020.0,66.22,66.65,0.0,-0.43,68.08,68.44,0.0,-0.36,22,18
2006-01-01 04:00:00,4,1055.8,1017.0,64.13,64.55,0.0,-0.42,67.5,67.81,0.0,-0.31,22,19
2006-01-01 05:00:00,5,1107.4,1037.0,64.39,64.81,0.0,-0.42,55.53,55.74,0.0,-0.21,21,19
2006-01-01 06:00:00,6,1157.8,1078.0,63.51,63.92,0.0,-0.41,45.86,46.09,0.0,-0.23,19,18
2006-01-01 07:00:00,7,1235.2,1136.0,58.66,59.02,0.0,-0.36,25.74,25.84,0.0,-0.1,18,18
2006-01-01 08:00:00,8,1345.1,1231.0,71.49,71.92,0.0,-0.43,28.65,28.73,0.0,-0.08,20,17
2006-01-01 09:00:00,9,1430.5,1327.0,75.32,75.78,0.0,-0.46,58.4,58.18,0.0,0.22,20,18
2006-01-01 10:00:00,10,1465.9,1389.0,76.05,76.52,0.0,-0.47,72.61,72.62,0.0,-0.01,21,16
2006-01-01 11:00:00,11,1474.6,1430.0,74.82,75.28,0.0,-0.46,74.44,74.41,0.0,0.03,21,16
2006-01-01 12:00:00,12,1468.0,1442.0,74.44,74.9,0.0,-0.46,75.17,75.2,0.0,-0.03,22,17
2006-01-01 13:00:00,13,1441.0,1426.0,74.44,74.9,0.0,-0.46,67.27,67.19,0.0,0.08,22,18
2006-01-01 14:00:00,14,1426.7,1407.0,69.44,69.87,0.0,-0.43,66.46,66.42,0.0,0.04,23,18
2006-01-01 15:00:00,15,1446.7,1412.0,72.98,73.43,0.0,-0.45,69.52,69.51,0.0,0.01,24,18
2006-01-01 16:00:00,16,1619.6,1534.0,93.47,94.04,0.0,-0.57,107.21,107.18,0.0,0.03,24,19
2006-01-01 17:00:00,17,1704.8,1647.0,117.1,120.51,-2.68,-0.73,164.07,163.98,0.0,0.09,24,20
2006-01-01 18:00:00,18,1712.7,1625.0,106.33,111.9,-4.89,-0.68,118.29,118.37,0.0,-0.08,24,19
2006-01-01 19:00:00,19,1660.3,1570.0,94.64,96.77,-1.53,-0.6,83.49,83.6,0.0,-0.11,25,19
2006-01-01 20:00:00,20,1582.7,1499.0,83.56,84.08,0.0,-0.52,75.6,75.86,0.0,-0.26,25,19
2006-01-01 21:00:00,21,1499.1,1393.0,77.35,77.83,0.0,-0.48,72.86,73.16,0.0,-0.3,24,20
2006-01-01 22:00:00,22,1330.4,1274.0,74.12,74.59,0.0,-0.47,40.66,40.91,0.0,-0.25,24,20
2006-01-01 23:00:00,23,1200.7,1156.0,74.82,75.32,0.0,-0.5,46.4,46.66,0.0,-0.26,25,21
2006-01-02 00:00:00,0,1045.2,1067.0,69.68,70.14,0.0,-0.46,44.39,44.47,0.0,-0.08,24,21
2006-01-02 01:00:00,1,998.3,1026.0,60.08,60.48,0.0,-0.4,63.77,63.9,0.0,-0.13,24,21
2006-01-02 02:00:00,2,978.8,1007.0,60.08,60.48,0.0,-0.4,54.33,54.39,0.0,-0.06,24,21
2006-01-02 03:00:00,3,968.3,1004.0,56.77,57.14,0.0,-0.37,49.0,49.05,0.0,-0.05,23,22
2006-01-02 04:00:00,4,998.2,1024.0,56.32,56.68,0.0,-0.36,58.21,58.29,0.0,-0.08,22,20
2006-01-02 05:00:00,5,1086.7,1078.0,56.77,57.14,0.0,-0.37,53.58,53.58,0.0,0.0,24,21
2006-01-02 06:00:00,6,1197.1,1178.0,66.47,66.9,0.0,-0.43,54.67,54.66,0.0,0.01,19,16
2006-01-02 07:00:00,7,1367.6,1265.0,56.77,57.11,0.0,-0.34,30.82,30.92,0.0,-0.1,18,16
2006-01-02 08:00:00,8,1460.5,1353.0,66.81,67.21,0.0,-0.4,41.76,41.88,0.0,-0.12,18,16
2006-01-02 09:00:00,9,1687.5,1431.0,76.62,77.09,0.0,-0.47,79.59,79.78,0.0,-0.19,19,17
2006-01-02 10:00:00,10,1710.6,1465.0,77.9,78.38,0.0,-0.48,79.82,80.58,0.0,-0.76,23,22
2006-01-02 11:00:00,11,1706.1,1454.0,77.9,78.38,0.0,-0.48,82.7,83.7,0.0,-1.0,28,23
2006-01-02 12:00:00,12,1648.0,1420.0,74.8,75.26,0.0,-0.46,78.03,79.06,0.0,-1.03,32,25
2006-01-02 13:00:00,13,1616.9,1394.0,74.66,75.13,0.0,-0.47,67.79,68.58,0.0,-0.79,38,27
2006-01-02 14:00:00,14,1599.2,1380.0,72.9,73.35,0.0,-0.45,68.99,69.94,0.0,-0.95,38,27
2006-01-02 15:00:00,15,1613.1,1409.0,73.97,74.43,0.0,-0.46,71.25,72.49,0.0,-1.24,39,27
2006-01-02 16:00:00,16,1757.9,1558.0,89.18,89.72,0.0,-0.54,128.5,130.48,0.0,-1.98,35,26
2006-01-02 17:00:00,17,1735.4,1701.0,118.44,122.58,-3.39,-0.75,114.34,116.11,0.0,-1.77,30,27
2006-01-02 18:00:00,18,1754.8,1686.0,102.42,109.74,-6.64,-0.68,76.73,77.91,0.0,-1.18,30,27
2006-01-02 19:00:00,19,1697.6,1637.0,91.5,94.34,-2.26,-0.58,80.75,81.92,0.0,-1.17,31,28
2006-01-02 20:00:00,20,1616.7,1553.0,82.39,82.9,0.0,-0.51,78.39,80.0,-0.27,-1.34,31,28
2006-01-02 21:00:00,21,1498.5,1425.0,74.5,74.96,0.0,-0.46,73.17,74.18,0.0,-1.01,32,28
2006-01-02 22:00:00,22,1320.6,1263.0,72.1,72.56,0.0,-0.46,56.28,56.98,0.0,-0.7,32,28
2006-01-02 23:00:00,23,1139.7,1133.0,71.51,71.99,0.0,-0.48,47.38,47.99,0.0,-0.61,32,27
