DATE,HOUR,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DRYBULB,DEWPNT
2008-01-01 00:00:00,0,563.4,628.0,59.53,59.68,-0.48,0.33,118.25,118.3,0.0,-0.05,26,22
2008-01-01 01:00:00,1,527.2,595.0,49.61,49.37,-0.03,0.27,121.13,120.26,0.0,0.87,25,22
2008-01-01 02:00:00,2,497.3,569.0,44.16,43.91,0.0,0.25,89.18,87.69,0.0,1.49,21,18
2008-01-01 03:00:00,3,497.0,559.0,43.06,42.81,0.0,0.25,58.68,57.73,0.0,0.95,19,18
2008-01-01 04:00:00,4,506.9,568.0,44.16,43.91,0.0,0.25,66.76,65.78,0.0,0.98,20,17
2008-01-01 05:00:00,5,521.4,580.0,44.01,43.77,0.0,0.24,111.26,109.49,0.0,1.77,22,19
2008-01-01 06:00:00,6,567.5,613.0,53.21,52.91,0.0,0.3,64.65,64.49,0.0,0.16,23,20
2008-01-01 07:00:00,7,617.2,640.0,45.59,45.32,0.0,0.27,11.69,11.72,0.0,-0.03,25,21
2008-01-01 08:00:00,8,658.2,685.0,52.6,52.29,0.0,0.31,48.83,49.2,0.0,-0.37,27,21
2008-01-01 09:00:00,9,679.7,728.0,56.37,56.03,0.0,0.34,55.45,55.87,0.0,-0.42,27,21
2008-01-01 10:00:00,10,692.5,760.0,61.58,61.75,-0.52,0.35,83.88,84.58,0.0,-0.7,28,21
2008-01-01 11:00:00,11,705.8,779.0,59.76,59.95,-0.54,0.35,94.86,95.69,0.0,-0.83,28,24
2008-01-01 12:00:00,12,705.2,780.0,62.39,62.47,-0.44,0.36,108.7,108.63,0.0,0.07,30,22
2008-01-01 13:00:00,13,695.7,768.0,58.53,58.55,-0.36,0.34,127.28,127.13,0.0,0.15,30,23
2008-01-01 14:00:00,14,695.2,760.0,55.73,55.72,-0.32,0.33,99.94,99.86,0.0,0.08,29,24
2008-01-01 15:00:00,15,701.7,763.0,57.95,57.97,-0.36,0.34,81.69,81.65,0.0,0.04,30,26
2008-01-01 16:00:00,16,744.5,810.0,73.27,72.91,-0.08,0.44,91.79,92.99,0.0,-1.2,30,26
2008-01-01 17:00:00,17,788.4,860.0,94.56,94.0,0.0,0.56,133.4,135.51,0.0,-2.11,29,27
2008-01-01 18:00:00,18,764.7,850.0,76.75,76.87,-0.56,0.44,99.1,100.75,0.0,-1.65,29,27
2008-01-01 19:00:00,19,736.4,824.0,73.27,73.25,-0.39,0.41,130.32,131.69,0.0,-1.37,28,27
2008-01-01 20:00:00,20,722.6,786.0,71.31,71.07,-0.16,0.4,119.16,119.48,0.0,-0.32,29,27
2008-01-01 21:00:00,21,695.1,741.0,62.61,62.92,-0.66,0.35,79.18,79.15,0.0,0.03,29,27
2008-01-01 22:00:00,22,642.0,669.0,54.62,54.72,-0.41,0.31,52.04,52.15,0.0,-0.11,29,27
2008-01-01 23:00:00,23,568.3,625.0,55.65,55.35,0.0,0.3,59.77,60.02,0.0,-0.25,29,27
2008-01-02 00:00:00,0,523.5,592.0,82.42,82.16,-0.11,0.37,39.09,38.72,0.0,0.37,25,22
2008-01-02 01:00:00,1,522.7,580.0,75.27,75.19,-0.27,0.35,7.66,7.55,0.0,0.11,24,21
2008-01-02 02:00:00,2,545.9,571.0,68.24,68.35,-0.42,0.31,6.27,6.24,0.0,0.03,23,19
2008-01-02 03:00:00,3,515.8,574.0,68.35,68.28,-0.24,0.31,31.58,31.33,0.0,0.25,20,16
2008-01-02 04:00:00,4,570.5,598.0,70.25,69.98,-0.06,0.33,26.36,26.2,0.0,0.16,18,14
2008-01-02 05:00:00,5,509.2,658.0,83.18,84.38,-1.6,0.4,78.4,77.61,0.0,0.79,16,12
2008-01-02 06:00:00,6,760.3,760.0,79.4,82.67,-3.66,0.39,79.46,78.7,0.0,0.76,15,10
2008-01-02 07:00:00,7,670.9,817.0,91.46,93.25,-2.23,0.44,83.8,83.26,0.0,0.54,13,7
2008-01-02 08:00:00,8,666.9,833.0,96.62,98.04,-1.88,0.46,81.44,81.22,0.0,0.22,9,3
2008-01-02 09:00:00,9,655.0,844.0,101.71,102.52,-1.29,0.48,110.95,110.19,0.0,0.76,8,3
2008-01-02 10:00:00,10,661.5,850.0,103.09,103.54,-0.94,0.49,130.25,129.03,0.0,1.22,8,2
2008-01-02 11:00:00,11,638.0,860.0,105.94,106.19,-0.75,0.5,136.56,134.46,0.0,2.1,8,1
2008-01-02 12:00:00,12,539.8,853.0,103.55,103.97,-0.9,0.48,130.77,128.26,0.0,2.51,7,-3
2008-01-02 13:00:00,13,631.3,848.0,98.93,99.59,-1.13,0.47,93.42,92.19,0.0,1.23,8,-5
2008-01-02 14:00:00,14,570.4,843.0,90.72,91.65,-1.35,0.42,76.69,76.1,0.0,0.59,8,-4
2008-01-02 15:00:00,15,625.7,849.0,94.76,95.44,-1.12,0.44,137.72,136.89,0.0,0.83,7,-1
2008-01-02 16:00:00,16,649.2,897.0,118.64,120.47,-2.41,0.58,192.98,191.45,0.0,1.53,6,-3
2008-01-02 17:00:00,17,738.1,961.0,134.73,137.89,-3.82,0.66,265.19,263.05,0.0,2.14,5,-4
2008-01-02 18:00:00,18,697.8,962.0,125.01,128.25,-3.86,0.62,165.63,164.4,0.0,1.23,5,-5
2008-01-02 19:00:00,19,590.4,933.0,122.33,124.78,-3.05,0.6,188.38,185.69,0.0,2.69,2,-6
2008-01-02 20:00:00,20,633.9,910.0,114.62,115.69,-1.62,0.55,148.66,145.62,0.0,3.04,2,-5
2008-01-02 21:00:00,21,729.7,864.0,105.0,105.12,-0.61,0.49,126.33,123.7,0.0,2.63,2,-6
2008-01-02 22:00:00,22,602.3,785.0,84.75,85.79,-1.44,0.4,98.05,96.79,0.0,1.26,4,-6
2008-01-02 23:00:00,23,618.0,733.0,77.94,80.0,-2.42,0.36,93.8,93.33,0.0,0.47,4,-6
2008-01-03 00:00:00,0,599.5,695.0,99.04,99.65,-0.83,0.22,94.43,93.99,0.0,0.44,4,-5
2008-01-03 01:00:00,1,578.2,678.0,99.0,99.54,-0.77,0.23,94.88,94.26,0.0,0.62,4,-4
2008-01-03 02:00:00,2,593.9,670.0,101.35,101.57,-0.45,0.23,128.46,126.9,0.0,1.56,3,-3
2008-01-03 03:00:00,3,596.0,670.0,101.35,101.39,-0.27,0.23,101.02,100.01,0.0,1.01,3,-3
2008-01-03 04:00:00,4,621.9,691.0,110.03,109.81,-0.04,0.26,107.02,106.25,0.0,0.77,2,-4
2008-01-03 05:00:00,5,653.2,748.0,129.54,129.24,0.0,0.3,129.53,128.94,0.0,0.59,1,-6
2008-01-03 06:00:00,6,690.9,855.0,159.62,158.97,0.29,0.36,190.54,189.97,0.0,0.57,0,-7
2008-01-03 07:00:00,7,752.7,911.0,162.26,161.54,0.34,0.38,188.83,188.33,0.0,0.5,-1,-8
2008-01-03 08:00:00,8,748.3,909.0,168.9,168.03,0.47,0.4,156.97,155.91,0.0,1.06,-2,-9
2008-01-03 09:00:00,9,753.8,911.0,173.22,172.27,0.56,0.39,151.66,149.87,0.0,1.79,-1,-8
2008-01-03 10:00:00,10,759.6,914.0,158.73,159.34,-0.97,0.36,134.97,134.45,0.0,0.52,0,-8
2008-01-03 11:00:00,11,762.8,919.0,154.61,155.5,-1.23,0.34,150.14,148.2,0.0,1.94,1,-8
2008-01-03 12:00:00,12,736.0,903.0,140.15,141.77,-1.94,0.32,145.06,142.69,0.0,2.37,1,-7
2008-01-03 13:00:00,13,726.3,898.0,139.13,140.41,-1.59,0.31,141.1,139.64,0.0,1.46,2,-8
2008-01-03 14:00:00,14,722.3,886.0,133.8,135.26,-1.76,0.3,137.19,136.69,0.0,0.5,2,-9
2008-01-03 15:00:00,15,727.0,886.0,139.48,140.76,-1.59,0.31,139.85,139.23,0.0,0.62,3,-9
2008-01-03 16:00:00,16,757.0,922.0,144.92,145.54,-0.97,0.35,145.42,146.21,0.0,-0.79,2,-10
2008-01-03 17:00:00,17,804.3,974.0,185.85,185.43,0.0,0.42,152.73,153.09,0.0,-0.36,2,-10
2008-01-03 18:00:00,18,803.9,980.0,184.35,184.26,-0.33,0.42,156.42,156.14,0.0,0.28,-3,-9
2008-01-03 19:00:00,19,793.0,957.0,147.06,151.92,-5.2,0.34,149.16,149.42,0.0,-0.26,-5,-9
2008-01-03 20:00:00,20,747.9,936.0,140.88,143.22,-2.66,0.32,144.52,144.23,0.0,0.29,-5,-10
2008-01-03 21:00:00,21,726.5,897.0,145.67,146.65,-1.3,0.32,144.01,142.95,0.0,1.06,-6,-11
2008-01-03 22:00:00,22,699.9,815.0,129.58,130.31,-1.03,0.3,130.65,130.52,0.0,0.13,-4,-10
2008-01-03 23:00:00,23,633.6,762.0,125.78,126.48,-0.98,0.28,131.23,131.47,0.0,-0.24,-6,-11
2008-01-04 00:00:00,0,680.7,728.0,90.83,90.76,-0.26,0.33,97.73,97.84,0.0,-0.11,-3,-9
2008-01-04 01:00:00,1,635.7,705.0,90.82,90.49,0.0,0.33,127.72,127.74,0.0,-0.02,6,-4
2008-01-04 02:00:00,2,638.1,693.0,89.0,88.53,0.14,0.33,134.12,133.04,0.0,1.08,7,-4
2008-01-04 03:00:00,3,631.8,688.0,89.02,88.55,0.14,0.33,125.86,124.75,0.0,1.11,8,-4
2008-01-04 04:00:00,4,679.0,702.0,88.05,87.89,-0.17,0.33,98.34,98.3,0.0,0.04,9,-2
2008-01-04 05:00:00,5,694.5,761.0,100.0,99.94,-0.32,0.38,108.8,108.6,0.0,0.2,10,0
2008-01-04 06:00:00,6,699.9,865.0,126.16,127.57,-1.88,0.47,164.35,164.29,0.29,-0.23,11,1
2008-01-04 07:00:00,7,751.6,920.0,115.2,116.78,-2.02,0.44,136.21,136.27,0.0,-0.06,11,2
2008-01-04 08:00:00,8,750.2,919.0,114.75,115.61,-1.29,0.43,130.53,130.21,-0.37,0.69,12,2
2008-01-04 09:00:00,9,773.2,918.0,113.59,114.6,-1.43,0.42,136.73,135.98,-0.1,0.85,13,3
2008-01-04 10:00:00,10,781.9,915.0,109.76,110.56,-1.21,0.41,111.09,111.0,-0.37,0.46,15,5
2008-01-04 11:00:00,11,780.7,909.0,101.28,102.12,-1.21,0.37,133.92,133.78,-0.14,0.28,16,6
2008-01-04 12:00:00,12,773.0,891.0,99.93,100.85,-1.29,0.37,106.19,105.88,-0.08,0.39,17,8
2008-01-04 13:00:00,13,768.0,878.0,96.99,97.87,-1.24,0.36,88.46,88.46,0.0,0.0,19,9
2008-01-04 14:00:00,14,710.7,862.0,91.37,92.35,-1.32,0.34,87.88,87.91,0.0,-0.03,20,10
2008-01-04 15:00:00,15,712.4,861.0,94.61,94.57,-0.3,0.34,88.69,89.5,-0.78,-0.03,22,11
2008-01-04 16:00:00,16,735.7,890.0,119.74,120.67,-1.37,0.44,114.71,115.52,-0.85,0.04,22,12
2008-01-04 17:00:00,17,805.8,925.0,123.41,126.28,-3.32,0.45,99.19,99.97,-0.36,-0.42,22,12
2008-01-04 18:00:00,18,800.4,917.0,110.88,117.47,-7.01,0.42,100.21,101.02,0.0,-0.81,22,12
2008-01-04 19:00:00,19,773.3,887.0,106.29,108.0,-2.1,0.39,92.55,93.51,0.0,-0.96,22,13
2008-01-04 20:00:00,20,766.3,864.0,104.01,104.58,-0.94,0.37,100.35,100.37,0.0,-0.02,23,13
2008-01-04 21:00:00,21,748.9,830.0,94.79,95.57,-1.12,0.34,95.41,94.97,0.0,0.44,24,14
