Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt,SYSLoad,RegCP
2009-01-01 00:00:00,0,12858,14510.0,68.8,69.03,-0.48,0.25,82.17,81.53,0.0,0.64,7,-6,14682,10.5
2009-01-01 01:00:00,1,12746,13930.0,72.74,72.57,-0.09,0.26,81.61,80.9,0.0,0.71,6,-7,14090,7.83
2009-01-01 02:00:00,2,12536,13526.0,66.04,65.8,0.0,0.24,80.73,80.04,0.0,0.69,6,-8,13677,6.5
2009-01-01 03:00:00,3,12363,13389.0,63.31,63.09,0.0,0.22,82.0,81.32,0.0,0.68,5,-8,13545,6.5
2009-01-01 04:00:00,4,12339,13429.0,63.0,62.77,0.0,0.23,67.17,66.6,0.0,0.57,5,-8,13595,6.5
2009-01-01 05:00:00,5,12830,13724.0,67.4,67.15,0.0,0.25,72.2,71.56,0.0,0.64,4,-8,13895,6.5
2009-01-01 06:00:00,6,13270,14227.0,63.85,63.61,0.0,0.24,58.36,57.88,0.0,0.48,4,-8,14409,8.58
2009-01-01 07:00:00,7,14172,14529.0,66.64,66.34,0.0,0.3,48.69,48.36,0.0,0.33,4,-8,14728,9.83
2009-01-01 08:00:00,8,14779,15124.0,67.59,67.28,0.0,0.31,62.76,62.34,0.0,0.42,5,-8,15332,15.03
2009-01-01 09:00:00,9,15579,15785.0,69.16,68.85,0.0,0.31,67.7,67.21,0.0,0.49,7,-7,16006,11.12
2009-01-01 10:00:00,10,15819,16273.0,72.73,72.41,0.0,0.32,68.35,67.78,0.0,0.57,9,-6,16500,7.09
2009-01-01 11:00:00,11,15843,16495.0,74.55,74.22,0.0,0.33,69.72,69.1,0.0,0.62,11,-5,16725,6.91
2009-01-01 12:00:00,12,15797,16484.0,72.73,72.4,0.0,0.33,64.94,64.39,0.0,0.55,14,-4,16705,6.99
2009-01-01 13:00:00,13,15563,16285.0,69.58,69.27,0.0,0.31,64.42,63.9,0.0,0.52,15,-4,16509,6.99
2009-01-01 14:00:00,14,15285,16075.0,68.06,67.76,0.0,0.3,61.77,61.33,0.0,0.44,16,-3,16290,6.99
2009-01-01 15:00:00,15,15508,16211.0,68.57,68.26,0.0,0.31,62.92,62.49,0.0,0.43,17,-4,16419,7.82
2009-01-01 16:00:00,16,16943,17446.0,80.43,80.05,0.0,0.38,79.45,78.89,0.0,0.56,17,-5,17662,9.5
2009-01-01 17:00:00,17,18104,18844.0,90.86,90.27,0.17,0.42,82.58,82.07,0.0,0.51,16,-5,19097,10.0
2009-01-01 18:00:00,18,17871,18718.0,86.39,85.92,0.09,0.38,70.9,70.4,0.0,0.5,15,-5,18973,7.49
2009-01-01 19:00:00,19,17087,18302.0,85.46,84.99,0.09,0.38,79.74,79.05,0.0,0.69,14,-5,18556,9.5
2009-01-01 20:00:00,20,16724,17718.0,79.72,79.36,0.02,0.34,69.71,69.15,0.0,0.56,13,-5,17956,10.0
2009-01-01 21:00:00,21,15786,16879.0,69.16,68.86,0.0,0.3,66.33,65.8,0.0,0.53,12,-4,17106,10.0
2009-01-01 22:00:00,22,14547,15743.0,63.85,63.58,0.0,0.27,62.02,61.58,0.0,0.44,10,-4,15954,10.0
2009-01-01 23:00:00,23,13147,14596.0,68.24,68.0,0.0,0.24,60.4,59.95,0.0,0.45,9,-3,14791,10.0
2009-01-02 00:00:00,0,13203,13736.0,57.65,57.45,0.0,0.2,53.78,53.42,0.0,0.36,9,-4,13913,10.0
2009-01-02 01:00:00,1,13129,13229.0,56.59,56.39,0.0,0.2,47.79,47.4,0.0,0.39,10,-2,13406,7.49
2009-01-02 02:00:00,2,12987,12965.0,56.96,56.76,0.0,0.2,48.35,47.95,0.0,0.4,11,-1,13136,6.99
2009-01-02 03:00:00,3,12917,12908.0,55.78,55.59,0.0,0.19,48.21,47.84,0.0,0.37,11,0,13068,6.99
2009-01-02 04:00:00,4,13215,13130.0,55.6,55.4,0.0,0.2,45.96,45.59,0.0,0.37,11,-1,13302,6.99
2009-01-02 05:00:00,5,13469,13827.0,57.65,57.45,0.0,0.2,40.92,40.58,0.0,0.34,11,-1,13990,10.33
2009-01-02 06:00:00,6,15519,14980.0,69.02,68.78,0.0,0.24,54.76,54.27,0.0,0.49,11,0,15165,10.25
2009-01-02 07:00:00,7,16207,15943.0,74.33,74.04,0.0,0.29,62.89,62.38,0.0,0.51,13,1,16131,10.0
2009-01-02 08:00:00,8,16313,16719.0,80.71,80.37,0.03,0.31,68.98,68.38,0.0,0.6,14,3,16916,9.24
2009-01-02 09:00:00,9,16252,17269.0,87.77,87.26,0.17,0.34,68.49,67.86,0.0,0.63,16,4,17474,8.16
2009-01-02 10:00:00,10,16226,17468.0,83.45,83.04,0.09,0.32,67.31,66.63,0.0,0.68,19,6,17684,6.87
2009-01-02 11:00:00,11,16188,17400.0,79.03,78.72,0.0,0.31,70.86,70.15,0.0,0.71,22,9,17617,6.91
2009-01-02 12:00:00,12,15975,17163.0,74.04,73.75,0.0,0.29,72.26,71.53,0.0,0.73,26,13,17379,9.91
2009-01-02 13:00:00,13,15741,16873.0,69.45,69.18,0.0,0.27,72.02,71.24,0.0,0.78,28,17,17091,10.5
2009-01-02 14:00:00,14,15519,16634.0,67.66,67.4,0.0,0.26,64.53,63.94,0.0,0.59,29,19,16834,8.83
2009-01-02 15:00:00,15,15637,16670.0,67.09,66.83,0.0,0.26,64.69,64.18,0.0,0.51,29,20,16867,7.99
2009-01-02 16:00:00,16,17015,17698.0,74.0,73.69,0.0,0.31,87.52,86.63,0.0,0.89,29,21,17919,9.33
2009-01-02 17:00:00,17,17701,18685.0,88.72,88.2,0.16,0.36,89.48,88.64,0.0,0.84,29,21,18936,16.5
2009-01-02 18:00:00,18,17239,18394.0,81.22,80.88,0.0,0.34,81.29,80.5,0.0,0.79,28,21,18637,9.46
2009-01-02 19:00:00,19,16891,17796.0,76.31,76.01,0.0,0.3,65.15,64.59,0.0,0.56,28,20,18020,8.41
2009-01-02 20:00:00,20,16303,17177.0,72.59,72.3,0.0,0.29,62.57,62.1,0.0,0.47,27,20,17387,7.99
2009-01-02 21:00:00,21,15129,16313.0,68.31,68.04,0.0,0.27,64.08,63.6,0.0,0.48,25,19,16512,8.82
2009-01-02 22:00:00,22,13663,15184.0,63.25,63.0,0.0,0.25,61.67,61.32,0.0,0.35,24,19,15370,9.83
2009-01-02 23:00:00,23,12127,13978.0,62.37,62.16,0.0,0.21,50.15,49.84,0.0,0.31,24,19,13713,10.0
2009-01-03 00:00:00,0,12060,13003.0,50.31,50.12,0.0,0.19,46.25,45.96,0.0,0.29,23,19,13200,10.0
2009-01-03 01:00:00,1,11923,12404.0,50.24,50.05,0.0,0.19,45.63,45.4,0.0,0.23,24,19,12574,8.33
2009-01-03 02:00:00,2,11720,12098.0,47.6,47.41,0.0,0.19,44.68,44.45,0.0,0.23,25,19,12269,7.99
2009-01-03 03:00:00,3,11708,11955.0,47.6,47.41,0.0,0.19,44.09,43.85,0.0,0.24,26,19,12123,7.99
