Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2010-01-01 00:00:00,0,1017.8,1120.0,61.93,64.18,0.0,-2.25,61.2,65.01,0.0,-3.81,26,24
2010-01-01 01:00:00,1,988.3,1077.0,56.6,58.65,0.0,-2.05,68.57,71.37,0.0,-2.8,26,24
2010-01-01 02:00:00,2,976.1,1045.0,52.8,54.71,0.0,-1.91,54.57,56.44,0.0,-1.87,26,24
2010-01-01 03:00:00,3,713.9,1031.0,41.59,44.82,-1.66,-1.57,59.57,61.85,0.0,-2.28,27,24
2010-01-01 04:00:00,4,709.2,1047.0,47.34,50.62,-1.52,-1.76,52.64,54.65,0.0,-2.01,27,25
2010-01-01 05:00:00,5,877.1,1079.0,41.67,43.18,0.0,-1.51,40.36,42.59,0.0,-2.23,27,25
2010-01-01 06:00:00,6,1024.6,1125.0,44.45,46.06,0.0,-1.61,38.41,40.64,0.0,-2.23,28,25
2010-01-01 07:00:00,7,1114.1,1184.0,43.86,45.42,0.0,-1.56,30.71,32.54,0.0,-1.83,28,26
2010-01-01 08:00:00,8,1108.1,1250.0,54.3,56.23,0.0,-1.93,40.37,42.44,0.0,-2.07,28,26
2010-01-01 09:00:00,9,1198.2,1325.0,56.4,58.4,0.0,-2.0,46.06,48.71,0.0,-2.65,29,27
2010-01-01 10:00:00,10,1230.3,1384.0,59.21,61.31,0.0,-2.1,52.87,55.94,0.0,-3.07,30,27
2010-01-01 11:00:00,11,1225.8,1402.0,59.82,61.94,0.0,-2.12,55.73,59.2,0.0,-3.47,31,29
2010-01-01 12:00:00,12,1234.2,1405.0,57.1,59.13,0.0,-2.03,54.12,57.77,0.0,-3.65,32,30
2010-01-01 13:00:00,13,1205.2,1387.0,56.3,58.3,0.0,-2.0,55.55,58.95,0.0,-3.4,33,31
2010-01-01 14:00:00,14,1197.9,1382.0,55.89,57.88,0.0,-1.99,56.23,59.22,0.0,-2.99,33,31
2010-01-01 15:00:00,15,1235.7,1396.0,51.33,53.14,0.0,-1.81,53.86,56.18,0.0,-2.32,33,31
2010-01-01 16:00:00,16,1491.9,1513.0,60.47,63.14,-0.54,-2.13,70.51,74.68,0.0,-4.17,32,30
2010-01-01 17:00:00,17,1499.9,1581.0,81.72,86.3,-1.67,-2.91,77.94,83.16,0.0,-5.22,31,29
2010-01-01 18:00:00,18,1469.5,1542.0,76.31,81.39,-2.32,-2.76,72.46,77.32,0.0,-4.86,30,27
2010-01-01 19:00:00,19,1420.8,1475.0,66.35,69.92,-1.19,-2.38,61.61,65.9,0.0,-4.29,28,26
2010-01-01 20:00:00,20,1154.1,1417.0,60.97,63.34,-0.2,-2.17,69.26,75.06,0.0,-5.8,28,24
2010-01-01 21:00:00,21,962.3,1327.0,61.17,63.35,0.0,-2.18,67.67,73.91,0.0,-6.24,27,24
2010-01-01 22:00:00,22,812.7,1233.0,52.52,54.4,0.0,-1.88,59.65,65.09,0.0,-5.44,26,23
2010-01-01 23:00:00,23,1038.6,1141.0,46.92,48.61,0.0,-1.69,56.0,58.99,0.0,-2.99,25,22
2010-01-02 00:00:00,0,1114.9,1090.0,52.82,54.73,0.0,-1.91,41.37,43.02,0.0,-1.65,24,21
2010-01-02 01:00:00,1,1064.6,1055.0,46.87,48.56,0.0,-1.69,46.85,48.93,0.0,-2.08,24,20
2010-01-02 02:00:00,2,1027.4,1044.0,51.0,52.84,0.0,-1.84,49.24,51.39,0.0,-2.15,23,20
2010-01-02 03:00:00,3,851.3,1044.0,48.35,50.1,0.0,-1.75,48.25,50.31,0.0,-2.06,23,20
2010-01-02 04:00:00,4,893.5,1058.0,40.1,41.55,0.0,-1.45,32.21,33.59,0.0,-1.38,23,20
2010-01-02 05:00:00,5,941.6,1086.0,40.1,41.55,0.0,-1.45,34.28,36.25,0.0,-1.97,24,20
2010-01-02 06:00:00,6,1108.6,1160.0,40.46,41.91,0.0,-1.45,44.42,47.34,0.0,-2.92,24,19
2010-01-02 07:00:00,7,1080.6,1242.0,51.4,53.23,0.0,-1.83,57.86,61.86,0.0,-4.0,23,19
2010-01-02 08:00:00,8,1125.1,1334.0,67.73,70.14,0.0,-2.41,59.87,64.44,0.0,-4.57,23,19
2010-01-02 09:00:00,9,1226.7,1418.0,65.84,68.18,0.0,-2.34,60.58,64.71,0.0,-4.13,23,19
2010-01-02 10:00:00,10,1241.5,1469.0,69.29,71.76,0.0,-2.47,64.35,68.2,0.0,-3.85,24,20
2010-01-02 11:00:00,11,1217.0,1505.0,65.63,67.97,0.0,-2.34,68.04,71.7,0.0,-3.66,24,20
2010-01-02 12:00:00,12,1204.1,1503.0,61.98,64.19,0.0,-2.21,70.38,74.45,0.0,-4.07,24,21
2010-01-02 13:00:00,13,1188.7,1481.0,58.82,60.91,0.0,-2.09,60.75,64.19,0.0,-3.44,25,21
2010-01-02 14:00:00,14,1176.2,1462.0,56.61,58.62,0.0,-2.01,58.18,61.44,0.0,-3.26,25,22
2010-01-02 15:00:00,15,1199.5,1469.0,56.3,58.29,0.0,-1.99,61.15,64.58,0.0,-3.43,26,23
2010-01-02 16:00:00,16,1432.8,1592.0,63.83,68.02,-1.89,-2.3,86.53,90.93,0.0,-4.4,26,22
2010-01-02 17:00:00,17,1523.5,1655.0,79.27,85.89,-3.7,-2.92,128.1,136.03,0.0,-7.93,26,22
2010-01-02 18:00:00,18,1471.5,1610.0,72.88,76.79,-1.3,-2.61,101.4,108.44,0.0,-7.04,25,22
2010-01-02 19:00:00,19,1381.7,1535.0,71.2,74.54,-0.79,-2.55,92.66,99.28,0.0,-6.62,25,21
2010-01-02 20:00:00,20,1153.0,1461.0,63.59,66.36,-0.49,-2.28,90.48,97.71,0.0,-7.23,25,21
2010-01-02 21:00:00,21,1003.9,1360.0,62.06,64.28,0.0,-2.22,96.72,105.96,0.0,-9.24,25,21
2010-01-02 22:00:00,22,836.6,1263.0,57.64,59.71,0.0,-2.07,84.25,92.36,0.0,-8.11,25,21
2010-01-02 23:00:00,23,949.9,1186.0,56.58,58.61,0.0,-2.03,67.04,70.85,0.0,-3.81,23,20
2010-01-03 00:00:00,0,1090.3,1119.0,56.21,58.37,0.0,-2.16,79.84,83.55,0.0,-3.71,23,20
2010-01-03 01:00:00,1,1082.3,1081.0,56.21,58.37,0.0,-2.16,91.03,95.11,0.0,-4.08,23,19
2010-01-03 02:00:00,2,1034.6,1048.0,56.21,58.37,0.0,-2.16,187.47,196.32,0.0,-8.85,23,18
2010-01-03 03:00:00,3,869.4,1032.0,52.36,54.38,0.0,-2.02,163.05,168.84,0.0,-5.79,24,17
2010-01-03 04:00:00,4,878.7,1022.0,58.67,60.92,0.0,-2.25,100.96,105.26,0.0,-4.3,23,19
2010-01-03 05:00:00,5,921.1,1062.0,51.28,53.25,0.0,-1.97,82.27,86.97,0.0,-4.7,23,19
2010-01-03 06:00:00,6,1086.7,1123.0,51.29,53.25,0.0,-1.96,139.94,149.24,0.0,-9.3,24,19
2010-01-03 07:00:00,7,1104.2,1179.0,50.69,52.61,0.0,-1.92,114.29,121.86,0.0,-7.57,24,20
2010-01-03 08:00:00,8,1149.2,1271.0,64.04,66.46,0.0,-2.42,176.92,188.6,0.0,-11.68,27,24
2010-01-03 09:00:00,9,1194.8,1341.0,64.55,66.99,0.0,-2.44,182.84,195.97,0.0,-13.13,28,25
2010-01-03 10:00:00,10,1277.3,1349.0,62.62,64.98,0.0,-2.36,256.37,277.2,0.0,-20.83,31,27
2010-01-03 11:00:00,11,1247.8,1376.0,65.95,68.44,0.0,-2.49,213.04,231.19,0.0,-18.15,32,27
2010-01-03 12:00:00,12,1221.3,1391.0,65.95,68.44,0.0,-2.49,197.31,213.58,0.0,-16.27,32,28
2010-01-03 13:00:00,13,1207.0,1380.0,63.8,66.21,0.0,-2.41,115.13,125.48,0.0,-10.35,32,29
2010-01-03 14:00:00,14,1206.5,1368.0,61.32,63.63,0.0,-2.31,89.66,97.31,0.0,-7.65,33,30
2010-01-03 15:00:00,15,1257.1,1416.0,61.32,63.63,0.0,-2.31,82.69,88.98,0.0,-6.29,33,31
2010-01-03 16:00:00,16,1530.6,1557.0,71.33,74.16,-0.17,-2.66,170.47,181.9,0.0,-11.43,32,30
2010-01-03 17:00:00,17,1619.8,1613.0,101.28,106.38,-1.29,-3.81,90.21,101.59,-4.18,-7.2,32,30
2010-01-03 18:00:00,18,1484.6,1570.0,96.27,99.87,0.0,-3.6,93.02,105.52,-3.6,-8.9,32,31
2010-01-03 19:00:00,19,1336.4,1512.0,85.6,88.82,0.0,-3.22,103.26,113.55,-0.32,-9.97,32,31
2010-01-03 20:00:00,20,1186.0,1419.0,66.82,72.69,-3.23,-2.64,82.94,91.44,-0.62,-7.88,33,31
2010-01-03 21:00:00,21,981.9,1302.0,63.99,68.55,-2.04,-2.52,57.43,62.41,0.0,-4.98,33,30
2010-01-03 22:00:00,22,774.9,1190.0,61.32,63.67,0.0,-2.35,55.64,60.61,0.0,-4.97,34,30
2010-01-03 23:00:00,23,976.3,1110.0,57.35,59.56,0.0,-2.21,54.6,59.68,0.0,-5.08,34,29
2010-01-04 00:00:00,0,1124.7,1055.0,64.78,73.83,-6.13,-2.92,127.37,141.33,0.0,-13.96,34,28
2010-01-04 01:00:00,1,1049.5,999.0,64.48,70.36,-3.09,-2.79,98.26,108.29,0.0,-10.03,34,27
2010-01-04 02:00:00,2,1044.7,984.0,64.64,68.56,-1.21,-2.71,113.48,125.51,0.0,-12.03,34,27
2010-01-04 03:00:00,3,966.7,1022.0,63.84,68.66,-2.11,-2.71,85.43,93.85,0.0,-8.42,34,26
2010-01-04 04:00:00,4,1034.9,1069.0,64.61,71.18,-3.76,-2.81,78.99,86.49,0.0,-7.5,33,25
2010-01-04 05:00:00,5,1225.6,1182.0,68.89,76.83,-4.9,-3.04,216.46,233.16,0.0,-16.7,33,24
2010-01-04 06:00:00,6,1304.0,1346.0,90.0,94.04,-0.32,-3.72,145.08,153.47,0.0,-8.39,32,24
2010-01-04 07:00:00,7,1281.3,1393.0,104.98,109.3,0.0,-4.32,114.36,121.57,0.0,-7.21,32,23
2010-01-04 08:00:00,8,1205.9,1410.0,105.0,109.35,0.0,-4.35,120.41,129.59,0.0,-9.18,32,22
2010-01-04 09:00:00,9,1359.1,1400.0,95.0,98.94,0.0,-3.94,106.14,114.77,0.0,-8.63,32,22
2010-01-04 10:00:00,10,1283.2,1417.0,93.99,97.9,0.0,-3.91,102.38,109.94,0.0,-7.56,34,22
2010-01-04 11:00:00,11,1273.1,1442.0,81.24,84.61,0.0,-3.37,99.27,105.73,0.0,-6.46,34,22
2010-01-04 12:00:00,12,1308.7,1440.0,72.59,75.6,0.0,-3.01,80.06,85.57,0.0,-5.51,35,22
2010-01-04 13:00:00,13,1241.3,1430.0,71.4,74.36,0.0,-2.96,73.0,77.29,0.0,-4.29,34,21
2010-01-04 14:00:00,14,1255.7,1418.0,70.0,72.89,0.0,-2.89,69.56,72.92,0.0,-3.36,34,21
2010-01-04 15:00:00,15,1293.7,1438.0,66.98,69.74,0.0,-2.76,73.51,77.26,0.0,-3.75,33,20
2010-01-04 16:00:00,16,1474.9,1522.0,90.27,93.93,0.0,-3.66,97.53,103.84,0.0,-6.31,32,20
2010-01-04 17:00:00,17,1575.3,1618.0,113.31,117.89,0.0,-4.58,130.77,140.4,0.0,-9.63,31,20
2010-01-04 18:00:00,18,1546.7,1623.0,112.05,116.58,0.0,-4.53,121.42,130.54,0.0,-9.12,31,20
2010-01-04 19:00:00,19,1470.5,1559.0,101.78,105.92,0.0,-4.14,104.77,112.59,0.0,-7.82,30,19
2010-01-04 20:00:00,20,1374.3,1479.0,81.64,84.97,0.0,-3.33,81.53,87.84,0.0,-6.31,30,19
2010-01-04 21:00:00,21,1255.5,1374.0,70.9,73.79,0.0,-2.89,83.81,90.76,0.0,-6.95,29,19
2010-01-04 22:00:00,22,1009.9,1254.0,68.17,70.96,0.0,-2.79,63.67,68.46,0.0,-4.79,29,19
2010-01-04 23:00:00,23,1010.7,1156.0,63.69,66.33,0.0,-2.64,55.91,60.0,0.0,-4.09,29,20
2010-01-05 00:00:00,0,1012.0,1077.0,81.11,84.95,0.0,-3.84,69.97,76.42,0.0,-6.45,29,20
2010-01-05 01:00:00,1,995.3,1055.0,77.12,80.76,0.0,-3.64,48.76,53.3,0.0,-4.54,30,20
2010-01-05 02:00:00,2,978.1,1050.0,76.5,80.11,0.0,-3.61,63.46,69.48,0.0,-6.02,29,20
2010-01-05 03:00:00,3,940.9,1049.0,76.5,80.13,0.0,-3.63,70.0,76.71,0.0,-6.71,29,20
2010-01-05 04:00:00,4,953.7,1100.0,80.0,83.78,0.0,-3.78,78.8,86.1,0.0,-7.3,29,20
2010-01-05 05:00:00,5,1089.0,1211.0,83.98,87.93,0.0,-3.95,73.41,79.47,0.0,-6.06,29,20
2010-01-05 06:00:00,6,1329.6,1394.0,100.0,104.7,0.0,-4.7,106.94,115.07,0.0,-8.13,29,19
2010-01-05 07:00:00,7,1283.2,1458.0,115.0,120.41,0.0,-5.41,90.86,97.99,0.0,-7.13,29,19
2010-01-05 08:00:00,8,1340.5,1443.0,106.45,112.09,-0.56,-5.08,83.44,89.92,0.0,-6.48,29,20
2010-01-05 09:00:00,9,1265.2,1443.0,100.0,104.99,-0.22,-4.77,84.97,91.23,0.0,-6.26,30,19
2010-01-05 10:00:00,10,1252.9,1451.0,92.1,97.07,-0.56,-4.41,85.45,91.92,0.0,-6.47,30,20
2010-01-05 11:00:00,11,1265.6,1465.0,85.82,90.6,-0.66,-4.12,90.75,97.85,0.0,-7.1,32,21
2010-01-05 12:00:00,12,1182.0,1478.0,83.16,87.12,0.0,-3.96,87.52,94.26,0.0,-6.74,32,21
2010-01-05 13:00:00,13,1162.5,1475.0,81.6,85.48,0.0,-3.88,81.08,86.5,0.0,-5.42,33,22
