Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2010-01-01 00:00:00,0,535.3,641.0,63.93,64.18,0.0,-0.25,65.0,65.01,0.0,-0.01,27,24
2010-01-01 01:00:00,1,506.9,606.0,58.42,58.65,0.0,-0.23,71.18,71.37,0.0,-0.19,27,25
2010-01-01 02:00:00,2,502.2,580.0,54.5,54.71,0.0,-0.21,56.18,56.44,0.0,-0.26,27,26
2010-01-01 03:00:00,3,468.5,558.0,41.97,44.82,-2.68,-0.17,61.82,61.85,0.0,-0.03,27,25
2010-01-01 04:00:00,4,474.1,554.0,47.98,50.62,-2.46,-0.18,54.64,54.65,0.0,-0.01,28,25
2010-01-01 05:00:00,5,514.8,583.0,43.02,43.18,0.0,-0.16,42.42,42.59,0.0,-0.17,27,24
2010-01-01 06:00:00,6,541.9,609.0,45.89,46.06,0.0,-0.17,40.44,40.64,0.0,-0.2,28,24
2010-01-01 07:00:00,7,549.7,639.0,45.27,45.42,0.0,-0.15,32.45,32.54,0.0,-0.09,27,25
2010-01-01 08:00:00,8,605.4,681.0,56.05,56.23,0.0,-0.18,42.34,42.44,0.0,-0.1,27,25
2010-01-01 09:00:00,9,688.7,720.0,58.22,58.4,0.0,-0.18,48.46,48.71,0.0,-0.25,28,27
2010-01-01 10:00:00,10,662.9,747.0,61.12,61.31,0.0,-0.19,55.64,55.94,0.0,-0.3,30,28
2010-01-01 11:00:00,11,705.4,762.0,61.75,61.94,0.0,-0.19,58.99,59.2,0.0,-0.21,31,27
2010-01-01 12:00:00,12,741.6,756.0,58.94,59.13,0.0,-0.19,57.61,57.77,0.0,-0.16,31,28
2010-01-01 13:00:00,13,681.8,741.0,58.12,58.3,0.0,-0.18,58.66,58.95,0.0,-0.29,32,28
2010-01-01 14:00:00,14,650.5,733.0,57.7,57.88,0.0,-0.18,58.87,59.22,0.0,-0.35,32,28
2010-01-01 15:00:00,15,644.7,742.0,52.98,53.14,0.0,-0.16,55.87,56.18,0.0,-0.31,32,28
2010-01-01 16:00:00,16,698.9,791.0,62.43,63.14,-0.55,-0.16,74.63,74.68,0.0,-0.05,32,28
2010-01-01 17:00:00,17,767.4,840.0,84.37,86.3,-1.7,-0.23,82.81,83.16,0.0,-0.35,31,29
2010-01-01 18:00:00,18,721.3,826.0,79.69,81.39,-1.47,-0.23,77.19,77.32,0.0,-0.13,30,29
2010-01-01 19:00:00,19,687.2,801.0,68.5,69.92,-1.21,-0.21,65.83,65.9,0.0,-0.07,30,29
2010-01-01 20:00:00,20,628.4,772.0,62.94,63.34,-0.2,-0.2,75.22,75.06,0.0,0.16,30,29
2010-01-01 21:00:00,21,613.4,738.0,63.14,63.35,0.0,-0.21,73.78,73.91,0.0,-0.13,30,29
2010-01-01 22:00:00,22,599.9,678.0,54.21,54.4,0.0,-0.19,64.76,65.09,0.0,-0.33,29,29
2010-01-01 23:00:00,23,551.5,627.0,48.43,48.61,0.0,-0.18,58.11,58.99,0.0,-0.88,30,29
2010-01-02 00:00:00,0,502.3,584.0,54.41,54.73,0.0,-0.32,42.29,43.02,0.0,-0.73,30,29
2010-01-02 01:00:00,1,492.0,558.0,48.28,48.56,0.0,-0.28,48.35,48.93,0.0,-0.58,30,29
2010-01-02 02:00:00,2,488.7,543.0,52.53,52.84,0.0,-0.31,50.89,51.39,0.0,-0.5,30,29
2010-01-02 03:00:00,3,484.6,540.0,49.8,50.1,0.0,-0.3,49.89,50.31,0.0,-0.42,28,26
2010-01-02 04:00:00,4,492.8,549.0,41.3,41.55,0.0,-0.25,33.29,33.59,0.0,-0.3,27,26
2010-01-02 05:00:00,5,516.7,569.0,41.3,41.55,0.0,-0.25,35.81,36.25,0.0,-0.44,27,24
2010-01-02 06:00:00,6,536.7,608.0,41.68,41.91,0.0,-0.23,46.65,47.34,0.0,-0.69,26,24
2010-01-02 07:00:00,7,603.3,660.0,52.94,53.23,0.0,-0.29,61.29,61.86,0.0,-0.57,25,23
2010-01-02 08:00:00,8,661.6,717.0,69.76,70.14,0.0,-0.38,64.29,64.44,0.0,-0.15,25,23
2010-01-02 09:00:00,9,677.6,761.0,67.81,68.18,0.0,-0.37,64.82,64.71,0.0,0.11,24,22
2010-01-02 10:00:00,10,781.4,779.0,71.37,71.76,0.0,-0.39,68.05,68.2,0.0,-0.15,23,20
2010-01-02 11:00:00,11,708.0,788.0,67.6,67.97,0.0,-0.37,71.5,71.7,0.0,-0.2,22,19
2010-01-02 12:00:00,12,660.6,788.0,63.84,64.19,0.0,-0.35,74.46,74.45,0.0,0.01,21,18
2010-01-02 13:00:00,13,654.1,784.0,60.58,60.91,0.0,-0.33,64.37,64.19,0.0,0.18,20,17
2010-01-02 14:00:00,14,659.0,776.0,58.31,58.62,0.0,-0.31,61.56,61.44,0.0,0.12,20,16
2010-01-02 15:00:00,15,661.5,787.0,57.99,58.29,0.0,-0.3,64.9,64.58,0.0,0.32,20,17
2010-01-02 16:00:00,16,725.5,837.0,65.77,68.02,-1.92,-0.33,91.27,90.93,0.0,0.34,19,15
2010-01-02 17:00:00,17,852.0,890.0,81.7,85.89,-3.77,-0.42,136.09,136.03,0.0,0.06,17,14
2010-01-02 18:00:00,18,830.3,880.0,75.08,76.79,-1.33,-0.38,108.62,108.44,0.0,0.18,16,13
2010-01-02 19:00:00,19,747.9,850.0,73.35,74.54,-0.8,-0.39,99.57,99.28,0.0,0.29,14,9
2010-01-02 20:00:00,20,720.0,824.0,65.51,66.36,-0.5,-0.35,98.02,97.71,0.0,0.31,13,8
2010-01-02 21:00:00,21,634.0,791.0,63.92,64.28,0.0,-0.36,106.43,105.96,0.0,0.47,11,8
2010-01-02 22:00:00,22,595.9,737.0,59.37,59.71,0.0,-0.34,92.78,92.36,0.0,0.42,11,8
2010-01-02 23:00:00,23,568.6,691.0,58.28,58.61,0.0,-0.33,70.69,70.85,0.0,-0.16,10,8
2010-01-03 00:00:00,0,531.1,651.0,58.01,58.37,0.0,-0.36,83.04,83.55,0.0,-0.51,11,8
2010-01-03 01:00:00,1,512.5,627.0,58.01,58.37,0.0,-0.36,94.66,95.11,0.0,-0.45,11,6
2010-01-03 02:00:00,2,509.9,617.0,58.01,58.37,0.0,-0.36,195.46,196.32,0.0,-0.86,10,5
2010-01-03 03:00:00,3,497.1,612.0,54.04,54.38,0.0,-0.34,167.05,168.84,0.0,-1.79,9,6
2010-01-03 04:00:00,4,504.1,615.0,60.55,60.92,0.0,-0.37,104.03,105.26,0.0,-1.23,9,6
2010-01-03 05:00:00,5,515.0,631.0,52.92,53.25,0.0,-0.33,86.3,86.97,0.0,-0.67,9,5
2010-01-03 06:00:00,6,535.9,663.0,52.93,53.25,0.0,-0.32,147.9,149.24,0.0,-1.34,9,5
2010-01-03 07:00:00,7,550.0,702.0,52.31,52.61,0.0,-0.3,121.28,121.86,0.0,-0.58,9,6
2010-01-03 08:00:00,8,601.9,748.0,66.09,66.46,0.0,-0.37,187.84,188.6,0.0,-0.76,10,7
2010-01-03 09:00:00,9,620.6,788.0,66.62,66.99,0.0,-0.37,196.1,195.97,0.0,0.13,11,8
2010-01-03 10:00:00,10,639.5,807.0,64.63,64.98,0.0,-0.35,278.26,277.2,0.0,1.06,11,8
2010-01-03 11:00:00,11,647.0,822.0,68.06,68.44,0.0,-0.38,232.14,231.19,0.0,0.95,13,10
2010-01-03 12:00:00,12,650.8,817.0,68.06,68.44,0.0,-0.38,214.96,213.58,0.0,1.38,12,10
2010-01-03 13:00:00,13,632.1,806.0,65.85,66.21,0.0,-0.36,126.85,125.48,0.0,1.37,13,11
2010-01-03 14:00:00,14,627.5,800.0,63.29,63.63,0.0,-0.34,98.42,97.31,0.0,1.11,14,11
2010-01-03 15:00:00,15,633.8,803.0,63.28,63.63,0.0,-0.35,90.15,88.98,0.0,1.17,14,12
2010-01-03 16:00:00,16,703.7,848.0,73.62,74.16,-0.18,-0.36,183.04,181.9,0.0,1.14,15,12
2010-01-03 17:00:00,17,762.7,895.0,108.25,106.38,2.39,-0.52,98.05,101.59,-4.17,0.63,15,13
2010-01-03 18:00:00,18,655.0,876.0,99.35,99.87,0.0,-0.52,102.89,105.52,-3.6,0.97,15,14
2010-01-03 19:00:00,19,669.5,851.0,88.35,88.82,0.0,-0.47,114.79,113.55,-0.32,1.56,16,14
2010-01-03 20:00:00,20,643.8,811.0,67.04,72.69,-5.25,-0.4,92.34,91.44,-0.63,1.53,16,14
2010-01-03 21:00:00,21,618.4,765.0,64.84,68.55,-3.31,-0.4,63.41,62.41,0.0,1.0,17,16
2010-01-03 22:00:00,22,569.8,697.0,63.28,63.67,0.0,-0.39,61.05,60.61,0.0,0.44,18,17
2010-01-03 23:00:00,23,536.5,647.0,59.19,59.56,0.0,-0.37,60.08,59.68,0.0,0.4,19,17
2010-01-04 00:00:00,0,624.5,618.0,63.63,73.83,-9.85,-0.35,142.63,141.33,0.0,1.3,20,19
2010-01-04 01:00:00,1,620.0,601.0,65.07,70.36,-4.96,-0.33,109.31,108.29,0.0,1.02,19,17
2010-01-04 02:00:00,2,612.2,593.0,66.3,68.56,-1.95,-0.31,127.13,125.51,0.0,1.62,19,16
2010-01-04 03:00:00,3,574.0,592.0,64.95,68.66,-3.39,-0.32,94.54,93.85,0.0,0.69,18,16
2010-01-04 04:00:00,4,621.2,609.0,64.81,71.18,-6.03,-0.34,87.13,86.49,0.0,0.64,20,15
2010-01-04 05:00:00,5,665.0,668.0,68.54,76.83,-7.93,-0.36,234.16,233.16,0.0,1.0,19,14
2010-01-04 06:00:00,6,664.1,763.0,93.64,94.04,0.04,-0.44,152.23,153.47,0.0,-1.24,19,13
2010-01-04 07:00:00,7,719.7,815.0,108.79,109.3,0.0,-0.51,120.71,121.57,0.0,-0.86,19,12
2010-01-04 08:00:00,8,732.8,820.0,108.81,109.35,0.0,-0.54,129.2,129.59,0.0,-0.39,18,10
2010-01-04 09:00:00,9,744.2,827.0,98.45,98.94,0.0,-0.49,114.72,114.77,0.0,-0.05,19,11
2010-01-04 10:00:00,10,781.5,829.0,97.41,97.9,0.0,-0.49,110.15,109.94,0.0,0.21,19,12
2010-01-04 11:00:00,11,709.4,836.0,84.18,84.61,0.0,-0.43,106.08,105.73,0.0,0.35,19,12
2010-01-04 12:00:00,12,774.1,831.0,75.22,75.6,0.0,-0.38,86.07,85.57,0.0,0.5,20,11
2010-01-04 13:00:00,13,740.7,826.0,73.99,74.36,0.0,-0.37,77.42,77.29,0.0,0.13,20,12
2010-01-04 14:00:00,14,662.8,814.0,72.54,72.89,0.0,-0.35,72.9,72.92,0.0,-0.02,21,12
2010-01-04 15:00:00,15,696.2,817.0,69.41,69.74,0.0,-0.33,77.83,77.26,0.0,0.57,21,13
2010-01-04 16:00:00,16,718.1,860.0,93.54,93.93,0.0,-0.39,104.38,103.84,0.0,0.54,20,16
2010-01-04 17:00:00,17,696.4,909.0,117.42,117.89,0.0,-0.47,141.35,140.4,0.0,0.95,18,14
2010-01-04 18:00:00,18,672.2,905.0,116.12,116.58,0.0,-0.46,131.75,130.54,0.0,1.21,18,14
2010-01-04 19:00:00,19,661.7,881.0,105.47,105.92,0.0,-0.45,113.7,112.59,0.0,1.11,19,12
2010-01-04 20:00:00,20,682.6,853.0,84.6,84.97,0.0,-0.37,88.93,87.84,0.0,1.09,18,13
2010-01-04 21:00:00,21,727.0,805.0,73.47,73.79,0.0,-0.32,91.59,90.76,0.0,0.83,17,12
2010-01-04 22:00:00,22,698.9,734.0,70.64,70.96,0.0,-0.32,68.63,68.46,0.0,0.17,17,10
2010-01-04 23:00:00,23,590.3,672.0,66.0,66.33,0.0,-0.33,60.04,60.0,0.0,0.04,17,11
2010-01-05 00:00:00,0,517.0,639.0,84.67,84.95,0.0,-0.28,76.8,76.42,0.0,0.38,17,12
2010-01-05 01:00:00,1,516.4,618.0,80.5,80.76,0.0,-0.26,53.6,53.3,0.0,0.3,17,12
2010-01-05 02:00:00,2,565.9,613.0,79.86,80.11,0.0,-0.25,69.94,69.48,0.0,0.46,17,12
