Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2010-01-01 00:00:00,0,1629.8,1774.0,64.58,64.18,0.0,0.4,65.46,65.01,0.0,0.45,24,22
2010-01-01 01:00:00,1,1619.0,1677.0,59.02,58.65,0.0,0.37,72.0,71.37,0.0,0.63,24,22
2010-01-01 02:00:00,2,1628.4,1622.0,55.05,54.71,0.0,0.34,56.98,56.44,0.0,0.54,23,22
2010-01-01 03:00:00,3,1546.0,1589.0,46.21,44.82,1.11,0.28,62.56,61.85,0.0,0.71,23,21
2010-01-01 04:00:00,4,1546.8,1587.0,51.97,50.62,1.03,0.32,55.29,54.65,0.0,0.64,23,21
2010-01-01 05:00:00,5,1559.8,1623.0,43.45,43.18,0.0,0.27,43.1,42.59,0.0,0.51,23,21
2010-01-01 06:00:00,6,1596.3,1681.0,46.35,46.06,0.0,0.29,41.1,40.64,0.0,0.46,24,22
2010-01-01 07:00:00,7,1729.3,1719.0,45.73,45.42,0.0,0.31,32.86,32.54,0.0,0.32,24,22
2010-01-01 08:00:00,8,1863.2,1801.0,56.62,56.23,0.0,0.39,42.78,42.44,0.0,0.34,25,23
2010-01-01 09:00:00,9,2033.7,1911.0,58.8,58.4,0.0,0.4,49.02,48.71,0.0,0.31,26,23
2010-01-01 10:00:00,10,2132.4,1999.0,61.74,61.31,0.0,0.43,56.33,55.94,0.0,0.39,26,24
2010-01-01 11:00:00,11,2148.4,2031.0,62.37,61.94,0.0,0.43,59.6,59.2,0.0,0.4,28,25
2010-01-01 12:00:00,12,2104.5,2030.0,59.54,59.13,0.0,0.41,58.17,57.77,0.0,0.4,31,26
2010-01-01 13:00:00,13,2041.9,2009.0,58.71,58.3,0.0,0.41,59.33,58.95,0.0,0.38,33,27
2010-01-01 14:00:00,14,2044.7,1999.0,58.28,57.88,0.0,0.4,59.55,59.22,0.0,0.33,33,27
2010-01-01 15:00:00,15,2067.8,2019.0,53.52,53.14,0.0,0.38,56.45,56.18,0.0,0.27,33,27
2010-01-01 16:00:00,16,2292.0,2170.0,64.84,63.14,1.23,0.47,75.18,74.68,0.0,0.5,33,27
2010-01-01 17:00:00,17,2389.0,2308.0,90.73,86.3,3.79,0.64,83.59,83.16,0.0,0.43,31,27
2010-01-01 18:00:00,18,2343.8,2285.0,85.6,81.39,3.62,0.59,77.8,77.32,0.0,0.48,30,27
