DATE,HOUR,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DRYBULB,DEWPNT,SYSLoad,RegCP
2011-01-01 00:00:00,0,11722,12055.0,38.51,38.37,0.0,0.14,41.57,41.48,0.0,0.09,36,29,12214,6.24
2011-01-01 01:00:00,1,11253,11430.0,36.86,36.75,0.0,0.11,34.91,34.82,0.0,0.09,36,29,11573,9.18
2011-01-01 02:00:00,2,10459,10966.0,35.92,35.91,0.0,0.01,35.46,35.29,0.0,0.17,35,29,11114,7.15
2011-01-01 03:00:00,3,10531,10725.0,35.94,35.91,0.0,0.03,34.14,33.97,0.0,0.17,35,30,10863,7.4
2011-01-01 04:00:00,4,10841,10672.0,36.05,36.04,0.0,0.01,33.63,33.49,0.0,0.14,36,31,10827,9.69
2011-01-01 05:00:00,5,10661,10852.0,36.05,36.12,0.0,-0.07,34.25,34.11,0.0,0.14,36,31,11005,8.63
2011-01-01 06:00:00,6,11640,11255.0,37.29,37.51,0.0,-0.22,34.01,33.9,0.0,0.11,36,32,11415,9.7
2011-01-01 07:00:00,7,11972,11583.0,37.97,38.68,0.0,-0.71,30.08,30.02,0.0,0.06,35,31,11753,8.13
2011-01-01 08:00:00,8,12735,12238.0,39.36,44.27,-4.15,-0.76,32.28,32.23,0.0,0.05,35,32,12435,7.03
2011-01-01 09:00:00,9,13503,12877.0,38.88,39.5,0.0,-0.62,32.79,32.71,0.0,0.08,39,34,13073,9.47
2011-01-01 10:00:00,10,13847,13349.0,39.64,40.22,0.0,-0.58,36.15,36.06,0.0,0.09,43,35,13558,8.14
2011-01-01 11:00:00,11,13799,13510.0,39.68,40.2,0.0,-0.52,35.52,35.46,0.0,0.06,47,37,13726,6.8
2011-01-01 12:00:00,12,13639,13492.0,39.64,40.15,0.0,-0.51,34.44,34.4,0.0,0.04,49,38,13708,6.8
