Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2011-01-01 00:00:00,0,1333.2,1438.0,38.55,38.37,0.0,0.18,41.77,41.48,0.0,0.29,31,28
2011-01-01 01:00:00,1,1255.4,1348.0,37.04,36.75,0.0,0.29,35.07,34.82,0.0,0.25,32,28
2011-01-01 02:00:00,2,1205.7,1286.0,36.15,35.91,0.0,0.24,35.56,35.29,0.0,0.27,29,27
2011-01-01 03:00:00,3,1183.3,1252.0,36.15,35.91,0.0,0.24,34.19,33.97,0.0,0.22,32,29
2011-01-01 04:00:00,4,1195.2,1242.0,36.28,36.04,0.0,0.24,33.66,33.49,0.0,0.17,32,29
2011-01-01 05:00:00,5,1246.8,1264.0,36.36,36.12,0.0,0.24,34.34,34.11,0.0,0.23,33,30
2011-01-01 06:00:00,6,1347.2,1310.0,37.82,37.51,0.0,0.31,34.12,33.9,0.0,0.22,34,31
2011-01-01 07:00:00,7,1430.0,1344.0,38.75,38.68,0.0,0.07,30.14,30.02,0.0,0.12,35,33
2011-01-01 08:00:00,8,1553.7,1432.0,40.03,44.27,-4.15,-0.09,32.38,32.23,0.0,0.15,35,33
2011-01-01 09:00:00,9,1626.4,1514.0,39.5,39.5,0.0,0.0,32.97,32.71,0.0,0.26,39,34
2011-01-01 10:00:00,10,1648.6,1582.0,40.14,40.22,0.0,-0.08,36.4,36.06,0.0,0.34,45,36
2011-01-01 11:00:00,11,1644.8,1614.0,40.16,40.2,0.0,-0.04,35.82,35.46,0.0,0.36,47,36
2011-01-01 12:00:00,12,1641.7,1606.0,40.11,40.15,0.0,-0.04,34.72,34.4,0.0,0.32,50,37
2011-01-01 13:00:00,13,1621.5,1582.0,39.0,39.0,0.0,0.0,27.11,26.9,0.0,0.21,50,37
2011-01-01 14:00:00,14,1612.3,1558.0,38.32,38.28,0.0,0.04,22.07,21.95,0.0,0.12,53,38
2011-01-01 15:00:00,15,1636.6,1587.0,38.51,38.54,0.0,-0.03,25.1,25.01,0.0,0.09,49,37
2011-01-01 16:00:00,16,1831.2,1765.0,40.56,42.83,-2.01,-0.26,36.66,36.57,0.0,0.09,45,35
2011-01-01 17:00:00,17,1986.0,1931.0,54.58,54.96,0.0,-0.38,43.08,43.09,0.0,-0.01,43,35
2011-01-01 18:00:00,18,1970.0,1917.0,51.21,51.56,0.0,-0.35,39.11,39.06,0.0,0.05,41,35
2011-01-01 19:00:00,19,1911.6,1864.0,44.67,45.05,-0.15,-0.23,38.05,37.84,0.0,0.21,40,37
2011-01-01 20:00:00,20,1856.4,1799.0,40.22,40.29,0.0,-0.07,36.81,36.54,0.0,0.27,40,37
2011-01-01 21:00:00,21,1695.3,1698.0,39.06,39.05,0.0,0.01,36.74,36.45,0.0,0.29,40,38
2011-01-01 22:00:00,22,1553.4,1558.0,39.52,39.47,0.0,0.05,35.35,35.08,0.0,0.27,41,39
2011-01-01 23:00:00,23,1375.0,1411.0,37.56,37.38,0.0,0.18,34.78,34.53,0.0,0.25,42,41
2011-01-02 00:00:00,0,1283.3,1289.0,37.93,37.76,0.0,0.17,30.09,29.98,0.0,0.11,44,43
2011-01-02 01:00:00,1,1202.9,1213.0,36.25,36.02,0.0,0.23,22.99,22.9,0.0,0.09,45,43
2011-01-02 02:00:00,2,1162.8,1172.0,34.62,34.38,0.0,0.24,19.96,19.87,0.0,0.09,43,42
2011-01-02 03:00:00,3,1141.2,1166.0,33.13,32.93,0.0,0.2,8.3,8.26,0.0,0.04,44,42
2011-01-02 04:00:00,4,1149.1,1169.0,33.18,32.97,0.0,0.21,1.66,1.65,0.0,0.01,42,42
2011-01-02 05:00:00,5,1187.2,1201.0,35.46,35.18,0.0,0.28,0.0,0.0,0.0,0.0,43,42
2011-01-02 06:00:00,6,1272.9,1267.0,36.38,36.01,0.0,0.37,0.0,0.0,0.0,0.0,43,42
2011-01-02 07:00:00,7,1361.9,1344.0,38.48,38.15,0.0,0.33,31.05,30.95,0.0,0.1,45,44
2011-01-02 08:00:00,8,1496.2,1460.0,39.36,39.23,0.0,0.13,45.82,45.72,0.0,0.1,43,43
2011-01-02 09:00:00,9,1581.1,1587.0,39.99,39.95,0.0,0.04,39.49,39.43,0.0,0.06,44,44
2011-01-02 10:00:00,10,1614.2,1673.0,40.24,40.18,0.0,0.06,41.69,41.56,0.0,0.13,47,46
2011-01-02 11:00:00,11,1639.2,1726.0,40.52,40.44,0.0,0.08,41.24,41.15,0.0,0.09,48,46
2011-01-02 12:00:00,12,1649.8,1747.0,40.15,40.17,0.0,-0.02,40.04,40.0,0.0,0.04,48,46
2011-01-02 13:00:00,13,1633.4,1731.0,39.72,39.73,0.0,-0.01,38.63,38.6,0.0,0.03,50,46
2011-01-02 14:00:00,14,1627.6,1717.0,39.06,39.06,0.0,0.0,37.62,37.58,0.0,0.04,48,45
2011-01-02 15:00:00,15,1656.5,1742.0,40.01,40.09,0.0,-0.08,37.53,37.56,0.0,-0.03,50,46
2011-01-02 16:00:00,16,1829.5,1915.0,40.28,40.48,0.0,-0.2,47.26,47.35,0.0,-0.09,48,46
2011-01-02 17:00:00,17,1988.7,2056.0,58.97,59.32,0.0,-0.35,60.93,61.12,0.0,-0.19,47,46
2011-01-02 18:00:00,18,1976.9,2041.0,55.76,55.98,0.0,-0.22,46.87,46.97,0.0,-0.1,46,46
2011-01-02 19:00:00,19,1920.8,1973.0,48.69,48.9,0.0,-0.21,47.98,48.14,0.0,-0.16,45,45
2011-01-02 20:00:00,20,1867.2,1880.0,42.1,42.31,0.0,-0.21,40.45,40.58,0.0,-0.13,44,39
2011-01-02 21:00:00,21,1695.1,1735.0,41.1,41.31,0.0,-0.21,37.63,37.53,0.0,0.1,41,38
2011-01-02 22:00:00,22,1548.0,1574.0,40.94,41.05,0.0,-0.11,35.4,35.3,0.0,0.1,36,33
2011-01-02 23:00:00,23,1389.5,1423.0,38.92,38.92,0.0,0.0,26.83,26.68,0.0,0.15,37,31
2011-01-03 00:00:00,0,1311.4,1324.0,36.39,36.27,0.0,0.12,23.76,23.67,0.0,0.09,35,26
2011-01-03 01:00:00,1,1254.5,1277.0,34.43,34.23,0.0,0.2,30.2,30.08,0.0,0.12,33,22
2011-01-03 02:00:00,2,1235.9,1262.0,34.64,34.47,0.0,0.17,30.83,30.74,0.0,0.09,32,19
2011-01-03 03:00:00,3,1238.5,1273.0,33.66,33.49,0.0,0.17,2.52,2.51,0.0,0.01,31,17
2011-01-03 04:00:00,4,1272.7,1323.0,36.17,35.95,0.0,0.22,0.0,0.0,0.0,0.0,30,16
2011-01-03 05:00:00,5,1395.4,1464.0,39.49,39.28,0.0,0.21,26.0,25.95,0.0,0.05,29,16
2011-01-03 06:00:00,6,1597.4,1713.0,45.67,45.61,0.0,0.06,55.19,54.87,0.0,0.32,29,16
2011-01-03 07:00:00,7,1717.1,1847.0,49.7,50.07,0.0,-0.37,41.97,41.88,0.0,0.09,29,16
2011-01-03 08:00:00,8,1753.6,1859.0,48.89,49.17,0.0,-0.28,41.37,41.41,0.0,-0.04,29,14
2011-01-03 09:00:00,9,1762.8,1876.0,48.74,49.11,0.0,-0.37,53.86,53.98,0.0,-0.12,30,12
2011-01-03 10:00:00,10,1748.2,1891.0,50.3,50.65,0.0,-0.35,45.48,45.61,0.0,-0.13,31,12
2011-01-03 11:00:00,11,1726.5,1893.0,52.73,53.15,0.0,-0.42,42.28,42.43,0.0,-0.15,32,11
2011-01-03 12:00:00,12,1735.8,1877.0,50.02,50.39,0.0,-0.37,46.5,46.77,0.0,-0.27,33,9
2011-01-03 13:00:00,13,1722.8,1862.0,47.58,47.71,0.0,-0.13,38.43,38.6,0.0,-0.17,34,9
2011-01-03 14:00:00,14,1715.7,1841.0,46.51,46.63,0.0,-0.12,38.41,38.6,0.0,-0.19,35,8
2011-01-03 15:00:00,15,1753.2,1869.0,47.88,48.09,0.0,-0.21,38.25,38.46,0.0,-0.21,34,8
2011-01-03 16:00:00,16,1947.0,2053.0,48.11,48.37,0.0,-0.26,44.68,44.98,0.0,-0.3,33,8
2011-01-03 17:00:00,17,2138.4,2267.0,79.79,80.04,0.0,-0.25,66.75,67.06,0.0,-0.31,31,11
2011-01-03 18:00:00,18,2102.6,2273.0,76.61,76.9,0.0,-0.29,66.47,66.61,0.0,-0.14,30,12
