DATE,HOUR,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DRYBULB,DEWPNT
2011-01-01 00:00:00,0,1643.9,1649.0,38.72,38.37,0.0,0.35,41.77,41.48,0.0,0.29,41,33
2011-01-01 01:00:00,1,1568.2,1565.0,37.07,36.75,0.0,0.32,35.12,34.82,0.0,0.3,39,31
2011-01-01 02:00:00,2,1512.4,1506.0,36.21,35.91,0.0,0.3,35.65,35.29,0.0,0.36,39,32
2011-01-01 03:00:00,3,1486.4,1476.0,36.21,35.91,0.0,0.3,34.34,33.97,0.0,0.37,42,37
2011-01-01 04:00:00,4,1495.7,1466.0,36.34,36.04,0.0,0.3,33.85,33.49,0.0,0.36,43,38
2011-01-01 05:00:00,5,1545.7,1490.0,36.36,36.12,0.0,0.24,34.43,34.11,0.0,0.32,44,39
2011-01-01 06:00:00,6,1649.2,1544.0,37.59,37.51,0.0,0.08,34.21,33.9,0.0,0.31,46,41
2011-01-01 07:00:00,7,1748.4,1587.0,38.56,38.68,0.0,-0.12,30.27,30.02,0.0,0.25,40,38
2011-01-01 08:00:00,8,1866.8,1667.0,40.06,44.27,-4.15,-0.06,32.48,32.23,0.0,0.25,42,39
2011-01-01 09:00:00,9,1997.6,1752.0,39.49,39.5,0.0,-0.01,32.99,32.71,0.0,0.28,46,41
2011-01-01 10:00:00,10,2062.0,1822.0,40.25,40.22,0.0,0.03,36.37,36.06,0.0,0.31,51,43
2011-01-01 11:00:00,11,2064.4,1845.0,40.29,40.2,0.0,0.09,35.73,35.46,0.0,0.27,52,44
2011-01-01 12:00:00,12,2021.5,1849.0,40.25,40.15,0.0,0.1,34.64,34.4,0.0,0.24,56,44
2011-01-01 13:00:00,13,1998.0,1824.0,39.1,39.0,0.0,0.1,27.08,26.9,0.0,0.18,56,45
2011-01-01 14:00:00,14,1981.3,1797.0,38.35,38.28,0.0,0.07,22.09,21.95,0.0,0.14,58,44
2011-01-01 15:00:00,15,2006.8,1825.0,38.6,38.54,0.0,0.06,25.19,25.01,0.0,0.18,55,41
2011-01-01 16:00:00,16,2202.9,1990.0,40.87,42.83,-2.01,0.05,36.87,36.57,0.0,0.3,51,39
2011-01-01 17:00:00,17,2286.8,2124.0,54.86,54.96,0.0,-0.1,43.5,43.09,0.0,0.41,50,37
2011-01-01 18:00:00,18,2278.7,2099.0,51.5,51.56,0.0,-0.06,39.41,39.06,0.0,0.35,49,38
2011-01-01 19:00:00,19,2252.9,2048.0,45.47,45.05,0.28,0.14,38.17,37.84,0.0,0.33,47,38
2011-01-01 20:00:00,20,2185.0,1980.0,40.38,40.29,0.0,0.09,36.87,36.54,0.0,0.33,47,41
2011-01-01 21:00:00,21,2004.4,1884.0,39.16,39.05,0.0,0.11,36.77,36.45,0.0,0.32,47,43
2011-01-01 22:00:00,22,1849.6,1755.0,39.59,39.47,0.0,0.12,35.33,35.08,0.0,0.25,47,45
2011-01-01 23:00:00,23,1677.7,1612.0,37.51,37.38,0.0,0.13,34.7,34.53,0.0,0.17,47,45
2011-01-02 00:00:00,0,1605.7,1495.0,37.89,37.76,0.0,0.13,30.17,29.98,0.0,0.19,46,46
2011-01-02 01:00:00,1,1528.5,1424.0,36.24,36.02,0.0,0.22,23.08,22.9,0.0,0.18,46,46
2011-01-02 02:00:00,2,1480.6,1380.0,34.59,34.38,0.0,0.21,20.05,19.87,0.0,0.18,46,46
2011-01-02 03:00:00,3,1465.3,1363.0,33.13,32.93,0.0,0.2,8.33,8.26,0.0,0.07,46,46
2011-01-02 04:00:00,4,1468.2,1364.0,33.17,32.97,0.0,0.2,1.66,1.65,0.0,0.01,46,46
2011-01-02 05:00:00,5,1497.9,1399.0,35.4,35.18,0.0,0.22,0.0,0.0,0.0,0.0,45,45
2011-01-02 06:00:00,6,1596.7,1471.0,36.17,36.01,0.0,0.16,0.0,0.0,0.0,0.0,45,45
