Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2012-01-01 00:00:00,0,752.5,772.0,35.68,35.22,0.0,0.46,56.92,55.78,0.0,1.14,40,36
2012-01-01 01:00:00,1,719.6,732.0,33.87,33.39,0.0,0.48,39.78,39.01,0.0,0.77,39,35
2012-01-01 02:00:00,2,696.8,696.0,30.71,30.3,0.0,0.41,39.06,38.29,0.0,0.77,40,36
2012-01-01 03:00:00,3,692.6,677.0,29.28,28.88,0.0,0.4,34.46,33.77,0.0,0.69,38,35
2012-01-01 04:00:00,4,701.0,671.0,20.49,20.21,0.0,0.28,22.59,22.14,0.0,0.45,37,34
2012-01-01 05:00:00,5,664.6,682.0,20.49,20.24,0.0,0.25,37.84,37.08,0.0,0.76,36,34
2012-01-01 06:00:00,6,698.4,708.0,31.13,30.7,0.0,0.43,40.69,39.92,0.0,0.77,37,34
2012-01-01 07:00:00,7,734.3,717.0,34.78,34.33,0.0,0.45,26.17,25.71,0.0,0.46,31,30
2012-01-01 08:00:00,8,782.3,753.0,37.75,37.57,0.0,0.18,35.87,35.36,0.0,0.51,31,31
2012-01-01 09:00:00,9,873.1,792.0,38.69,38.45,0.0,0.24,51.5,50.77,0.0,0.73,41,36
2012-01-01 10:00:00,10,878.1,823.0,41.32,41.22,0.0,0.1,38.44,37.88,0.0,0.56,45,38
2012-01-01 11:00:00,11,894.8,831.0,42.13,42.04,0.0,0.09,32.92,32.44,0.0,0.48,48,37
2012-01-01 12:00:00,12,907.9,838.0,40.37,40.29,0.0,0.08,33.73,33.26,0.0,0.47,51,37
2012-01-01 13:00:00,13,898.6,834.0,37.93,37.76,0.0,0.17,23.43,23.1,0.0,0.33,52,36
2012-01-01 14:00:00,14,893.1,821.0,36.71,36.52,0.0,0.19,21.77,21.48,0.0,0.29,53,35
2012-01-01 15:00:00,15,902.0,829.0,38.77,38.63,0.0,0.14,25.28,25.04,0.0,0.24,52,36
2012-01-01 16:00:00,16,1058.7,914.0,49.76,49.78,0.0,-0.02,41.89,41.49,0.0,0.4,48,40
2012-01-01 17:00:00,17,1106.1,1001.0,66.35,66.82,-0.42,-0.05,49.9,49.49,0.0,0.41,47,41
2012-01-01 18:00:00,18,1071.4,994.0,57.44,57.92,-0.46,-0.02,54.64,54.23,0.0,0.41,46,41
2012-01-01 19:00:00,19,1048.6,969.0,46.86,46.85,0.0,0.01,50.8,50.44,0.0,0.36,47,41
2012-01-01 20:00:00,20,1012.4,938.0,45.25,45.3,0.0,-0.05,44.43,44.16,0.0,0.27,46,42
2012-01-01 21:00:00,21,953.0,881.0,38.52,38.51,0.0,0.01,38.19,37.89,0.0,0.3,47,43
2012-01-01 22:00:00,22,873.6,822.0,38.52,38.05,0.0,0.47,37.96,37.45,0.0,0.51,48,45
2012-01-01 23:00:00,23,788.4,749.0,38.52,38.19,0.0,0.33,30.76,30.22,0.0,0.54,50,47
2012-01-02 00:00:00,0,671.3,689.0,30.9,30.24,0.0,0.66,26.21,25.68,0.0,0.53,50,47
2012-01-02 01:00:00,1,645.9,652.0,31.43,30.8,0.0,0.63,2.59,2.54,0.0,0.05,51,47
2012-01-02 02:00:00,2,633.5,632.0,24.35,23.86,0.0,0.49,0.0,0.0,0.0,0.0,50,46
2012-01-02 03:00:00,3,628.3,626.0,20.74,20.34,0.0,0.4,0.0,0.0,0.0,0.0,49,45
2012-01-02 04:00:00,4,636.5,635.0,20.74,20.34,0.0,0.4,0.0,0.0,0.0,0.0,48,42
2012-01-02 05:00:00,5,671.4,662.0,31.54,30.89,0.0,0.65,0.0,0.0,0.0,0.0,46,38
2012-01-02 06:00:00,6,733.4,702.0,31.62,31.0,0.0,0.62,0.0,0.0,0.0,0.0,45,37
2012-01-02 07:00:00,7,787.9,729.0,36.24,35.45,0.0,0.79,0.0,0.0,0.0,0.0,41,33
2012-01-02 08:00:00,8,874.2,779.0,42.41,41.49,0.0,0.92,0.0,0.0,0.0,0.0,40,29
2012-01-02 09:00:00,9,912.1,840.0,50.77,49.85,0.0,0.92,37.21,36.62,0.0,0.59,42,27
2012-01-02 10:00:00,10,932.0,879.0,45.38,44.52,0.0,0.86,40.99,40.44,0.0,0.55,42,22
2012-01-02 11:00:00,11,944.6,895.0,48.91,48.05,0.0,0.86,40.53,40.09,0.0,0.44,43,22
2012-01-02 12:00:00,12,935.9,903.0,45.18,44.38,0.0,0.8,40.35,39.91,0.0,0.44,40,19
2012-01-02 13:00:00,13,925.8,896.0,43.66,42.87,0.0,0.79,38.52,38.09,0.0,0.43,42,19
2012-01-02 14:00:00,14,912.5,886.0,39.36,38.67,0.0,0.69,35.13,34.69,0.0,0.44,43,18
2012-01-02 15:00:00,15,913.6,903.0,39.6,38.96,0.0,0.64,35.02,34.67,0.0,0.35,42,16
2012-01-02 16:00:00,16,1085.2,1005.0,67.57,66.92,0.0,0.65,57.27,56.88,0.0,0.39,40,15
2012-01-02 17:00:00,17,1117.0,1102.0,86.33,85.73,0.0,0.6,209.61,208.66,0.0,0.95,39,14
2012-01-02 18:00:00,18,1107.1,1101.0,83.01,82.36,0.0,0.65,49.09,48.77,0.0,0.32,37,15
