Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2013-01-01 00:00:00,0,2391.4,2619.0,80.36,79.34,0.0,1.02,100.44,98.56,0.0,1.88,34,22
2013-01-01 01:00:00,1,2293.2,2511.0,66.58,65.81,0.0,0.77,121.31,119.2,0.0,2.11,33,23
2013-01-01 02:00:00,2,2238.4,2421.0,69.13,68.47,0.0,0.66,36.0,35.41,0.0,0.59,34,23
2013-01-01 03:00:00,3,2200.0,2363.0,50.49,50.01,0.0,0.48,33.16,32.61,0.0,0.55,34,23
2013-01-01 04:00:00,4,2228.0,2357.0,51.96,51.47,0.0,0.49,35.76,35.14,0.0,0.62,34,23
2013-01-01 05:00:00,5,2338.0,2422.0,51.39,50.75,0.0,0.64,35.81,35.2,0.0,0.61,34,23
2013-01-01 06:00:00,6,2524.1,2531.0,77.56,76.47,0.0,1.09,34.98,34.41,0.0,0.57,35,24
2013-01-01 07:00:00,7,2638.2,2566.0,65.94,65.01,0.0,0.93,23.62,23.24,0.0,0.38,35,24
2013-01-01 08:00:00,8,2726.8,2645.0,76.01,75.1,0.0,0.91,42.57,41.83,0.0,0.74,35,24
2013-01-01 09:00:00,9,2809.8,2742.0,79.03,78.08,0.0,0.95,47.38,46.5,0.0,0.88,36,20
2013-01-01 10:00:00,10,2884.8,2828.0,94.68,93.56,0.0,1.12,55.55,54.49,0.0,1.06,36,17
2013-01-01 11:00:00,11,2911.5,2899.0,101.37,100.31,0.0,1.06,61.11,60.02,0.0,1.09,36,15
2013-01-01 12:00:00,12,2926.3,2923.0,101.43,100.37,0.0,1.06,74.38,73.04,0.0,1.34,35,16
2013-01-01 13:00:00,13,2907.2,2924.0,98.61,97.58,0.0,1.03,58.54,57.55,0.0,0.99,34,14
2013-01-01 14:00:00,14,2904.8,2961.0,94.1,93.09,0.0,1.01,41.22,40.57,0.0,0.65,33,13
2013-01-01 15:00:00,15,2956.1,3049.0,81.24,80.32,0.0,0.92,66.45,65.36,0.0,1.09,33,13
2013-01-01 16:00:00,16,3216.5,3300.0,118.85,117.22,0.0,1.63,131.94,129.51,0.0,2.43,31,13
2013-01-01 17:00:00,17,3398.7,3489.0,159.0,156.7,0.0,2.3,129.18,126.61,0.0,2.57,30,12
2013-01-01 18:00:00,18,3364.1,3470.0,149.23,148.11,-1.08,2.2,182.66,179.2,0.0,3.46,30,13
2013-01-01 19:00:00,19,3298.8,3409.0,135.61,133.79,0.0,1.82,139.59,137.12,0.0,2.47,29,12
2013-01-01 20:00:00,20,3195.0,3315.0,126.61,125.28,0.0,1.33,130.45,128.24,0.0,2.21,26,10
2013-01-01 21:00:00,21,3041.9,3153.0,110.72,109.69,0.0,1.03,97.83,96.25,0.0,1.58,24,8
2013-01-01 22:00:00,22,2829.4,2933.0,102.23,100.7,0.0,1.53,71.12,69.98,0.0,1.14,23,7
2013-01-01 23:00:00,23,2613.0,2721.0,84.99,83.83,0.0,1.16,63.36,62.22,0.0,1.14,21,5
2013-01-02 00:00:00,0,2527.5,2592.0,79.65,78.57,0.0,1.08,66.04,64.93,0.0,1.11,20,4
2013-01-02 01:00:00,1,2453.8,2522.0,58.99,58.22,0.0,0.77,49.47,48.7,0.0,0.77,19,3
2013-01-02 02:00:00,2,2397.1,2502.0,62.74,61.94,0.0,0.8,37.21,36.62,0.0,0.59,18,2
2013-01-02 03:00:00,3,2395.0,2518.0,62.09,61.29,0.0,0.8,35.86,35.33,0.0,0.53,18,2
2013-01-02 04:00:00,4,2459.8,2596.0,62.64,61.79,0.0,0.85,27.86,27.49,0.0,0.37,18,2
2013-01-02 05:00:00,5,2664.9,2817.0,81.7,80.35,0.0,1.35,60.72,60.08,0.0,0.64,18,3
2013-01-02 06:00:00,6,2918.0,3198.0,119.87,119.35,0.0,0.52,115.7,114.82,0.0,0.88,17,4
2013-01-02 07:00:00,7,3205.3,3442.0,124.09,124.01,0.0,0.08,117.63,116.85,0.0,0.78,18,5
2013-01-02 08:00:00,8,3267.6,3487.0,124.26,123.98,0.0,0.28,114.26,113.59,0.0,0.67,19,7
2013-01-02 09:00:00,9,3266.3,3516.0,122.92,122.68,0.0,0.24,112.61,111.85,0.0,0.76,21,7
2013-01-02 10:00:00,10,3269.6,3523.0,124.69,124.47,0.0,0.22,110.79,109.7,0.0,1.09,23,9
2013-01-02 11:00:00,11,3269.7,3499.0,118.39,118.12,0.0,0.27,110.9,109.67,0.0,1.23,26,11
2013-01-02 12:00:00,12,3258.5,3468.0,111.52,111.17,0.0,0.35,108.0,106.77,0.0,1.23,29,12
2013-01-02 13:00:00,13,3213.5,3460.0,106.5,105.91,0.0,0.59,104.52,103.29,0.0,1.23,29,12
2013-01-02 14:00:00,14,3194.0,3458.0,103.52,102.97,0.0,0.55,99.82,98.59,0.0,1.23,29,12
2013-01-02 15:00:00,15,3243.0,3501.0,103.81,103.28,0.0,0.53,98.17,96.95,0.0,1.22,28,12
2013-01-02 16:00:00,16,3448.2,3703.0,124.92,124.32,0.0,0.6,107.36,105.9,0.0,1.46,28,12
2013-01-02 17:00:00,17,3675.5,3894.0,130.91,129.76,0.0,1.15,112.59,111.04,0.0,1.55,26,12
2013-01-02 18:00:00,18,3624.6,3850.0,128.82,127.86,0.0,0.96,114.58,113.14,0.0,1.44,25,8
2013-01-02 19:00:00,19,3542.7,3774.0,126.47,125.58,0.0,0.89,118.65,117.45,0.0,1.2,23,6
2013-01-02 20:00:00,20,3434.5,3670.0,123.5,122.96,0.0,0.54,110.16,109.04,0.0,1.12,21,5
2013-01-02 21:00:00,21,3242.8,3478.0,112.86,112.61,0.0,0.25,106.32,105.3,0.0,1.02,20,4
2013-01-02 22:00:00,22,2955.3,3216.0,106.55,106.0,0.0,0.55,112.11,111.16,0.0,0.95,18,4
2013-01-02 23:00:00,23,2687.3,2965.0,71.56,70.9,0.0,0.66,119.53,118.01,0.0,1.52,14,1
2013-01-03 00:00:00,0,2530.1,2816.0,61.73,61.37,0.0,0.36,96.45,95.25,0.0,1.2,12,-2
2013-01-03 01:00:00,1,2453.7,2745.0,51.25,50.93,0.0,0.32,94.33,93.24,0.0,1.09,10,-7
2013-01-03 02:00:00,2,2422.4,2719.0,48.32,47.97,0.0,0.35,65.61,64.84,0.0,0.77,10,-7
2013-01-03 03:00:00,3,2422.6,2738.0,48.28,47.92,0.0,0.36,60.98,60.31,0.0,0.67,9,-4
2013-01-03 04:00:00,4,2484.3,2804.0,51.12,50.74,0.0,0.38,71.29,70.59,0.0,0.7,8,-6
2013-01-03 05:00:00,5,2689.0,3025.0,67.07,66.47,0.0,0.6,93.54,92.71,0.0,0.83,8,-6
2013-01-03 06:00:00,6,3018.6,3416.0,92.63,93.46,0.0,-0.83,199.77,197.76,0.0,2.01,7,-6
2013-01-03 07:00:00,7,3300.8,3632.0,101.92,102.77,0.0,-0.85,149.39,148.2,0.0,1.19,8,-6
2013-01-03 08:00:00,8,3319.9,3687.0,105.44,106.32,0.0,-0.88,105.96,105.36,0.0,0.6,8,-6
2013-01-03 09:00:00,9,3316.3,3689.0,94.01,94.68,0.0,-0.67,97.31,96.87,0.0,0.44,10,-5
2013-01-03 10:00:00,10,3326.3,3671.0,79.24,79.8,0.0,-0.56,78.57,78.5,0.0,0.07,13,-3
2013-01-03 11:00:00,11,3289.5,3631.0,77.15,77.71,0.0,-0.56,71.74,71.72,0.0,0.02,16,-2
2013-01-03 12:00:00,12,3275.9,3589.0,76.65,77.03,0.0,-0.38,56.89,56.83,0.0,0.06,19,-1
2013-01-03 13:00:00,13,3244.6,3549.0,77.13,77.4,0.0,-0.27,55.39,55.31,0.0,0.08,21,-2
2013-01-03 14:00:00,14,3227.2,3534.0,77.19,77.49,0.0,-0.3,42.38,42.24,0.0,0.14,23,0
2013-01-03 15:00:00,15,3282.9,3525.0,74.68,74.89,0.0,-0.21,53.33,53.31,0.0,0.02,25,-2
2013-01-03 16:00:00,16,3495.7,3768.0,81.42,81.62,0.0,-0.2,60.26,60.22,0.0,0.04,24,-4
2013-01-03 17:00:00,17,3712.5,3951.0,110.64,110.88,0.0,-0.24,67.47,67.21,0.0,0.26,23,-2
2013-01-03 18:00:00,18,3604.7,3909.0,105.23,105.6,0.0,-0.37,64.51,64.26,0.0,0.25,23,2
2013-01-03 19:00:00,19,3515.7,3824.0,105.81,106.35,0.0,-0.54,66.13,65.94,0.0,0.19,23,1
2013-01-03 20:00:00,20,3394.1,3678.0,92.52,93.06,0.0,-0.54,60.45,60.38,0.0,0.07,24,6
2013-01-03 21:00:00,21,3208.0,3473.0,77.19,77.31,0.0,-0.12,54.69,54.69,0.0,0.0,25,9
2013-01-03 22:00:00,22,2938.6,3180.0,78.98,78.94,0.0,0.04,47.37,47.34,0.0,0.03,22,9
2013-01-03 23:00:00,23,2665.7,2910.0,65.35,65.03,0.0,0.32,53.67,53.46,0.0,0.21,22,10
2013-01-04 00:00:00,0,2583.4,2736.0,57.27,57.0,0.0,0.27,114.61,113.84,0.0,0.77,23,10
2013-01-04 01:00:00,1,2489.0,2639.0,53.18,52.98,0.0,0.2,69.0,68.51,0.0,0.49,23,11
2013-01-04 02:00:00,2,2442.4,2602.0,51.66,51.5,0.0,0.16,54.12,53.73,0.0,0.39,23,12
2013-01-04 03:00:00,3,2439.6,2603.0,51.72,51.58,0.0,0.14,53.74,53.38,0.0,0.36,24,13
2013-01-04 04:00:00,4,2492.7,2661.0,50.82,50.62,0.0,0.2,64.56,64.16,0.0,0.4,25,14
2013-01-04 05:00:00,5,2676.9,2851.0,57.17,56.86,0.0,0.31,69.47,69.3,0.0,0.17,23,14
2013-01-04 06:00:00,6,3022.5,3204.0,69.41,69.82,0.0,-0.41,94.25,94.28,0.0,-0.03,25,16
2013-01-04 07:00:00,7,3232.9,3418.0,78.3,78.75,0.0,-0.45,78.2,78.55,0.0,-0.35,27,17
2013-01-04 08:00:00,8,3262.7,3456.0,76.28,76.58,0.0,-0.3,71.24,71.42,0.0,-0.18,29,19
2013-01-04 09:00:00,9,3252.7,3472.0,74.8,75.1,0.0,-0.3,53.84,53.94,0.0,-0.1,30,19
2013-01-04 10:00:00,10,3259.1,3439.0,72.6,72.82,0.0,-0.22,56.01,56.12,0.0,-0.11,33,21
2013-01-04 11:00:00,11,3238.1,3406.0,69.74,69.95,0.0,-0.21,70.46,70.64,0.0,-0.18,35,20
2013-01-04 12:00:00,12,3218.7,3367.0,69.69,69.85,0.0,-0.16,54.48,54.5,0.0,-0.02,36,19
2013-01-04 13:00:00,13,3188.8,3344.0,65.22,65.21,0.0,0.01,51.81,51.77,0.0,0.04,37,20
2013-01-04 14:00:00,14,3166.3,3353.0,59.21,59.19,0.0,0.02,49.3,49.22,0.0,0.08,37,20
2013-01-04 15:00:00,15,3191.8,3378.0,57.26,57.26,0.0,0.0,48.17,48.08,0.0,0.09,37,21
2013-01-04 16:00:00,16,3361.4,3527.0,72.16,72.1,0.0,0.06,87.44,87.17,0.01,0.26,36,21
2013-01-04 17:00:00,17,3565.5,3657.0,94.84,94.85,0.0,-0.01,63.36,63.13,0.02,0.21,36,22
2013-01-04 18:00:00,18,3481.8,3574.0,82.36,82.46,0.0,-0.1,59.38,59.13,0.03,0.22,36,22
2013-01-04 19:00:00,19,3387.6,3469.0,79.58,79.61,0.0,-0.03,56.51,56.42,0.01,0.08,35,22
2013-01-04 20:00:00,20,3271.5,3349.0,74.15,74.42,0.0,-0.27,51.82,51.94,0.0,-0.12,34,21
2013-01-04 21:00:00,21,3111.0,3186.0,62.23,62.29,0.0,-0.06,39.57,39.66,0.0,-0.09,33,21
2013-01-04 22:00:00,22,2892.7,2968.0,53.3,53.03,0.0,0.27,45.14,45.2,0.0,-0.06,32,20
2013-01-04 23:00:00,23,2654.6,2743.0,53.19,53.05,0.0,0.14,40.84,40.82,0.0,0.02,32,21
2013-01-05 00:00:00,0,2456.3,2565.0,46.41,46.32,0.0,0.09,43.65,43.48,0.0,0.17,31,20
2013-01-05 01:00:00,1,2344.0,2455.0,43.89,43.99,0.0,-0.1,80.22,80.14,0.0,0.08,31,19
2013-01-05 02:00:00,2,2309.9,2396.0,41.2,41.33,0.0,-0.13,46.77,46.74,0.0,0.03,31,19
2013-01-05 03:00:00,3,2293.8,2372.0,41.29,41.35,0.0,-0.06,36.68,36.54,0.0,0.14,32,20
2013-01-05 04:00:00,4,2279.0,2384.0,43.98,43.99,0.0,-0.01,37.48,37.33,0.0,0.15,31,20
2013-01-05 05:00:00,5,2355.9,2456.0,45.18,45.15,0.0,0.03,38.44,38.41,0.0,0.03,31,20
2013-01-05 06:00:00,6,2500.7,2588.0,45.15,45.17,0.0,-0.02,32.68,32.68,0.0,0.0,30,20
2013-01-05 07:00:00,7,2640.3,2715.0,46.12,46.12,0.0,0.0,38.84,38.78,0.0,0.06,32,21
2013-01-05 08:00:00,8,2867.4,2850.0,46.89,46.78,0.0,0.11,43.03,43.1,0.0,-0.07,30,21
2013-01-05 09:00:00,9,2943.1,2940.0,50.2,50.32,0.0,-0.12,45.5,45.63,0.0,-0.13,33,22
2013-01-05 10:00:00,10,2981.2,2988.0,49.83,49.95,0.0,-0.12,46.29,46.51,0.0,-0.22,38,23
2013-01-05 11:00:00,11,2969.6,2991.0,49.74,49.9,0.0,-0.16,46.24,46.46,0.0,-0.22,40,21
2013-01-05 12:00:00,12,2943.9,2958.0,46.76,46.79,0.0,-0.03,42.84,42.85,0.0,-0.01,41,20
2013-01-05 13:00:00,13,2896.3,2909.0,44.29,44.28,0.0,0.01,36.39,36.31,0.0,0.08,41,19
2013-01-05 14:00:00,14,2870.3,2891.0,43.88,43.95,0.0,-0.07,34.48,34.48,0.0,0.0,41,16
2013-01-05 15:00:00,15,2904.3,2898.0,46.82,46.93,0.0,-0.11,36.1,36.1,0.0,0.0,41,15
2013-01-05 16:00:00,16,3099.5,3090.0,47.29,47.15,0.0,0.14,37.38,37.25,0.0,0.13,39,16
2013-01-05 17:00:00,17,3326.8,3305.0,69.98,70.06,0.0,-0.08,48.97,48.92,0.0,0.05,38,15
2013-01-05 18:00:00,18,3260.9,3313.0,60.27,60.34,0.0,-0.07,46.83,46.79,0.0,0.04,36,15
2013-01-05 19:00:00,19,3194.0,3252.0,50.94,51.04,0.0,-0.1,45.98,45.88,0.0,0.1,34,15
2013-01-05 20:00:00,20,3131.0,3176.0,50.15,50.11,0.0,0.04,45.01,44.91,0.0,0.1,31,15
2013-01-05 21:00:00,21,3002.1,3066.0,46.95,46.87,0.0,0.08,42.34,42.22,0.0,0.12,30,16
2013-01-05 22:00:00,22,2808.5,2901.0,44.76,44.49,0.0,0.27,39.72,39.53,0.0,0.19,30,15
2013-01-05 23:00:00,23,2627.1,2694.0,44.85,44.48,0.0,0.37,37.85,37.59,0.0,0.26,31,16
2013-01-06 00:00:00,0,2449.6,2530.0,38.16,38.03,0.0,0.13,46.8,46.35,0.0,0.45,29,19
2013-01-06 01:00:00,1,2349.0,2431.0,37.83,37.6,0.0,0.23,41.61,41.28,0.0,0.33,29,19
2013-01-06 02:00:00,2,2271.8,2376.0,35.29,35.11,0.0,0.18,40.15,39.87,0.0,0.28,31,22
2013-01-06 03:00:00,3,2248.4,2346.0,35.29,35.12,0.0,0.17,40.89,40.63,0.0,0.26,31,21
2013-01-06 04:00:00,4,2251.4,2348.0,34.6,34.42,0.0,0.18,35.55,35.35,0.0,0.2,31,20
2013-01-06 05:00:00,5,2306.2,2395.0,35.5,35.29,0.0,0.21,37.08,36.87,0.0,0.21,31,20
2013-01-06 06:00:00,6,2396.4,2489.0,38.67,38.43,0.0,0.24,42.98,42.78,0.0,0.2,30,21
2013-01-06 07:00:00,7,2494.5,2583.0,35.62,35.56,0.0,0.06,44.86,44.78,0.0,0.08,30,24
2013-01-06 08:00:00,8,2630.9,2705.0,41.74,41.61,0.0,0.13,44.03,44.02,0.0,0.01,31,26
2013-01-06 09:00:00,9,2741.5,2784.0,43.31,43.16,0.0,0.15,42.73,42.73,0.0,0.0,32,27
2013-01-06 10:00:00,10,2803.5,2834.0,45.11,45.06,0.0,0.05,44.78,44.83,0.0,-0.05,35,27
2013-01-06 11:00:00,11,2841.4,2860.0,46.68,46.68,0.0,0.0,46.58,46.7,0.0,-0.12,37,26
2013-01-06 12:00:00,12,2850.1,2864.0,46.88,46.91,0.0,-0.03,45.54,45.61,0.0,-0.07,40,26
2013-01-06 13:00:00,13,2845.4,2847.0,45.04,45.03,0.0,0.01,44.66,44.67,0.0,-0.01,42,26
2013-01-06 14:00:00,14,2842.0,2831.0,40.21,40.12,0.0,0.09,41.66,41.59,0.0,0.07,42,26
2013-01-06 15:00:00,15,2876.6,2870.0,42.14,42.04,0.0,0.1,38.91,38.77,0.0,0.14,43,25
2013-01-06 16:00:00,16,3097.0,3087.0,47.37,47.41,-0.07,0.03,56.24,56.1,0.0,0.14,41,25
2013-01-06 17:00:00,17,3268.5,3319.0,69.2,69.9,-0.71,0.01,88.12,87.87,0.0,0.25,40,25
2013-01-06 18:00:00,18,3250.7,3325.0,63.56,63.56,0.0,0.0,61.76,61.57,0.0,0.19,39,25
2013-01-06 19:00:00,19,3194.6,3244.0,59.26,59.31,0.0,-0.05,65.95,65.87,0.0,0.08,39,26
2013-01-06 20:00:00,20,3100.8,3146.0,56.87,56.96,0.0,-0.09,63.61,63.56,0.0,0.05,37,26
2013-01-06 21:00:00,21,2955.6,2974.0,47.17,47.18,0.0,-0.01,52.29,52.3,0.0,-0.01,36,27
2013-01-06 22:00:00,22,2774.5,2753.0,51.05,50.91,0.0,0.14,42.39,42.29,0.0,0.1,36,27
2013-01-06 23:00:00,23,2580.1,2538.0,41.83,41.56,0.0,0.27,37.25,36.97,0.0,0.28,38,27
2013-01-07 00:00:00,0,2375.8,2394.0,38.04,37.84,0.0,0.2,35.11,34.84,0.0,0.27,34,25
2013-01-07 01:00:00,1,2293.8,2310.0,35.59,35.44,0.0,0.15,34.98,34.68,0.0,0.3,37,26
2013-01-07 02:00:00,2,2257.9,2283.0,35.67,35.57,0.0,0.1,37.81,37.58,0.0,0.23,36,26
2013-01-07 03:00:00,3,2267.0,2295.0,35.45,35.33,0.0,0.12,30.78,30.65,0.0,0.13,36,25
2013-01-07 04:00:00,4,2338.9,2371.0,37.78,37.6,0.0,0.18,21.98,21.97,0.0,0.01,36,26
2013-01-07 05:00:00,5,2557.5,2591.0,39.45,40.9,-1.51,0.06,33.37,33.44,0.0,-0.07,35,26
2013-01-07 06:00:00,6,2932.8,2979.0,50.52,50.75,0.0,-0.23,48.27,48.51,0.0,-0.24,34,26
2013-01-07 07:00:00,7,3156.2,3213.0,50.84,51.21,0.0,-0.37,50.53,50.97,0.0,-0.44,35,26
2013-01-07 08:00:00,8,3193.9,3233.0,50.0,50.29,0.0,-0.29,46.7,47.09,0.0,-0.39,35,27
2013-01-07 09:00:00,9,3211.7,3237.0,50.87,51.32,0.0,-0.45,48.33,48.64,0.0,-0.31,37,27
2013-01-07 10:00:00,10,3227.5,3241.0,53.16,53.65,0.0,-0.49,46.08,46.62,0.0,-0.54,38,24
2013-01-07 11:00:00,11,3231.7,3237.0,50.87,51.25,0.0,-0.38,42.06,42.21,0.0,-0.15,39,23
2013-01-07 12:00:00,12,3215.8,3216.0,50.03,50.3,0.0,-0.27,39.93,39.97,0.0,-0.04,39,21
2013-01-07 13:00:00,13,3201.5,3196.0,47.16,47.36,0.0,-0.2,39.84,39.88,0.0,-0.04,38,19
2013-01-07 14:00:00,14,3187.2,3177.0,46.31,46.43,0.0,-0.12,38.67,38.7,0.0,-0.03,36,26
2013-01-07 15:00:00,15,3228.5,3208.0,47.16,47.36,0.0,-0.2,40.08,40.15,0.0,-0.07,35,26
2013-01-07 16:00:00,16,3404.6,3399.0,51.94,53.68,-1.37,-0.37,43.93,43.95,0.0,-0.02,34,25
2013-01-07 17:00:00,17,3613.9,3615.0,85.98,86.58,-0.42,-0.18,46.3,46.27,0.0,0.03,32,24
2013-01-07 18:00:00,18,3570.4,3585.0,68.49,72.3,-3.39,-0.42,51.86,51.92,0.0,-0.06,33,25
2013-01-07 19:00:00,19,3499.1,3517.0,54.71,55.04,0.0,-0.33,52.73,52.83,0.0,-0.1,32,25
2013-01-07 20:00:00,20,3387.6,3398.0,51.23,51.55,0.0,-0.32,46.18,46.28,0.0,-0.1,30,25
2013-01-07 21:00:00,21,3192.5,3197.0,46.91,47.0,0.0,-0.09,43.28,43.3,0.0,-0.02,30,25
2013-01-07 22:00:00,22,2915.3,2926.0,44.33,44.12,0.0,0.21,38.14,38.04,0.0,0.1,30,25
2013-01-07 23:00:00,23,2655.9,2673.0,43.06,42.82,0.0,0.24,46.48,46.16,0.0,0.32,30,25
2013-01-08 00:00:00,0,2420.3,2500.0,35.34,35.3,0.0,0.04,35.24,35.06,0.0,0.18,29,24
2013-01-08 01:00:00,1,2327.8,2408.0,34.03,33.97,0.0,0.06,37.37,37.27,0.0,0.1,28,25
2013-01-08 02:00:00,2,2279.6,2370.0,32.38,32.34,0.0,0.04,50.97,50.87,0.0,0.1,29,26
2013-01-08 03:00:00,3,2277.6,2376.0,32.3,32.26,0.0,0.04,43.88,43.79,0.0,0.09,29,26
2013-01-08 04:00:00,4,2337.4,2436.0,32.77,32.65,0.0,0.12,38.78,38.7,0.0,0.08,30,26
2013-01-08 05:00:00,5,2542.7,2642.0,35.34,35.19,0.0,0.15,35.33,35.33,0.0,0.0,32,26
2013-01-08 06:00:00,6,2942.8,3025.0,39.46,39.62,0.0,-0.16,55.33,55.5,0.0,-0.17,33,26
2013-01-08 07:00:00,7,3141.0,3243.0,44.94,45.44,0.0,-0.5,40.1,40.37,0.0,-0.27,33,26
2013-01-08 08:00:00,8,3187.2,3257.0,37.96,38.26,0.0,-0.3,45.29,45.73,0.0,-0.44,34,27
2013-01-08 09:00:00,9,3196.7,3248.0,37.96,38.31,0.0,-0.35,45.26,45.76,0.0,-0.5,37,27
2013-01-08 10:00:00,10,3175.5,3237.0,38.23,38.63,0.0,-0.4,42.24,42.7,0.0,-0.46,40,27
2013-01-08 11:00:00,11,3165.2,3213.0,36.09,36.49,0.0,-0.4,35.16,35.51,0.0,-0.35,42,26
2013-01-08 12:00:00,12,3139.2,3188.0,35.57,35.83,0.0,-0.26,34.49,34.8,0.0,-0.31,44,26
2013-01-08 13:00:00,13,3116.2,3173.0,35.45,35.7,0.0,-0.25,34.19,34.48,0.0,-0.29,45,26
2013-01-08 14:00:00,14,3102.1,3152.0,34.76,34.98,0.0,-0.22,31.83,31.96,0.0,-0.13,46,26
2013-01-08 15:00:00,15,3127.7,3169.0,35.29,35.51,0.0,-0.22,31.84,31.97,0.0,-0.13,46,26
2013-01-08 16:00:00,16,3315.5,3344.0,43.31,43.82,0.0,-0.51,39.79,40.01,0.0,-0.22,45,26
2013-01-08 17:00:00,17,3517.9,3534.0,59.38,59.95,0.0,-0.57,39.21,39.41,0.0,-0.2,43,26
2013-01-08 18:00:00,18,3454.5,3495.0,52.14,52.76,0.0,-0.62,55.39,55.78,0.0,-0.39,42,26
2013-01-08 19:00:00,19,3381.8,3419.0,44.57,45.08,0.0,-0.51,44.14,44.49,0.0,-0.35,39,27
2013-01-08 20:00:00,20,3290.2,3299.0,37.93,38.38,0.0,-0.45,35.08,35.37,0.0,-0.29,38,27
2013-01-08 21:00:00,21,3103.6,3101.0,35.96,36.21,0.0,-0.25,31.64,31.79,0.0,-0.15,40,28
2013-01-08 22:00:00,22,2844.7,2831.0,35.76,35.78,0.0,-0.02,27.63,27.64,0.0,-0.01,41,26
2013-01-08 23:00:00,23,2589.1,2577.0,31.25,31.29,0.0,-0.04,22.61,22.56,0.0,0.05,40,26
2013-01-09 00:00:00,0,2399.2,2415.0,32.37,32.34,0.0,0.03,39.09,38.94,0.0,0.15,39,25
2013-01-09 01:00:00,1,2302.9,2323.0,31.36,31.28,0.0,0.08,34.69,34.55,0.0,0.14,37,25
2013-01-09 02:00:00,2,2264.0,2291.0,30.98,30.91,0.0,0.07,33.85,33.73,0.0,0.12,33,24
