DATE,HOUR,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DRYBULB,DEWPNT
2014-01-01 00:00:00,0,746.1,867.0,144.34,143.83,0.0,0.51,118.89,117.43,0.0,1.46,23,12
2014-01-01 01:00:00,1,722.6,831.0,125.93,125.53,0.0,0.4,149.7,148.38,0.0,1.32,22,8
2014-01-01 02:00:00,2,708.1,806.0,114.87,114.41,0.0,0.46,98.15,97.06,0.0,1.09,20,7
2014-01-01 03:00:00,3,699.8,791.0,103.95,103.42,0.0,0.53,39.04,38.54,0.0,0.5,21,5
2014-01-01 04:00:00,4,707.3,791.0,116.59,116.1,0.0,0.49,80.02,79.01,0.0,1.01,21,4
2014-01-01 05:00:00,5,728.3,809.0,152.19,143.3,8.13,0.76,121.99,120.46,0.0,1.53,20,4
2014-01-01 06:00:00,6,735.6,840.0,194.44,173.45,19.83,1.16,62.51,61.56,0.0,0.95,18,6
2014-01-01 07:00:00,7,787.8,854.0,156.92,146.9,8.78,1.24,33.49,32.89,0.0,0.6,19,6
2014-01-01 08:00:00,8,839.0,890.0,161.38,160.23,0.0,1.15,51.57,50.72,0.0,0.85,20,7
2014-01-01 09:00:00,9,919.0,925.0,182.24,181.03,0.0,1.21,88.48,87.28,0.0,1.2,20,8
2014-01-01 10:00:00,10,950.1,957.0,195.88,194.27,0.0,1.61,130.12,128.58,0.0,1.54,25,8
2014-01-01 11:00:00,11,964.6,969.0,196.48,194.8,0.0,1.68,110.74,109.15,0.0,1.59,27,7
2014-01-01 12:00:00,12,937.9,975.0,201.98,200.44,0.0,1.54,118.79,117.01,0.0,1.78,29,7
2014-01-01 13:00:00,13,907.4,967.0,192.12,190.79,0.0,1.33,71.59,70.48,0.0,1.11,29,7
2014-01-01 14:00:00,14,906.8,953.0,183.36,182.18,0.0,1.18,48.48,47.83,0.0,0.65,30,6
2014-01-01 15:00:00,15,905.5,963.0,187.25,185.98,0.0,1.27,49.06,48.61,0.0,0.45,30,5
2014-01-01 16:00:00,16,990.2,1045.0,212.02,212.34,0.0,-0.32,111.31,110.56,0.0,0.75,29,5
2014-01-01 17:00:00,17,1025.7,1139.0,290.55,280.31,10.62,-0.38,148.18,147.02,0.0,1.16,27,6
2014-01-01 18:00:00,18,997.6,1132.0,256.46,257.34,0.0,-0.88,136.22,135.25,0.0,0.97,28,5
2014-01-01 19:00:00,19,988.8,1109.0,202.71,203.32,0.0,-0.61,152.82,151.97,0.0,0.85,27,7
2014-01-01 20:00:00,20,947.4,1072.0,196.49,197.32,0.0,-0.83,166.25,165.77,0.0,0.48,26,12
2014-01-01 21:00:00,21,880.9,1007.0,180.62,179.55,0.0,1.07,136.8,135.84,0.0,0.96,27,11
2014-01-01 22:00:00,22,786.6,932.0,158.81,157.81,0.0,1.0,42.26,41.6,0.0,0.66,27,10
2014-01-01 23:00:00,23,724.8,862.0,131.91,131.53,0.0,0.38,54.42,53.47,0.0,0.95,26,10
2014-01-02 00:00:00,0,835.6,806.0,158.96,138.06,19.12,1.78,87.29,85.66,0.0,1.63,25,11
2014-01-02 01:00:00,1,798.6,784.0,156.44,136.61,18.25,1.58,46.34,45.69,0.0,0.65,22,16
2014-01-02 02:00:00,2,777.3,770.0,155.14,136.38,17.27,1.49,54.28,53.63,0.0,0.65,21,17
2014-01-02 03:00:00,3,774.3,773.0,155.57,136.72,17.48,1.37,49.13,48.59,0.0,0.54,21,18
2014-01-02 04:00:00,4,794.7,802.0,153.28,137.07,14.84,1.37,95.85,94.78,0.0,1.07,21,18
2014-01-02 05:00:00,5,865.3,856.0,154.87,142.45,10.87,1.55,84.52,83.69,0.0,0.83,21,18
2014-01-02 06:00:00,6,993.6,964.0,163.61,163.44,0.0,0.17,144.83,144.6,0.0,0.23,22,18
2014-01-02 07:00:00,7,1147.6,1054.0,174.08,173.55,0.0,0.53,160.65,160.63,0.0,0.02,21,18
2014-01-02 08:00:00,8,1193.2,1091.0,176.78,176.75,0.0,0.03,157.28,157.44,0.0,-0.16,21,17
2014-01-02 09:00:00,9,1258.3,1121.0,176.68,176.79,0.0,-0.11,166.59,167.27,0.0,-0.68,21,18
2014-01-02 10:00:00,10,1239.6,1148.0,182.97,183.08,0.0,-0.11,172.97,173.97,0.0,-1.0,22,18
