Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt,SYSLoad,RegSP,RegCP
2016-01-01 00:00:00,0,11565.4,11513.896999999999,41.15,40.79,0.02,0.34,33.72,33.51,0.0,0.21,37,26,11747,0.01,32.35
2016-01-01 01:00:00,1,11352.8,10964.351999999999,36.65,36.3,0.02,0.33,35.65,35.38,0.0,0.27,37,25,11204,0.23,39.54
2016-01-01 02:00:00,2,11138.6,10574.445,31.11,30.83,0.02,0.26,30.97,30.73,0.0,0.24,37,25,10801,0.05,30.45
2016-01-01 03:00:00,3,11045.6,10385.898000000001,30.55,30.29,0.0,0.26,18.73,18.58,0.0,0.15,36,25,10608,0.01,21.73
2016-01-01 04:00:00,4,11140.5,10421.392,30.65,30.4,0.0,0.25,9.01,8.94,0.0,0.07,35,25,10650,0.01,17.15
2016-01-01 05:00:00,5,11398.1,10720.206,31.93,31.68,0.0,0.25,18.28,18.14,0.0,0.14,36,25,10953,0.0,33.81
2016-01-01 06:00:00,6,11683.7,11183.823,36.87,36.73,0.0,0.14,31.24,31.03,0.0,0.21,35,25,11390,0.01,66.39
2016-01-01 07:00:00,7,12138.4,11554.836000000001,42.44,42.26,0.0,0.18,15.23,15.14,0.0,0.09,35,25,11776,0.21,78.11
2016-01-01 08:00:00,8,12665.5,12111.216,41.6,41.4,0.0,0.2,26.52,26.38,0.0,0.14,35,25,12340,0.25,41.16
2016-01-01 09:00:00,9,13283.7,12803.495,42.79,42.52,0.0,0.27,29.45,29.29,0.0,0.16,36,25,13037,0.05,44.79
2016-01-01 10:00:00,10,13704.9,13261.248,43.25,42.92,0.0,0.33,25.37,25.24,0.0,0.13,37,25,13508,0.0,15.67
2016-01-01 11:00:00,11,13705.0,13548.098999999998,43.94,43.57,0.0,0.37,34.7,34.51,0.0,0.19,38,25,13797,0.42,14.18
2016-01-01 12:00:00,12,13493.3,13733.208,43.09,42.81,0.0,0.28,35.77,35.55,0.0,0.22,39,25,13977,0.5,11.01
2016-01-01 13:00:00,13,13333.6,13793.462,43.21,42.92,0.0,0.29,39.38,39.15,0.0,0.23,38,24,14043,0.29,8.62
