DATE,HOUR,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DRYBULB,DEWPNT
2017-01-01 00:00:00,0,2730.6,2842.2859999999996,34.84,34.86,0.0,-0.02,36.48,36.53,0.0,-0.05,37,30
2017-01-01 01:00:00,1,2583.5,2706.953,33.8,33.72,0.0,0.08,37.01,37.02,0.0,-0.01,37,30
2017-01-01 02:00:00,2,2498.3,2601.69,32.49,32.4,0.0,0.09,35.77,35.79,0.0,-0.02,36,31
2017-01-01 03:00:00,3,2465.8,2535.487,25.98,25.88,0.0,0.1,34.06,34.04,0.0,0.02,36,31
2017-01-01 04:00:00,4,2500.7,2524.593,29.71,29.65,0.0,0.06,35.42,35.36,0.0,0.06,36,30
2017-01-01 05:00:00,5,2564.2,2565.8179999999998,32.51,32.54,0.0,-0.03,34.33,34.31,0.0,0.02,36,30
2017-01-01 06:00:00,6,2717.5,2654.909,32.46,32.45,0.0,0.01,34.43,34.44,0.0,-0.01,34,29
2017-01-01 07:00:00,7,2865.3,2721.647,33.79,33.91,0.0,-0.12,33.02,33.07,0.0,-0.05,33,27
2017-01-01 08:00:00,8,3030.8,2830.195,38.14,38.37,0.0,-0.23,24.11,24.16,0.0,-0.05,35,28
2017-01-01 09:00:00,9,3155.1,2942.015,40.5,40.75,0.0,-0.25,25.98,26.01,0.0,-0.03,37,29
2017-01-01 10:00:00,10,3206.9,2998.68,33.13,33.53,0.0,-0.4,16.96,17.01,0.0,-0.05,40,25
2017-01-01 11:00:00,11,3221.8,3016.647,33.05,33.41,0.0,-0.36,24.33,24.36,0.0,-0.03,42,21
2017-01-01 12:00:00,12,3213.3,3020.57,33.11,33.42,0.0,-0.31,28.09,28.13,0.0,-0.04,44,21
2017-01-01 13:00:00,13,3190.4,3017.687,33.81,34.11,0.0,-0.3,28.89,28.93,0.0,-0.04,43,19
2017-01-01 14:00:00,14,3198.2,3024.908,33.14,33.41,0.0,-0.27,21.28,21.3,0.0,-0.02,43,20
2017-01-01 15:00:00,15,3244.8,3092.7509999999997,33.18,33.56,0.0,-0.38,28.55,28.59,0.0,-0.04,43,20
2017-01-01 16:00:00,16,3495.4,3357.735,38.97,39.47,0.0,-0.5,32.62,32.8,0.0,-0.18,41,20
2017-01-01 17:00:00,17,3757.5,3688.8520000000003,62.54,63.38,0.0,-0.84,42.31,42.63,0.0,-0.32,38,20
2017-01-01 18:00:00,18,3787.0,3698.8940000000002,52.32,52.93,0.0,-0.61,44.53,44.83,0.0,-0.3,33,20
2017-01-01 19:00:00,19,3714.3,3633.89,49.37,49.88,0.0,-0.51,38.08,38.26,0.0,-0.18,31,21
2017-01-01 20:00:00,20,3617.0,3552.4309999999996,46.24,46.66,0.0,-0.42,36.74,36.93,0.0,-0.19,34,21
