Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2017-01-01 00:00:00,0,1804.1,1609.985,35.14,34.86,0.0,0.28,36.77,36.53,0.0,0.24,33,31
2017-01-01 01:00:00,1,1873.1,1549.9360000000001,34.03,33.72,0.0,0.31,37.25,37.02,0.0,0.23,32,30
2017-01-01 02:00:00,2,2204.2,1502.4620000000002,32.69,32.4,0.0,0.29,36.02,35.79,0.0,0.23,32,30
2017-01-01 03:00:00,3,2261.9,1470.35,26.12,25.88,0.0,0.24,34.29,34.04,0.0,0.25,32,30
2017-01-01 04:00:00,4,2197.5,1463.575,29.9,29.65,0.0,0.25,35.63,35.36,0.0,0.27,32,30
2017-01-01 05:00:00,5,2240.3,1486.207,32.79,32.54,0.0,0.25,34.57,34.31,0.0,0.26,32,29
2017-01-01 06:00:00,6,2308.5,1536.2120000000002,32.67,32.45,0.0,0.22,34.72,34.44,0.0,0.28,32,29
2017-01-01 07:00:00,7,1996.1,1574.02,34.12,33.91,0.0,0.21,33.33,33.07,0.0,0.26,32,28
2017-01-01 08:00:00,8,1735.7,1624.93,38.51,38.37,0.0,0.14,24.31,24.16,0.0,0.15,32,28
2017-01-01 09:00:00,9,1813.2,1667.7,40.89,40.75,0.0,0.14,26.15,26.01,0.0,0.14,32,28
2017-01-01 10:00:00,10,1834.5,1690.904,33.63,33.53,0.0,0.1,17.09,17.01,0.0,0.08,34,25
2017-01-01 11:00:00,11,1830.9,1707.141,33.53,33.41,0.0,0.12,24.47,24.36,0.0,0.11,35,24
2017-01-01 12:00:00,12,1823.9,1714.029,33.56,33.42,0.0,0.14,28.27,28.13,0.0,0.14,36,24
2017-01-01 13:00:00,13,1800.5,1705.664,34.24,34.11,0.0,0.13,29.08,28.93,0.0,0.15,37,22
2017-01-01 14:00:00,14,1810.6,1722.129,33.56,33.41,0.0,0.15,21.42,21.3,0.0,0.12,36,18
2017-01-01 15:00:00,15,1860.2,1769.976,33.65,33.56,0.0,0.09,28.77,28.59,0.0,0.18,36,18
2017-01-01 16:00:00,16,2027.6,1929.6860000000001,39.56,39.47,0.0,0.09,33.0,32.8,0.0,0.2,35,18
2017-01-01 17:00:00,17,2144.0,2079.4429999999998,63.59,63.38,0.0,0.21,42.85,42.63,0.0,0.22,32,18
2017-01-01 18:00:00,18,2141.4,2069.042,53.0,52.93,0.0,0.07,45.04,44.83,0.0,0.21,31,19
2017-01-01 19:00:00,19,2103.0,2029.27,49.98,49.88,0.0,0.1,38.46,38.26,0.0,0.2,29,19
2017-01-01 20:00:00,20,2011.6,1977.4520000000002,46.8,46.66,0.0,0.14,37.15,36.93,0.0,0.22,29,19
2017-01-01 21:00:00,21,1902.6,1896.388,46.12,45.87,0.0,0.25,37.59,37.36,0.0,0.23,30,20
2017-01-01 22:00:00,22,1776.6,1786.861,36.24,36.03,0.0,0.21,31.7,31.5,0.0,0.2,30,20
2017-01-01 23:00:00,23,1645.7,1676.8329999999999,33.68,33.5,0.0,0.18,-69.94,-69.45,0.0,-0.49,29,20
2017-01-02 00:00:00,0,1837.7,1605.1629999999998,34.02,33.73,0.0,0.29,19.46,19.28,0.0,0.18,26,19
2017-01-02 01:00:00,1,2024.2,1553.9489999999998,34.02,33.71,0.0,0.31,34.32,34.02,0.0,0.3,25,18
2017-01-02 02:00:00,2,2249.8,1532.629,33.23,32.92,0.0,0.31,29.98,29.72,0.0,0.26,22,17
2017-01-02 03:00:00,3,2271.5,1536.404,33.05,32.76,0.0,0.29,28.28,28.04,0.0,0.24,27,19
