DATE,HOUR,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DRYBULB,DEWPNT
2018-01-01 00:00:00,0,1460.3,1845.1,126.16,124.97,0.0,1.19,146.96,144.52,0.24,2.2,3,-8
2018-01-01 01:00:00,1,1420.8,1782.5639999999999,124.78,123.7,0.0,1.08,134.6,132.67,0.1,1.83,4,-7
2018-01-01 02:00:00,2,1396.4,1742.036,124.62,123.58,0.0,1.04,133.85,132.06,0.0,1.79,4,-8
2018-01-01 03:00:00,3,1393.7,1726.596,124.8,123.77,0.0,1.03,141.91,140.24,0.0,1.67,3,-8
2018-01-01 04:00:00,4,1409.6,1736.7679999999998,125.08,124.1,0.0,0.98,136.93,135.42,0.0,1.51,2,-8
2018-01-01 05:00:00,5,1465.6,1774.181,124.96,123.78,0.0,1.18,135.44,133.97,0.0,1.47,2,-8
2018-01-01 06:00:00,6,1542.2,1833.9579999999999,131.16,129.89,0.0,1.27,131.73,130.19,0.0,1.54,2,-9
2018-01-01 07:00:00,7,1595.0,1888.1229999999998,136.25,135.11,0.0,1.14,128.21,126.57,0.0,1.64,2,-10
2018-01-01 08:00:00,8,1672.4,1962.406,146.27,145.24,0.0,1.03,134.56,132.82,0.0,1.74,2,-10
2018-01-01 09:00:00,9,1729.7,2028.114,177.02,176.4,0.0,0.62,195.43,193.48,0.0,1.95,3,-9
2018-01-01 10:00:00,10,1765.2,2074.214,165.0,164.88,0.0,0.12,186.37,184.77,0.0,1.6,6,-8
2018-01-01 11:00:00,11,1801.8,2087.861,171.36,171.06,0.0,0.3,159.85,158.82,0.0,1.03,8,-8
2018-01-01 12:00:00,12,1802.9,2081.5229999999997,162.62,162.16,0.0,0.46,147.95,146.93,0.0,1.02,12,-7
2018-01-01 13:00:00,13,1781.8,2068.813,158.01,157.48,0.0,0.53,138.48,137.56,0.0,0.92,13,-7
2018-01-01 14:00:00,14,1776.4,2081.585,148.83,148.53,0.0,0.3,130.64,129.76,0.0,0.88,13,-7
2018-01-01 15:00:00,15,1796.1,2149.795,154.22,154.08,0.0,0.14,139.09,137.99,0.0,1.1,14,-7
2018-01-01 16:00:00,16,1929.8,2326.9410000000003,190.29,190.38,0.0,-0.09,154.97,153.51,0.0,1.46,13,-8
2018-01-01 17:00:00,17,2074.4,2494.115,218.53,218.24,0.0,0.29,172.78,171.09,0.0,1.69,11,-9
2018-01-01 18:00:00,18,2009.9,2473.0679999999998,210.21,210.24,0.0,-0.03,171.76,170.2,0.0,1.56,10,-9
2018-01-01 19:00:00,19,1948.5,2416.694,196.24,196.21,0.0,0.03,160.6,159.26,0.0,1.34,10,-8
2018-01-01 20:00:00,20,1868.7,2323.73,165.3,165.24,0.0,0.06,164.35,163.34,0.0,1.01,9,-8
2018-01-01 21:00:00,21,1784.2,2187.984,165.33,165.06,0.0,0.27,158.13,157.18,0.0,0.95,7,-7
2018-01-01 22:00:00,22,1673.9,2017.0539999999999,159.32,158.15,0.0,1.17,141.12,140.22,0.0,0.9,5,-7
2018-01-01 23:00:00,23,1542.1,1871.5720000000001,158.34,156.84,0.0,1.5,72.61,72.05,0.0,0.56,5,-7
2018-01-02 00:00:00,0,1471.3,1782.4270000000001,146.17,144.81,0.0,1.36,131.77,130.53,0.0,1.24,4,-6
2018-01-02 01:00:00,1,1429.5,1742.15,134.74,133.91,0.0,0.83,124.86,123.45,0.0,1.41,3,-7
2018-01-02 02:00:00,2,1409.5,1730.5,131.34,130.79,0.0,0.55,112.17,110.85,0.0,1.32,4,-5
2018-01-02 03:00:00,3,1420.1,1738.0,130.6,130.16,0.0,0.44,124.36,122.81,0.0,1.55,7,-3
2018-01-02 04:00:00,4,1461.2,1768.729,136.42,136.13,0.0,0.29,129.63,128.27,0.0,1.36,8,-2
2018-01-02 05:00:00,5,1556.7,1883.2060000000001,157.59,157.63,0.0,-0.04,153.44,152.45,0.0,0.99,9,-1
2018-01-02 06:00:00,6,1837.0,2088.712,181.78,182.65,0.0,-0.87,229.06,228.21,0.0,0.85,9,-3
2018-01-02 07:00:00,7,1941.9,2204.359,203.01,204.14,0.0,-1.13,187.02,187.16,0.0,-0.14,8,-4
2018-01-02 08:00:00,8,1935.7,2213.462,198.3,200.11,0.0,-1.81,164.31,165.15,0.0,-0.84,8,-3
2018-01-02 09:00:00,9,1913.3,2189.629,198.47,199.99,0.0,-1.52,152.28,153.13,0.0,-0.85,10,-3
2018-01-02 10:00:00,10,1891.7,2157.484,196.87,198.86,0.0,-1.99,157.07,157.96,0.0,-0.89,13,-2
2018-01-02 11:00:00,11,1873.4,2122.181,191.73,193.57,0.0,-1.84,147.66,148.3,0.0,-0.64,14,-3
2018-01-02 12:00:00,12,1868.9,2084.594,165.7,167.11,0.0,-1.41,148.13,148.97,0.0,-0.84,17,-4
2018-01-02 13:00:00,13,1813.3,2087.111,156.13,157.45,0.0,-1.32,150.17,151.04,0.0,-0.87,19,-3
2018-01-02 14:00:00,14,1803.7,2147.478,150.43,151.56,0.0,-1.13,149.95,150.97,0.0,-1.02,20,1
2018-01-02 15:00:00,15,1817.4,2191.535,151.27,152.57,0.0,-1.3,147.27,148.06,0.0,-0.79,20,3
2018-01-02 16:00:00,16,1945.5,2323.643,182.96,184.95,0.0,-1.99,166.92,167.78,0.0,-0.86,20,3
2018-01-02 17:00:00,17,2093.6,2463.883,215.86,217.6,0.0,-1.74,170.66,171.36,0.0,-0.7,17,3
2018-01-02 18:00:00,18,2066.1,2469.056,207.09,208.86,0.0,-1.77,170.32,171.0,0.0,-0.68,16,3
2018-01-02 19:00:00,19,1999.2,2431.746,193.7,195.78,0.0,-2.08,179.06,179.64,0.0,-0.58,15,3
2018-01-02 20:00:00,20,1923.2,2341.103,179.33,181.0,0.0,-1.67,160.57,161.04,0.06,-0.53,17,5
2018-01-02 21:00:00,21,1820.6,2189.551,166.77,166.51,0.0,0.26,125.02,125.13,0.21,-0.32,18,6
2018-01-02 22:00:00,22,1668.8,1990.852,158.98,158.04,0.0,0.94,119.15,118.72,0.2,0.23,17,6
2018-01-02 23:00:00,23,1513.7,1824.3629999999998,137.64,136.5,0.0,1.14,121.73,120.88,0.2,0.65,17,7
2018-01-03 00:00:00,0,1556.8,1721.055,125.92,125.15,0.0,0.77,126.97,125.91,0.21,0.85,18,7
2018-01-03 01:00:00,1,1499.8,1668.776,124.76,124.21,0.0,0.55,125.11,124.16,0.13,0.82,19,7
2018-01-03 02:00:00,2,1477.1,1643.63,120.29,119.78,0.0,0.51,117.98,117.19,0.05,0.74,18,6
2018-01-03 03:00:00,3,1469.1,1644.265,120.51,120.04,0.0,0.47,129.22,128.53,0.0,0.69,16,5
2018-01-03 04:00:00,4,1505.2,1687.726,124.36,123.79,0.0,0.57,127.34,126.54,0.09,0.71,15,5
2018-01-03 05:00:00,5,1622.0,1820.991,131.95,131.06,0.0,0.89,157.54,156.52,0.27,0.75,12,3
2018-01-03 06:00:00,6,1866.7,2022.3129999999999,199.26,198.75,0.0,0.51,213.22,211.96,0.37,0.89,12,4
2018-01-03 07:00:00,7,1988.9,2130.285,195.13,194.42,0.0,0.71,238.2,237.24,0.25,0.71,14,5
2018-01-03 08:00:00,8,2007.9,2100.406,193.84,193.11,0.0,0.73,198.68,198.62,0.0,0.06,15,5
2018-01-03 09:00:00,9,1917.8,2029.315,187.81,187.18,0.0,0.63,180.01,180.15,0.0,-0.14,19,6
2018-01-03 10:00:00,10,1908.2,1956.193,188.19,187.69,0.0,0.5,151.7,151.84,0.0,-0.14,22,6
2018-01-03 11:00:00,11,1853.6,1898.945,175.96,175.52,0.0,0.44,165.83,166.08,0.0,-0.25,25,6
2018-01-03 12:00:00,12,1826.3,1865.4370000000001,153.68,153.08,0.0,0.6,132.0,132.12,0.0,-0.12,28,6
2018-01-03 13:00:00,13,1798.9,1854.183,148.03,147.21,0.0,0.82,137.66,137.43,0.0,0.23,29,10
2018-01-03 14:00:00,14,1800.2,1907.918,144.7,143.83,0.0,0.87,145.97,145.52,0.0,0.45,31,11
2018-01-03 15:00:00,15,1847.8,1976.7839999999999,143.36,142.53,0.0,0.83,151.11,150.35,0.0,0.76,30,12
2018-01-03 16:00:00,16,2033.5,2127.493,197.13,196.37,0.0,0.76,159.83,159.02,0.0,0.81,28,14
2018-01-03 17:00:00,17,2187.8,2279.694,219.3,217.88,0.0,1.42,166.76,165.44,0.0,1.32,25,11
2018-01-03 18:00:00,18,2172.4,2304.478,206.05,205.06,0.0,0.99,170.02,168.64,0.0,1.38,22,13
2018-01-03 19:00:00,19,2105.1,2276.5,193.35,192.49,0.0,0.86,172.44,171.1,0.0,1.34,21,12
2018-01-03 20:00:00,20,2034.0,2212.349,167.77,167.07,0.0,0.7,165.03,163.87,0.0,1.16,19,11
2018-01-03 21:00:00,21,1876.0,2099.591,155.03,153.76,0.0,1.27,160.0,159.04,0.0,0.96,18,12
2018-01-03 22:00:00,22,1691.7,1942.3370000000002,145.07,143.13,0.0,1.94,152.92,151.89,0.0,1.03,18,12
2018-01-03 23:00:00,23,1527.5,1777.3529999999998,127.33,125.82,0.0,1.51,139.34,138.63,0.0,0.71,19,14
2018-01-04 00:00:00,0,1432.1,1651.621,113.21,112.45,0.0,0.76,135.84,135.26,0.0,0.58,21,15
2018-01-04 01:00:00,1,1377.6,1571.385,110.75,109.88,0.0,0.87,136.92,136.63,0.0,0.29,23,15
2018-01-04 02:00:00,2,1344.6,1528.586,99.0,98.33,0.0,0.67,134.22,134.03,0.0,0.19,24,15
2018-01-04 03:00:00,3,1344.9,1513.961,95.89,95.24,0.0,0.65,125.73,125.53,0.0,0.2,25,18
2018-01-04 04:00:00,4,1392.2,1525.421,110.73,109.8,0.0,0.93,126.07,125.87,0.0,0.2,25,19
2018-01-04 05:00:00,5,1480.4,1587.933,125.24,124.54,0.0,0.7,124.33,124.08,0.0,0.25,26,14
2018-01-04 06:00:00,6,1644.2,1680.2079999999999,145.42,144.67,0.0,0.75,84.06,83.79,0.0,0.27,26,12
2018-01-04 07:00:00,7,1772.5,1792.723,159.38,159.43,0.0,-0.05,122.96,122.69,0.0,0.27,26,14
2018-01-04 08:00:00,8,1792.3,1918.088,157.59,157.43,0.0,0.16,141.55,140.83,0.47,0.25,26,19
2018-01-04 09:00:00,9,1864.7,2036.795,159.78,159.92,0.0,-0.14,192.97,190.3,2.38,0.29,25,24
2018-01-04 10:00:00,10,1887.8,2120.022,170.66,170.76,0.0,-0.1,235.64,234.97,0.5,0.17,27,26
2018-01-04 11:00:00,11,1895.1,2149.353,158.85,158.76,0.02,0.07,303.21,302.05,0.05,1.11,27,26
2018-01-04 12:00:00,12,1898.5,2141.98,158.27,157.94,0.07,0.26,307.87,301.62,4.02,2.23,27,26
2018-01-04 13:00:00,13,1894.8,2096.998,154.35,153.87,0.08,0.4,270.6,264.1,4.16,2.34,27,27
2018-01-04 14:00:00,14,1889.1,2051.634,152.93,152.56,0.08,0.29,285.11,277.61,3.92,3.58,28,27
2018-01-04 15:00:00,15,1902.2,2034.467,154.15,153.77,0.08,0.3,305.28,297.42,2.93,4.93,29,28
2018-01-04 16:00:00,16,2035.9,2126.565,193.28,192.79,0.13,0.36,316.3,306.17,4.61,5.52,31,30
2018-01-04 17:00:00,17,2167.4,2232.67,213.85,212.89,0.15,0.81,373.79,361.28,5.36,7.15,27,25
2018-01-04 18:00:00,18,2086.5,2210.348,201.07,200.62,0.14,0.31,329.35,318.38,4.85,6.12,27,24
2018-01-04 19:00:00,19,2032.6,2144.993,184.11,183.95,0.11,0.05,308.41,298.65,4.46,5.3,26,22
2018-01-04 20:00:00,20,1964.9,2064.8,170.21,170.23,0.1,-0.12,249.95,242.45,3.74,3.76,27,20
2018-01-04 21:00:00,21,1838.7,1950.525,152.19,151.34,0.09,0.76,181.2,175.93,2.72,2.55,25,19
2018-01-04 22:00:00,22,1674.6,1804.391,149.22,147.47,0.09,1.66,140.48,136.37,2.36,1.75,25,15
2018-01-04 23:00:00,23,1521.9,1672.931,144.45,142.69,0.1,1.66,149.38,146.42,1.01,1.95,24,13
2018-01-05 00:00:00,0,1428.6,1584.4289999999999,143.63,141.84,0.18,1.61,189.72,186.83,0.51,2.38,24,11
2018-01-05 01:00:00,1,1389.5,1540.2,144.15,142.48,0.21,1.46,169.46,166.76,0.46,2.24,23,12
2018-01-05 02:00:00,2,1378.1,1518.931,143.12,141.42,0.21,1.49,163.1,158.31,2.45,2.34,21,12
2018-01-05 03:00:00,3,1399.1,1521.0179999999998,145.62,144.06,0.22,1.34,139.85,135.27,2.44,2.14,20,11
2018-01-05 04:00:00,4,1447.4,1563.162,145.6,143.95,0.22,1.43,155.9,150.95,2.62,2.33,20,8
2018-01-05 05:00:00,5,1563.5,1667.51,159.93,157.7,0.21,2.02,142.89,139.99,0.78,2.12,19,7
2018-01-05 06:00:00,6,1791.5,1829.614,251.42,249.1,0.32,2.0,233.11,229.46,0.66,2.99,16,4
2018-01-05 07:00:00,7,1930.8,1953.48,248.79,247.43,0.28,1.08,437.56,432.16,1.27,4.13,13,1
2018-01-05 08:00:00,8,1945.9,2052.26,230.5,229.1,0.24,1.16,330.61,322.64,3.59,4.38,12,-1
2018-01-05 09:00:00,9,1952.8,2102.496,249.66,248.26,0.29,1.11,281.57,276.1,1.03,4.44,13,-1
2018-01-05 10:00:00,10,1985.4,2120.198,250.19,248.61,0.29,1.29,305.68,296.97,3.93,4.78,14,-1
2018-01-05 11:00:00,11,1957.8,2126.386,238.1,236.69,0.27,1.14,371.97,362.07,4.93,4.97,15,-2
2018-01-05 12:00:00,12,1954.8,2130.705,243.93,242.65,0.29,0.99,343.44,334.72,4.4,4.32,14,-3
2018-01-05 13:00:00,13,1930.1,2136.756,212.56,211.49,0.24,0.83,304.23,297.87,2.57,3.79,14,-3
2018-01-05 14:00:00,14,1927.7,2144.587,207.22,206.21,0.23,0.78,387.86,382.97,0.82,4.07,14,-4
2018-01-05 15:00:00,15,1953.2,2182.697,224.74,223.55,0.26,0.93,291.31,287.52,0.61,3.18,15,-5
2018-01-05 16:00:00,16,2081.1,2317.907,255.82,253.73,0.31,1.78,325.79,321.19,0.5,4.1,13,-6
2018-01-05 17:00:00,17,2237.5,2452.265,310.25,307.06,0.39,2.8,399.51,392.51,0.95,6.05,12,-8
2018-01-05 18:00:00,18,2224.4,2451.555,301.85,298.75,0.37,2.73,309.94,303.79,1.37,4.78,10,-9
2018-01-05 19:00:00,19,2198.2,2398.225,268.97,266.39,0.32,2.26,271.72,267.03,0.6,4.09,9,-9
2018-01-05 20:00:00,20,2108.1,2333.7129999999997,250.43,248.66,0.29,1.48,352.32,346.03,1.85,4.44,8,-9
2018-01-05 21:00:00,21,1991.9,2222.509,225.71,224.14,0.26,1.31,325.95,321.0,1.52,3.43,8,-9
2018-01-05 22:00:00,22,1852.2,2095.897,203.94,202.3,0.22,1.42,362.86,355.39,2.67,4.8,8,-9
2018-01-05 23:00:00,23,1706.2,1963.589,194.15,192.53,0.24,1.38,349.27,338.16,4.16,6.95,8,-10
2018-01-06 00:00:00,0,1652.4,1875.08,184.64,181.76,0.19,2.69,305.68,296.52,2.2,6.96,8,-9
2018-01-06 01:00:00,1,1601.0,1814.614,170.07,167.35,0.17,2.55,257.69,251.34,0.64,5.71,8,-9
2018-01-06 02:00:00,2,1573.8,1789.9560000000001,167.22,164.53,0.16,2.53,275.91,269.46,0.59,5.86,7,-9
2018-01-06 03:00:00,3,1587.4,1784.014,170.11,167.46,0.17,2.48,257.07,250.41,1.3,5.36,5,-9
2018-01-06 04:00:00,4,1613.2,1806.381,175.05,172.29,0.18,2.58,256.36,240.97,9.89,5.5,5,-9
2018-01-06 05:00:00,5,1653.9,1854.15,188.5,185.44,0.2,2.86,239.94,230.88,3.95,5.11,5,-10
2018-01-06 06:00:00,6,1748.6,1931.859,230.23,225.78,0.24,4.21,207.99,201.55,2.31,4.13,4,-10
2018-01-06 07:00:00,7,1867.1,2038.894,211.76,208.59,0.22,2.95,284.62,277.96,0.6,6.06,4,-10
2018-01-06 08:00:00,8,1967.6,2122.361,266.85,262.32,0.3,4.23,300.46,292.96,0.47,7.03,5,-9
2018-01-06 09:00:00,9,2040.0,2170.66,282.12,276.7,0.33,5.09,289.35,282.27,0.46,6.62,6,-9
2018-01-06 10:00:00,10,2076.6,2188.018,265.25,260.64,0.3,4.31,216.94,212.31,0.35,4.28,9,-9
2018-01-06 11:00:00,11,2083.6,2183.435,236.31,232.39,0.25,3.67,293.08,287.11,0.51,5.46,10,-9
2018-01-06 12:00:00,12,2037.4,2165.732,217.4,213.96,0.22,3.22,334.63,328.42,0.65,5.56,12,-8
2018-01-06 13:00:00,13,2016.6,2132.271,211.31,208.29,0.21,2.81,237.51,233.49,0.5,3.52,13,-8
2018-01-06 14:00:00,14,2014.5,2127.033,207.02,204.03,0.2,2.79,174.81,171.94,0.4,2.47,13,-8
2018-01-06 15:00:00,15,2044.8,2166.063,208.72,205.66,0.21,2.85,251.9,247.6,0.78,3.52,13,-8
2018-01-06 16:00:00,16,2203.8,2304.953,254.89,250.37,0.28,4.24,266.52,262.25,0.43,3.84,11,-9
2018-01-06 17:00:00,17,2349.3,2436.026,321.59,314.88,0.35,6.36,231.71,227.6,0.37,3.74,10,-9
2018-01-06 18:00:00,18,2288.9,2417.653,306.27,300.16,0.33,5.78,244.32,239.95,0.47,3.9,9,-9
2018-01-06 19:00:00,19,2220.2,2361.163,283.77,278.71,0.31,4.75,210.64,207.04,0.45,3.15,8,-10
2018-01-06 20:00:00,20,2142.6,2298.782,226.62,223.14,0.14,3.34,220.74,215.82,2.13,2.79,7,-10
2018-01-06 21:00:00,21,2009.0,2201.236,205.99,202.62,0.18,3.19,292.2,275.12,13.78,3.3,6,-12
2018-01-06 22:00:00,22,1900.7,2074.2889999999998,202.33,198.91,0.17,3.25,230.92,221.09,7.28,2.55,6,-11
2018-01-06 23:00:00,23,1779.1,1965.351,192.53,189.1,0.17,3.26,199.24,194.49,2.22,2.53,5,-12
2018-01-07 00:00:00,0,1712.6,1883.07,226.89,217.38,4.68,4.83,205.45,197.05,5.42,2.98,3,-14
2018-01-07 01:00:00,1,1662.7,1833.65,203.31,198.71,0.21,4.39,180.24,176.49,1.03,2.72,2,-15
2018-01-07 02:00:00,2,1636.5,1811.434,201.89,197.48,0.21,4.2,162.44,159.72,0.24,2.48,0,-16
2018-01-07 03:00:00,3,1635.9,1809.329,200.58,196.36,0.21,4.01,159.62,157.11,0.24,2.27,-1,-17
2018-01-07 04:00:00,4,1660.3,1822.933,218.95,214.18,0.24,4.53,163.11,160.64,0.25,2.22,-1,-18
2018-01-07 05:00:00,5,1702.6,1859.737,219.5,214.74,0.24,4.52,173.64,171.33,0.27,2.04,-1,-17
