DATE,HOUR,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DRYBULB,DEWPNT
2019-01-01 00:00:00,0,2667.3,2713.617,25.64,25.57,0.02,0.05,35.43,35.42,0.04,-0.03,38,38
2019-01-01 01:00:00,1,2487.2,2578.343,20.56,20.44,0.01,0.11,38.57,38.38,0.0,0.19,38,38
2019-01-01 02:00:00,2,2430.6,2467.969,18.91,18.84,0.01,0.06,21.23,21.09,0.0,0.14,38,38
2019-01-01 03:00:00,3,2413.4,2397.14,19.2,19.09,0.01,0.1,18.46,18.29,0.03,0.14,37,37
2019-01-01 04:00:00,4,2435.9,2381.258,17.84,17.78,0.0,0.06,7.53,7.48,0.01,0.04,38,38
2019-01-01 05:00:00,5,2553.9,2422.784,20.24,20.2,0.01,0.03,17.89,17.77,0.03,0.09,38,38
2019-01-01 06:00:00,6,2742.4,2487.799,20.62,20.62,0.0,0.0,10.77,10.71,0.02,0.04,39,39
2019-01-01 07:00:00,7,2888.4,2530.716,23.02,22.98,0.0,0.04,-44.41,-44.3,0.0,-0.11,44,44
2019-01-01 08:00:00,8,3047.2,2620.61,23.86,23.74,0.01,0.11,-19.73,-19.7,0.0,-0.03,47,46
2019-01-01 09:00:00,9,3174.9,2794.228,22.28,22.39,0.0,-0.11,19.38,19.28,0.04,0.06,49,48
2019-01-01 10:00:00,10,3265.0,2914.28,25.2,25.28,0.0,-0.08,12.18,12.16,0.0,0.02,53,47
2019-01-01 11:00:00,11,3261.8,2902.322,25.49,25.63,0.0,-0.14,2.57,2.56,0.0,0.01,53,41
2019-01-01 12:00:00,12,3295.2,2859.2509999999997,25.49,25.62,0.0,-0.13,11.34,11.31,0.0,0.03,51,33
2019-01-01 13:00:00,13,3304.6,2863.59,25.28,25.38,0.01,-0.11,11.28,11.22,0.02,0.04,49,31
2019-01-01 14:00:00,14,3329.0,2927.24,25.25,25.33,0.01,-0.09,18.11,17.990000000000006,0.04,0.08,46,30
2019-01-01 15:00:00,15,3388.8,3067.692,24.34,24.38,0.02,-0.06,16.31,16.22,0.03,0.06,43,29
2019-01-01 16:00:00,16,3718.0,3357.853,26.04,26.09,0.02,-0.07,18.3,18.21,0.04,0.05,40,29
2019-01-01 17:00:00,17,4011.0,3650.08,37.2,37.32,0.04,-0.16,25.0,24.99,0.06,-0.05,39,28
2019-01-01 18:00:00,18,3966.3,3632.159,33.39,33.46,0.03,-0.1,22.81,22.71,0.05,0.05,39,27
2019-01-01 19:00:00,19,3814.6,3547.2329999999997,28.83,28.91,0.02,-0.1,22.2,22.06,0.05,0.09,38,26
2019-01-01 20:00:00,20,3665.2,3422.1820000000002,25.83,25.79,0.02,0.02,23.51,23.31,0.05,0.15,37,25
2019-01-01 21:00:00,21,3488.9,3222.3790000000004,24.96,24.9,0.02,0.04,20.35,20.16,0.04,0.15,35,24
2019-01-01 22:00:00,22,3252.1,2963.91,24.52,24.43,0.02,0.07,19.28,19.08,0.03,0.17,35,24
2019-01-01 23:00:00,23,3009.9,2735.075,23.79,23.66,0.02,0.11,17.89,17.76,0.03,0.1,33,23
2019-01-02 00:00:00,0,2859.7,2590.444,24.45,24.51,0.03,-0.09,3.66,3.64,0.0,0.02,32,21
2019-01-02 01:00:00,1,2739.1,2524.9,23.25,23.36,0.03,-0.14,0.5700000000000001,0.56,0.01,0.0,31,20
2019-01-02 02:00:00,2,2702.1,2507.897,19.9,19.98,0.02,-0.1,18.72,18.76,0.02,-0.06,30,18
2019-01-02 03:00:00,3,2730.2,2527.959,21.79,21.91,0.02,-0.14,22.35,22.45,0.0,-0.1,28,17
2019-01-02 04:00:00,4,2840.0,2636.005,24.55,24.76,0.02,-0.23,18.65,18.75,0.0,-0.1,27,16
2019-01-02 05:00:00,5,3112.8,2909.921,28.89,29.18,0.03,-0.32,16.46,16.59,0.0,-0.13,26,16
2019-01-02 06:00:00,6,3583.0,3370.81,31.79,32.28,0.01,-0.5,29.36,29.7,0.0,-0.34,24,15
2019-01-02 07:00:00,7,3802.1,3647.002,28.55,29.09,0.0,-0.54,30.14,30.49,0.0,-0.35000000000000003,25,15
2019-01-02 08:00:00,8,3904.0,3664.143,27.8,28.32,0.0,-0.52,25.34,25.62,0.0,-0.28,24,15
2019-01-02 09:00:00,9,3821.6,3617.1679999999997,25.13,25.64,0.0,-0.51,21.81,22.02,0.0,-0.21,28,15
2019-01-02 10:00:00,10,3761.8,3585.643,29.86,30.18,0.0,-0.32,24.3,24.47,0.0,-0.17,30,16
2019-01-02 11:00:00,11,3711.7,3524.242,26.5,26.88,0.0,-0.38,25.23,25.36,0.0,-0.13,31,15
2019-01-02 12:00:00,12,3639.5,3476.333,25.18,25.58,0.0,-0.4,23.95,24.07,0.0,-0.12,32,13
2019-01-02 13:00:00,13,3614.6,3479.215,25.46,25.81,0.0,-0.35000000000000003,24.58,24.71,0.0,-0.13,33,11
2019-01-02 14:00:00,14,3652.9,3553.4440000000004,26.64,27.03,0.0,-0.39,25.48,25.66,0.0,-0.18,34,9
2019-01-02 15:00:00,15,3767.1,3638.5159999999996,30.05,30.5,0.0,-0.45,30.16,30.39,0.0,-0.23,33,8
2019-01-02 16:00:00,16,4074.7,3902.579,40.82,41.59,0.0,-0.77,35.75,36.15,0.0,-0.4,32,8
2019-01-02 17:00:00,17,4497.7,4175.602,60.37000000000001,61.73,0.0,-1.36,39.33,39.89,0.0,-0.56,30,11
2019-01-02 18:00:00,18,4453.6,4179.669,59.14,60.42,0.0,-1.28,67.31,68.24,0.0,-0.93,30,11
2019-01-02 19:00:00,19,4309.9,4072.827,53.03,54.13,0.0,-1.1,33.01,33.45,0.0,-0.44,28,14
2019-01-02 20:00:00,20,4148.5,3922.422,45.48,46.22,0.0,-0.74,28.61,28.94,0.0,-0.33,28,14
2019-01-02 21:00:00,21,3909.2,3662.325,37.91,38.5,0.0,-0.59,28.35,28.66,0.0,-0.31,28,16
2019-01-02 22:00:00,22,3543.7,3318.824,33.43,33.8,0.0,-0.37,25.49,25.83,0.0,-0.34,29,17
2019-01-02 23:00:00,23,3218.0,3007.4629999999997,25.31,25.72,0.0,-0.41,24.47,24.83,0.01,-0.37,30,18
2019-01-03 00:00:00,0,2968.9,2809.736,33.19,33.78,0.0,-0.59,24.77,25.15,0.01,-0.39,30,19
2019-01-03 01:00:00,1,2828.8,2713.4320000000002,30.18,30.74,0.0,-0.56,23.52,23.89,0.01,-0.38,30,20
2019-01-03 02:00:00,2,2730.7,2652.8909999999996,27.43,27.98,0.0,-0.55,22.39,22.71,0.01,-0.33,30,21
2019-01-03 03:00:00,3,2727.5,2639.909,27.54,28.16,0.0,-0.62,20.41,20.67,0.0,-0.26,30,21
2019-01-03 04:00:00,4,2810.1,2704.538,30.05,30.76,0.0,-0.71,20.91,21.17,0.03,-0.29,30,22
2019-01-03 05:00:00,5,3019.2,2931.112,37.1,38.02,0.0,-0.92,25.31,25.65,0.05,-0.39,30,24
2019-01-03 06:00:00,6,3435.9,3331.0040000000004,46.21,47.54,0.0,-1.33,33.6,34.13,0.03,-0.56,31,27
2019-01-03 07:00:00,7,3717.0,3594.975,46.32,47.49,0.0,-1.17,32.43,32.95,0.02,-0.54,30,29
2019-01-03 08:00:00,8,3758.3,3615.86,41.96,42.97,0.0,-1.01,35.02,35.52,0.06,-0.56,32,32
2019-01-03 09:00:00,9,3714.0,3560.5440000000003,41.69,44.22,-1.53,-1.0,38.73,39.3,0.06,-0.63,32,32
2019-01-03 10:00:00,10,3734.0,3509.5490000000004,37.38,42.73,-4.53,-0.8200000000000001,40.49,41.12,0.02,-0.65,35,33
2019-01-03 11:00:00,11,3816.0,3416.1690000000003,33.87,34.46,0.0,-0.59,26.51,26.89,0.0,-0.38,42,33
2019-01-03 12:00:00,12,3744.7,3385.881,27.7,28.17,0.0,-0.47,24.16,24.51,0.0,-0.35000000000000003,43,29
2019-01-03 13:00:00,13,3709.3,3398.0009999999997,26.9,27.28,0.0,-0.38,24.61,24.95,0.0,-0.34,43,25
2019-01-03 14:00:00,14,3747.1,3412.353,26.97,27.3,0.0,-0.33,28.25,28.59,0.0,-0.34,43,23
2019-01-03 15:00:00,15,3813.1,3503.3579999999997,26.85,27.18,0.0,-0.33,32.1,32.51,0.0,-0.41,41,21
2019-01-03 16:00:00,16,3996.0,3762.507,32.19,32.74,0.0,-0.55,37.81,38.34,0.0,-0.53,39,21
2019-01-03 17:00:00,17,4133.8,4028.347,42.97,43.95,0.0,-0.98,27.45,27.88,0.0,-0.43,38,22
2019-01-03 18:00:00,18,4121.6,4037.433,40.37,41.15,0.0,-0.78,30.01,30.55,0.0,-0.54,37,23
2019-01-03 19:00:00,19,4003.7,3948.258,38.35,39.22,0.0,-0.87,24.77,25.28,0.0,-0.51,37,24
2019-01-03 20:00:00,20,4079.2,3805.8540000000003,33.01,33.57,0.0,-0.56,24.5,25.0,0.0,-0.5,35,24
2019-01-03 21:00:00,21,3891.0,3567.89,28.72,29.11,0.0,-0.39,25.38,25.81,0.0,-0.43,36,24
2019-01-03 22:00:00,22,3590.1,3248.2290000000003,25.53,25.75,0.0,-0.22,22.77,23.07,0.0,-0.3,35,24
2019-01-03 23:00:00,23,3066.0,2965.611,24.44,24.88,0.0,-0.44,21.12,21.43,0.0,-0.31,35,24
2019-01-04 00:00:00,0,2900.3,2781.9970000000003,21.81,22.14,0.0,-0.33,19.33,19.57,0.0,-0.24,35,24
2019-01-04 01:00:00,1,2821.3,2685.422,22.52,22.88,0.0,-0.36,21.25,21.5,0.0,-0.25,34,25
2019-01-04 02:00:00,2,2744.8,2650.147,21.8,22.12,0.0,-0.32,20.26,20.49,0.0,-0.23,34,25
2019-01-04 03:00:00,3,2768.8,2658.717,21.79,22.11,0.0,-0.32,21.1,21.32,0.0,-0.22,34,25
2019-01-04 04:00:00,4,2841.7,2753.301,21.83,22.21,0.0,-0.38,21.93,22.18,0.0,-0.25,32,24
2019-01-04 05:00:00,5,3095.3,3000.805,29.25,29.69,0.0,-0.44,27.57,27.9,0.0,-0.33,29,23
2019-01-04 06:00:00,6,3496.4,3423.36,28.49,29.05,0.0,-0.56,24.96,25.24,0.01,-0.29,30,24
2019-01-04 07:00:00,7,3697.5,3676.086,30.6,31.14,0.0,-0.54,23.15,23.47,0.0,-0.32,30,24
2019-01-04 08:00:00,8,3726.2,3662.4190000000003,26.95,27.3,0.0,-0.35000000000000003,22.14,22.38,0.0,-0.24,29,24
2019-01-04 09:00:00,9,3662.0,3583.3109999999997,23.69,24.0,0.02,-0.33,20.84,21.09,0.01,-0.26,34,25
2019-01-04 10:00:00,10,3575.6,3522.355,22.9,23.12,0.01,-0.23,20.24,20.45,0.0,-0.21,36,25
2019-01-04 11:00:00,11,3492.1,3476.658,22.43,22.57,0.01,-0.15,19.9,20.15,0.0,-0.25,39,26
2019-01-04 12:00:00,12,3473.3,3413.232,22.14,22.31,0.0,-0.17,20.24,20.51,0.0,-0.27,41,27
2019-01-04 13:00:00,13,3434.4,3430.84,21.7,21.85,0.01,-0.16,20.3,20.58,0.0,-0.28,44,27
2019-01-04 14:00:00,14,3464.1,3457.728,21.86,22.0,0.03,-0.17,21.38,21.74,0.0,-0.36,46,27
2019-01-04 15:00:00,15,3521.6,3502.7740000000003,22.47,22.71,0.01,-0.25,21.9,22.25,0.0,-0.35000000000000003,46,28
2019-01-04 16:00:00,16,3754.3,3712.1259999999997,23.61,23.76,0.0,-0.15,28.04,28.32,0.0,-0.28,44,28
2019-01-04 17:00:00,17,4010.2,3909.934,32.33,32.47,0.0,-0.14,28.0,28.28,0.0,-0.28,42,28
2019-01-04 18:00:00,18,4003.3,3860.672,30.28,30.44,0.0,-0.16,26.94,27.16,0.0,-0.22,39,30
2019-01-04 19:00:00,19,3870.6,3747.59,25.45,25.61,0.0,-0.16,22.25,22.49,0.0,-0.24,38,30
2019-01-04 20:00:00,20,3714.2,3611.913,23.79,24.01,0.0,-0.22,21.61,21.89,0.0,-0.28,39,30
2019-01-04 21:00:00,21,3509.1,3427.217,23.36,23.53,0.0,-0.17,27.74,28.03,0.0,-0.29,38,29
2019-01-04 22:00:00,22,3244.7,3180.982,23.44,23.51,0.0,-0.07,22.37,22.55,0.0,-0.18,35,29
2019-01-04 23:00:00,23,2945.0,2916.836,23.2,23.38,0.0,-0.18,29.79,30.06,0.0,-0.27,37,30
2019-01-05 00:00:00,0,2784.1,2710.9970000000003,22.56,22.74,0.0,-0.18,38.16,38.38,0.0,-0.22,38,31
2019-01-05 01:00:00,1,2636.1,2581.513,19.94,20.08,0.0,-0.14,21.26,21.35,0.0,-0.09,36,31
2019-01-05 02:00:00,2,2562.7,2506.661,19.38,19.58,0.0,-0.2,17.330000000000002,17.44,0.0,-0.11,35,31
2019-01-05 03:00:00,3,2535.8,2477.145,18.49,18.68,0.0,-0.19,19.85,20.04,0.0,-0.19,36,33
2019-01-05 04:00:00,4,2550.3,2499.7270000000003,19.39,19.61,0.0,-0.22,19.27,19.42,0.0,-0.15,36,35
