Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt,System_Load,RegSP,RegCP,Min_5min_RSP,Max_5min_RSP,Min_5min_RCP,Max_5min_RCP
2019-01-01 00:00:00,0,10343.0,11370.703000000001,25.63,25.57,0.02,0.04,35.65,35.42,0.04,0.19,37,36,11573,0.05,13.009166667,0.05,0.05,11.93,24.82
2019-01-01 01:00:00,1,10025.7,10846.743,20.49,20.44,0.01,0.04,38.63,38.38,0.0,0.25,38,37,11054,1.6175,34.5625,0.05,1.76,11.93,36.62
2019-01-01 02:00:00,2,10025.7,10452.101,18.86,18.84,0.01,0.01,21.23,21.09,0.0,0.14,39,38,10657,0.335,13.113333333,0.05,1.76,6.31,57.64
2019-01-01 03:00:00,3,10175.8,10226.055,19.12,19.09,0.01,0.02,18.45,18.29,0.03,0.13,40,39,10412,0.05,6.566666667000001,0.05,0.05,6.31,6.59
2019-01-01 04:00:00,4,10275.1,10183.763,17.8,17.78,0.0,0.02,7.54,7.48,0.01,0.05,42,41,10363,0.05,14.546666667,0.05,0.05,6.59,15.27
2019-01-01 05:00:00,5,10393.5,10400.501,20.22,20.2,0.01,0.01,17.93,17.77,0.03,0.13,43,42,10582,0.05,9.073333332999999,0.05,0.05,8.51,15.27
2019-01-01 06:00:00,6,10814.6,10763.243999999999,20.64,20.62,0.0,0.02,10.8,10.71,0.02,0.07,45,43,10939,0.05,33.068333333000005,0.05,0.05,8.51,37.98
2019-01-01 07:00:00,7,11182.9,11053.162,23.0,22.98,0.0,0.02,-44.52,-44.3,0.0,-0.22,47,45,11205,0.05,54.455,0.05,0.05,37.98,57.75
2019-01-01 08:00:00,8,11761.9,11483.463,23.76,23.74,0.01,0.01,-19.78,-19.7,0.0,-0.08,47,45,11633,0.05,51.940833333,0.05,0.05,51.41,57.75
2019-01-01 09:00:00,9,12089.1,12013.503,22.37,22.39,0.0,-0.02,19.41,19.28,0.04,0.09,49,45,12163,0.05,12.259166667,0.05,0.05,8.7,51.41
2019-01-01 10:00:00,10,12198.7,12302.95,25.27,25.28,0.0,-0.01,12.21,12.16,0.0,0.05,51,45,12454,0.05,7.69,0.05,0.05,7.36,8.7
2019-01-01 11:00:00,11,12214.6,12300.652,25.61,25.63,0.0,-0.02,2.57,2.56,0.0,0.01,53,41,12442,0.05,26.394166666999997,0.05,0.05,7.52,28.11
2019-01-01 12:00:00,12,12172.7,12276.885,25.61,25.62,0.0,-0.01,11.34,11.31,0.0,0.03,51,36,12424,0.05,21.3075,0.05,0.05,19.04,28.11
2019-01-01 13:00:00,13,12044.1,12354.928,25.36,25.38,0.01,-0.03,11.27,11.22,0.02,0.03,49,33,12501,0.05,19.498333332999998,0.05,0.05,19.04,19.54
2019-01-01 14:00:00,14,12203.9,12577.395,25.32,25.33,0.01,-0.02,18.09,17.99,0.04,0.06,47,31,12728,0.05,15.495,0.05,0.05,9.67,19.54
2019-01-01 15:00:00,15,12714.8,13094.098,24.37,24.38,0.02,-0.03,16.32,16.22,0.03,0.07,45,30,13247,0.258333333,11.281666667,0.05,0.3,10.27,16.34
2019-01-01 16:00:00,16,13993.2,14284.322,26.13,26.09,0.02,0.02,18.34,18.21,0.04,0.09,42,29,14472,1.895,5.5308333329999995,0.3,2.04,5.1,10.27
2019-01-01 17:00:00,17,14911.8,15303.893,37.37,37.32,0.04,0.01,25.19,24.99,0.06,0.14,40,28,15508,0.59,14.4475,0.3,2.04,5.1,33.67
2019-01-01 18:00:00,18,14748.4,15160.608999999999,33.5,33.46,0.03,0.01,22.87,22.71,0.05,0.11,39,27,15369,0.05833330000000001,9.885,0.01,0.3,9.17,13.46
2019-01-01 19:00:00,19,14302.2,14757.722,28.95,28.91,0.02,0.02,22.2,22.06,0.05,0.09,38,26,14955,0.01,9.316666667,0.01,0.01,9.17,9.33
2019-01-01 20:00:00,20,13686.1,14194.375,25.84,25.79,0.02,0.03,23.47,23.31,0.05,0.11,37,25,14377,0.01,9.775,0.01,0.01,9.25,9.88
2019-01-01 21:00:00,21,12845.4,13377.239,24.97,24.9,0.02,0.05,20.3,20.16,0.04,0.1,35,23,13568,0.275833333,11.64,0.01,0.3,8.8,15.38
