DATE,HOUR,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DRYBULB,DEWPNT
2019-01-01 00:00:00,0,2318.3,2335.655,25.72,25.57,0.02,0.13,35.74,35.42,0.04,0.28,39,36
2019-01-01 01:00:00,1,2209.4,2247.388,20.51,20.44,0.01,0.06,38.59,38.38,0.0,0.21,40,38
2019-01-01 02:00:00,2,2159.5,2167.1220000000003,18.9,18.84,0.01,0.05,21.18,21.09,0.0,0.09,42,39
2019-01-01 03:00:00,3,2123.5,2114.495,19.14,19.09,0.01,0.04,18.39,18.29,0.03,0.07,43,41
2019-01-01 04:00:00,4,2121.8,2103.377,17.83,17.78,0.0,0.05,7.52,7.48,0.01,0.03,46,43
2019-01-01 05:00:00,5,2203.5,2149.572,20.28,20.2,0.01,0.07,17.88,17.77,0.03,0.08,47,46
2019-01-01 06:00:00,6,2328.8,2235.258,20.73,20.62,0.0,0.11,10.77,10.71,0.02,0.04,50,46
2019-01-01 07:00:00,7,2417.3,2276.484,23.07,22.98,0.0,0.09,-44.46,-44.3,0.0,-0.16,54,49
2019-01-01 08:00:00,8,2515.4,2332.815,23.8,23.74,0.01,0.05,-19.77,-19.7,0.0,-0.07,54,48
2019-01-01 09:00:00,9,2597.5,2406.547,22.52,22.39,0.0,0.13,19.41,19.28,0.04,0.09,56,48
2019-01-01 10:00:00,10,2643.8,2423.587,25.41,25.28,0.0,0.13,12.22,12.16,0.0,0.06,58,47
2019-01-01 11:00:00,11,2675.7,2410.759,25.77,25.63,0.0,0.14,2.57,2.56,0.0,0.01,58,44
2019-01-01 12:00:00,12,2649.0,2430.356,25.75,25.62,0.0,0.13,11.36,11.31,0.0,0.05,56,38
2019-01-01 13:00:00,13,2651.0,2462.016,25.52,25.38,0.01,0.13,11.29,11.22,0.02,0.05,55,35
2019-01-01 14:00:00,14,2665.5,2497.0570000000002,25.46,25.33,0.01,0.12,18.1,17.99,0.04,0.07,54,34
