Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2019-01-01 00:00:00,0,1007.9,1064.928,25.52,25.57,0.02,-0.07,35.3,35.42,0.04,-0.16,33,32
2019-01-01 01:00:00,1,970.3,1009.487,20.39,20.44,0.01,-0.06,38.18,38.38,0.0,-0.2,33,32
2019-01-01 02:00:00,2,964.9,973.0169999999999,18.81,18.84,0.01,-0.04,20.97,21.09,0.0,-0.12,34,32
2019-01-01 03:00:00,3,967.4,954.712,19.03,19.09,0.01,-0.07,18.22,18.29,0.03,-0.1,34,33
2019-01-01 04:00:00,4,959.4,957.625,17.73,17.78,0.0,-0.05,7.46,7.48,0.01,-0.03,33,32
2019-01-01 05:00:00,5,1004.0,988.341,20.16,20.2,0.01,-0.05,17.73,17.77,0.03,-0.07,33,32
2019-01-01 06:00:00,6,1089.1,1034.046,20.61,20.62,0.0,-0.01,10.7,10.71,0.02,-0.03,32,32
2019-01-01 07:00:00,7,1179.4,1084.313,22.96,22.98,0.0,-0.02,-44.23,-44.3,0.0,0.07,34,32
2019-01-01 08:00:00,8,1242.6,1153.012,23.66,23.74,0.01,-0.09,-19.69,-19.7,0.0,0.01,32,32
2019-01-01 09:00:00,9,1296.6,1214.6689999999999,22.38,22.39,0.0,-0.01,19.25,19.28,0.04,-0.07,33,33
2019-01-01 10:00:00,10,1314.4,1245.452,25.24,25.28,0.0,-0.04,12.12,12.16,0.0,-0.04,36,36
2019-01-01 11:00:00,11,1310.8,1266.008,25.76,25.63,0.0,0.13,2.55,2.56,0.0,-0.01,47,40
2019-01-01 12:00:00,12,1321.1,1280.577,25.75,25.62,0.0,0.13,11.33,11.31,0.0,0.02,46,34
2019-01-01 13:00:00,13,1295.5,1279.6989999999998,25.47,25.38,0.01,0.08,11.27,11.22,0.02,0.03,45,31
2019-01-01 14:00:00,14,1294.8,1287.944,25.45,25.33,0.01,0.11,18.05,17.99,0.04,0.02,41,29
2019-01-01 15:00:00,15,1335.4,1316.394,24.54,24.38,0.02,0.14,16.27,16.22,0.03,0.02,39,28
2019-01-01 16:00:00,16,1440.2,1433.12,26.22,26.09,0.02,0.11,18.24,18.21,0.04,-0.01,37,27
2019-01-01 17:00:00,17,1546.8,1531.695,37.62,37.32,0.04,0.26,25.1,24.99,0.06,0.05,36,26
2019-01-01 18:00:00,18,1524.0,1507.511,33.74,33.46,0.03,0.25,22.78,22.71,0.05,0.02,35,25
2019-01-01 19:00:00,19,1460.7,1456.4979999999998,29.13,28.91,0.02,0.2,22.12,22.06,0.05,0.01,33,22
2019-01-01 20:00:00,20,1382.5,1383.856,25.89,25.79,0.02,0.08,23.33,23.31,0.05,-0.03,32,20
2019-01-01 21:00:00,21,1295.7,1287.269,24.99,24.9,0.02,0.07,20.15,20.16,0.04,-0.05,30,18
2019-01-01 22:00:00,22,1198.4,1182.373,24.4,24.43,0.02,-0.05,19.04,19.08,0.03,-0.07,29,18
2019-01-01 23:00:00,23,1109.9,1102.856,23.66,23.66,0.02,-0.02,17.75,17.76,0.03,-0.04,27,13
2019-01-02 00:00:00,0,1068.2,1057.688,24.51,24.51,0.03,-0.03,3.63,3.64,0.0,-0.01,26,13
2019-01-02 01:00:00,1,1006.7,1046.02,23.36,23.36,0.03,-0.03,0.57,0.56,0.01,0.0,24,14
2019-01-02 02:00:00,2,1019.7,1043.762,19.98,19.98,0.02,-0.02,18.81,18.76,0.02,0.03,23,14
2019-01-02 03:00:00,3,1038.8,1057.583,21.93,21.91,0.02,0.0,22.48,22.45,0.0,0.03,22,12
2019-01-02 04:00:00,4,1092.2,1101.277,24.85,24.76,0.02,0.07,18.79,18.75,0.0,0.04,22,12
2019-01-02 05:00:00,5,1244.3,1227.586,29.38,29.18,0.03,0.17,16.67,16.59,0.0,0.08,21,11
2019-01-02 06:00:00,6,1416.4,1413.592,32.57,32.28,0.01,0.28,29.98,29.7,0.0,0.28,21,10
2019-01-02 07:00:00,7,1540.7,1509.878,29.54,29.09,0.0,0.45,30.81,30.49,0.0,0.32,21,11
2019-01-02 08:00:00,8,1580.7,1515.4189999999999,28.82,28.32,0.0,0.5,25.87,25.62,0.0,0.25,19,9
2019-01-02 09:00:00,9,1531.1,1504.0520000000001,26.02,25.64,0.0,0.38,22.22,22.02,0.0,0.2,21,10
2019-01-02 10:00:00,10,1429.3,1495.8370000000002,30.63,30.18,0.0,0.45,24.74,24.47,0.0,0.27,24,8
2019-01-02 11:00:00,11,1452.8,1483.0520000000001,27.34,26.88,0.0,0.46,25.65,25.36,0.0,0.29,26,8
2019-01-02 12:00:00,12,1405.6,1466.037,25.97,25.58,0.0,0.39,24.35,24.07,0.0,0.28,29,4
2019-01-02 13:00:00,13,1404.9,1465.48,26.14,25.81,0.0,0.33,24.99,24.71,0.0,0.28,30,3
2019-01-02 14:00:00,14,1440.3,1472.192,27.48,27.03,0.0,0.45,25.96,25.66,0.0,0.3,32,4
2019-01-02 15:00:00,15,1487.4,1508.328,31.04,30.5,0.0,0.54,30.8,30.39,0.0,0.41,30,1
2019-01-02 16:00:00,16,1640.8,1615.108,42.33,41.59,0.0,0.74,36.67,36.15,0.0,0.52,28,2
2019-01-02 17:00:00,17,1738.8,1713.16,62.96,61.73,0.0,1.23,40.45,39.89,0.0,0.56,27,3
2019-01-02 18:00:00,18,1728.8,1705.7979999999998,61.58,60.42,0.0,1.16,69.23,68.24,0.0,0.99,22,11
2019-01-02 19:00:00,19,1671.4,1654.5179999999998,55.1,54.13,0.0,0.97,33.86,33.45,0.0,0.41,20,10
2019-01-02 20:00:00,20,1581.7,1579.3770000000002,46.99,46.22,0.0,0.77,29.24,28.94,0.0,0.3,21,15
2019-01-02 21:00:00,21,1484.6,1458.129,39.01,38.5,0.0,0.51,28.9,28.66,0.0,0.24,22,14
2019-01-02 22:00:00,22,1308.7,1324.32,34.16,33.8,0.0,0.36,26.08,25.83,0.0,0.25,24,12
2019-01-02 23:00:00,23,1226.7,1215.3139999999999,26.03,25.72,0.0,0.31,25.08,24.83,0.01,0.24,25,13
2019-01-03 00:00:00,0,1155.3,1151.299,34.24,33.78,0.0,0.46,25.41,25.15,0.01,0.25,26,14
2019-01-03 01:00:00,1,1111.5,1115.549,31.12,30.74,0.0,0.38,24.14,23.89,0.01,0.24,26,14
2019-01-03 02:00:00,2,1100.5,1101.553,28.29,27.98,0.0,0.31,22.92,22.71,0.01,0.2,27,16
2019-01-03 03:00:00,3,1124.4,1108.022,28.51,28.16,0.0,0.35,20.83,20.67,0.0,0.16,26,20
2019-01-03 04:00:00,4,1149.7,1143.565,31.17,30.76,0.0,0.41,21.37,21.17,0.03,0.17,25,23
2019-01-03 05:00:00,5,1253.7,1251.211,38.64,38.02,0.0,0.62,25.96,25.65,0.05,0.26,25,25
2019-01-03 06:00:00,6,1411.9,1414.237,48.3,47.54,0.0,0.76,34.55,34.13,0.03,0.39,26,24
2019-01-03 07:00:00,7,1509.5,1497.606,48.27,47.49,0.0,0.78,33.34,32.95,0.02,0.37,26,24
2019-01-03 08:00:00,8,1539.3,1513.362,43.67,42.97,0.0,0.7,35.98,35.52,0.06,0.4,26,25
2019-01-03 09:00:00,9,1517.1,1510.406,43.57,44.22,-1.53,0.88,39.89,39.3,0.06,0.53,28,26
2019-01-03 10:00:00,10,1465.7,1497.575,38.97,42.73,-4.53,0.77,41.79,41.12,0.02,0.65,28,25
2019-01-03 11:00:00,11,1464.0,1477.116,35.06,34.46,0.0,0.6,27.32,26.89,0.0,0.43,30,26
2019-01-03 12:00:00,12,1446.7,1447.1029999999998,28.69,28.17,0.0,0.52,24.86,24.51,0.0,0.35,31,26
2019-01-03 13:00:00,13,1411.4,1438.207,27.67,27.28,0.0,0.39,25.27,24.95,0.0,0.32,35,28
2019-01-03 14:00:00,14,1391.6,1431.8570000000002,27.67,27.3,0.0,0.37,28.93,28.59,0.0,0.34,38,29
2019-01-03 15:00:00,15,1416.4,1451.4,27.61,27.18,0.0,0.43,32.94,32.51,0.0,0.43,38,29
