Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2019-01-01 00:00:00,0,1282.1,1338.797,25.71,25.57,0.02,0.12,35.67,35.42,0.04,0.21,42,41
2019-01-01 01:00:00,1,1212.2,1258.955,20.52,20.44,0.01,0.07,38.54,38.38,0.0,0.16,44,42
2019-01-01 02:00:00,2,1175.2,1205.017,18.88,18.84,0.01,0.03,21.18,21.09,0.0,0.09,44,44
2019-01-01 03:00:00,3,1157.0,1175.907,19.13,19.09,0.01,0.03,18.4,18.29,0.03,0.08,46,46
2019-01-01 04:00:00,4,1160.1,1163.327,17.81,17.78,0.0,0.03,7.52,7.48,0.01,0.03,49,49
2019-01-01 05:00:00,5,1207.1,1180.758,20.26,20.2,0.01,0.05,17.88,17.77,0.03,0.08,54,52
2019-01-01 06:00:00,6,1225.0,1219.61,20.7,20.62,0.0,0.08,10.78,10.71,0.02,0.05,55,53
2019-01-01 07:00:00,7,1282.9,1242.0510000000002,23.08,22.98,0.0,0.1,-44.43,-44.3,0.0,-0.13,55,52
2019-01-01 08:00:00,8,1359.1,1277.863,23.81,23.74,0.01,0.06,-19.74,-19.7,0.0,-0.04,55,51
2019-01-01 09:00:00,9,1466.9,1352.8929999999998,22.52,22.39,0.0,0.13,19.38,19.28,0.04,0.06,57,50
2019-01-01 10:00:00,10,1483.5,1425.0339999999999,25.43,25.28,0.0,0.15,12.21,12.16,0.0,0.05,58,49
2019-01-01 11:00:00,11,1484.3,1379.71,25.77,25.63,0.0,0.14,2.57,2.56,0.0,0.01,58,48
2019-01-01 12:00:00,12,1495.0,1318.056,25.77,25.62,0.0,0.15,11.32,11.31,0.0,0.01,57,42
2019-01-01 13:00:00,13,1499.1,1330.382,25.54,25.38,0.01,0.15,11.24,11.22,0.02,0.0,53,34
2019-01-01 14:00:00,14,1528.9,1387.646,25.47,25.33,0.01,0.13,18.04,17.99,0.04,0.01,52,33
2019-01-01 15:00:00,15,1587.9,1491.0439999999999,24.47,24.38,0.02,0.07,16.28,16.22,0.03,0.03,50,32
2019-01-01 16:00:00,16,1744.3,1681.359,26.23,26.09,0.02,0.12,18.33,18.21,0.04,0.08,47,31
2019-01-01 17:00:00,17,1853.3,1830.231,37.46,37.32,0.04,0.1,25.2,24.99,0.06,0.15,44,30
2019-01-01 18:00:00,18,1827.0,1816.036,33.56,33.46,0.03,0.07,22.85,22.71,0.05,0.09,42,29
2019-01-01 19:00:00,19,1772.9,1765.4170000000001,29.02,28.91,0.02,0.09,22.18,22.06,0.05,0.07,41,28
2019-01-01 20:00:00,20,1705.4,1687.9520000000002,25.92,25.79,0.02,0.11,23.42,23.31,0.05,0.06,39,28
2019-01-01 21:00:00,21,1600.6,1577.484,25.07,24.9,0.02,0.15,20.26,20.16,0.04,0.06,38,27
2019-01-01 22:00:00,22,1471.6,1438.995,24.61,24.43,0.02,0.16,19.18,19.08,0.03,0.07,37,26
2019-01-01 23:00:00,23,1363.1,1326.529,23.78,23.66,0.02,0.1,17.86,17.76,0.03,0.07,35,25
2019-01-02 00:00:00,0,1305.4,1256.141,24.69,24.51,0.03,0.15,3.65,3.64,0.0,0.01,34,24
2019-01-02 01:00:00,1,1272.5,1221.432,23.52,23.36,0.03,0.13,0.57,0.56,0.01,0.0,33,22
2019-01-02 02:00:00,2,1257.6,1215.9589999999998,20.11,19.98,0.02,0.11,18.84,18.76,0.02,0.06,31,22
2019-01-02 03:00:00,3,1267.2,1233.86,22.05,21.91,0.02,0.12,22.53,22.45,0.0,0.08,31,22
2019-01-02 04:00:00,4,1322.4,1291.308,24.91,24.76,0.02,0.13,18.82,18.75,0.0,0.07,30,20
2019-01-02 05:00:00,5,1452.7,1421.0339999999999,29.36,29.18,0.03,0.15,16.63,16.59,0.0,0.04,29,20
2019-01-02 06:00:00,6,1673.1,1635.832,32.4,32.28,0.01,0.11,29.72,29.7,0.0,0.02,29,19
2019-01-02 07:00:00,7,1774.5,1743.382,29.04,29.09,0.0,-0.05,30.42,30.49,0.0,-0.07,28,19
2019-01-02 08:00:00,8,1768.8,1722.2220000000002,28.25,28.32,0.0,-0.07,25.56,25.62,0.0,-0.06,28,18
2019-01-02 09:00:00,9,1727.8,1654.969,25.59,25.64,0.0,-0.05,21.9,22.02,0.0,-0.12,30,15
2019-01-02 10:00:00,10,1665.2,1593.0929999999998,29.98,30.18,0.0,-0.2,24.21,24.47,0.0,-0.26,32,8
2019-01-02 11:00:00,11,1638.2,1585.1860000000001,26.79,26.88,0.0,-0.09,25.09,25.36,0.0,-0.27,34,6
2019-01-02 12:00:00,12,1631.3,1563.05,25.56,25.58,0.0,-0.02,23.85,24.07,0.0,-0.22,35,6
2019-01-02 13:00:00,13,1642.6,1595.325,25.78,25.81,0.0,-0.03,24.49,24.71,0.0,-0.22,36,4
2019-01-02 14:00:00,14,1686.4,1657.244,26.96,27.03,0.0,-0.07,25.46,25.66,0.0,-0.2,36,4
2019-01-02 15:00:00,15,1753.7,1757.7920000000001,30.32,30.5,0.0,-0.18,30.09,30.39,0.0,-0.3,35,2
2019-01-02 16:00:00,16,1951.4,1928.523,41.4,41.59,0.0,-0.19,35.83,36.15,0.0,-0.32,34,8
2019-01-02 17:00:00,17,2140.0,2058.158,61.67,61.73,0.0,-0.06,39.7,39.89,0.0,-0.19,32,11
2019-01-02 18:00:00,18,2123.6,2060.0389999999998,60.31,60.42,0.0,-0.11,67.85,68.24,0.0,-0.39,31,12
2019-01-02 19:00:00,19,2066.9,2011.443,53.94,54.13,0.0,-0.19,33.3,33.45,0.0,-0.15,31,13
2019-01-02 20:00:00,20,1981.5,1920.9289999999999,45.91,46.22,0.0,-0.31,28.77,28.94,0.0,-0.17,30,15
2019-01-02 21:00:00,21,1843.3,1786.057,38.33,38.5,0.0,-0.17,28.49,28.66,0.0,-0.17,28,16
2019-01-02 22:00:00,22,1662.6,1606.944,33.61,33.8,0.0,-0.19,25.71,25.83,0.0,-0.12,28,17
2019-01-02 23:00:00,23,1491.0,1462.007,25.72,25.72,0.0,0.0,24.8,24.83,0.01,-0.04,31,22
2019-01-03 00:00:00,0,1425.6,1365.0729999999999,33.68,33.78,0.0,-0.1,25.12,25.15,0.01,-0.04,31,23
2019-01-03 01:00:00,1,1366.6,1310.609,30.73,30.74,0.0,-0.01,23.85,23.89,0.01,-0.05,32,25
2019-01-03 02:00:00,2,1339.9,1283.5330000000001,28.05,27.98,0.0,0.07,22.67,22.71,0.01,-0.05,33,27
2019-01-03 03:00:00,3,1328.8,1279.4,28.23,28.16,0.0,0.07,20.66,20.67,0.0,-0.01,32,26
2019-01-03 04:00:00,4,1356.1,1313.525,30.82,30.76,0.0,0.06,21.22,21.17,0.03,0.02,34,26
2019-01-03 05:00:00,5,1440.8,1425.132,38.02,38.02,0.0,0.0,25.65,25.65,0.05,-0.05,33,28
2019-01-03 06:00:00,6,1639.2,1608.815,47.45,47.54,0.0,-0.09,34.02,34.13,0.03,-0.14,34,28
2019-01-03 07:00:00,7,1764.5,1730.148,47.44,47.49,0.0,-0.05,32.89,32.95,0.02,-0.08,36,29
2019-01-03 08:00:00,8,1767.8,1755.3870000000002,42.88,42.97,0.0,-0.09,35.5,35.52,0.06,-0.08,37,29
2019-01-03 09:00:00,9,1735.8,1731.9289999999999,42.56,44.22,-1.53,-0.13,39.23,39.3,0.06,-0.13,36,33
2019-01-03 10:00:00,10,1700.3,1656.891,38.02,42.73,-4.53,-0.18,40.91,41.12,0.02,-0.23,38,35
2019-01-03 11:00:00,11,1611.6,1550.64,34.3,34.46,0.0,-0.16,26.7,26.89,0.0,-0.19,42,38
2019-01-03 12:00:00,12,1570.2,1524.8470000000002,28.03,28.17,0.0,-0.14,24.36,24.51,0.0,-0.15,44,34
2019-01-03 13:00:00,13,1580.8,1560.227,27.21,27.28,0.0,-0.07,24.83,24.95,0.0,-0.12,46,31
2019-01-03 14:00:00,14,1593.1,1596.402,27.22,27.3,0.0,-0.08,28.44,28.59,0.0,-0.15,44,29
2019-01-03 15:00:00,15,1641.9,1675.579,27.08,27.18,0.0,-0.1,32.31,32.51,0.0,-0.2,45,28
2019-01-03 16:00:00,16,1825.5,1822.9979999999998,32.71,32.74,0.0,-0.03,38.26,38.34,0.0,-0.08,43,27
2019-01-03 17:00:00,17,1984.1,1953.891,44.02,43.95,0.0,0.07,27.93,27.88,0.0,0.05,41,25
2019-01-03 18:00:00,18,1937.6,1951.674,41.19,41.15,0.0,0.04,30.64,30.55,0.0,0.09,39,24
2019-01-03 19:00:00,19,1890.5,1904.8370000000002,39.16,39.22,0.0,-0.06,25.32,25.28,0.0,0.04,38,23
2019-01-03 20:00:00,20,1827.3,1829.566,33.46,33.57,0.0,-0.11,25.05,25.0,0.0,0.05,35,22
2019-01-03 21:00:00,21,1669.7,1700.185,29.01,29.11,0.0,-0.1,25.82,25.81,0.0,0.01,33,22
2019-01-03 22:00:00,22,1500.9,1541.227,25.75,25.75,0.0,0.0,23.13,23.07,0.0,0.06,33,23
2019-01-03 23:00:00,23,1345.8,1402.1570000000002,25.01,24.88,0.0,0.13,21.59,21.43,0.0,0.16,29,22
2019-01-04 00:00:00,0,1335.0,1313.872,22.37,22.14,0.0,0.23,19.75,19.57,0.0,0.18,33,24
2019-01-04 01:00:00,1,1323.2,1267.899,23.1,22.88,0.0,0.22,21.7,21.5,0.0,0.2,34,25
2019-01-04 02:00:00,2,1290.3,1244.7930000000001,22.31,22.12,0.0,0.19,20.67,20.49,0.0,0.18,34,24
2019-01-04 03:00:00,3,1293.3,1245.413,22.31,22.11,0.0,0.2,21.5,21.32,0.0,0.18,33,25
2019-01-04 04:00:00,4,1320.1,1289.2730000000001,22.42,22.21,0.0,0.21,22.38,22.18,0.0,0.2,35,25
2019-01-04 05:00:00,5,1438.8,1405.951,29.93,29.69,0.0,0.24,28.1,27.9,0.0,0.2,34,24
2019-01-04 06:00:00,6,1611.3,1607.463,29.2,29.05,0.0,0.15,25.43,25.24,0.01,0.18,33,24
2019-01-04 07:00:00,7,1726.9,1709.609,31.25,31.14,0.0,0.11,23.61,23.47,0.0,0.14,29,23
2019-01-04 08:00:00,8,1736.4,1670.433,27.28,27.3,0.0,-0.02,22.45,22.38,0.0,0.07,31,25
2019-01-04 09:00:00,9,1644.7,1592.0510000000002,24.06,24.0,0.02,0.04,21.13,21.09,0.01,0.03,37,28
2019-01-04 10:00:00,10,1584.1,1540.151,23.16,23.12,0.01,0.03,20.44,20.45,0.0,-0.01,40,29
2019-01-04 11:00:00,11,1497.6,1504.1689999999999,22.6,22.57,0.01,0.02,20.15,20.15,0.0,0.0,41,26
2019-01-04 12:00:00,12,1487.9,1497.378,22.34,22.31,0.0,0.03,20.52,20.51,0.0,0.01,43,27
2019-01-04 13:00:00,13,1503.8,1519.266,21.9,21.85,0.01,0.04,20.6,20.58,0.0,0.02,44,28
2019-01-04 14:00:00,14,1527.1,1573.26,22.09,22.0,0.03,0.06,21.81,21.74,0.0,0.07,46,30
2019-01-04 15:00:00,15,1603.3,1641.03,22.81,22.71,0.01,0.09,22.34,22.25,0.0,0.09,45,29
2019-01-04 16:00:00,16,1794.3,1781.729,23.85,23.76,0.0,0.09,28.4,28.32,0.0,0.08,43,30
2019-01-04 17:00:00,17,1922.2,1880.1989999999998,32.51,32.47,0.0,0.04,28.4,28.28,0.0,0.12,41,29
2019-01-04 18:00:00,18,1866.5,1861.69,30.48,30.44,0.0,0.04,27.27,27.16,0.0,0.11,40,32
2019-01-04 19:00:00,19,1816.5,1803.354,25.64,25.61,0.0,0.03,22.57,22.49,0.0,0.08,40,32
2019-01-04 20:00:00,20,1737.4,1731.517,24.17,24.01,0.0,0.16,22.01,21.89,0.0,0.12,39,32
2019-01-04 21:00:00,21,1626.4,1633.6629999999998,23.7,23.53,0.0,0.17,28.23,28.03,0.0,0.2,39,33
2019-01-04 22:00:00,22,1488.1,1498.424,23.67,23.51,0.0,0.16,22.7,22.55,0.0,0.15,40,34
2019-01-04 23:00:00,23,1365.6,1369.49,23.48,23.38,0.0,0.1,30.25,30.06,0.0,0.19,38,33
2019-01-05 00:00:00,0,1267.8,1276.414,22.94,22.74,0.0,0.2,38.73,38.38,0.0,0.35,40,35
2019-01-05 01:00:00,1,1209.4,1216.963,20.26,20.08,0.0,0.18,21.56,21.35,0.0,0.21,38,35
2019-01-05 02:00:00,2,1176.2,1184.681,19.73,19.58,0.0,0.15,17.59,17.44,0.0,0.15,39,37
2019-01-05 03:00:00,3,1161.8,1171.8,18.81,18.68,0.0,0.13,20.19,20.04,0.0,0.15,39,37
2019-01-05 04:00:00,4,1184.5,1183.781,19.77,19.61,0.0,0.16,19.58,19.42,0.0,0.16,40,38
2019-01-05 05:00:00,5,1233.4,1228.519,20.61,20.43,0.0,0.18,22.42,22.22,0.0,0.2,40,40
2019-01-05 06:00:00,6,1310.7,1308.556,26.0,25.74,0.0,0.26,26.3,26.06,0.0,0.24,40,40
2019-01-05 07:00:00,7,1405.1,1406.376,23.8,23.64,0.0,0.16,22.77,22.64,0.0,0.13,41,41
2019-01-05 08:00:00,8,1568.1,1500.9389999999999,23.56,23.48,0.0,0.08,15.64,15.62,0.0,0.02,42,41
2019-01-05 09:00:00,9,1616.2,1579.662,30.71,30.76,0.0,-0.05,21.68,21.69,0.0,-0.01,43,42
2019-01-05 10:00:00,10,1700.5,1622.504,33.38,33.43,0.0,-0.05,23.13,23.17,0.0,-0.04,43,42
2019-01-05 11:00:00,11,1736.9,1649.1270000000002,33.28,33.3,0.0,-0.02,24.71,24.79,0.0,-0.08,44,43
2019-01-05 12:00:00,12,1722.0,1658.83,32.82,32.84,0.0,-0.02,24.36,24.43,0.0,-0.07,43,42
2019-01-05 13:00:00,13,1727.0,1665.412,31.75,31.78,0.0,-0.03,25.73,25.8,0.0,-0.07,43,42
2019-01-05 14:00:00,14,1708.2,1678.526,31.36,31.38,0.0,-0.02,27.06,27.13,0.0,-0.07,43,42
2019-01-05 15:00:00,15,1692.7,1712.013,28.95,28.97,0.0,-0.02,28.98,29.04,0.0,-0.06,41,40
2019-01-05 16:00:00,16,1802.0,1802.908,36.78,36.72,0.0,0.06,30.84,30.83,0.0,0.01,41,39
2019-01-05 17:00:00,17,1836.8,1842.691,41.44,41.35,0.0,0.09,27.73,27.67,0.0,0.06,40,38
2019-01-05 18:00:00,18,1763.9,1810.4270000000001,33.49,33.42,0.0,0.07,24.29,24.22,0.0,0.07,40,38
