DATE,HOUR,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DRYBULB,DEWPNT
2019-01-01 00:00:00,0,1810.0,1535.608,25.7,25.57,0.02,0.11,35.59,35.42,0.04,0.13,35,35
2019-01-01 01:00:00,1,1976.8,1473.781,20.56,20.44,0.01,0.11,38.62,38.38,0.0,0.24,36,36
2019-01-01 02:00:00,2,2231.2,1423.184,18.94,18.84,0.01,0.09,21.25,21.09,0.0,0.16,37,37
2019-01-01 03:00:00,3,2486.6,1398.491,19.22,19.09,0.01,0.12,18.47,18.29,0.03,0.15,38,38
2019-01-01 04:00:00,4,2489.8,1396.392,17.89,17.78,0.0,0.11,7.55,7.48,0.01,0.06,41,41
2019-01-01 05:00:00,5,2272.7,1427.164,20.29,20.2,0.01,0.08,17.94,17.77,0.03,0.14,44,44
2019-01-01 06:00:00,6,2096.1,1472.6029999999998,20.69,20.62,0.0,0.07,10.81,10.71,0.02,0.08,48,47
2019-01-01 07:00:00,7,1914.1,1507.5120000000002,23.08,22.98,0.0,0.1,-44.56,-44.3,0.0,-0.26,48,46
2019-01-01 08:00:00,8,1959.6,1560.266,23.84,23.74,0.01,0.09,-19.81,-19.7,0.0,-0.11,49,47
2019-01-01 09:00:00,9,1728.2,1595.53,22.41,22.39,0.0,0.02,19.43,19.28,0.04,0.11,50,47
2019-01-01 10:00:00,10,1743.4,1558.606,25.32,25.28,0.0,0.04,12.22,12.16,0.0,0.06,50,47
2019-01-01 11:00:00,11,1738.4,1572.757,25.66,25.63,0.0,0.03,2.57,2.56,0.0,0.01,50,38
2019-01-01 12:00:00,12,1744.5,1606.497,25.66,25.62,0.0,0.04,11.35,11.31,0.0,0.04,47,34
2019-01-01 13:00:00,13,1716.1,1648.172,25.41,25.38,0.01,0.02,11.29,11.22,0.02,0.05,45,33
2019-01-01 14:00:00,14,1797.6,1684.223,25.39,25.33,0.01,0.05,18.11,17.99,0.04,0.08,43,31
2019-01-01 15:00:00,15,1854.9,1769.145,24.46,24.38,0.02,0.06,16.34,16.22,0.03,0.09,41,31
2019-01-01 16:00:00,16,2027.8,1929.6329999999998,26.2,26.09,0.02,0.09,18.35,18.21,0.04,0.1,39,30
2019-01-01 17:00:00,17,2188.8,2057.115,37.51,37.32,0.04,0.15,25.19,24.99,0.06,0.14,37,29
2019-01-01 18:00:00,18,2143.5,2035.281,33.64,33.46,0.03,0.15,22.89,22.71,0.05,0.13,36,27
2019-01-01 19:00:00,19,2081.2,1979.934,29.07,28.91,0.02,0.14,22.23,22.06,0.05,0.12,35,26
2019-01-01 20:00:00,20,1986.3,1911.066,25.93,25.79,0.02,0.12,23.51,23.31,0.05,0.15,34,25
2019-01-01 21:00:00,21,1867.4,1807.0729999999999,25.05,24.9,0.02,0.13,20.34,20.16,0.04,0.14,33,23
2019-01-01 22:00:00,22,1756.6,1677.237,24.57,24.43,0.02,0.12,19.25,19.08,0.03,0.14,31,22
2019-01-01 23:00:00,23,1893.1,1566.021,23.81,23.66,0.02,0.13,17.92,17.76,0.03,0.13,30,21
2019-01-02 00:00:00,0,1947.1,1495.943,24.68,24.51,0.03,0.14,3.67,3.64,0.0,0.03,29,21
2019-01-02 01:00:00,1,1908.3,1469.765,23.49,23.36,0.03,0.1,0.57,0.56,0.01,0.0,27,19
2019-01-02 02:00:00,2,1887.5,1464.759,20.09,19.98,0.02,0.09,18.87,18.76,0.02,0.09,26,17
2019-01-02 03:00:00,3,1901.6,1483.1789999999999,22.02,21.91,0.02,0.09,22.55,22.45,0.0,0.1,24,16
2019-01-02 04:00:00,4,1954.0,1551.63,24.87,24.76,0.02,0.09,18.84,18.75,0.0,0.09,23,15
2019-01-02 05:00:00,5,1839.6,1717.646,29.3,29.18,0.03,0.09,16.66,16.59,0.0,0.07,23,15
2019-01-02 06:00:00,6,2077.2,1965.104,32.37,32.28,0.01,0.08,29.81,29.7,0.0,0.11,22,14
2019-01-02 07:00:00,7,2216.9,2105.62,29.21,29.09,0.0,0.12,30.59,30.49,0.0,0.1,23,14
2019-01-02 08:00:00,8,2241.7,2083.5820000000003,28.43,28.32,0.0,0.11,25.69,25.62,0.0,0.07,23,14
2019-01-02 09:00:00,9,2172.0,2002.737,25.7,25.64,0.0,0.06,22.04,22.02,0.0,0.02,25,11
2019-01-02 10:00:00,10,2107.9,1948.5639999999999,30.24,30.18,0.0,0.06,24.44,24.47,0.0,-0.03,27,8
2019-01-02 11:00:00,11,2069.7,1927.421,26.93,26.88,0.0,0.05,25.33,25.36,0.0,-0.03,29,7
2019-01-02 12:00:00,12,2050.6,1909.8139999999999,25.63,25.58,0.0,0.05,24.04,24.07,0.0,-0.03,30,5
2019-01-02 13:00:00,13,2044.5,1950.4270000000001,25.84,25.81,0.0,0.03,24.68,24.71,0.0,-0.03,31,6
2019-01-02 14:00:00,14,2071.9,2004.269,27.09,27.03,0.0,0.06,25.64,25.66,0.0,-0.02,31,5
2019-01-02 15:00:00,15,2129.9,2094.815,30.53,30.5,0.0,0.03,30.38,30.39,0.0,-0.01,31,7
2019-01-02 16:00:00,16,2341.6,2247.76,41.68,41.59,0.0,0.09,36.12,36.15,0.0,-0.03,30,8
2019-01-02 17:00:00,17,2528.4,2382.686,61.72,61.73,0.0,-0.01,39.8,39.89,0.0,-0.09,28,7
2019-01-02 18:00:00,18,2532.2,2372.244,60.37,60.42,0.0,-0.05,68.05,68.24,0.0,-0.19,26,7
2019-01-02 19:00:00,19,2457.3,2315.817,54.07,54.13,0.0,-0.06,33.33,33.45,0.0,-0.12,27,8
2019-01-02 20:00:00,20,2340.1,2227.661,46.3,46.22,0.0,0.08,28.89,28.94,0.0,-0.05,26,11
2019-01-02 21:00:00,21,2190.6,2098.827,38.6,38.5,0.0,0.1,28.66,28.66,0.0,0.0,26,12
2019-01-02 22:00:00,22,2010.8,1926.025,33.88,33.8,0.0,0.08,25.84,25.83,0.0,0.01,26,12
2019-01-02 23:00:00,23,1851.0,1777.411,25.79,25.72,0.0,0.07,24.85,24.83,0.01,0.01,26,14
2019-01-03 00:00:00,0,2303.7,1681.8229999999999,33.93,33.78,0.0,0.15,25.22,25.15,0.01,0.06,26,15
2019-01-03 01:00:00,1,2254.5,1629.681,30.88,30.74,0.0,0.14,23.94,23.89,0.01,0.04,27,15
2019-01-03 02:00:00,2,2212.1,1604.285,28.05,27.98,0.0,0.07,22.77,22.71,0.01,0.05,27,20
2019-01-03 03:00:00,3,2201.7,1600.118,28.23,28.16,0.0,0.07,20.74,20.67,0.0,0.07,28,22
2019-01-03 04:00:00,4,2231.3,1642.4620000000002,30.86,30.76,0.0,0.1,21.27,21.17,0.03,0.07,29,23
2019-01-03 05:00:00,5,2059.3,1771.996,38.07,38.02,0.0,0.05,25.75,25.65,0.05,0.05,30,23
2019-01-03 06:00:00,6,2068.8,1988.0770000000002,47.58,47.54,0.0,0.04,34.2,34.13,0.03,0.04,30,24
2019-01-03 07:00:00,7,2245.2,2123.718,47.6,47.49,0.0,0.11,32.97,32.95,0.02,0.0,31,28
2019-01-03 08:00:00,8,2214.7,2134.146,42.98,42.97,0.0,0.01,35.58,35.52,0.06,0.0,31,31
2019-01-03 09:00:00,9,2171.9,2094.004,42.73,44.22,-1.53,0.04,39.32,39.3,0.06,-0.04,32,32
2019-01-03 10:00:00,10,2122.4,1962.6,38.24,42.73,-4.53,0.04,41.02,41.12,0.02,-0.12,33,32
2019-01-03 11:00:00,11,2064.6,1930.3670000000002,34.46,34.46,0.0,0.0,26.79,26.89,0.0,-0.1,35,33
2019-01-03 12:00:00,12,2007.0,1931.4589999999998,28.18,28.17,0.0,0.01,24.43,24.51,0.0,-0.08,37,30
2019-01-03 13:00:00,13,2028.1,1941.973,27.3,27.28,0.0,0.02,24.88,24.95,0.0,-0.07,38,29
2019-01-03 14:00:00,14,2031.9,1992.8,27.35,27.3,0.0,0.05,28.56,28.59,0.0,-0.03,37,27
2019-01-03 15:00:00,15,2087.6,2060.094,27.23,27.18,0.0,0.05,32.49,32.51,0.0,-0.02,37,26
2019-01-03 16:00:00,16,2241.0,2199.381,32.84,32.74,0.0,0.1,38.38,38.34,0.0,0.04,36,24
2019-01-03 17:00:00,17,2369.7,2309.6679999999997,44.07,43.95,0.0,0.12,27.89,27.88,0.0,0.01,34,23
2019-01-03 18:00:00,18,2302.2,2293.179,41.27,41.15,0.0,0.12,30.59,30.55,0.0,0.04,33,20
2019-01-03 19:00:00,19,2296.9,2235.0389999999998,39.27,39.22,0.0,0.05,25.29,25.28,0.0,0.01,31,21
2019-01-03 20:00:00,20,2192.1,2153.7929999999997,33.65,33.57,0.0,0.08,25.01,25.0,0.0,0.01,33,21
2019-01-03 21:00:00,21,2077.0,2030.622,29.21,29.11,0.0,0.1,25.82,25.81,0.0,0.01,33,21
2019-01-03 22:00:00,22,1928.1,1865.5120000000002,25.81,25.75,0.0,0.06,23.07,23.07,0.0,0.0,32,22
2019-01-03 23:00:00,23,1761.3,1720.108,24.92,24.88,0.0,0.04,21.43,21.43,0.0,0.0,32,22
2019-01-04 00:00:00,0,1928.1,1628.5279999999998,22.18,22.14,0.0,0.04,19.58,19.57,0.0,0.01,31,22
2019-01-04 01:00:00,1,2164.2,1569.9679999999998,22.91,22.88,0.0,0.03,21.52,21.5,0.0,0.02,31,22
