Date;Year;Month;Day;Weekday;Holiday_name;Type;Details
2017-01-01;2017;1;1;Sunday;Last Day of Chanukah;Jewish holiday; 
2017-01-01;2017;1;1;Sunday;New Year's Day;Federal Holiday; 
2017-01-02;2017;1;2;Monday;New Year's Day observed;Federal Holiday; 
2017-01-06;2017;1;6;Friday;Epiphany;Christian; 
2017-01-07;2017;1;7;Saturday;Orthodox Christmas Day;Orthodox; 
2017-01-13;2017;1;13;Friday;Lee-Jackson Day;State holiday;Virginia
2017-01-13;2017;1;13;Friday;Stephen Foster Memorial Day;Observance; 
2017-01-14;2017;1;14;Saturday;Orthodox New Year;Orthodox; 
2017-01-16;2017;1;16;Monday;Martin Luther King Jr. Day;Federal Holiday; 
2017-01-16;2017;1;16;Monday;Robert E. Lee's Birthday;State holiday;Arkansas
2017-01-16;2017;1;16;Monday;Robert E. Lee's Birthday;State holiday;Alabama, Mississippi
2017-01-16;2017;1;16;Monday;Idaho Human Rights Day;State holiday;Idaho
2017-01-16;2017;1;16;Monday;Civil Rights Day;State holiday;Arizona, New Hampshire
2017-01-19;2017;1;19;Thursday;Robert E. Lee's Birthday;State holiday;Florida
2017-01-19;2017;1;19;Thursday;Confederate Heroes' Day;State holiday;Texas
2017-01-20;2017;1;20;Friday;Inauguration Day;State holiday;DC, LA, MD, VA
2017-01-28;2017;1;28;Saturday;Chinese New Year;Observance; 
2017-01-29;2017;1;29;Sunday;Kansas Day;Observance; 
2017-02-01;2017;2;1;Wednesday;National Freedom Day;Observance; 
2017-02-01;2017;2;1;Wednesday;First Day of Black History Month;Annual monthly observance; 
2017-02-02;2017;2;2;Thursday;Groundhog Day;Observance; 
2017-02-03;2017;2;3;Friday;National Wear Red Day;Observance; 
2017-02-04;2017;2;4;Saturday;Rosa Parks Day;Local observance;California, Missouri
2017-02-05;2017;2;5;Sunday;Super Bowl;Sporting event; 
2017-02-11;2017;2;11;Saturday;Tu Bishvat/Tu B'Shevat;Jewish holiday; 
2017-02-12;2017;2;12;Sunday;Lincoln's Birthday;State holiday;CT, IL, MO, NY
2017-02-12;2017;2;12;Sunday;Lincoln's Birthday;Local observance;Florida
2017-02-13;2017;2;13;Monday;Lincoln's Birthday observed;State holiday;CT, IL, MO, NY
