Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt,SYSLoad,RegCP
2003-03-01,1,11255,12863,73.79,72.89,0.0,0.9,79.51,78.83,0.0,0.68,23,18,13004,58.94
2003-03-01,2,11193,12389,71.89,71.02,0.0,0.87,138.65,137.51,0.0,1.14,22,18,12516,49.65
2003-03-01,3,11143,12155,70.87,70.0,0.0,0.87,152.41,151.19,0.0,1.22,21,18,12299,48.29
2003-03-01,4,11141,12072,69.97,69.11,0.0,0.86,151.78,150.55,0.0,1.23,21,18,12207,47.12
2003-03-01,5,11045,12160,70.87,69.99,0.0,0.88,147.56,146.43,0.0,1.13,22,18,12305,48.29
2003-03-01,6,11093,12568,70.87,69.98,0.0,0.89,158.47,157.09,0.0,1.38,21,18,12716,55.24
2003-03-01,7,11238,13236,73.3,73.26,-0.89,0.93,187.96,186.15,0.0,1.81,22,18,13374,58.27
2003-03-01,8,11880,14190,80.83,81.01,-1.23,1.05,156.11,154.43,0.0,1.68,22,18,14341,133.3
2003-03-01,9,12119,15213,86.02,85.03,-0.11,1.1,142.51,141.06,0.0,1.45,24,19,15373,60.6
2003-03-01,10,12111,15647,89.03,88.0,-0.12,1.15,159.1,156.97,0.0,2.13,27,21,15807,57.67
2003-03-01,11,12070,15653,89.03,88.02,-0.12,1.13,144.99,143.13,0.0,1.86,30,22,15830,57.67
2003-03-01,12,11992,15416,88.03,87.03,-0.12,1.12,104.58,103.19,0.0,1.39,33,23,15608,58.65
2003-03-01,13,11959,14994,85.59,84.78,-0.27,1.08,89.89,88.65,0.0,1.24,35,23,15198,67.9
2003-03-01,14,11965,14581,80.83,80.69,-0.89,1.03,72.63,71.84,0.0,0.79,37,24,14762,61.48
2003-03-01,15,11845,14335,73.87,74.9,-1.98,0.95,65.26,64.6,0.0,0.66,37,24,14512,52.15
2003-03-01,16,11777,14269,72.28,73.13,-1.8,0.95,74.45,73.54,0.0,0.91,38,25,14463,56.92
2003-03-01,17,11921,14685,73.89,75.32,-2.44,1.01,70.62,69.71,0.0,0.91,37,26,14890,58.92
2003-03-01,18,12106,15680,84.88,86.37,-2.65,1.16,86.11,85.06,0.0,1.05,36,26,15908,56.92
2003-03-01,19,12220,16386,88.6,91.11,-3.72,1.21,95.94,94.91,0.0,1.03,35,27,16591,53.7
