Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2004-01-01,1,612.0,1147,38.35,40.09,0.0,-1.74,30.55,31.51,0.0,-0.96,37,23
2004-01-01,2,551.8,1091,36.57,38.22,0.0,-1.65,35.71,36.96,0.0,-1.25,37,23
2004-01-01,3,542.8,1055,33.71,35.23,0.0,-1.52,24.48,25.36,0.0,-0.88,37,26
2004-01-01,4,533.9,1044,32.65,34.11,0.0,-1.46,27.87,28.9,0.0,-1.03,36,24
2004-01-01,5,558.3,1049,32.65,34.11,0.0,-1.46,24.84,25.73,0.0,-0.89,35,21
2004-01-01,6,604.9,1079,33.21,34.7,0.0,-1.49,20.7,21.33,0.0,-0.63,35,21
2004-01-01,7,937.6,1137,36.57,38.21,0.0,-1.64,20.87,21.4,0.0,-0.53,36,21
2004-01-01,8,1016.1,1188,38.25,39.96,0.0,-1.71,20.03,20.67,0.0,-0.64,35,21
2004-01-01,9,1118.6,1265,39.52,41.29,0.0,-1.77,24.58,25.65,0.0,-1.07,35,21
2004-01-01,10,1209.8,1351,41.54,43.39,0.0,-1.85,33.84,35.08,0.0,-1.24,35,21
2004-01-01,11,1222.0,1383,43.53,45.48,0.0,-1.95,39.63,41.1,0.0,-1.47,37,22
2004-01-01,12,1224.6,1399,43.33,45.28,0.0,-1.95,40.64,42.1,0.0,-1.46,40,23
2004-01-01,13,1192.0,1377,42.45,44.36,0.0,-1.91,38.33,39.48,0.0,-1.15,40,22
2004-01-01,14,1161.7,1356,41.2,43.06,0.0,-1.86,27.99,28.78,0.0,-0.79,42,21
2004-01-01,15,1145.0,1333,39.02,40.78,0.0,-1.76,30.94,32.0,0.0,-1.06,43,22
2004-01-01,16,1432.3,1356,41.87,43.76,0.0,-1.89,36.41,37.64,0.0,-1.23,40,21
2004-01-01,17,1479.1,1522,56.09,58.6,0.0,-2.51,56.03,58.18,0.0,-2.15,38,20
2004-01-01,18,1357.0,1626,75.52,78.91,0.0,-3.39,65.2,68.09,0.0,-2.89,34,19
2004-01-01,19,1323.9,1591,75.52,78.92,0.0,-3.4,54.53,57.44,0.0,-2.91,33,19
2004-01-01,20,1373.3,1559,57.86,60.47,0.0,-2.61,50.77,53.58,0.0,-2.81,30,19
2004-01-01,21,1296.8,1502,53.56,55.98,0.0,-2.42,43.0,44.72,0.0,-1.72,29,19
2004-01-01,22,1195.7,1409,44.6,46.62,0.0,-2.02,41.83,43.53,0.0,-1.7,28,18
2004-01-01,23,1055.6,1306,39.02,40.79,0.0,-1.77,28.0,29.11,0.0,-1.11,26,19
2004-01-01,24,720.4,1208,38.2,39.93,0.0,-1.73,36.87,38.09,0.0,-1.22,28,19
2004-01-02,1,632.3,1137,42.0,43.8,0.0,-1.8,34.71,35.58,0.0,-0.87,28,17
2004-01-02,2,682.6,1105,39.14,40.81,0.0,-1.67,24.55,25.19,0.0,-0.64,25,18
2004-01-02,3,696.9,1098,38.95,40.6,0.0,-1.65,27.43,28.19,0.0,-0.76,24,18
