Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2004-01-01,1,858.3,1020,40.0,40.09,0.0,-0.09,31.32,31.51,0.0,-0.19,39,23
2004-01-01,2,812.4,950,38.15,38.22,0.0,-0.07,36.71,36.96,0.0,-0.25,41,23
2004-01-01,3,787.5,904,35.16,35.23,0.0,-0.07,25.16,25.36,0.0,-0.2,39,18
2004-01-01,4,780.4,888,34.05,34.11,0.0,-0.06,28.65,28.9,0.0,-0.25,38,17
2004-01-01,5,798.0,888,34.05,34.11,0.0,-0.06,25.51,25.73,0.0,-0.22,38,18
2004-01-01,6,854.2,912,34.64,34.7,0.0,-0.06,21.14,21.33,0.0,-0.19,38,18
2004-01-01,7,969.6,954,38.15,38.21,0.0,-0.06,21.14,21.4,0.0,-0.26,36,19
2004-01-01,8,1047.5,1009,39.89,39.96,0.0,-0.07,20.39,20.67,0.0,-0.28,36,20
2004-01-01,9,1125.4,1101,41.22,41.29,0.0,-0.07,25.43,25.65,0.0,-0.22,36,20
2004-01-01,10,1176.8,1199,43.32,43.39,0.0,-0.07,34.92,35.08,0.0,-0.16,37,21
2004-01-01,11,1196.4,1257,45.4,45.48,0.0,-0.08,40.96,41.1,0.0,-0.14,37,21
2004-01-01,12,1192.3,1291,45.2,45.28,0.0,-0.08,42.02,42.1,0.0,-0.08,38,20
2004-01-01,13,1174.0,1293,44.27,44.36,0.0,-0.09,39.44,39.48,0.0,-0.04,39,19
2004-01-01,14,1151.6,1280,42.97,43.06,0.0,-0.09,28.72,28.78,0.0,-0.06,39,19
2004-01-01,15,1134.9,1258,40.69,40.78,0.0,-0.09,31.84,32.0,0.0,-0.16,39,19
2004-01-01,16,1145.6,1272,43.67,43.76,0.0,-0.09,37.44,37.64,0.0,-0.2,39,19
2004-01-01,17,1249.0,1400,58.5,58.6,0.0,-0.1,57.94,58.18,0.0,-0.24,37,20
2004-01-01,18,1347.8,1524,78.77,78.91,0.0,-0.14,67.84,68.09,0.0,-0.25,36,21
2004-01-01,19,1368.6,1508,78.77,78.92,0.0,-0.15,57.27,57.44,0.0,-0.17,34,22
2004-01-01,20,1339.4,1462,60.35,60.47,0.0,-0.12,53.33,53.58,0.0,-0.25,31,22
2004-01-01,21,1272.2,1411,55.87,55.98,0.0,-0.11,44.52,44.72,0.0,-0.2,31,21
2004-01-01,22,1172.3,1319,46.52,46.62,0.0,-0.1,43.56,43.53,0.0,0.03,30,20
2004-01-01,23,1023.9,1201,40.69,40.79,0.0,-0.1,29.14,29.11,0.0,0.03,29,20
2004-01-01,24,931.8,1091,39.84,39.93,0.0,-0.09,38.0,38.09,0.0,-0.09,25,20
2004-01-02,1,909.4,1009,43.7,43.8,0.0,-0.1,35.37,35.58,0.0,-0.21,25,19
2004-01-02,2,865.8,968,40.73,40.81,0.0,-0.08,25.03,25.19,0.0,-0.16,26,18
2004-01-02,3,845.3,954,40.52,40.6,0.0,-0.08,28.0,28.19,0.0,-0.19,24,18
2004-01-02,4,846.5,958,40.52,40.6,0.0,-0.08,33.22,33.41,0.0,-0.19,23,18
2004-01-02,5,878.0,983,40.72,40.79,0.0,-0.07,24.96,25.11,0.0,-0.15,23,19
2004-01-02,6,824.7,1054,40.52,40.6,0.0,-0.08,31.96,32.13,0.0,-0.17,25,20
2004-01-02,7,1028.4,1187,44.77,44.87,0.0,-0.1,35.27,35.59,0.0,-0.32,27,21
2004-01-02,8,1136.9,1312,52.57,52.69,0.0,-0.12,47.19,47.54,0.0,-0.35,28,22
2004-01-02,9,1166.9,1406,63.69,63.85,0.0,-0.16,55.27,55.55,0.0,-0.28,28,21
