Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2005-01-01,1,1288.2,1423,39.99,40.12,0.0,-0.13,46.97,47.12,0.0,-0.15,47,39
2005-01-01,2,1220.2,1323,37.17,37.28,0.0,-0.11,42.2,42.29,0.0,-0.09,44,39
2005-01-01,3,1129.0,1247,35.16,35.26,0.0,-0.1,34.85,34.88,0.0,-0.03,42,38
2005-01-01,4,1098.5,1214,35.16,35.25,0.0,-0.09,39.5,39.55,0.0,-0.05,42,38
2005-01-01,5,1152.9,1209,34.76,34.86,0.0,-0.1,44.03,44.13,0.0,-0.1,39,37
2005-01-01,6,1215.5,1221,37.11,37.2,0.0,-0.09,44.08,44.25,0.0,-0.17,38,36
2005-01-01,7,1323.0,1270,42.56,42.65,0.0,-0.09,31.6,31.58,0.0,0.02,38,36
2005-01-01,8,1406.0,1311,43.36,43.46,0.0,-0.1,9.38,9.38,0.0,0.0,35,35
2005-01-01,9,1512.9,1405,46.06,46.18,0.0,-0.12,23.18,23.18,0.0,0.0,40,38
2005-01-01,10,1577.9,1506,46.62,46.76,0.0,-0.14,38.8,38.67,0.0,0.13,45,42
2005-01-01,11,1549.8,1579,49.59,49.74,0.0,-0.15,51.22,51.15,0.0,0.07,51,42
2005-01-01,12,1543.9,1616,49.59,49.74,0.0,-0.15,50.29,50.36,0.0,-0.07,53,37
2005-01-01,13,1524.9,1620,46.39,46.53,0.0,-0.14,47.4,47.47,0.0,-0.07,52,31
2005-01-01,14,1500.6,1594,44.46,44.6,0.0,-0.14,45.09,45.02,0.0,0.07,52,26
2005-01-01,15,1482.0,1563,43.92,44.05,0.0,-0.13,43.5,43.46,0.0,0.04,50,25
2005-01-01,16,1509.9,1586,44.3,44.42,0.0,-0.12,46.24,46.24,0.0,0.0,49,26
2005-01-01,17,1722.8,1761,55.24,55.38,0.0,-0.14,77.45,77.23,0.0,0.22,47,26
2005-01-01,18,1886.0,1967,68.24,68.41,0.0,-0.17,83.69,83.19,0.0,0.5,44,26
2005-01-01,19,1889.0,1967,62.53,62.69,0.0,-0.16,69.16,68.73,0.0,0.43,42,25
2005-01-01,20,1826.6,1927,59.25,59.41,0.0,-0.16,69.94,69.57,0.0,0.37,40,25
2005-01-01,21,1661.3,1871,53.98,54.12,0.0,-0.14,56.44,56.23,0.0,0.21,38,25
2005-01-01,22,1548.8,1775,53.01,53.15,0.0,-0.14,60.75,60.55,0.0,0.2,38,25
2005-01-01,23,1421.4,1653,48.1,48.23,0.0,-0.13,51.01,50.87,0.0,0.14,38,25
2005-01-01,24,1256.7,1495,46.39,46.52,0.0,-0.13,43.68,43.6,0.0,0.08,37,25
2005-01-02,1,1389.0,1372,44.58,44.67,0.0,-0.09,38.29,38.24,0.0,0.05,36,24
2005-01-02,2,1325.9,1301,40.95,41.04,0.0,-0.09,38.27,38.17,0.0,0.1,33,24
2005-01-02,3,1287.5,1272,40.42,40.49,0.0,-0.07,42.54,42.44,0.0,0.1,33,23
2005-01-02,4,1268.5,1263,40.41,40.48,0.0,-0.07,41.74,41.62,0.0,0.12,32,15
2005-01-02,5,1277.8,1274,40.42,40.48,0.0,-0.06,42.54,42.45,0.0,0.09,31,13
2005-01-02,6,1320.9,1305,44.25,44.31,0.0,-0.06,47.63,47.56,0.0,0.07,30,15
2005-01-02,7,1432.8,1373,44.25,44.3,0.0,-0.05,43.56,43.56,-0.1,0.1,29,17
2005-01-02,8,1530.4,1447,43.08,43.13,0.0,-0.05,34.55,34.69,-0.28,0.14,28,17
2005-01-02,9,1643.6,1571,49.66,49.74,0.0,-0.08,50.22,50.01,0.0,0.21,29,17
2005-01-02,10,1698.9,1679,58.28,58.39,0.0,-0.11,47.3,47.11,0.0,0.19,31,17
2005-01-02,11,1709.4,1739,58.28,58.4,0.0,-0.12,45.28,45.1,0.0,0.18,33,19
2005-01-02,12,1721.6,1770,58.54,58.66,0.0,-0.12,52.04,51.96,0.0,0.08,36,21
2005-01-02,13,1706.9,1776,58.64,58.76,0.0,-0.12,52.96,53.02,0.0,-0.06,37,21
2005-01-02,14,1702.4,1768,54.06,54.17,0.0,-0.11,50.7,50.88,0.0,-0.18,38,20
2005-01-02,15,1677.5,1755,53.83,53.94,0.0,-0.11,51.85,52.13,0.0,-0.28,39,21
2005-01-02,16,1723.7,1783,51.11,51.21,0.0,-0.1,56.05,56.43,0.0,-0.38,37,27
2005-01-02,17,1911.5,2004,72.02,72.14,0.0,-0.12,103.09,103.11,0.0,-0.02,37,27
2005-01-02,18,2055.8,2173,81.72,81.85,0.0,-0.13,86.69,86.4,0.0,0.29,37,28
2005-01-02,19,2066.5,2160,79.65,79.79,0.0,-0.14,79.64,79.58,0.0,0.06,38,30
2005-01-02,20,2018.7,2096,77.89,77.56,0.47,-0.14,63.65,63.64,0.0,0.01,39,32
2005-01-02,21,1965.9,1992,71.88,72.02,0.0,-0.14,53.61,53.73,0.0,-0.12,41,36
2005-01-02,22,1798.3,1835,59.3,59.42,0.0,-0.12,49.4,49.53,0.0,-0.13,43,37
2005-01-02,23,1632.8,1638,51.48,51.59,0.0,-0.11,40.9,40.82,0.0,0.08,42,37
2005-01-02,24,1446.7,1457,49.66,49.76,0.0,-0.1,38.94,38.79,0.0,0.15,43,39
2005-01-03,1,1346.9,1335,44.19,44.22,0.0,-0.03,38.47,38.28,0.0,0.19,44,40
2005-01-03,2,1292.9,1276,42.1,42.11,0.0,-0.01,39.13,39.0,0.0,0.13,45,41
2005-01-03,3,1271.4,1243,41.31,41.32,0.0,-0.01,32.05,32.0,0.0,0.05,48,43
2005-01-03,4,1258.7,1227,40.97,40.98,0.0,-0.01,14.38,14.58,-0.23,0.03,48,43
2005-01-03,5,1288.8,1241,40.97,40.98,0.0,-0.01,31.19,31.34,-0.22,0.07,49,44
2005-01-03,6,1420.9,1368,43.33,43.34,0.0,-0.01,42.19,42.27,-0.14,0.06,50,45
2005-01-03,7,1665.7,1629,52.26,52.28,0.0,-0.02,48.65,48.58,-0.01,0.08,49,46
2005-01-03,8,1793.4,1809,61.69,61.7,0.0,-0.01,44.09,43.92,0.0,0.17,49,46
2005-01-03,9,1848.3,1840,63.62,63.64,0.0,-0.02,41.73,41.56,0.0,0.17,49,47
2005-01-03,10,1855.0,1865,63.63,64.63,-0.98,-0.02,45.75,45.68,0.0,0.07,49,46
2005-01-03,11,1837.3,1881,62.94,64.1,-1.14,-0.02,48.17,48.23,0.0,-0.06,50,46
2005-01-03,12,1821.4,1867,61.83,63.23,-1.37,-0.03,48.76,48.95,0.0,-0.19,50,46
2005-01-03,13,1771.2,1847,59.4,61.33,-1.9,-0.03,48.33,48.56,0.0,-0.23,51,46
2005-01-03,14,1775.1,1842,57.21,59.43,-2.2,-0.02,44.44,44.62,0.0,-0.18,52,46
2005-01-03,15,1762.1,1830,54.02,54.04,0.0,-0.02,38.2,38.18,0.0,0.02,53,46
2005-01-03,16,1794.3,1874,53.14,53.15,0.0,-0.01,43.32,43.32,0.0,0.0,53,46
2005-01-03,17,1990.4,2056,64.16,67.18,-3.02,0.0,56.62,56.56,0.0,0.06,50,45
2005-01-03,18,2154.3,2202,77.56,77.96,-0.39,-0.01,58.48,58.44,0.0,0.04,47,44
2005-01-03,19,2152.3,2186,74.27,75.3,-1.02,-0.01,46.68,46.73,0.0,-0.05,47,44
2005-01-03,20,2092.8,2119,67.12,69.52,-2.38,-0.02,45.06,45.19,0.0,-0.13,46,45
2005-01-03,21,2022.2,2018,63.63,64.64,-0.99,-0.02,42.53,42.65,0.0,-0.12,46,46
2005-01-03,22,1852.8,1843,58.59,58.61,0.0,-0.02,40.49,40.41,0.0,0.08,46,45
2005-01-03,23,1660.9,1613,51.19,51.21,0.0,-0.02,27.04,27.27,-0.36,0.13,46,46
2005-01-03,24,1467.9,1420,45.4,45.45,0.0,-0.05,22.28,22.6,-0.44,0.12,45,45
2005-01-04,1,1371.8,1298,34.99,34.95,0.0,0.04,21.5,21.93,-0.47,0.04,45,45
2005-01-04,2,1313.2,1233,33.29,33.25,0.0,0.04,20.71,21.22,-0.49,-0.02,45,45
